,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,29.65,30.54,28.4,30.31,1524592,,,,,,,2.1400000000000006
1,30.4,32.79,30.4,32.63,927150,,,,,,,2.164285714285715
2,32.89,33.1,31.0,31.55,890429,,,,,,,2.159693877551021
3,32.06,32.71,31.71,32.67,608351,,,,,28.81229173377257,33.577971899668874,2.0882871720116625
4,32.35,32.35,30.92,31.12,649682,,,,,30.41503825721262,33.076587378119584,2.064123802582258
5,29.85,30.72,29.6,30.49,658542,,,,,29.839692727519235,33.370433831213255,2.025257816683525
6,28.37,28.45,26.75,27.58,1154380,,,,,27.34904444949411,33.19371727593426,2.1477394012061306
7,29.01,29.65,27.915,29.59,839172,,,,,26.7759131314308,32.11373097107423,2.142186586834264
8,28.73,28.818,26.6,26.61,825175,30.28,,,,26.19103097884271,30.517858129547175,2.2027446877746737
9,24.3,24.39,19.12,23.56,1895848,29.53,,,,20.6662367123036,30.407237371509318,2.580405781505054
10,23.97,24.5,21.023,24.2301,1178553,28.6,,,,18.984050066856106,29.904185216570642,2.6444482256832647
11,20.0,23.67,19.95,20.01,777126,27.32,,,,17.960071497804517,27.9237129051321,2.7612804952773176
12,20.14,20.69,18.14,18.92,1561116,25.79,,,,18.210662938186676,25.277827347627692,2.746189031328938
13,17.36,17.86,14.5,14.67,1466738,23.96,,,,15.255879353068394,25.00950697050879,2.8657469576625854
14,14.5,20.1,13.24,19.4301,2121966,22.73,,,,13.024955037924968,23.213039435076247,3.1510507464009723
15,19.49,19.96,17.0,17.05,1295244,21.56,,,,13.24939575542068,21.012276053865715,3.1374042645151885
16,15.35,15.77,14.02,15.45,1302474,19.99,,,,12.902305395208675,20.670565149560083,3.1297325313355326
17,16.0,19.24,15.99,16.91,1439233,18.91,,,,13.154866671326305,21.00439582159443,3.1768944933829943
18,17.57,19.01,16.53,18.01,1181688,18.3,,,,14.443972010449945,20.542310512192337,3.127116315284209
19,18.88,20.7,18.51,19.77,1171222,17.8,24.03,,,14.231629189239253,20.96727712939788,3.095893721335337
20,19.16,19.61,18.6,18.7,649235,17.66,23.45,,,15.929390988458561,20.463507538925175,2.9583298840970986
21,18.55,18.87,17.52,18.8097,597618,17.64,22.76,,,16.720677784762692,20.463449552832067,2.843449178090163
22,18.72,19.1669,18.36,18.64,283734,18.09,22.11,,,17.702999999999985,20.468984137305057,2.6979813796551513
23,17.87,18.13,16.67,16.97,386941,17.81,21.33,,,16.822614385017577,19.628619567257516,2.6459827096797834
24,16.94,18.72,16.8816,18.56,542331,17.98,20.7,,,16.522443200159334,19.20133328672116,2.588298230416942
25,18.4,18.53,17.25,17.34,308696,18.19,20.04,,,16.46291287961684,19.110355888658674,2.496991213958589
26,18.83,19.2389,18.19,18.69,477886,18.39,19.6,,,16.508441163372378,19.161367815691296,2.454270412961547
27,19.0,20.6111,19.0,20.14,748367,18.62,19.12,,,16.78022891501749,20.308749626070036,2.416186812035722
28,20.45,21.49,20.17,20.93,561516,18.75,18.84,,,17.289731402621847,21.433638308414295,2.340030611176027
29,21.17,23.07,21.01,21.96,831559,19.12,18.76,,,18.221410560904207,22.868869781802946,2.3257427103777397
30,21.45,21.785,19.861,20.25,733780,19.28,18.56,,,19.096984812609165,22.85862047055693,2.3095468024936157
31,20.18,21.71,20.18,20.865,573885,19.52,18.6,,,19.763372705310495,22.80047913328958,2.2538648880297862
32,20.11,20.45,19.725,19.98,417484,19.86,18.66,,,19.55989921410971,22.930830312680456,2.174303110313373
33,19.94,20.29,19.3351,19.88,431673,20.0,18.92,,,19.390310250066076,21.937171631393447,2.0872028881481324
34,20.71,21.335,20.46,20.6,530648,20.37,18.98,,,19.378987538197524,21.700737947219785,2.0420455389946945
35,20.05,21.1,20.02,20.14,363115,20.53,19.13,,,19.362538506051735,21.346919409704892,1.9733280004950735
36,20.0,20.21,19.13,19.35,447280,20.44,19.32,,,19.060337602978876,21.3582260970872,1.9095188576025683
37,19.7,19.92,19.315,19.68,190125,20.3,19.46,,,19.05042826917269,21.392134298122283,1.816338939202385
38,19.66,20.72,19.5219,19.59,406591,20.04,19.54,,,19.0745190210138,21.06548868212673,1.7721790149736434
39,19.63,20.6,19.63,20.22,315012,20.03,19.56,,,19.15500005514036,20.76580416561192,1.7177376567612406
40,20.0,21.07,20.0,21.05,403475,20.05,19.68,,,19.30102582563983,21.1072064438598,1.671470681278295
41,22.0,22.84,21.62,22.18,927540,20.3,19.85,,,19.122536480657725,22.452535188687776,1.6799370611869882
42,22.42,23.48,22.42,23.04,781285,20.65,20.07,,,19.462270951591012,23.516519283397432,1.6527986996736321
43,23.0,23.51,22.41,23.34,686077,20.95,20.39,,,20.36019376082899,23.985368332406537,1.613313078268373
44,22.48,22.795,21.47,21.72,524970,21.13,20.55,,,21.423366667664773,23.5872052132568,1.6316478583920606
45,21.68,22.59,21.325,22.48,251423,21.48,20.8,,,21.256762718241056,23.611828883150576,1.6054587256497705
46,23.37,23.4373,22.18,22.22,353836,21.76,20.98,,,21.263329997626926,23.588696421511738,1.5805902452462157
47,22.5,22.7099,21.48,21.8,307190,22.01,21.06,,,21.19125416668725,23.29989295959816,1.5555409420143431
48,22.55,23.27,22.14,22.6,364677,22.27,21.15,,,21.294831563020793,23.458168042775295,1.5494308747276044
49,22.55,22.79,22.2903,22.79,199551,22.46,21.19,21.9,,21.618591074298802,23.444145159011658,1.474450097961347
50,22.5,22.865,22.11,22.53,245301,22.5,21.3,21.75,,21.61036498337393,23.182665865927095,1.4230608052498221
51,22.58,22.7499,21.384,21.44,340533,22.32,21.33,21.52,,21.534705595554588,23.18161695123641,1.4189778905891206
52,21.54,21.585,20.637,21.15,396452,22.08,21.39,21.31,,20.774715573599746,23.16867769021974,1.3853366126898978
53,20.65,21.61,20.04,21.55,475907,22.06,21.47,21.09,,20.053643695045885,22.972714738452616,1.3985268546406193
54,21.25,22.115,20.91,21.28,337275,21.93,21.51,20.89,,20.125633088467037,22.61713600811291,1.384703507880575
55,22.1,23.03,21.83,22.8,524724,21.99,21.64,20.74,,20.03467082597227,22.828226188092533,1.4107961144605339
56,22.55,23.93,22.35,22.84,444950,22.11,21.82,20.65,,20.16037868302934,23.798203221078804,1.4228821062847814
57,23.27,24.15,23.27,23.69,311173,22.23,22.02,20.53,,21.00476577029045,24.32957891217823,1.4148190986930111
58,23.75,24.5941,23.616,23.92,420224,22.36,22.23,20.47,,21.862608953837206,24.649956945483517,1.3836248773577962
59,23.68,24.33,23.59,24.28,348204,22.55,22.44,20.49,,22.55499193660662,24.560332147818382,1.337651671832239
60,24.93,25.99,24.88,24.92,526087,22.94,22.63,20.5,,23.056227551157697,25.685754290801487,1.364247980987079
61,25.5,26.2,25.395,26.07,517495,23.48,22.82,20.62,,23.36857718124468,26.326598570902767,1.3582302680594303
62,26.72,26.75,25.0,25.24,392141,23.89,22.93,20.75,,23.85560543776779,26.963872939608464,1.3862138203408996
63,25.0,25.64,24.35,25.0,488529,24.31,23.02,20.96,,24.431943422809113,26.656273247230093,1.3793414046022638
64,25.06,26.04,24.91,25.54,326350,24.61,23.21,21.08,,24.439826241187955,26.663370454431313,1.3615313042735309
65,25.69,26.19,25.69,26.0,333768,24.96,23.38,21.26,,24.382975186613596,26.660561404117452,1.3107076396825645
66,26.6,27.1,26.25,26.35,464804,25.26,23.59,21.48,,24.377660221682635,26.921202377089212,1.295657093990953
67,26.25,26.525,25.54,26.26,298178,25.52,23.81,21.66,,24.99157570604914,26.980893818648685,1.2734673015630278
