,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,34.24,34.94,32.38,32.91,456717,,,,,,,2.559999999999995
1,33.0,34.77,32.6,34.72,624228,,,,,,,2.532142857142853
2,34.92,35.95,33.7,33.93,372304,,,,,,,2.5119897959183635
3,34.5,35.27,34.29,35.11,391097,,,,,,,2.4282762390670523
4,35.5,36.42,33.95,35.05,612102,,,,,,,2.4312565077051196
5,33.83,34.92,32.87,33.9,301921,,,,,,,2.413309614297611
6,31.4,32.68,28.0,31.53,288968,,,,,,,2.6623589275620674
7,32.5,32.5,30.55,31.925,319232,,,,,,,2.6114761470219197
8,31.03,31.23,28.777,29.41,265595,33.16,,,,,,2.6497992793774965
9,27.0,27.0,24.16,24.17,485481,32.19,,,,,,2.835527902279104
10,25.7,27.29,24.66,27.28,524263,31.37,,,,,,2.8558473378305966
11,24.04,27.63,24.0,26.42,554167,30.53,,,,,,2.9111439565569825
12,27.0,29.205,26.68,28.22,675360,29.77,,,,,,2.9021336739457695
13,26.55,28.05,24.64,24.72,662733,28.62,,,,,,2.9505526972353575
14,24.63,26.02,21.86,24.06,538937,27.53,,,,,,3.036941790289975
15,24.09,24.09,20.84,21.05,954184,26.36,,,,,,3.052160233840691
16,21.25,22.6,20.13,20.44,524241,25.09,,,,,,3.0105773599949277
17,21.7,22.71,19.7906,21.06,899131,24.16,,,,,,3.0040646914238613
18,21.02,22.255,20.11,21.03,1024932,23.81,,,,,,2.9427029277507284
19,21.0,22.45,20.73,22.04,859388,23.23,27.95,,,16.12309039825309,39.50925149356621,2.855367004339962
20,21.21,23.62,21.0,21.99,1265147,22.73,27.4,,,15.60809519479982,38.90451972016558,2.8385550754585362
21,22.21,24.22,21.6,24.14,543549,22.28,26.87,,,15.326475080628189,38.17075369802094,2.8229439986400693
22,24.36,25.17,23.85,24.35,643752,22.24,26.39,,,15.544544052915487,37.03294092240494,2.7155908558800643
23,23.99,24.12,22.76,23.34,438591,22.16,25.81,,,15.953418779055681,35.89833078399505,2.6351915090314884
24,22.91,24.28,22.8,24.24,372644,22.51,25.27,,,16.601957670407508,34.21104959830552,2.5526778298149537
25,23.86,24.36,22.28,22.75,315264,22.77,24.71,,,17.343311341714095,32.64788021282951,2.518915127685314
26,23.83,26.02,23.6468,25.9,515713,23.31,24.43,,,17.50781732553017,31.5343070275784,2.572564047136363
27,26.5,28.17,26.18,26.32,832835,23.9,24.15,,,18.200847215782353,30.523446099455658,2.550952329483766
28,26.22,28.24,25.99,27.85,428491,24.54,24.07,,,18.634126272088704,29.801574058426745,2.52945573452064
29,28.4,29.85,27.86,28.84,466295,25.3,24.3,,,18.295769220612662,30.330924757356932,2.4916374677691655
30,28.37,28.81,27.8303,28.5,365362,25.79,24.36,,,18.03957757586232,30.569998557694618,2.3857847914999395
31,29.5,31.05,29.1,30.94,691118,26.52,24.59,,,17.67124536363767,31.24513663224781,2.397514449249944
32,29.8,31.31,29.58,30.54,840064,27.32,24.7,,,17.354221329826963,31.6983821181235,2.349834845732091
33,30.56,31.68,30.14,31.53,617658,28.13,25.05,,,16.992811736933433,32.371113318808476,2.2919894996083703
34,32.52,33.35,31.63,32.89,720504,29.26,25.49,,,16.747411736813138,33.530415112319005,2.258275963922058
35,32.24,32.85,30.59,30.72,487611,29.79,25.97,,,16.950531878106386,34.42884731184914,2.2612562522133395
36,29.95,30.88,29.63,30.13,323441,30.22,26.46,,,17.485634658850344,34.76818946922852,2.1890236627695296
37,30.79,31.17,30.21,30.84,227335,30.55,26.94,,,18.17996534232868,35.06150871500756,2.1069505440002776
38,30.72,31.64,30.72,31.13,366202,30.8,27.45,,,18.924180244243225,35.26316550848854,2.0221683622859725
39,31.33,31.99,30.78,31.67,356066,31.15,27.93,,,19.68642502388431,35.39804353245962,1.964156336408403
40,31.91,33.54,31.77,33.04,265874,31.39,28.48,,,20.47835418950094,35.798511007522116,1.9574308838078027
41,33.8,34.475,33.355,34.1,344280,31.78,28.98,,,21.160394271394782,36.29703051113723,1.9201143921072457
42,35.07,36.5,34.8,35.94,406731,32.27,29.56,,,21.37520527019747,37.180273765769336,1.9543919355281565
43,35.0,35.74,34.26,34.55,486765,32.46,30.12,,,22.07220137357419,37.55642202157017,1.9347925115618596
44,33.71,34.1399,32.7,33.23,344787,32.74,30.57,,,23.072044991683676,37.461467197259466,1.9287359035931548
45,32.72,33.01,31.96,32.33,418373,32.98,31.05,,,24.480187037152795,36.99708603501561,1.8816833390507866
46,33.09,33.27,32.19,32.21,278177,33.13,31.36,,,25.74218841605553,36.660362051951296,1.8244202434043024
47,32.04,32.708,30.98,31.06,251093,33.13,31.6,,,26.445350039791656,36.504368159725665,1.8175330831611378
48,31.58,31.87,31.4,31.54,324083,33.11,31.79,,,27.34812074521421,36.23410309706882,1.745566434363914
49,32.3,33.57,32.035,33.43,305383,33.15,32.02,28.98,,27.85957572331386,36.232363320012404,1.7658831176236345
50,33.03,33.83,32.15,33.7,337173,33.11,32.28,29.0,,28.470464484537054,36.01103403550651,1.7597486092219463
51,33.83,33.83,32.06,32.09,269308,32.68,32.33,28.94,,28.830186944528787,36.042169963029295,1.7604808514203785
52,31.69,31.74,29.39,29.65,398003,32.14,32.29,28.86,,28.790217824051666,36.01601235317008,1.8275893620332089
53,29.08,30.51,28.21,30.42,418965,31.83,32.23,28.76,,28.367845169402102,36.11844710333639,1.861332979030837
54,30.28,31.6,29.76,31.52,394060,31.74,32.16,28.69,,28.176687289147683,36.091431457557874,1.8598091948143487
55,32.71,32.9,31.65,32.57,336403,31.78,32.26,28.67,,28.253929501766613,36.09369942638368,1.8255371094704667
56,32.33,32.79,31.79,31.86,213762,31.86,32.34,28.67,,28.48245305958411,36.037585090981686,1.766570173079719
57,32.52,33.03,32.15,32.65,182916,31.99,32.43,28.69,,28.642407479446135,35.998612007995554,1.7239580178597391
58,32.6,33.45,32.57,32.57,222963,31.89,32.51,28.75,,28.748511000529085,36.00343888790783,1.6636753022983293
59,32.67,32.74,32.04,32.56,165683,31.77,32.55,28.92,,28.84822264871425,35.99057084226456,1.5948413521341631
60,33.73,34.57,33.65,34.15,274922,31.99,32.61,29.06,,28.83864416598331,36.10237031868108,1.6244955412674371
61,34.33,34.44,32.73,33.49,428288,32.42,32.58,29.2,,28.854323729248694,36.09759405011108,1.6306030026054774
62,33.87,34.12,33.25,33.49,240101,32.76,32.45,29.3,,29.01345172750849,35.579981592017496,1.576274216705086
63,33.13,33.4161,30.47,30.71,452477,32.67,32.26,29.42,,29.002370748550483,35.14696148462871,1.6793974869404373
64,31.0,33.12,30.9675,32.23,828936,32.63,32.21,29.59,,28.946193400382157,35.035045728199236,1.731583380730406
65,32.63,32.85,32.03,32.16,302568,32.67,32.2,29.81,,28.947318069707077,35.02858246594686,1.6664702821068056
66,32.78,33.46,32.29,33.33,519804,32.74,32.26,30.07,,28.947001789188164,35.044884801914286,1.6402938333848913
67,32.95,34.89,32.59,34.39,380451,32.95,32.43,30.33,,29.006191531772522,35.311159291525904,1.6874157024288277
68,35.79,36.74,35.66,36.51,446281,33.38,32.67,30.64,,28.67794473492591,36.00216642876089,1.73474315225534
69,36.72,37.22,36.4,36.75,305567,33.67,32.84,30.94,,28.307151550208545,36.69815881471513,1.6694043556656728
70,36.2,36.28,34.91,35.56,285822,33.9,32.93,31.21,,28.24019368549489,37.04787319341791,1.6815897588324107
71,35.38,35.5,33.7,33.73,347793,33.93,33.02,31.4,,28.269676690431883,37.228088618104685,1.6943333474872384
72,32.3,32.76,31.32,31.46,304226,34.01,33.11,31.54,,28.572943091165648,37.18190504506229,1.7454523940952926
73,32.76,33.09,31.52,31.54,116559,33.94,33.16,31.71,,29.249554592495926,36.955531095485455,1.7372057945170576
74,30.68,32.61,30.4101,32.41,247081,33.96,33.21,31.87,,29.386830837050944,36.87087414773455,1.770255380622982
75,33.8,34.75,32.76,34.12,476364,34.05,33.28,32.1,,29.47353521914506,36.93337641469224,1.8109514248641978
76,34.1,34.3594,32.44,32.53,613634,33.85,33.32,32.23,,29.530243379377183,36.946476434114004,1.8186977516596126
77,35.4,39.45,35.01,39.02,2452269,34.12,33.64,32.48,,29.521600503099023,38.07858199937122,2.183076483683926
78,39.43,40.78,37.82,38.29,1320731,34.3,33.92,32.69,,29.10974441289305,39.374572726401,2.2385710205636458
79,37.88,39.26,37.4708,39.0,504480,34.68,34.24,32.9,,28.96676384077449,39.9890612724341,2.2064730905233856
80,39.51,39.565,37.63,38.01,692484,35.15,34.44,33.09,,28.770459905520212,40.60948832339188,2.1870821554860003
81,37.67,38.0,35.505,35.6,662703,35.61,34.54,33.18,,28.851217334850123,40.88757693548732,2.209790572951286
82,35.48,36.1,35.0201,35.74,322301,36.08,34.65,33.28,,28.910412067657518,40.942905308959396,2.1290841034547654
83,35.64,35.68,34.88,34.95,376800,36.36,34.87,33.35,,29.3708039684734,40.9439101260218,2.038435238922282
84,35.5,36.95,35.43,36.51,376945,36.63,35.08,33.42,,29.785851240811944,40.99427313556296,2.035689864713548
