,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,74.67,76.78,73.37,74.29,579758,,,,,,,3.4099999999999966
1,75.51,77.66,75.435,77.57,440018,,,,,,,3.4071428571428535
2,76.63,77.19,75.825,76.9125,336626,,,,,,,3.2884183673469347
3,75.63,77.06,74.13,76.67,671435,,,,,,,3.262817055393583
4,72.75,74.39,71.855,72.53,419011,,,,,,,3.3736872657226127
5,74.09,76.18,71.935,76.11,488325,,,,,,,3.4359238895995694
6,74.94,75.16,71.88,72.52,461299,,,,,,,3.492643611771029
7,68.24,71.7,63.9628,67.7,777483,,,,,,,3.85439763950167
8,70.7,73.0,68.355,72.79,922923,74.12,,,,,,3.9576549509658365
9,67.03,69.99,55.93,56.69,773583,72.17,,,,,,4.879251025896849
10,58.09,60.78,55.565,60.67,643447,70.29,,,,,,4.903233095475646
11,57.1,59.33,45.935,48.56,678498,67.14,,,,,,5.605502160084529
12,48.54,54.52,45.23,51.82,777205,64.38,,,,,,5.868680577221349
13,52.67,57.6,50.56,52.71,666547,62.17,,,,,,5.9523462502769675
14,52.28,53.995,50.8171,53.235,797429,59.63,,,,,,5.754171518114326
15,55.19,59.58,54.31,56.99,908158,57.91,,,,,,5.796373552534732
16,57.3,62.91,57.0,59.37,1205858,56.98,,,,,,5.805204013067965
17,59.88,62.59,59.06,62.01,653647,55.78,,,,,,5.642689440705968
18,60.92,64.87,59.13,63.18,567584,56.5,,,,,,5.649640194941256
19,63.59,64.39,60.58,63.82,712336,56.86,64.81,,,41.71841129886377,83.99838748665984,5.518237323874024
20,61.95,63.97,61.1,61.91,1590233,58.34,64.19,,,41.81618204527801,82.82484674355742,5.32907751502588
21,59.79,61.5,56.4841,60.64,960534,59.32,63.34,,,41.91430636178673,81.33365221275275,5.335993406809745
22,60.37,61.57,57.885,60.45,580796,60.18,62.52,,,42.46092693353853,79.7274998351087,5.218065306323335
23,59.85,61.01,56.45,57.06,585194,60.6,61.54,,,42.969618554017536,77.9133043307599,5.171060641585954
24,59.91,62.6,59.0,60.01,578765,60.94,60.91,,,43.589995122977996,76.4986537501515,5.197413452901244
25,62.42,63.8,59.87,60.14,632220,61.02,60.11,,,44.495409973598264,74.47373027046325,5.106883920551155
26,59.86,64.31,59.38,63.59,235500,61.2,59.67,,,45.72677001064887,72.45920559124582,5.094249354797501
27,65.46,69.0,64.74,67.79,352847,61.71,59.67,,,45.65562820877649,71.86385352763011,5.116802972311966
28,67.2,67.821,62.74,63.56,290795,61.68,59.21,,,46.346654016527864,70.61738856868129,5.114245617146826
29,64.57,66.6,64.57,65.75,243808,62.11,59.66,,,46.18395568687514,69.90888576516173,4.966085215922051
30,63.74,64.47,60.84,61.37,299900,62.19,59.7,,,46.34059712509989,70.13281464128168,4.962079129070476
31,61.58,62.17,59.05,59.85,361639,62.12,60.26,,,48.37480499548369,70.1480375535214,4.830502048422586
32,62.16,63.08,61.01,62.23,370934,62.7,60.78,,,51.18929096050229,69.60530126238173,4.716180473535259
33,60.82,63.45,60.27,61.845,528551,62.9,61.24,,,52.71018572627944,69.41976792571597,4.606453296854169
34,61.25,63.66,60.0,62.69,528862,63.19,61.71,,,54.50614591571566,68.158417480378,4.538849489936014
35,63.9,64.83,60.82,61.03,228440,62.9,61.91,,,55.473958786695285,68.00984826513658,4.501074526369156
36,61.09,61.72,60.13,60.65,299203,62.11,61.98,,,55.85630814045963,68.04656156859672,4.293140631628503
37,60.9,61.375,60.1001,60.85,477617,61.81,61.92,,,55.939054534427726,68.09808870787708,4.07755201508361
38,61.12,62.69,60.985,61.83,393053,61.37,61.85,,,56.049805636870964,67.98644441386662,3.9177268711490663
39,63.82,64.39,63.12,64.07,431187,61.67,61.87,,,55.99375927937486,67.98644441386662,3.8207463803527046
40,66.13,67.49,65.16,66.4,372194,62.4,62.09,,,55.72079841690661,68.48590086447979,3.7921216388989403
41,65.5,65.83,64.32,65.16,373201,62.72,62.32,,,56.25721560034615,68.63866127219143,3.6698272361204456
42,63.53,63.905,61.74,62.6,351780,62.81,62.42,,,56.67784320986403,68.59980532107977,3.651982433540413
43,61.64,62.57,60.25,61.77,227542,62.71,62.66,,,57.42380529026053,68.48980489527898,3.558983688287527
44,62.72,64.06,62.7,63.01,287853,62.93,62.81,,,57.73753415565839,68.48941016763135,3.4683419962669895
45,63.22,63.65,61.79,62.11,263955,63.09,62.91,,,57.9192447735156,68.48674397204235,3.353460425105062
46,63.5,64.5,62.6576,63.55,295975,63.39,62.91,,,58.22291573132335,68.49669589805745,3.2846418233118433
47,64.76,65.63,64.27,64.8,369831,63.72,62.76,,,58.27292734595868,67.76929760095412,3.198595978789569
48,63.87,64.88,62.94,63.99,290495,63.71,62.78,,,58.27099241023315,67.21262658764071,3.1086962660188853
49,64.19,64.19,60.04,60.04,245871,63.0,62.49,63.34,,58.20376742815455,66.85779008567938,3.1830751041603933
50,59.61,60.4,58.02,58.47,433488,62.26,62.35,63.02,,57.713071898188865,67.03589792295563,3.1257125967203647
51,57.42,58.78,54.94,58.55,514866,61.81,62.28,62.64,,56.60822514829774,67.4894563702455,3.176733125526053
52,58.2,59.54,57.12,59.47,424865,61.55,62.14,62.29,,56.05772548059285,67.70142439126761,3.1226807594170496
53,62.11,63.7,62.02,62.315,364875,61.48,62.17,62.01,,56.142828075728524,67.71625750722369,3.2017749908872606
54,61.98,62.5,60.99,61.0,240205,61.35,62.08,61.77,,56.220924319370695,67.67406060770368,3.080933920109599
55,62.05,62.05,60.74,61.09,225129,61.08,62.09,61.47,,56.215493166868264,67.5110042488539,2.9544386401017704
56,61.02,62.39,61.02,61.91,365512,60.76,62.15,61.26,,56.28443677617413,67.50663767999222,2.8412644515230725
57,62.29,62.29,61.19,62.05,222068,60.54,62.21,61.15,,56.368074458188666,67.48816812942052,2.7168884192714247
58,64.88,65.22,64.16,64.68,533411,61.06,62.35,60.99,,56.36779069022948,67.69227433621431,2.749253532180609
59,66.35,66.99,62.88,65.22,573606,61.81,62.41,61.16,,56.37116175426658,68.09731448446054,2.8464497084534224
60,66.1,66.1,62.68,63.08,427628,62.31,62.24,61.21,,56.514917169312184,67.81123250397047,2.8874175864210345
61,62.27,63.73,61.86,62.88,555053,62.69,62.13,61.49,,56.59301987282579,67.56438175032476,2.814744901676675
62,63.02,64.7,62.915,64.46,338917,62.93,62.22,61.74,,56.593204343047084,67.6408931323876,2.7436916944140552
63,65.14,65.27,64.1,64.88,280069,63.36,62.38,61.99,,56.64543510235942,67.83688240496004,2.6312851448130514
64,65.86,67.82,65.84,67.3,438044,64.05,62.59,62.27,,56.43930645223529,68.43148964669295,2.6533362058978334
65,66.83,67.77,66.12,67.4,386361,64.66,62.86,62.48,,56.27514332534544,68.97330660572366,2.5816693340479877
66,69.5,71.7,68.26,68.595,476905,65.39,63.11,62.66,,55.85677441748675,70.41677943694508,2.704407238758846
67,69.95,70.19,67.83,68.21,725879,65.78,63.28,62.79,,55.588250864745866,71.17197913083328,2.679806721704643
68,66.84,68.78,66.34,68.01,565845,66.09,63.48,62.88,,55.51962159239566,71.63543954557066,2.662677670154311
69,67.88,68.33,65.33,65.78,481489,66.39,63.77,62.92,,55.76815820964046,72.0225903095901,2.686772122286146
70,63.1,64.18,61.23,63.3,748726,66.44,64.01,62.95,,56.24437737138911,71.90069585028459,2.819859827837136
71,65.95,66.2,64.4,64.52,236199,66.44,64.31,63.03,,57.84786168962811,71.59546067016782,2.8255841258487697
72,64.67,70.315,64.15,70.16,978576,67.03,64.84,63.22,,59.04153096473272,71.8246789863168,3.064113831145286
73,72.51,72.68,69.205,70.0,771573,67.33,65.23,63.48,,58.86959725023273,72.87781018158083,3.093462843206338
74,70.45,70.96,69.45,69.92,778922,67.61,65.67,63.68,,58.97749793941304,73.31695587731446,2.9803583544058845
75,69.04,70.02,67.43,68.64,879608,67.62,66.05,63.85,,59.459021918414436,73.43621032094663,2.9524756148054636
76,67.99,69.86,67.3,67.53,1275265,67.54,66.33,63.93,,59.97833488446565,73.45626032488953,2.9244416423193593
77,67.28,68.06,65.94,67.84,610750,67.52,66.62,63.93,,60.55423476091867,73.16635156485869,2.866981525010834
78,68.54,68.59,66.12,66.73,494574,67.63,66.72,63.99,,60.67628118035164,73.17999991594174,2.8386257017957743
79,66.0,66.44,63.46,65.78,501142,67.9,66.75,63.99,,60.76458974611538,73.18401256278413,2.8694381516675054
80,64.68,65.64,64.32,65.61,387736,68.02,66.88,64.08,,60.99773096886649,73.2026850726355,2.7687639979769703
81,65.45,65.865,62.52,63.02,742260,67.23,66.88,64.14,,61.135216948909566,73.01069404380866,2.809923712407186
82,63.64,65.335,63.205,65.06,459708,66.68,66.91,64.2,,61.184761986946256,72.95420843371342,2.774572018663815
83,65.03,66.17,64.85,65.71,515135,66.21,66.96,64.27,,61.264085023363876,72.89838982845554,2.6706740173306858
84,66.09,67.93,66.05,67.81,422443,66.12,66.98,64.38,,61.27182581634487,72.90203309971405,2.638483016092781
85,68.26,69.11,66.32,66.99,245204,66.06,66.96,64.5,,61.27667046204574,72.97846992970605,2.64930565780044
86,68.34,68.8499,66.12,66.56,293837,65.92,66.86,64.61,,61.331861577113266,72.5670648795753,2.65506239652898
87,65.63,65.7,64.4,64.78,284893,65.7,66.69,64.69,,61.26752202630114,72.36788825183874,2.6197007967769097
88,64.7,64.98,63.6,63.95,369664,65.5,66.48,64.74,,61.079485648954666,72.3512075591834,2.5311507398642736
89,63.61,64.06,61.59,62.93,603753,65.2,66.34,64.71,,60.58150621284549,72.4150438802788,2.526782829873968
90,62.93,63.87,62.06,63.87,375381,65.3,66.37,64.66,,60.75933056336555,72.4464372612768,2.4755840563115417
91,64.3,64.68,62.475,62.65,480728,65.03,66.28,64.61,,60.51349025818461,72.50238713344419,2.4562566237178602
92,62.75,64.07,62.64,63.16,547432,64.74,65.93,64.62,,60.3270113961033,72.21796699658317,2.382952579166584
93,64.4,64.545,63.28,64.13,435806,64.34,65.63,64.67,,60.43627039786481,71.21133151096465,2.3116702520832573
94,63.77,64.6,63.27,64.01,350085,64.0,65.34,64.69,,60.74533033217607,70.51781954277972,2.241550948363024
95,64.09,66.26,63.675,65.69,451081,63.91,65.19,64.76,,60.85489953758137,69.96284585917493,2.2660830234799514
96,65.25,65.63,63.96,64.13,238727,63.84,65.02,64.77,,61.03691282230331,69.34238548072501,2.227791378945669
97,64.66,65.28,63.33,63.91,518577,63.83,64.82,64.76,,61.04099705885912,69.07401788219659,2.2079491375924074
98,63.16,64.78,63.01,64.63,731922,64.02,64.72,64.77,,61.07285099901879,68.6488644177183,2.1766670563358073
99,64.21,64.635,62.38,63.37,500263,63.96,64.6,64.83,,60.954063233596884,68.57233857616029,2.1822622665975357
100,63.26,63.45,62.18,62.29,527348,63.92,64.43,64.91,,60.78937504460328,68.61404190339843,2.117100676126283
101,62.18,64.01,61.44,63.79,542741,63.99,64.47,65.02,,60.61124150139638,68.58393221598593,2.1494506278315493
102,63.87,66.315,63.86,66.01,983908,64.2,64.52,65.15,,60.642824865820444,68.65893408546975,2.1762755829864386
103,66.67,67.58,66.055,67.49,1089558,64.59,64.61,65.25,,60.54057960052266,68.8557078742599,2.132970184201693
104,66.5,67.72,66.21,67.17,1273476,64.75,64.58,65.37,,60.52058896563771,68.81443340580725,2.088472313901572
105,67.07,67.41,65.53,66.97,635916,65.07,64.57,65.49,,60.61117183187295,68.41165979289758,2.073581434337174
106,66.97,66.97,65.5,66.83,525766,65.39,64.59,65.59,,60.68276992342532,67.96077970065126,2.0304684747416615
107,66.63,68.64,66.36,68.47,450978,65.82,64.77,65.72,,60.52907840299886,68.4951147681368,2.0482921551172573
108,69.0,69.0,67.55,68.8,802075,66.42,65.02,65.8,,60.26216806524752,69.06952765356274,2.0055570011803106
109,68.47,68.86,67.49,68.27,511761,67.09,65.28,65.86,,60.36175507935053,69.50197769057222,1.9601600725245745
110,67.87,68.98,67.87,68.63,355526,67.63,65.52,65.97,,60.42839048576606,69.87027952200847,1.8994343530585334
111,68.91,69.1,67.63,67.68,443692,67.81,65.77,66.07,,60.54651390943231,70.24135185911295,1.8687604706972096
112,68.46,69.0,65.96,66.31,653987,67.68,65.93,66.11,,60.78864259552017,70.49324030649359,1.9524204370759808
113,66.5,67.03,65.44,66.23,543244,67.58,66.03,66.13,,60.95574193638521,70.4915474302218,1.9265332629991254
114,65.82,68.13,65.63,65.71,228468,67.44,66.12,66.1,,61.142254479473635,70.56995260807778,1.9674951727849022
115,65.54,67.31,65.54,66.78,253521,67.43,66.17,66.09,,61.28522903466737,70.61146234350895,1.9533883747288374
116,66.72,68.79,66.46,68.78,658234,67.47,66.41,66.09,,61.410058644445115,70.79500898908168,1.98028920510535
117,68.65,68.65,67.04,67.81,563080,67.36,66.6,66.08,,61.631938652742924,70.91082530666498,1.9631256904549674
118,67.87,67.94,66.07,66.13,573110,67.12,66.68,66.05,,61.95605903994601,70.87138479332438,1.95647385542247
119,65.7,67.57,65.42,66.67,791414,66.9,66.84,66.06,,62.435536291955955,70.74374423261268,1.9702971514637218
120,66.58,67.065,65.59,66.94,597406,66.82,67.07,66.14,,63.06054690179995,70.25357862387304,1.934918783502027
121,66.19,67.21,65.98,67.07,478014,66.9,67.24,66.19,,64.21458854928527,69.67803875951999,1.88456744182331
122,67.21,67.87,66.87,67.8,493324,67.08,67.33,66.14,,64.67276151018382,69.57223480517797,1.821384053121645
123,67.63,67.975,66.75,67.11,298776,67.23,67.31,66.08,,64.7007882183747,69.57704957563764,1.7787851921843845
124,67.58,68.4,67.52,67.69,383592,67.33,67.33,66.04,,64.68639301097006,69.6093489134214,1.7438719641712146
125,67.9,68.025,66.94,67.43,435366,67.18,67.36,66.01,,64.79349112409872,69.60612788561305,1.6968096810161284
126,67.26,67.7,66.8,66.92,718800,67.08,67.36,66.0,,64.91844615622975,69.55611428018676,1.6398947038006912
127,66.44,66.6,65.87,66.21,949486,67.09,67.25,65.97,,64.86764105848883,69.59804567118567,1.5977593678149273
128,66.2,66.68,65.7,66.66,1012550,67.09,67.14,65.97,,64.81092188832513,69.53274241669463,1.55363369868529
129,66.77,67.36,66.315,66.76,679931,67.07,67.07,65.99,,64.8310749890003,69.41680928378972,1.5173027202077696
130,67.1,68.02,65.83,66.41,569644,67.0,66.96,66.0,,64.8852866189294,69.28079886685525,1.5653525259072145
131,65.93,66.73,65.25,65.85,487965,66.78,66.86,66.06,,64.8530003693752,69.10902344424962,1.5592559169138425
132,66.17,67.58,66.17,67.0,369164,66.77,66.9,66.1,,64.86654058501918,68.89874094417965,1.5714519228485684
133,66.83,67.6337,66.63,66.66,307782,66.66,66.92,66.12,,64.95623840547226,68.89692418005129,1.5308982140736715
134,66.93,67.08,65.89,66.55,590833,66.56,66.96,66.09,,64.98957332386331,68.84990437682626,1.5065483416398378
135,67.12,69.12,66.935,68.84,528256,66.77,67.06,66.13,,65.0662284551667,69.10199893768976,1.58250917437985
136,68.77,70.29,68.77,69.81,576904,67.17,67.12,66.19,,64.75950855364559,69.53682188360895,1.5780442333527187
137,70.27,70.47,69.21,69.32,353261,67.47,67.19,66.29,,64.46193920421616,69.97242533155841,1.555326788113239
138,68.33,68.47,65.94,66.52,388203,67.44,67.21,66.34,,64.44859042953456,70.01611334344629,1.685660588962293
139,66.9,66.9,63.87,64.09,549007,67.18,67.08,66.36,,64.09963367274344,70.02474900793075,1.7816848326078443
140,62.64,63.175,61.72,62.49,289171,66.81,66.86,66.33,,63.10678769631161,70.66735895422258,1.8237073445644274
141,62.49,64.625,62.49,64.19,245038,66.5,66.72,66.36,,62.510207465810346,70.82890840913689,1.8459425342383968
142,64.08,64.22,62.27,62.35,308122,66.02,66.44,66.35,,61.92095504202061,70.95803603789112,1.8533752103642254
143,61.75,63.04,61.52,62.38,251042,65.55,66.21,66.31,,61.23910574313433,71.1773347646098,1.8295626953382091
144,62.09,63.02,62.04,62.51,335836,64.85,65.95,66.28,,60.791903175715035,71.24531092258685,1.7688796456711946
145,63.61,64.51,63.135,64.28,309003,64.24,65.79,66.25,,60.57065205330444,71.14966882806972,1.7853882424089669
146,64.34,64.34,62.535,63.18,424718,63.55,65.6,66.24,,60.29004684770366,71.06863658669741,1.7867890822368984
147,64.13,65.01,63.02,63.64,639165,63.23,65.47,66.23,,60.09733732251328,71.0363322275778,1.8013041477914058
148,63.78,64.72,63.26,64.5,378351,63.28,65.37,66.23,,59.951063413119115,70.99728808363898,1.7769252800920197
149,63.4,65.46,63.13,65.17,258875,63.58,65.29,66.26,,59.815055179515554,70.89015557306692,1.8164306172283033
150,65.64,65.917,64.13,64.44,496059,63.61,65.19,66.31,,59.771798312262874,70.70848951214494,1.814328430283425
151,65.01,66.12,64.16,65.39,461750,63.94,65.17,66.34,,59.734028123309756,70.66890134473805,1.8247335424060382
152,65.76,65.95,64.73,64.75,434923,64.21,65.05,66.31,,59.737979381172075,70.53312577425451,1.7815382893770353
153,65.3,66.8,65.13,66.58,617426,64.66,65.05,66.29,,59.77934191250223,70.44336362000794,1.800714125850104
154,66.79,67.44,66.595,67.05,454912,64.97,65.07,66.29,,59.746845828523774,70.48311240922254,1.7335202597179538
155,67.33,67.674,66.55,67.64,382527,65.46,65.01,66.31,,59.77344285616565,70.24179733829007,1.6899830983095292
156,67.19,67.34,65.79,66.22,461009,65.75,64.83,66.29,,60.09387664779454,69.64369980127563,1.7014128770017052
157,66.01,66.3,64.12,64.69,455592,65.77,64.6,66.22,,60.66237611872195,68.75948315818286,1.735597671501583
158,64.16,66.22,64.01,65.855,379705,65.85,64.57,66.16,,60.72721114851413,68.36111909209005,1.7694835521086125
159,65.42,66.24,64.87,65.41,598447,65.95,64.64,66.1,,60.73274542570637,68.27303752406748,1.7409490126722824
160,65.84,66.63,64.6706,65.01,920848,65.91,64.76,66.03,,61.01429225600798,68.29199587047815,1.7565526546242625
161,65.94,66.5599,64.35,65.02,1008264,65.94,64.8,65.98,,61.18052367749452,68.38352276829495,1.788934607865387
162,64.75,65.69,64.085,65.4,384961,65.81,64.96,65.96,,61.39152806853861,68.36904840576331,1.7757964215892883
163,65.27,66.27,65.08,65.4,366286,65.63,65.11,65.94,,61.82614253511042,68.20547346211193,1.733953820047196
164,65.67,66.25,65.21,65.43,506395,65.38,65.25,65.94,,62.19104844620913,67.92194646932519,1.6843856900438254
165,67.03,67.03,64.03,65.23,451911,65.27,65.3,65.9,,62.31013732849085,67.94011373811482,1.7783581407549807
166,65.05,65.67,64.09,64.14,361315,65.21,65.35,65.81,,62.577742031986844,67.79688905024359,1.764189702129625
167,63.35,64.18,62.38,62.71,523210,64.86,65.3,65.71,,62.42419241388065,67.9331001895991,1.7667475805489377
168,62.58,63.59,61.51,63.05,432784,64.6,65.23,65.65,,61.99667427016734,68.14007020656527,1.7891227533668712
169,62.89,63.43,61.33,62.07,682142,64.27,65.07,65.56,,61.591460650293996,68.37218430724906,1.8113282709835234
170,62.69,63.91,62.26,63.87,802283,64.14,65.05,65.49,,61.34482953892287,68.4654163759025,1.8133762516275573
171,64.6,64.73,62.83,64.41,609284,64.03,65.0,65.44,,61.209756406616606,68.4543224108881,1.8195636622255895
172,63.71,64.58,63.0,63.96,582846,63.87,64.96,65.36,,61.0900058344333,68.45212815922913,1.8024519720666188
173,64.15,64.61,63.1,63.45,363194,63.65,64.8,65.29,,60.99865341987861,68.35435817478117,1.7815625454904316
174,63.67,64.3,62.88,63.11,425107,63.42,64.6,65.2,,61.040240563992356,68.13872559949404,1.755736649383972
175,67.11,69.47,63.05,63.41,1465343,63.34,64.39,65.12,,61.16963831219263,68.63201190875589,2.0888983172851168
176,63.57,66.52,63.18,66.38,1298302,63.75,64.4,65.11,,61.2532686331759,68.51474935660832,2.1782627231933227
177,66.73,66.73,64.875,66.53,563355,64.13,64.49,65.12,,61.222994385996245,68.56400768185982,2.1551725286795143
178,65.99,66.15,64.88,65.53,489145,64.52,64.48,65.09,,61.19764578767246,68.55771193795594,2.1190887766309783
179,65.93,67.21,65.77,67.0875,227365,64.87,64.56,65.1,,61.11014363736201,68.68009911997825,2.087725292585908
180,68.76,69.11,67.34,67.985,493262,65.27,64.71,65.13,,60.7720693201758,69.15425729950967,2.083066343115486
181,67.94,67.94,66.53,66.67,752925,65.57,64.79,65.15,,60.64135818798466,69.34373130619818,2.0382044614643795
182,66.78,67.475,64.36,64.37,897571,65.67,64.74,65.09,,60.64892641738711,69.50462479190833,2.1151184285026376
183,64.2,64.93,63.57,64.92,577412,65.88,64.72,65.06,,60.62078930057895,69.46332135025075,2.061181397895307
184,64.57,65.465,63.96,65.18,564385,66.07,64.7,65.03,,60.62565816173388,69.42470157193591,2.0214541551884997
185,65.5,65.89,64.36,64.42,717786,65.85,64.66,64.94,,60.63236667892851,69.32465714574934,1.98635028696075
186,65.07,66.69,65.035,66.41,1133162,65.84,64.78,64.88,,60.630673689368415,69.39748817565612,2.0066109807492674
187,66.23,67.08,65.37,67.04,1192973,66.01,64.99,64.83,,60.78210467479539,69.49263603991996,1.9854244821243192
188,67.02,67.15,64.69,65.75,324676,65.86,65.13,64.81,,61.1455268293029,69.5153572847093,2.0193227334011543
189,65.49,66.27,65.0,65.9,357618,65.63,65.32,64.85,,61.6143647647243,69.39917353576378,1.9657996810153575
190,66.44,66.98,65.55,66.29,453839,65.59,65.44,64.93,,61.905348737486506,69.34877418618241,1.9275282752285468
191,66.15,66.77,65.7,66.18,386114,65.79,65.53,64.97,,62.11414448798755,69.33454246281728,1.8662762555693644
192,66.4,67.115,66.28,66.74,488856,65.99,65.67,65.05,,62.292572991200245,69.3062301863056,1.7997565230286947
193,67.26,67.4204,65.87,66.0,574728,66.08,65.8,65.13,,62.516743883776556,69.27158405524422,1.781945342812359
194,66.0,66.49,64.66,64.82,390340,66.13,65.88,65.17,,62.79922342670949,69.08021095403862,1.7853778183257618
195,64.4,66.82,64.31,66.41,649888,66.13,66.03,65.22,,63.031713734796234,68.58602257297366,1.8371365455882067
196,66.44,66.7346,65.0,65.89,389712,66.0,66.01,65.27,,63.325041616223416,68.5919544450147,1.8298125066176207
197,65.31,65.69,64.87,65.01,216701,65.92,65.93,65.3,,63.32462895208928,68.61085994781632,1.7719687561449333
198,64.73,65.68,64.15,65.43,388724,65.86,65.93,65.32,,63.2366350781771,68.63206431363344,1.7546852735631526
199,65.88,68.04,65.88,66.52,597879,65.89,65.9,65.34,64.94,63.23349889611478,68.75149368433472,1.8157791825943561
200,66.75,67.21,65.76,67.19,353986,66.0,65.86,65.4,64.91,63.43274793961747,68.34210164407861,1.78965209812333
201,67.43,68.29,66.45,66.87,427055,66.02,65.87,65.43,64.86,63.443930287744834,68.42158972465366,1.7932483768288066
202,67.03,67.29,66.4,66.65,519203,66.09,65.98,65.47,64.8,63.47035061019135,68.39685478727723,1.7287306356267491
203,66.75,67.05,63.75,64.0,903052,66.0,65.93,65.41,64.74,63.51339778611724,68.28853430187345,1.8409641616534098
