,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,85.13,87.04,84.32,85.93,1616210,,,,,,,2.720000000000013
1,86.73,86.73,82.1,86.07,1107426,,,,,,,2.856428571428584
2,85.63,86.12,79.45,79.61,920018,,,,,,,3.128826530612257
3,80.48,81.03,77.41,80.67,1270725,,,,,,,3.163910349854239
4,78.74,78.81,73.69,74.21,972390,,,,,,,3.436488182007508
5,71.26,74.61,69.57,72.65,1005098,,,,,,,3.5510247404355435
6,66.69,68.7,62.61,63.0,1030511,,,,,,,4.014522973261577
7,66.63,66.97,59.68,63.5,1301859,,,,,,,4.248485618028607
8,61.62,62.84,56.9,57.24,1924520,73.65,,,,,,4.416450931026564
9,52.73,53.0,46.25,46.82,1877085,69.31,,,,,,4.8859901502389524
10,50.64,51.04,44.39,49.44,2270065,65.24,,,,,,5.011990853793312
11,36.0,43.08,35.97,36.1,2025318,60.4,,,,,,5.616134364236648
12,36.94,37.05,28.08,30.76,3644856,54.86,,,,,,5.855696195362601
13,28.8265,28.8265,21.0,22.6001,2274269,49.12,,,,,,6.134575038550987
14,22.29,27.21,20.51,25.38,3138423,43.87,,,,,,6.174962535797346
15,27.26,31.09,26.8,27.54,3511749,39.93,,,,,,6.141750926097536
16,26.53,32.17,26.52,31.01,1910180,36.32,,,,,,6.1066258599477115
17,33.91,42.41,32.81,42.0,2308696,34.63,,,,,,6.484724012808589
18,43.45,46.44,38.3,38.59,1959336,33.71,,,,,,6.602958011893691
19,40.0,42.79,36.41,37.35,1531787,32.37,52.52,,,6.102219610685594,98.44858557297644,6.5870324396155695
20,35.77,38.03,35.05,36.38,1581536,32.4,50.05,,,6.2552419382399265,94.15101901497827,6.329387265357315
21,36.58,36.58,32.8,34.21,1271378,32.78,47.45,,,6.647014747572399,89.21692717533617,6.14728817497465
22,33.8,35.52,32.1,33.63,1030128,34.01,45.15,,,7.44658416363918,83.55533255911864,5.952481876762176
23,31.74,32.15,30.12,31.04,1346793,34.64,42.67,,,8.668470411658387,78.35775284731618,5.778018885564878
24,31.01,31.59,26.56,28.29,1899621,34.72,40.38,,,9.889822178241332,72.73995115335264,5.724588965167387
25,28.41,28.68,25.635,26.49,1225171,34.22,38.07,,,11.402916232604248,67.3415475938863,5.533189753369717
26,28.98,32.79,28.73,31.02,2858210,33.0,36.47,,,13.01238301213828,62.44603587202959,5.5879619138433085
27,34.28,39.38,34.28,35.59,2216336,32.67,35.07,,,15.4371069411885,57.13557687510966,5.785964634283072
28,36.0,41.77,35.9,40.79,1574907,33.05,34.25,,,18.36066890682642,52.289375507551526,5.814110017548567
29,44.78,46.3,37.12,38.53,2012068,33.29,33.84,,,19.40630487055546,50.729918654515394,6.0545307305808125
30,36.87,37.5,33.79,35.81,2193977,33.47,33.16,,,20.441374101408794,48.39436515907481,5.96063567839647
31,37.22,37.6401,34.01,36.4,1758176,33.77,33.17,,,20.50661165719375,47.735651699769846,5.794168844225293
32,34.26,34.77,32.6801,34.45,1389203,34.15,33.36,,,20.789417548030723,47.63544066749368,5.646006783923487
33,34.45,34.45,32.5145,32.99,1139020,34.67,33.87,,,22.512229347222082,47.421749217429806,5.380970585071809
