,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,16.97,17.2,16.47,17.08,17701396,,,,,,,0.7300000000000004
1,17.29,18.15,17.18,18.15,12553839,,,,,,,0.7542857142857147
2,18.12,18.65,17.68,17.88,9829593,,,,,,,0.7696938775510207
3,18.23,18.58,17.98,18.24,11821463,,,,,,,0.7647157434402335
4,18.02,18.08,17.65,17.7,8229958,,,,,,,0.7522360474802169
5,17.23,17.355,16.65,17.09,17526545,,,,,,,0.7735049012316301
6,16.03,16.23,15.43,15.59,24280712,,,,,,,0.8368259797150851
7,16.15,16.26,15.11,15.41,13205939,,,,,,,0.8591955525925792
8,15.09,15.16,14.2927,14.37,17057098,16.83,,,,,,0.8776315845502521
9,12.6103,12.65,11.29,11.56,18780069,16.22,,,,,,1.0349436142252342
10,12.92,13.17,11.0,12.08,15706512,15.55,,,,,,1.1160190703520032
11,11.4,13.4342,11.06,11.81,23476840,14.87,,,,,,1.2058891367554316
12,12.12,12.2899,11.2,11.81,45294000,14.16,,,,,,1.197604198415758
13,11.19,11.35,6.25,9.85,29131910,13.29,,,,,,1.5092038985289182
14,9.5,10.15,8.12,9.37,15921817,12.43,,,,,,1.546403620062567
15,9.55,10.58,9.5,9.83,18036604,11.79,,,,,,1.5223747900580982
16,9.85,10.81,9.15,10.44,24154623,11.24,,,,,,1.5322051621968056
17,10.97,12.32,10.46,11.11,22923321,10.87,,,,,,1.5570476506113196
18,11.62,13.83,11.44,12.49,22372844,10.98,,,,,,1.640115675567654
19,13.1,14.44,12.71,13.43,17124054,11.13,13.76,,,5.88578412981875,20.26884715719733,1.6622502701699644
20,12.91,13.5934,12.65,13.16,12841839,11.28,13.57,,,5.880007400965477,19.96099165283129,1.6109038223006813
21,12.85,12.86,11.59,11.68,15841748,11.26,13.24,,,5.891427815594474,19.435554438120967,1.6079821207077756
22,11.7,11.7,10.11,10.57,16793831,11.34,12.88,,,5.887533969618156,18.731550236332065,1.6066976835143632
23,10.09,10.28,9.38,9.51,14837368,11.36,12.44,,,5.971163817240594,17.99245073235217,1.5769335632633372
24,9.6,10.13,9.51,9.795,21869734,11.35,12.05,,,6.20146009160395,17.230338952907907,1.5085811658873847
25,9.73,9.92,8.82,9.5,18165328,11.25,11.67,,,6.346046773115327,16.519974520456287,1.4793967968954287
26,10.46,10.5,9.81,10.37,12780653,11.17,11.41,,,6.555080375034002,15.93270370323846,1.4451541685457552
27,11.19,11.4158,10.475,10.51,15267378,10.95,11.16,,,6.8925004416707605,15.185607798151096,1.4166288707924872
28,11.14,11.5401,10.8,11.28,15557195,10.71,11.01,,,7.2058082104264205,14.643155957294528,1.389019665735881
29,12.2,12.75,11.64,12.22,24204711,10.6,11.04,,,7.194790244933424,14.65454604841469,1.3948039753261754
30,12.24,12.53,11.86,12.18,10103340,10.66,11.05,,,7.172554339747167,14.573401228122476,1.3430322628028772
31,12.36,12.47,11.61,11.8,22433145,10.8,11.05,,,7.16375544173545,14.438641308704938,1.3085299583169576
