,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,35.04,35.63,33.56,34.32,193600,,,,,,,2.0700000000000003
1,34.99,35.23,33.19,33.29,917355,,,,,,,2.067857142857143
2,32.66,33.5,30.95,31.27,406491,,,,,,,2.1022959183673473
3,30.32,31.49,30.32,31.12,219063,,,,,,,2.0357033527696795
4,28.83,29.865,27.98,28.16,559564,,,,,,,2.1145816847147025
5,29.1,30.16,28.06,30.16,394421,,,,,,,2.1135401358065096
6,29.39,30.2,28.71,29.12,239564,,,,,,,2.069001554677473
7,27.29,28.51,26.29,26.29,400409,,,,,,,2.123358586486225
8,27.75,29.272,25.36,29.18,611018,30.32,,,,,,2.251118687451495
9,27.8,27.8,24.91,25.04,393524,29.29,,,,,,2.395324495490674
10,24.6,29.8,23.81,29.63,1027148,28.89,,,,,,2.6520870315270546
11,27.93,30.63,27.53,29.27,409301,28.66,,,,,,2.6840808149894078
12,29.14,32.4407,27.73,27.83,558399,28.3,,,,,,2.8288393282044497
13,28.17,28.3716,25.43,25.66,539642,28.02,,,,,,2.8368936619041323
14,26.22,27.1,24.76,25.1,248973,27.46,,,,,,2.8014012574824085
15,26.6,27.31,24.7,25.19,350218,27.02,,,,,,2.787729739090808
16,25.1,26.34,24.26,24.36,381948,26.81,,,,,,2.7371776148700357
17,24.81,26.45,24.31,25.59,624972,26.41,,,,,,2.6945220709507476
18,25.17,26.13,24.4,24.89,426198,26.39,,,,,,2.6256276373114087
19,25.15,25.41,24.64,24.84,424200,25.86,28.02,,,21.039043307725766,35.465636371292625,2.4930828060748795
20,24.73,27.216,24.68,26.45,579486,25.55,27.62,,,21.358562238403735,34.39099459038288,2.496148319926674
21,25.93,26.93,23.14,23.56,321793,25.07,27.14,,,21.64858089961178,33.20938496243129,2.5885662970747685
22,23.57,24.58,23.04,23.43,604402,24.82,26.74,,,21.683379174729627,32.54039376282884,2.513668704426571
23,23.44,24.1518,23.22,23.49,308991,24.64,26.36,,,21.821393759016,32.27996118170569,2.400678082681816
24,24.64,25.65,24.38,25.23,659591,24.65,26.22,,,21.845441695889978,32.08357607895405,2.3834867910616864
25,26.08,26.7,25.61,25.68,344583,24.8,25.99,,,22.003039257702575,31.775890495363008,2.31823773455728
26,25.97,27.44,25.45,26.97,172131,24.95,25.88,,,22.36216689753748,31.449546444519523,2.2947921820889032
27,27.32,28.405,26.945,28.25,188553,25.32,25.98,,,22.302577492474637,31.43855235235216,2.2351641690825534
28,28.08,28.31,27.57,28.17,125143,25.69,25.93,,,22.15926622880466,31.319065506887917,2.1283667284337997
29,28.72,29.375,28.2,28.78,276694,25.95,26.12,,,21.993188067537645,31.496203388313166,2.0624119621170998
30,28.0,28.515,27.62,28.28,290896,26.48,26.05,,,22.077688780305067,31.31341888981937,1.9979539648230213
31,28.42,29.31,28.17,29.0,570032,27.09,26.04,,,22.0110886798739,31.057350873766698,1.936671538764234
32,29.24,30.73,29.09,30.49,1076218,27.87,26.17,,,21.838202778184225,30.530950312816884,1.9219092859953602
33,30.05,31.03,29.87,30.81,756722,28.49,26.43,,,21.56560189125599,31.04945912867303,1.867487194138549
34,30.26,30.3,28.78,29.81,631973,28.95,26.66,,,21.573352090727518,31.43344647592282,1.879095251700081
