,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,68.52,69.95,67.51,67.51,481749,,,,,,,2.4399999999999977
1,66.19,67.915,65.4,66.66,994892,,,,,,,2.445357142857141
2,66.63,67.43,64.87,67.41,916418,,,,,,,2.453545918367345
3,67.53,68.64,65.64,66.43,907414,,,,,,,2.4925783527696774
4,66.91,67.3,65.47,67.22,394164,,,,,,,2.4452513275718433
5,64.44,65.08,62.75,63.19,627626,,,,,,,2.589876232745283
6,62.17,63.22,61.73,62.64,1148847,,,,,,,2.511313644692049
7,58.58,59.93,57.54,57.71,767570,,,,,,,2.6962198129283315
8,60.68,62.68,59.39,62.68,664968,64.61,,,,,,2.858632683433451
9,62.22,63.24,59.92,61.07,945023,63.89,,,,,,2.891587491759633
10,55.43,56.04,52.79,53.58,1079251,62.44,,,,,,3.276474099491088
11,59.31,59.31,53.74,56.73,767743,61.25,,,,,,3.4517259495274395
12,47.52,50.05,46.31,47.35,1381708,59.13,,,,,,3.949459810275479
13,46.76,48.875,45.92,48.03,1207621,57.0,,,,,,3.8784269666843736
14,45.63,45.63,40.87,41.8,734625,54.62,,,,,,4.112825040492633
15,38.17,42.855,38.16,41.93,1195083,52.32,,,,,,4.154408966171731
16,43.47,44.36,39.34,40.18,1240080,50.37,,,,,,4.216236897159464
17,40.07,42.0,38.675,40.42,897844,47.9,,,,,,4.152577118790932
18,44.55,47.33,44.16,45.95,1328948,46.22,,,,,,4.349535896020151
19,47.58,50.23,44.88,48.81,959497,45.69,55.36,,,32.78488679429613,76.5416594202554,4.420997617732997
20,49.17,50.42,48.77,49.84,693304,44.92,54.48,,,32.78223448559104,74.79477311722542,4.223069216466355
21,47.3,48.21,46.08,47.05,465674,44.89,53.5,,,32.520253546437544,73.26185438830858,4.189992843861615
22,46.99,47.3,46.08,46.72,754695,44.74,52.47,,,32.43766680052468,71.60600123663568,3.9778504978715
23,47.02,48.28,45.93,46.26,760403,45.24,51.46,,,32.69985153237606,69.35879125459671,3.8615754623092506
24,44.71,45.88,42.81,43.36,560435,45.4,50.26,,,32.946234902389975,67.13385381131387,3.8321772150014466
25,42.2,43.8,40.97,42.06,781401,45.61,49.21,,,32.939444230840266,65.17447591618806,3.760593128215629
26,42.05,42.43,39.83,40.48,858554,45.61,48.1,,,33.02331125190567,63.3865918348231,3.67769361905737
27,43.82,47.85,43.615,47.54,1278143,45.79,47.59,,,33.29308128746027,61.95314649983457,3.941429789124701
28,51.14,52.32,49.21,49.83,1172130,45.9,46.95,,,34.348922686033035,59.88387195195784,4.001327661330079
29,51.47,54.5,51.14,54.3,795504,46.4,46.61,,,35.80194518565546,57.581975903505295,4.049089971235074
30,55.65,58.06,54.93,57.64,845565,47.58,46.81,,,35.4839876230501,58.07303970551354,4.028440687575427
31,57.54,57.54,54.63,56.07,706524,48.62,46.78,,,35.35241544643799,57.58832437245445,3.9556949241771817
32,55.78,56.61,54.83,55.61,1314139,49.65,47.19,,,34.858756364634196,58.607019248877506,3.8002881438788116
33,53.25,54.26,52.2,54.16,503784,50.85,47.5,,,34.764534069876554,59.18226796569534,3.772410419316039
34,53.11,53.26,51.71,52.44,496891,52.01,48.03,,,35.27294276457658,59.60483230403683,3.677952532222036
35,55.35,56.47,55.13,56.29,446915,53.76,48.75,,,36.178351269530935,60.27082692626749,3.703098779920462
36,53.67,56.44,53.16,55.47,858764,54.65,49.52,,,37.227810930499146,60.88540204488476,3.672877438497572
37,54.43,55.76,54.1,54.49,634203,55.16,50.22,,,38.60287504927515,60.95302883554705,3.5291004786048883
38,54.96,55.35,53.875,54.78,305739,55.22,50.66,,,39.07520009196013,61.3173975881567,3.3823790158473965
39,54.65,57.18,54.645,56.6,1104099,55.1,51.05,,,39.497761549419856,61.933717749880564,3.3218519432868683
40,60.53,61.4,58.805,60.75,1025054,55.62,51.6,,,39.22911279454641,63.28193366975354,3.427433947337806
41,60.84,62.71,60.52,62.44,950030,56.38,52.36,,,39.21155885541295,64.68890082072784,3.3390458082422483
42,61.65,62.42,58.63,58.8,1385123,56.9,52.97,,,39.5853263452438,65.75341841284505,3.3726853933678016
43,60.89,62.54,60.72,61.94,787736,57.95,53.75,,,39.95989256374161,66.70347488136437,3.3989221509843874
44,61.16,61.16,59.21,60.02,401021,58.37,54.59,,,41.25830061751954,66.99694871712265,3.3511419973426455
45,58.46,59.605,56.94,58.12,404178,58.66,55.39,,,43.42485367640823,66.45485093727896,3.3317747118181713
46,56.95,57.9,56.09,56.27,752850,58.86,56.18,,,46.57069794994541,64.79221997688805,3.238790803831159
47,57.3,58.71,57.155,57.37,562231,59.15,56.67,,,49.08839006678118,63.965439179080384,3.1817343178432185
48,58.76,59.28,57.51,58.3,495532,59.33,57.09,,,50.156157438548206,63.80467638675119,3.0908961522829888
49,58.85,59.56,57.81,58.02,350463,59.03,57.28,54.41,,50.8732109059859,63.839583773476754,2.9951178556913467
50,59.76,61.79,59.76,61.14,406034,58.89,57.45,54.28,,50.907143631102215,64.23804902287591,3.0504665802848216
51,60.29,60.83,59.56,60.51,388798,59.08,57.68,54.16,,51.0407979095345,64.47514403990115,2.94543325312162
52,61.04,61.44,58.82,58.835,273552,58.73,57.84,53.98,,51.22416797356956,64.7589069814335,2.9221880207557898
53,57.83,57.89,54.31,55.6,691697,58.24,57.91,53.77,,51.62455693176135,64.5461836608238,3.036674590701805
54,53.92,57.57,52.93,57.48,475691,58.17,58.16,53.57,,51.915139856151825,64.09317073901987,3.1511978342231046
55,56.72,58.29,56.1,57.86,462854,58.35,58.24,53.47,,52.020084362174906,64.02435953327988,3.0825408460643113
56,60.32,62.7,60.23,62.27,343311,58.89,58.58,53.46,,52.5286890696928,64.34368426110969,3.208073642774004
57,62.32,64.47,62.2,63.44,546247,59.46,59.03,53.57,,52.74040795549696,64.85484834133092,3.1410683825758605
58,63.96,65.0,63.78,64.02,253007,60.13,59.49,53.6,,52.919826242285225,65.24773828147968,3.028134926677585
59,64.14,64.96,63.37,63.93,238463,60.44,59.86,53.66,,53.18654242106332,65.72556177652862,2.9254110033434717
60,64.14,64.14,62.81,63.87,225833,60.81,60.01,53.86,,53.0923167083468,66.06503251127285,2.8114530745332234
61,66.64,67.28,65.85,66.08,484469,61.62,60.19,54.05,,52.61199391318266,66.97647017627955,2.8542064263522793
62,68.07,68.77,66.5929,66.92,596966,62.87,60.6,54.44,,52.23438204519191,68.19122522738573,2.842477395898545
63,66.14,66.18,63.54,64.12,472406,63.61,60.71,54.76,,52.17842156136448,68.67013182581643,2.880871867620078
64,62.91,64.0,61.72,63.56,484795,64.25,60.89,55.2,,52.256904986781336,68.86759055604132,2.846523877075787
65,64.63,65.57,64.24,65.13,333277,64.56,61.24,55.66,,52.510726332390796,69.2424398754173,2.786772171570373
66,66.67,67.68,66.52,67.22,406080,64.98,61.78,56.2,,52.80059173729775,69.79918579882116,2.7698598736010616
67,69.75,70.77,69.36,69.89,507604,65.64,62.41,56.79,,52.724653772876195,70.97182223020386,2.825584168343843
68,68.83,69.425,68.065,68.56,463556,66.15,62.92,57.25,,52.955352093369186,71.67157584085572,2.7541138706049972
69,70.86,71.56,69.26,69.9,543538,66.82,63.52,57.67,,53.1650321810412,72.69773230709927,2.7716771655617833
70,70.76,71.23,69.51,70.78,663436,67.34,64.0,58.09,,53.23309149174956,73.58620425215004,2.696557368021656
71,68.5,69.48,67.64,67.67,671110,67.43,64.36,58.5,,53.55686789223867,74.00832035185567,2.728231841734395
72,66.85,68.05,66.02,66.51,388417,67.69,64.74,58.89,,54.08914667786416,74.20153151166484,2.678358138753367
73,64.24,64.815,61.065,61.17,468602,67.43,65.02,59.19,,55.389908033492574,73.71845268650493,2.8759754145566983
74,64.48,64.68,62.7,62.7,92101,67.16,65.28,59.58,,57.58504712040088,72.98471369747465,2.921262884945506
75,61.28,64.62,60.6,63.85,358985,66.78,65.58,60.01,,58.729237369116525,72.14751143562599,2.9997441074493985
76,65.87,66.11,63.72,64.14,351806,66.14,65.67,60.49,,59.26403606576892,71.98050961065722,2.9561909569172986
77,65.38,65.57,63.54,63.95,307714,65.63,65.7,60.82,,59.436188093122546,71.94525847458608,2.890034459994634
78,63.29,64.37,62.46,62.87,373667,64.85,65.64,61.08,,59.27884884028229,71.9748316853329,2.820031998566446
79,64.2,64.92,62.63,63.1,515731,64.0,65.6,61.25,,59.18941201919024,71.97622796879155,2.7821725700974147
80,64.33,64.68,63.18,63.46,555342,63.53,65.58,61.37,,59.234011563117605,71.94475551779182,2.6963031008047427
81,66.71,66.74,65.16,65.35,543060,63.4,65.54,61.56,,59.21518396592082,71.91694125108563,2.7379957364615466
82,65.24,65.5,62.655,62.87,469114,63.59,65.34,61.7,,58.99581768363243,71.71778721883095,2.7456388981428645
83,63.11,64.0,62.25,63.69,636544,63.7,65.32,61.89,,58.84820722930018,71.76063035279962,2.674521833989803
84,64.21,64.63,62.43,62.56,572504,63.55,65.27,62.09,,58.95038529708175,71.72926404931813,2.6406274172762454
85,63.54,64.55,62.825,64.02,290000,63.54,65.21,62.25,,58.82334457618175,71.74784839827232,2.594154030327942
86,63.53,64.77,63.12,64.45,405014,63.6,65.07,62.43,,58.69396447690298,71.64693439501295,2.5267144567330893
87,63.58,64.17,62.18,62.61,684931,63.57,64.71,62.59,,58.75789353835093,71.00606480475864,2.5083777098235833
88,64.47,65.63,63.8,65.28,534631,63.81,64.55,62.8,,58.89351342572903,70.57294994724418,2.5449221591218985
89,65.95,66.905,65.535,66.48,365614,64.15,64.38,63.0,,59.32543633122495,69.55532862710102,2.479213433470334
90,65.76,65.92,64.48,64.55,279625,64.06,64.06,63.07,,60.02875293303267,68.29031389343241,2.4449839025081674
91,64.85,65.41,63.35,64.25,295305,64.21,63.89,63.11,,60.46781879805452,67.36528149468685,2.4174850523290123
92,64.89,64.92,62.82,63.32,481265,64.17,63.73,63.2,,60.6561850619937,66.75638043922419,2.394807548591226
93,65.24,65.58,64.2,65.54,527007,64.5,63.95,63.27,,60.9479798214629,66.7979138702441,2.385178437977567
94,66.58,67.07,65.12,65.32,378733,64.64,64.08,63.38,,60.921546246478535,67.10353148383915,2.3540942638363114
95,65.67,66.95,65.41,66.65,542299,64.89,64.22,63.55,,61.34698696571095,67.33194486729981,2.302373244990861
96,67.59,68.08,66.19,67.73,653804,65.46,64.4,63.78,,61.17123976844725,67.75548343016638,2.2729180132058
97,66.99,69.04,66.96,68.14,753927,65.78,64.61,63.99,,60.94217901731208,68.42835426345101,2.2591381551196723
98,65.76,66.48,63.71,64.5,1131584,65.56,64.69,64.12,,61.076830134511184,68.48149148846977,2.4141997154682673
99,64.56,65.95,64.38,65.72,438187,65.69,64.82,64.27,,61.2222073674184,68.50146236562473,2.353899735791963
100,66.44,66.99,65.73,66.09,372700,65.89,64.96,64.37,,61.27245953435298,68.60382188514417,2.276478326092537
101,65.93,67.53,65.93,67.5,421450,66.35,65.06,64.51,,61.2316349134673,68.71487498498537,2.2281584456573555
102,68.0,69.36,67.62,68.81,467767,66.72,65.36,64.71,,61.18706216807349,69.28080453395728,2.2018614138246875
103,68.14,69.09,68.105,68.46,227963,67.07,65.6,64.97,,61.247028441149475,69.61115985047982,2.1149427414086386
104,68.68,70.175,68.67,70.12,223534,67.45,65.98,65.22,,61.30216212605457,70.17557060987663,2.0863754027365933
105,69.26,69.6,68.75,69.03,870699,67.6,66.23,65.44,,61.39119680830947,70.49534443987875,2.0352057311125513
106,68.46,69.03,68.085,68.92,858482,67.68,66.45,65.58,,61.5928626688825,70.66016517965214,1.9573338931759412
107,66.79,67.87,66.56,66.96,991964,67.96,66.67,65.65,,62.12492209618815,70.5477895746519,1.9860957579490883
108,66.83,66.93,64.37,65.03,853355,67.88,66.66,65.67,,62.209803702504146,70.51350810391526,2.0292317752384386
109,66.3,67.34,66.09,67.13,593096,68.0,66.69,65.73,,62.23755777201931,70.52532560696551,2.049286648435693
110,67.05,67.87,66.935,67.82,678222,68.03,66.85,65.81,,62.38637819114843,70.53854171502144,1.969694744976001
111,67.99,69.06,67.915,68.91,520038,68.04,67.09,65.87,,62.73281301551999,70.61065061368932,1.91757369176343
112,68.02,68.44,67.545,68.27,463460,68.02,67.33,65.89,,63.30709013346988,70.47080405571342,1.8781041423517562
113,67.13,67.67,66.49,67.44,515628,67.72,67.43,65.96,,63.60153947900935,70.33071448854155,1.8710967036123451
114,67.94,69.74,67.94,69.61,509850,67.79,67.64,66.08,,63.75651882552991,70.53910080708154,1.9017326533543204
115,72.11,73.05,70.59,70.91,1233174,68.01,67.85,66.2,,63.59598464915922,71.62642090234557,2.0116088924004405
116,73.01,73.225,71.93,72.32,661362,68.6,68.08,66.3,,63.22660628512605,72.52422012707558,2.0332796858004087
117,72.71,72.93,71.98,72.32,383926,69.41,68.29,66.35,,62.94852482138782,73.15962955506363,1.9559025653860942
118,72.62,72.8,71.61,71.88,464378,69.94,68.66,66.41,,63.344905559497725,73.64939638594934,1.9011952392870872
119,71.8,71.95,70.81,71.07,321432,70.3,68.93,66.44,,63.796257005651775,73.82392658160025,1.846824150766581
120,69.43,70.17,69.19,69.85,598615,70.41,69.12,66.42,,64.10576513934674,73.81879311063008,1.8491938542832536
121,68.9,69.54,68.66,69.31,235214,70.52,69.21,66.45,,64.39778843267419,73.7936567621558,1.8021085789773066
122,70.44,70.97,70.38,70.94,222378,70.91,69.32,66.54,,64.4739909596467,73.90224271086772,1.791957966193213
123,74.42,74.6,72.07,72.62,1157878,71.25,69.52,66.77,,64.40788430104053,74.67518967084344,1.9253895400365546
124,75.01,76.26,74.66,75.69,1317085,71.78,69.8,67.03,,63.99788211892979,75.74092357263585,2.0478617157482293
125,79.07,79.18,77.22,77.46,1385064,72.35,70.22,67.3,,63.281075604055566,77.48011561088836,2.150871593194785
126,78.3,79.4,78.3,79.06,854876,73.1,70.73,67.6,,62.721952089080816,78.93931359841743,2.1358093365380153
127,80.18,80.24,77.62,78.33,1123799,73.81,71.3,67.89,,62.739002914116625,80.31761952933869,2.1703943839281563
128,78.0,79.0,77.59,78.44,722384,74.63,71.97,68.2,,63.38790958685379,81.10240538752241,2.116080499361859
129,79.4,80.12,78.68,79.82,717730,75.74,72.6,68.53,,63.75498621596422,81.97395973396925,2.084931892264584
130,78.71,79.04,76.42,76.85,1466216,76.58,73.05,68.8,,64.34405640427491,82.49573691988519,2.178865328531399
131,78.54,79.25,76.43,77.84,604535,77.35,73.5,69.05,,64.86413590249595,83.0129426602746,2.2246606622077274
132,77.44,79.39,76.73,77.51,855697,77.89,73.96,69.34,,65.54510226410852,83.36123783264358,2.2557563291928897
133,78.11,78.74,78.0499,78.5,463045,78.2,74.52,69.64,,66.53909584508634,83.34335201046254,2.1824880199648256
134,80.73,80.82,77.67,77.81,770628,78.24,74.93,69.94,,67.39423116925855,83.75463546530929,2.251596018538766
135,77.5,78.32,77.06,78.27,617230,78.15,75.29,70.23,,67.84984185165142,83.9487771781454,2.180767731500282
136,77.98,79.37,77.82,79.0,847726,78.23,75.63,70.52,,68.1307299930568,84.23005116213373,2.135712893535977
137,79.17,79.23,77.84,77.86,305638,78.16,75.91,70.82,,68.45711076296509,84.4254933246358,2.082447686854836
138,77.72,77.72,75.42,75.73,537968,77.71,76.1,71.03,,68.8664353489254,84.42134911059988,2.107987137793776
139,75.45,75.45,74.32,74.72,499530,77.47,76.28,71.2,,69.38330295547469,84.22608975802314,2.05813091366565
140,75.29,75.54,72.78,73.12,542873,76.95,76.44,71.37,,70.1640113229383,83.6889546397203,2.1082644198323894
141,71.32,71.43,69.78,71.295,337765,76.26,76.54,71.51,,70.5037264376199,83.29447872987353,2.196245532701505
142,72.12,72.44,71.02,71.63,295074,75.49,76.58,71.68,,70.66754060873659,83.0232883120007,2.140799423222826
143,71.71,72.06,70.08,70.15,275351,74.64,76.45,71.77,,70.19896500566045,83.3255245526182,2.1293137501354815
144,69.42,70.3,68.77,69.36,332780,73.65,76.14,71.85,,69.09337599478448,83.8944817438358,2.0865056251258043
145,68.92,69.67,68.49,69.12,355834,72.55,75.72,71.9,,67.99824197014918,84.19581626084836,2.0217552233311045
146,71.71,72.62,71.61,72.09,202992,71.91,75.37,71.99,,67.67950356358568,83.99150175109092,2.1273441359503114
147,73.54,73.9,72.45,72.86,728965,71.59,75.1,72.08,,67.4918506203819,83.54972477411336,2.104676697668147
148,73.44,74.29,72.4,72.87,881692,71.39,74.82,72.25,,67.33903856468429,83.24049229350125,2.089342647834708
149,76.27,77.17,75.53,76.63,1216743,71.78,74.66,72.47,,67.47758401975187,82.85508955467603,2.247246744417943
150,75.97,78.11,75.87,77.58,1256268,72.48,74.7,72.7,,67.487728016733,82.73113772045994,2.2467291198166612
