,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,4.0,4.5,3.97,4.35,7149417,,,,,,,0.5299999999999998
1,4.45,4.5,4.015,4.43,6446364,,,,,,,0.5267857142857142
2,4.5,4.67,4.135,4.19,4855592,,,,,,,0.5273724489795918
3,4.3,4.42,4.15,4.24,3251525,,,,,,,0.5089887026239066
4,4.2,4.25,4.01,4.15,4314783,,,,,,,0.4897752238650562
5,3.99,4.19,3.775,4.18,7806886,,,,,3.873467858025372,4.598914139615272,0.48443413644612365
6,3.05,4.02,3.03,3.28,9292830,,,,,3.4277559594296827,4.575710822044806,0.5319745552714006
7,3.61,3.64,2.91,3.52,6933223,,,,,3.109686157857912,4.549868063718066,0.5461192298948719
8,3.38,3.71,3.1725,3.2,4973320,3.95,,,,2.9723599080811116,4.348263432979475,0.5455035706166668
9,2.97,3.14,2.68,2.985,8066138,3.8,,,,2.743854009883629,4.241785316440011,0.5436818870011906
10,3.29,3.29,2.63,3.16,8820085,3.66,,,,2.6152612564698563,4.070104924680016,0.5519903236439627
11,2.65,3.43,2.63,3.05,5869015,3.53,,,,2.6117226559887268,3.8557867419883167,0.5697053005265369
12,3.08,3.31,2.62,2.64,8401193,3.35,,,,2.549552821159589,3.6390890230020694,0.5782977790603557
13,2.57,2.85,1.98,1.985,12963668,3.11,,,,2.2396334282176533,3.5755556630130925,0.5991336519846161
14,2.02,2.38,1.69,2.19,19750326,2.89,,,,1.9454546693382646,3.4578017669410714,0.6056241054142864
15,2.28,2.7,2.19,2.33,12480359,2.78,,,,1.8884529915439554,3.4084798937992353,0.5987938121704088
16,2.29,2.58,2.19,2.4,7636336,2.66,,,,1.8510621444481008,3.289861422646168,0.5838799684439512
17,2.65,2.81,2.33,2.42,8426902,2.57,,,,1.8519180897569916,3.08557217261817,0.5764599706979546
18,2.5,2.77,2.214,2.26,12044058,2.49,,,,1.868960872893329,2.857327324375413,0.5749985442195293
19,2.26,2.44,2.25,2.3,7345915,2.4,3.16,,,1.9154917944580563,2.790157162798339,0.5474986482038486
20,2.26,2.33,2.07,2.22,3627714,2.31,3.06,,,2.1220416768441672,2.7956567596493835,0.5269630304750024
21,2.19,2.4,2.07,2.19,7241166,2.26,2.94,,,2.0848313008331636,2.754874960913074,0.5128942425839308
22,2.22,2.39,2.02,2.13,10307920,2.27,2.84,,,2.0359471658189086,2.733253953251124,0.5026875109707929
23,2.05,2.265,1.98,2.08,6868729,2.26,2.73,,,1.9928767475338185,2.6087881164457865,0.4871384030443077
24,2.16,2.64,2.15,2.27,9550251,2.25,2.64,,,1.9930464028516772,2.5386776396855124,0.49234280282685716
25,2.32,2.57,2.2,2.49,7462603,2.26,2.56,,,2.0003237710539215,2.5762967315344927,0.48360403119636736
26,2.47,2.79,2.42,2.44,6169878,2.26,2.51,,,1.9806262254949103,2.701739163837653,0.47548945753948396
27,2.52,2.75,2.42,2.47,14266811,2.29,2.46,,,2.0085527582823928,2.772968975760339,0.46509735342952085
28,2.57,2.7,2.46,2.51,9769775,2.31,2.43,,,2.0795816160597402,2.8094931405652526,0.44901897104169797
29,2.65,2.85,2.48,2.495,17822213,2.34,2.4,,,2.2127677954892113,2.818581663927466,0.44337475882443383
30,2.63,3.08,2.53,2.79,14780026,2.41,2.38,,,2.303718034761697,2.960762993649097,0.4534908474798314
31,2.83,2.93,2.73,2.75,12104307,2.48,2.37,,,2.3897621472216724,2.9881303731986613,0.4353843583741292
32,2.62,2.82,2.51,2.74,5666465,2.55,2.37,,,2.4125948248986604,2.99105146085214,0.42642833277597714
33,3.24,3.26,2.83,2.83,11542421,2.61,2.42,,,2.43755328799873,3.1410969915239932,0.43311202329197873
34,2.95,3.56,2.9101,3.5,9508284,2.72,2.48,,,2.4817141798677564,3.368195873283161,0.4543183073425517
35,3.36,4.27,3.22,4.15,13351520,2.92,2.57,,,2.523583055310906,3.8535541209661854,0.4968669996752265
36,3.98,4.45,3.94,4.35,10516556,3.12,2.67,,,2.5176404638035814,4.230958169291318,0.49780507112699607
37,4.66,4.88,4.44,4.745,9926967,3.37,2.79,,,2.5718442396695083,4.659098353340373,0.5001047089036392
38,4.7,4.97,4.6,4.9,8508285,3.64,2.92,,,2.880128891155155,4.925912060361621,0.49081151541052215
39,4.93,5.15,4.625,4.78,8152265,3.86,3.04,,,3.2166055647825313,5.132112365828135,0.49325355002405635
40,4.74,4.98,4.065,4.85,16722130,4.09,3.17,,,3.613836685386257,5.127406968863086,0.5233782964509095
41,4.8,4.89,4.5625,4.63,8567301,4.3,3.3,,,4.076184631635167,5.1214999408563795,0.5093869895615588
42,4.59,4.59,4.26,4.48,8363104,4.49,3.41,,,4.2033445124765025,5.094282391996615,0.4994307760214475
43,4.31,4.94,4.16,4.74,10948226,4.62,3.55,,,4.13227611700224,5.1039565166010545,0.5194714348770584
44,4.55,4.89,4.55,4.75,8075485,4.69,3.67,,,4.132212884860708,5.089167808215592,0.5066520466715542
45,4.65,5.075,4.54,4.71,9025091,4.73,3.78,,,4.134237894474212,5.0583134505726,0.5086769004807289
46,4.85,4.95,4.51,4.54,6586092,4.71,3.89,,,4.255914398295564,5.050610671407199,0.5037714075892483
47,4.19,4.345,3.96,4.095,9262370,4.62,3.97,,,4.086853953353147,5.072899658046801,0.5092163070471591
48,4.2,4.21,3.98,3.99,9162842,4.53,4.04,,,4.000443484334363,5.097104957160207,0.4892722851152192
49,4.06,4.21,3.88,4.18,6249799,4.46,4.12,3.38,,3.9097008172776815,5.0134291551893755,0.47789569332127496
50,4.1,4.22,4.02,4.14,3179998,4.4,4.19,3.38,,3.852873240145335,4.90259891364446,0.4580460009411839
51,4.24,4.26,4.11,4.12,4188664,4.36,4.26,3.37,,3.851396458546151,4.656598129460139,0.43604271515967075
52,4.03,4.13,3.66,3.72,6038465,4.25,4.31,3.36,,3.7806303138566597,4.299906801432327,0.43846823550540853
53,3.7,3.8,3.373,3.58,8747594,4.12,4.35,3.35,,3.562597610386357,4.309379136165978,0.43764907582645074
54,3.59,3.67,3.48,3.61,4135735,4.0,4.35,3.34,,3.4563637270427745,4.298086544857559,0.41995985612456144
55,3.79,4.19,3.78,3.995,8592578,3.94,4.35,3.33,,3.445433626599794,4.292285260377561,0.4313912949728071
56,4.04,4.12,3.87,4.03,7269147,3.93,4.33,3.35,,3.444046979462127,4.264588844732887,0.4184347739033209
57,4.09,4.42,4.08,4.38,12562577,3.97,4.31,3.37,,3.447813304115379,4.328696912660699,0.41640371862451225
58,4.38,4.53,4.135,4.3,5514699,3.99,4.28,3.39,,3.4766453182816366,4.45867804135106,0.41487488157990426
59,4.25,4.325,4.11,4.31,3513751,4.0,4.26,3.41,,3.6550325157410968,4.512422609175076,0.40059810432419685
60,4.46,4.58,4.34,4.52,4555140,4.05,4.24,3.44,,3.851956987157384,4.5444747411548345,0.39126966830103993
61,4.58,4.715,4.46,4.63,4125136,4.15,4.24,3.47,,3.958073455910718,4.6575859717077694,0.3815361205652513
