,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1.68,1.69,1.44,1.485,11431710,,,,,,,0.25
1,1.5,1.52,1.31,1.35,12786306,,,,,,,0.24714285714285714
2,1.4,1.43,1.27,1.285,8591601,,,,,,,0.24091836734693878
3,1.28,1.36,1.25,1.35,9840079,,,,,,,0.23156705539358602
4,1.26,1.49,1.21,1.39,20318424,,,,,,,0.2350265514369013
5,1.24,1.565,1.08,1.1,24083438,,,,,,,0.2528817977628369
6,1.24,1.26,0.95241,1.17,19361376,,,,,,,0.25678952649406284
7,1.17,1.2,1.0,1.04,11213084,,,,,,,0.2527331317444869
8,0.92,1.18,0.9101,1.08,14465844,1.25,,,,,,0.2539593366198807
9,1.14,1.5,0.92,1.27,26385832,1.23,,,,,,0.2772479554327464
10,1.05,1.57,1.03,1.195,24545166,1.21,,,,,,0.2960159586161217
11,1.2,1.34,1.1,1.235,14083840,1.2,,,,,,0.29201481871497015
12,1.19,1.32,1.0,1.035,13742510,1.17,,,,,,0.29401376023532944
13,1.08,1.08,0.7208,0.93,17636406,1.12,,,,,,0.29866992021852024
14,0.91,1.03,0.91,0.9481,12081681,1.1,,,,,,0.2859077830600545
15,0.95,0.9798,0.78,0.8065,8285605,1.06,,,,,,0.2797572271271934
16,0.93,0.9547,0.8564,0.9036,11367432,1.04,,,,,,0.2703602823323939
17,0.9801,1.07,0.871,0.9823,9117396,1.03,,,,,,0.2652631193086515
18,1.0,1.05,0.83,0.9092,9518930,0.99,,,,,,0.26203003935803354
19,0.88,0.9298,0.83,0.8301,10931691,0.95,1.11,,,0.6217522025147435,1.7466150645523781,0.2504421794038883
20,0.826,0.8493,0.638,0.7446,12358549,0.9,1.08,,,0.6017842869138308,1.6990182795657978,0.24764630944646773
21,0.8047,0.8047,0.69,0.7129,11087063,0.86,1.05,,,0.5858635216178388,1.680326450466324,0.23815014448600574
22,0.695,0.7549,0.66,0.6866,10583096,0.84,1.02,,,0.569253110639393,1.6720830812970924,0.22791799130843393
23,0.6877,0.875,0.674,0.6995,8917481,0.81,0.98,,,0.5640792631174026,1.6547816286084167,0.2259952776435458
24,0.72,0.7773,0.6701,0.7667,11840276,0.8,0.95,,,0.5632405482309435,1.6158392071378938,0.21750990066900683
25,0.763,0.974,0.763,0.9256,6906839,0.81,0.94,,,0.5645935113770023,1.5404992743402328,0.21704490776407778
26,1.02,1.13,0.9702,0.9893,9262406,0.81,0.93,,,0.5638499431705023,1.5266945606796742,0.21614170006664365
27,1.07,1.32,1.02,1.3084,11166018,0.85,0.95,,,0.5623061141156613,1.542973281185411,0.22432443577616912
28,1.37,1.67,1.28,1.47,19931733,0.92,0.97,,,0.5196867960058473,1.6368245265015067,0.2361584046492999
29,1.66,1.68,1.31,1.42,14626864,1.0,0.97,,,0.4846566758520005,1.6790753299264547,0.24571851860292132
30,1.46,1.48,1.18,1.265,13888599,1.06,0.98,,,0.4748828291491112,1.6604914010625107,0.24959576727414123
31,1.18,1.38,1.17,1.375,13356039,1.14,0.99,,,0.4697068798345604,1.6663411605053384,0.24676749818313115
32,1.43,1.44,1.24,1.24,7252015,1.2,1.0,,,0.455791016214965,1.6844409744650957,0.2434269625986218
33,1.3,1.4,1.23,1.37,12257443,1.26,1.02,,,0.4672152811459308,1.7144410686866607,0.2381821795558631
34,1.32,1.83,1.32,1.6901,24065706,1.35,1.05,,,0.45586918172988705,1.8305703789455534,0.25759773815901577
35,1.85,2.12,1.8,2.09,29557304,1.47,1.12,,,0.384706583452034,2.0052582611766496,0.26990504257622894
36,2.3,2.37,2.04,2.125,14960813,1.56,1.18,,,0.2929583885619981,2.2169075080284775,0.27419753953506976
37,2.15,2.27,2.0,2.175,12778081,1.64,1.24,,,0.24817543592940194,2.3670019635708512,0.2738977152825648
38,2.16,2.2826,2.085,2.25,10248209,1.73,1.31,,,0.22106400408483196,2.4981205148473524,0.2684478784766673
