,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,39.1,39.5808,37.2,38.38,311280,,,,,,,2.3808000000000007
1,38.2,39.54,38.1,39.05,253089,,,,,,,2.3136000000000005
2,39.03,39.8,37.61,38.21,152227,,,,,,,2.3047714285714287
3,38.88,39.76,38.13,38.97,138255,,,,,,,2.256573469387755
4,38.57,38.9,37.68,38.01,155711,,,,,,,2.1875325072886294
5,37.12,37.58,35.9,36.98,345294,,,,,,,2.1819944710537276
6,35.02,37.36,34.7,35.555,781478,,,,,,,2.2161377231213186
7,36.5,37.43,35.86,37.21,272798,,,,,,,2.1917707428983677
8,36.53,36.61,34.57,35.23,205095,37.51,,,,,,2.2237871184056273
9,33.45,34.16,30.02,30.41,457998,36.62,,,,,,2.437088038519511
10,31.6,31.99,28.94,30.43,707778,35.67,,,,,,2.4808674643395454
11,27.51,28.34,24.77,25.32,588490,34.24,,,,,,2.7079483597438636
12,25.72,27.26,24.15,26.92,965470,32.9,,,,,,2.736666334047874
13,25.38,27.2,23.165,24.49,497943,31.39,,,,,,2.829404453044454
14,24.63,27.6,24.63,27.21,624440,30.31,,,,,,2.849446992112708
15,27.39,28.5303,24.81,25.17,639096,29.15,,,,,,2.911650778390372
16,25.53,26.46,24.3,26.27,398031,27.94,,,,,,2.8579614370767743
17,28.02,30.39,26.98,28.75,496393,27.22,,,,,,2.9481070487141476
18,28.67,30.76,28.33,29.44,455075,27.11,,,,,,2.911099402377423
19,29.83,30.85,28.59,30.39,474594,27.11,32.12,,,19.615948380337723,43.55124763486106,2.8645923022076074
20,29.23,31.67,28.74,30.75,260208,27.71,31.74,,,19.55472501397511,42.763771191311356,2.86926428062135
21,30.71,33.09,30.38,32.83,301817,28.37,31.43,,,19.769476836400273,41.95551101263966,2.8578882605769684
22,32.58,33.8,32.26,33.58,224057,29.38,31.2,,,20.056518844657184,41.062812595381274,2.7637533848214706
23,32.47,33.34,31.59,32.29,454818,29.94,30.86,,,20.48719289861806,40.04811862631034,2.708485285905651
24,31.99,33.82,31.64,32.84,535572,30.79,30.6,,,20.96399616113556,39.184235986820866,2.6707363369123907
25,32.8,33.38,30.66,31.78,389079,31.41,30.34,,,21.28321680601902,38.51302183314573,2.674255169990077
26,32.88,34.45,32.17,34.17,323071,32.01,30.27,,,21.478995379407174,37.971412778822106,2.6739512292765006
27,35.0,37.19,34.215,36.76,461726,32.82,30.25,,,21.697476088815264,37.91388721372305,2.698668998613893
28,36.83,38.15,36.34,36.34,315694,33.48,30.31,,,21.44197684555915,38.279426798209464,2.6351926415700433
29,36.42,36.46,33.71,36.4,594552,34.11,30.61,,,21.323833289253272,38.65345882140887,2.6433931671721833
30,36.05,37.58,35.64,37.54,352874,34.63,30.96,,,21.109444980903213,39.41130779140668,2.593150798088456
31,38.0,38.92,36.98,38.1,696952,35.14,31.6,,,21.349056679173522,40.3361610015841,2.5464971696535663
32,37.07,37.945,36.17,36.84,912294,35.64,32.1,,,21.98080706058789,40.80964640661146,2.5024616575354544
33,37.14,37.82,36.32,36.98,908409,36.1,32.72,,,23.018424135266393,41.09532205333527,2.430857253425779
34,37.94,40.26,37.4076,39.8,1269372,36.99,33.35,,,23.830745698924368,41.72947387661543,2.4915103067525095
35,38.6,40.67,38.6,40.46,585888,37.69,34.12,,,24.703586942027222,42.35466447275851,2.4614024276987587
36,39.62,40.7642,39.261,40.0,656077,38.05,34.8,,,25.92535273820869,42.39958684767449,2.3929593971488474
37,40.68,40.69,39.62,39.87,771300,38.44,35.36,,,26.671985323598587,42.82420798817394,2.2984622973525015
38,39.99,40.08,38.75,38.75,1493652,38.7,35.82,,,27.39266534973806,43.02504100135809,2.22928641897018
39,39.09,39.615,38.24,38.24,1639965,38.78,36.22,,,28.25319183119401,43.01082991702089,2.16826596047231
40,38.52,39.11,37.63,38.66,2567110,38.84,36.61,,,29.274997925182284,42.90069889567507,2.119104106152859
