,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,24.94,25.04,24.39,24.92,4653645,,,,,,,0.6499999999999986
1,25.05,25.26,24.595,25.23,4382691,,,,,,,0.6510714285714275
2,25.16,25.6,24.52,24.9,3851056,,,,,,,0.6817091836734686
3,25.15,25.46,24.82,25.45,2233052,,,,,,,0.6787299562682209
4,24.85,24.925,23.73,24.02,3322506,,,,,,,0.7531063879633478
5,23.32,23.74,22.965,23.64,3374432,,,,,,,0.7746702173945372
6,24.57,24.57,21.02,21.03,4354174,,,,,,,0.9729080590092132
7,21.69,22.1,20.56,22.08,3627011,,,,,,,1.013414626222841
8,21.43,21.43,19.99,20.32,4025412,23.51,,,,,,1.0903135814926381
9,18.92,18.99,16.71,17.985,4726323,22.74,,,,,,1.2702911828145924
10,19.03,19.75,17.9,19.73,4056741,22.13,,,,,,1.311698955470693
11,17.39,17.77,14.51,15.56,4033481,21.09,,,,,,1.590863315794215
12,15.95,16.2,14.48,14.52,6263932,19.88,,,,,,1.6000873646660567
13,13.58,14.48,12.92,14.2,3867378,18.78,,,,,,1.600081124332767
14,13.9,17.12,13.84,16.3901,5256640,17.98,,,,,,1.7200753297375697
15,16.94,17.08,14.72,14.79,5377019,17.29,,,,14.59652019338328,25.46867225214472,1.7657842347563146
16,14.83,14.93,13.4036,13.67,3473887,16.35,,,,13.866637798569235,25.009625043964107,1.7486853608451491
17,14.17,15.44,13.72,14.74,5386553,15.73,,,,13.314070786297453,24.38348546855552,1.7502078350704955
18,14.99,17.35,14.82,16.52,5116082,15.57,,,,13.02134787967756,23.593907807670583,1.8116215611368887
19,16.93,18.66,16.69,17.47,4696212,15.32,19.36,,,13.058428419826804,22.777085520174747,1.8350771639128252
20,16.69,18.21,16.48,17.7,3057853,15.56,19.0,,,13.13568961875588,21.936742704877133,1.8275716522047665
21,17.69,18.1,16.78,18.07,2292809,15.95,18.64,,,13.310396568319849,21.22493083920429,1.7913165341901405
