,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,19.345,21.13,19.13,21.05,3119919,,,,,,,2.0
1,21.26,21.74,20.61,20.84,3521195,,,,,,,1.937857142857143
2,21.17,21.75,20.82,21.66,3243503,,,,,,,1.8658673469387757
3,21.0,23.05,20.61,23.02,3049197,,,,,,,1.9068768221574346
4,23.5,24.75,23.2,23.93,5744423,,,,,,,1.8942427634319037
5,22.77,23.92,22.6,23.18,3981905,,,,,,,1.8539397089010534
6,23.77,23.97,21.74,23.66,3490797,,,,,,,1.880801158265264
7,23.14,23.19,21.58,21.81,1718219,,,,,,,1.8950296469606025
8,20.49,22.9,20.3,22.45,3312017,22.4,,,,,,1.9453846721777022
9,23.12,23.92,21.75,23.8,3410327,22.71,,,,,,1.9614286241650092
10,21.8,24.63,21.5,23.3,3941079,22.98,,,,,,2.044898008153223
11,24.22,27.1,23.59,26.99,3662259,23.57,,,,,,2.1702624361422784
12,26.42,30.21,26.03,30.13,4238942,24.36,,,,,,2.313815119274973
13,30.6,31.19,24.761,26.19,5768246,24.61,,,,,,2.607756896469618
14,26.21,26.49,23.68,24.71,4686903,24.78,,,,,,2.6222028324360735
15,24.22,24.8367,23.51,24.01,2071038,24.82,,,,,,2.529666915833497
16,24.6,25.02,22.21,22.93,3940891,24.95,,,,,,2.5496907075596758
17,22.7,23.9,21.54,23.21,3740770,25.03,,,,,,2.5361413713054133
18,23.47,24.78,22.79,24.66,2231698,25.13,,,,,,2.497131273355027
19,24.4,25.64,23.899,24.62,2016367,25.27,23.81,,,18.951857231719746,29.80079444812125,2.4431218966868107
20,25.29,25.8,24.73,25.63,1926996,25.12,24.04,,,19.414169428321348,29.7652205101367,2.352898904066324
21,25.43,26.11,25.0,25.47,1368281,24.6,24.27,,,19.59795152131178,29.76454473222183,2.2641204109187294
22,25.0,26.16,24.5,25.05,2343443,24.48,24.44,,,19.83675429777353,29.71233811965253,2.220968952995963
23,24.84,26.45,24.72,26.37,1807157,24.66,24.6,,,20.15844553211666,29.762879776454135,2.1858997420676802
24,25.86,26.68,25.63,26.0,1762138,24.88,24.71,,,20.087604730854686,29.870780508541,2.104764046205703
25,26.4,27.24,25.99,26.65,2048683,25.3,24.88,,,20.06167213321428,30.01225829130699,2.0437094714767245
26,26.7,27.43,25.995,26.8,2191178,25.69,25.04,,,20.19944432404412,30.150904922126898,2.000230223514101
27,26.76,27.01,25.7962,26.01,1942065,25.84,25.25,,,20.436467356866853,30.148408795000638,1.9440566361202372
28,25.49,25.875,25.03,25.11,2808958,25.9,25.38,,,21.086000651005254,29.991997731342217,1.8751954478259347
29,25.25,25.48,24.8,25.09,1888533,25.84,25.45,,,21.44211869997843,29.91800308320551,1.7898243444097965
30,25.63,26.13,25.2925,26.07,1430514,25.91,25.58,,,21.92289633091235,29.896570430732275,1.7362654626662397
31,25.73,26.28,25.18,25.27,1186943,25.93,25.5,,,22.019432135248024,29.843742583628146,1.6908179296186514
32,25.11,26.47,24.825,26.38,1776124,25.93,25.31,,,22.051273509115,29.15879938333112,1.6875452203601764
33,26.51,27.16,26.16,27.0,1898945,26.04,25.35,,,22.011366498577303,27.872660724358855,1.6384348474773067
34,27.15,27.39,26.29,26.33,1443665,26.01,25.43,,,22.06637670371014,28.005868738841087,1.5999752155146423
35,26.23,26.65,25.77,25.85,1268246,25.9,25.52,,,22.19952921913531,28.01624386059568,1.5485484144064534
36,26.14,26.47,25.6,26.04,972811,25.9,25.68,,,22.654837100521274,28.008050691224717,1.500080670520278
37,25.78,26.925,25.67,26.48,1509559,26.06,25.84,,,23.50209849224536,27.785844237786844,1.4825749083402582
38,26.67,27.015,26.22,26.85,1324699,26.25,25.95,,,24.04219596194435,27.68915282306117,1.4334624148873827
39,27.29,27.83,26.9,27.53,1521161,26.41,26.1,,,24.20696463252546,27.860792770419668,1.4010722423954267
40,27.71,28.22,26.36,26.48,1395205,26.55,26.14,,,24.2886457457194,28.10825019840885,1.4338527965100392
41,26.57,26.91,25.8,26.02,2830920,26.51,26.17,,,24.355718293363072,28.11580798469278,1.4107204539021792
42,26.25,26.58,25.66,26.31,2602750,26.43,26.23,,,24.5295902571427,28.10789229614964,1.3756689929091663
43,25.92,26.515,25.5,26.16,2171174,26.41,26.22,,,24.656380351816317,28.107670858395664,1.3499069219870832
44,26.06,27.1,25.86,26.76,1355081,26.51,26.26,,,24.667162936259267,28.13320461497755,1.3420564275594347
