,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,73.66,73.96,71.23,72.21,736802,,,,,,,2.7299999999999898
1,72.64,76.45,72.37,76.45,364560,,,,,,,2.8378571428571338
2,76.2,78.365,75.79,76.31,410199,,,,,,,2.819081632653052
3,77.33,81.43,77.33,80.96,349684,,,,,,,2.9834329446064056
4,79.32,80.2,77.91,79.3,285644,,,,,,,2.9881877342773766
5,76.99,81.01,76.05,80.62,514246,,,,,,,3.129031467543279
6,75.23,77.33,73.28,74.49,445287,,,,,,,3.429814934147331
7,75.82,77.125,71.99,75.94,339315,,,,,,,3.551613867422522
8,73.93,74.45,68.62,70.28,452647,76.28,,,,,,3.82078430546377
9,65.7,67.53,60.46,62.11,632627,75.16,,,,,,4.249299712216358
10,66.17,66.47,60.6,65.89,531042,73.99,,,,,,4.365064018486618
11,55.35,59.85,53.86,54.07,535118,71.52,,,,,,4.912559445737574
12,55.12,60.09,54.2,59.89,667735,69.18,,,,,,4.9916623424706055
13,57.13,57.82,50.6,50.92,563952,66.02,,,,,,5.298686460865562
14,51.32,53.15,48.07,51.39,789220,62.78,,,,,,5.2830659993751645
15,52.03,56.32,50.885,51.74,1134712,60.25,,,,,,5.293918427991224
16,51.46,54.0,48.68,51.13,649259,57.49,,,,,,5.295781397420423
17,53.78,57.02,51.165,56.66,423551,55.98,,,,,,5.338225583318963
18,56.39,61.26,53.92,58.6,496434,55.59,,,,,,5.481209470224751
19,58.91,64.15,58.815,63.23,380052,55.29,65.61,,,40.9015535834088,87.86463115377074,5.486123079494412
20,60.95,66.18,60.04,63.09,374113,56.29,65.15,,,40.68082908305493,87.28062334294043,5.532828573816241
21,63.72,68.32,63.3,68.18,384242,57.22,64.74,,,40.75022752496622,86.42949016323546,5.511197961400795
22,67.06,67.71,63.13,64.0,466686,58.67,64.12,,,41.156682089685305,85.16314240997016,5.478255249872166
23,61.52,62.34,57.47,58.38,377525,59.45,63.0,,,41.629610232748476,82.9114975598904,5.553379874881298
24,58.87,61.77,58.09,61.03,277647,60.48,62.08,,,42.62457660099794,80.62863427715901,5.41956702667549
25,60.16,61.24,57.83,58.3,367375,61.27,60.97,,,43.74880634228462,77.71509264914205,5.276026524770098
26,61.14,65.86,60.82,65.31,253904,62.24,60.51,,,44.880039582773364,75.65330550936773,5.43916748728652
27,67.09,68.74,62.77,63.08,268379,62.73,59.86,,,46.042610934809595,73.73284428271725,5.477084095337482
28,63.405,69.0,63.19,67.88,320130,63.25,59.74,,,46.72393702467959,72.46268995098556,5.508720945670519
29,69.33,70.8,68.26,70.66,498555,64.09,60.17,,,46.001024189883324,73.07252746210428,5.323812306694054
30,69.03,69.675,66.82,67.73,231736,64.04,60.26,,,45.606479237311746,73.57448609639407,5.217825713358765
31,69.32,69.79,67.65,69.36,241230,64.64,61.03,,,45.63280007081532,74.41576805109759,4.997981019547425
32,66.94,68.22,65.98,66.2,218197,65.51,61.34,,,45.929161000285646,74.92765041172618,4.882410946722609
33,66.06,66.335,63.89,65.65,247788,66.02,62.08,,,47.02479026864822,75.06248336682978,4.708310164813851
34,67.14,68.29,66.87,67.63,237333,67.06,62.89,,,48.79530112427932,74.66865895559738,4.560573724470005
35,66.28,67.35,63.18,63.5,240407,66.85,63.48,,,50.27356221440204,74.40798984611172,4.552675601293576
36,61.25,63.35,61.25,63.11,207735,66.86,64.08,,,52.61310590801786,73.19758522728723,4.388198772629749
37,64.99,64.99,63.13,64.305,161602,66.46,64.46,,,54.67700842053222,72.32646569989073,4.2090417174419095
