,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,48.73,50.71,48.09,48.36,236639,,,,,,,2.6199999999999974
1,48.97,50.36,48.65,50.25,193195,,,,,,,2.5757142857142834
2,48.93,50.18,47.96,48.56,210256,,,,,,,2.5553061224489775
3,47.13,49.0,47.13,48.84,213560,,,,,,,2.5063556851311932
4,46.93,47.59,45.37,45.61,291664,,,,,,,2.575187421907537
5,46.57,47.12,44.67,46.14,322382,,,,,,,2.5662454631998557
6,45.06,46.01,44.17,44.85,247510,,,,,,,2.5236565015427233
7,42.61,44.41,39.48,40.04,397833,,,,,,,2.726966751432529
8,41.79,44.41,39.84,44.41,393351,46.34,,,,,,2.8586119834730623
9,33.0,42.05,33.0,37.8,363437,45.17,,,,,,3.469425413224986
10,38.08,41.95,37.513,41.65,367731,44.21,,,,,,3.538537883708916
11,39.19,42.48,38.27,39.44,291062,43.2,,,,,,3.5864994634439933
12,39.32,41.02,37.91,39.4,362962,42.15,,,,,,3.5524637874837084
13,39.71,41.94,37.52,37.94,482802,41.3,,,,,,3.6144306598063003
14,38.09,38.33,35.6,37.37,437309,40.32,,,,,,3.5512570412487072
15,39.2,41.46,39.085,41.25,265751,39.92,,,,,,3.589738681159514
16,41.16,43.24,39.65,41.16,326871,40.05,,,,,,3.589757346790978
17,41.57,45.49,41.25,45.17,251944,40.13,,,,,,3.6426318220201943
18,43.61,45.6,42.86,43.49,357277,40.76,,,,,,3.5781581204473234
19,44.21,45.72,44.0,44.57,178756,41.09,43.32,,,32.58278282225281,51.87923621395322,3.4818611118439433
20,44.1,45.35,44.01,44.87,284559,41.69,43.14,,,32.8232119548973,51.06674051625667,3.328871032426519
21,43.23,43.99,41.74,42.05,209464,41.99,42.73,,,33.18024740868343,50.164931028438176,3.3146659586817675
22,41.62,43.27,41.62,42.83,216611,42.53,42.44,,,33.55443919084145,49.145253866474306,3.195761247347356
23,42.56,42.965,40.83,41.81,177267,43.02,42.09,,,33.89830602009625,48.28992156766511,3.119992586822545
