,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,26.76,28.67,26.36,26.62,2228597,,,,,,,2.3100000000000023
1,26.41,27.18,25.965,26.7,1961401,,,,,,,2.2317857142857167
2,26.91,26.91,25.22,26.21,1674514,,,,,,,2.19308673469388
3,26.31,26.8775,24.52,24.75,1822125,,,,,,,2.2048305393586034
4,25.48,25.48,23.9649,24.73,1721482,,,,,,,2.1555640722615603
5,23.91,23.91,22.2538,22.45,2267447,,,,,,,2.178466638528592
6,21.37,23.6,21.0,22.33,2331098,,,,,,,2.2085761643479787
7,20.24,20.98,19.94,20.17,2115569,,,,,,,2.2215350097516944
8,21.12,22.03,19.41,21.93,2198826,23.99,,,,,,2.2499967947694306
9,21.01,21.25,18.51,18.54,2510040,23.09,,,,,,2.3335684522859
10,16.35,16.4,14.02,14.54,3337293,21.74,,,,,,2.489742134265479
11,15.85,16.0,13.93,15.33,2993030,20.53,,,,,,2.459760553246516
12,10.41,13.76,10.41,10.82,2940343,18.98,,,,,,2.6354919423003365
13,11.07,11.6,9.3691,11.13,3697005,17.47,,,,,,2.6065925178503124
14,9.71,10.03,6.44,7.84,4556877,15.85,,,,,,2.7554073380038617
15,7.5,11.49,7.06,11.21,5829665,14.61,,,,,,2.8750210995750143
16,11.95,15.32,10.75,11.61,7093703,13.66,,,,,,2.996091021033942
17,12.27,12.75,11.235,12.22,3772452,12.58,,,,,,2.8902988052458034
18,13.39,15.61,13.39,15.02,3238785,12.19,,,,,,2.9259917477282458
19,16.35,17.62,14.26,15.41,3372975,12.29,17.98,,,3.7305369598736053,31.412945970127506,2.9569923371762283
20,15.76,18.0369,15.38,16.92,3131033,12.46,17.49,,,3.948816136245153,30.06410661822173,2.935557170235069
21,15.94,16.94,15.02,15.28,1640162,12.96,16.92,,,4.250833948046502,28.86358581002336,2.863017372361136
22,15.0,15.7,14.01,15.11,1706642,13.4,16.37,,,4.558657944324597,27.54655232040208,2.7792304171924833
23,14.95,16.12,14.11,14.43,1826993,14.13,15.85,,,4.966977282943448,26.033917009654793,2.7242853873930204
24,13.65,13.7,12.17,13.02,2279426,14.34,15.27,,,5.3521915130117375,24.662670753057537,2.6911221454363763
25,12.75,13.49,11.7001,12.09,1769491,14.39,14.75,,,5.649498156904656,23.480354793651095,2.6267491350480636
26,12.3,12.44,10.8925,11.22,2016925,14.28,14.19,,,5.8708760579461625,22.190738070542427,2.549659911116059
27,12.0,12.52,11.46,12.4,2630572,13.99,13.8,,,6.178185053964749,21.380694639824938,2.4603984888934836
28,13.64,14.39,12.67,12.72,2644619,13.69,13.34,,,6.664650845088818,20.09247579447124,2.4267985968296637
29,13.45,15.7,12.96,15.58,3218677,13.54,13.19,,,7.168710183635069,18.890321000125667,2.466312982770402
30,16.69,17.39,14.5401,15.27,3698111,13.54,13.23,,,7.145614914751131,19.051349667793495,2.493712055429659
31,15.33,15.485,13.91,14.87,2000524,13.51,13.21,,,7.14617649527238,18.99612537638621,2.428089765756112
32,15.32,15.84,14.57,14.98,2627482,13.57,13.42,,,7.301428518373221,19.123793407472494,2.345369068202104
33,14.07,14.96,13.59,14.61,1957368,13.75,13.59,,,7.6791189124092805,19.064784183019853,2.277128420473382
34,14.5,14.75,13.86,14.495,2129974,14.02,13.92,,,8.957975828317812,18.67470005841137,2.178047819010998
35,15.52,16.26,14.92,15.08,2909673,14.44,14.12,,,10.36077151573786,18.550600948009098,2.1485444033673553
36,14.5,15.39,14.03,14.3627,2648476,14.66,14.25,,,10.762831377590016,18.554557179352663,2.09221980312683
37,13.9,14.56,13.72,14.14,1609732,14.82,14.35,,,11.094632542308382,18.449318792444583,2.0027755314749136
38,14.56,14.8,14.1,14.18,1170712,14.67,14.31,,,11.119892724971503,18.41539534817579,1.9097201363695628
39,14.28,15.07,14.23,14.56,1495788,14.59,14.27,,,11.120058221022877,18.091124000668476,1.836882983771737
40,14.99,15.6,14.4,15.47,1382636,14.65,14.19,,,11.184000827625916,17.65234853287736,1.791391342073756
41,15.71,17.3,15.7,16.41,2698567,14.81,14.25,,,11.111198299335479,17.729662846401396,1.794149103354202
42,17.8,17.95,16.28,16.78,2074977,15.05,14.33,,,10.947434018990673,18.129012198381435,1.7852813102574734
43,17.0,18.02,16.51,17.57,2965310,15.39,14.49,,,10.79386006795227,18.463860486367246,1.7656183595247965
44,16.91,17.75,16.35,16.69,2399393,15.57,14.67,,,10.903885749718206,18.75694785282317,1.7395027624158823
45,16.0,16.35,15.574,16.23,1985979,15.78,14.88,,,11.2257082920365,18.78104397108592,1.694966850814748
46,15.49,16.0,14.91,15.78,2051450,15.96,15.11,,,11.857547298213301,18.581195074604196,1.6681835043279802
47,16.26,16.44,15.33,15.46,1214197,16.11,15.26,,,12.435590983922093,18.31627307733255,1.628313254018839
48,15.88,16.06,15.192,15.25,1217983,16.18,15.39,,,12.750742379256659,18.272238723922733,1.5740051644460646
49,15.55,17.28,15.55,17.19,2834647,16.37,15.47,16.15,,13.035799507201006,18.40628920355648,1.6065762241284887
50,17.87,18.19,17.0,17.99,3216928,16.55,15.6,15.98,,12.933195229171202,18.56386364224153,1.5768207795478826
51,17.6,18.205,17.33,17.71,3186702,16.65,15.75,15.8,,12.920193118333422,18.83525255357372,1.526690723865891
52,17.92,18.04,16.555,16.7,2369933,16.56,15.83,15.61,,12.953979036467013,19.044616907220036,1.5237128150183274
53,16.71,16.71,15.03,15.39,2705890,16.41,15.87,15.42,,13.159195841924873,19.03706013189518,1.5348761853741613
54,15.0,16.13,14.45,15.42,2738328,16.32,15.92,15.24,,13.257836028444782,18.971053468725096,1.5452421721331497
55,15.22,16.46,15.1,16.03,2650876,16.35,15.97,15.11,,13.273206847476777,18.976595457238556,1.5320105884093533
56,17.33,18.0,16.88,17.8,3061194,16.61,16.14,15.02,,13.410926844841272,19.110467130073545,1.5632955463801137
57,18.01,19.64,17.9101,18.63,5025301,16.98,16.36,14.99,,13.537681934124684,19.4651024889429,1.5830601502101056
58,19.17,20.09,19.17,19.82,3873238,17.28,16.64,14.95,,13.434226397428711,19.867157837501438,1.5742701394808125
59,19.83,20.05,18.91,19.78,2214277,17.48,16.9,14.97,,13.488128688616708,20.18424483733173,1.5432508438036117
60,19.85,19.89,18.81,19.68,1670711,17.69,17.12,15.07,,13.61192192660058,20.440516067474714,1.5101614978176394
61,21.61,21.75,20.19,20.38,3301276,18.1,17.31,15.17,,13.39848297337333,21.19341686523984,1.5501499622592367
62,21.04,21.97,19.89,21.96,3687359,18.83,17.57,15.4,,13.279009262830133,21.85932067865418,1.5879963935264338
63,22.41,22.95,21.43,21.8,3764109,19.54,17.78,15.61,,12.97948797571868,22.68007656268456,1.5831395082745456
64,21.3,21.72,20.695,21.44,2642648,20.14,18.02,15.88,,12.908723279643208,23.113742172247328,1.5489866862549353
65,21.6,22.23,21.13,22.1,2390589,20.62,18.32,16.1,,12.948263399537524,23.555158725908015,1.5169162086652972
66,22.59,22.8,21.59,21.76,2972633,20.97,18.61,16.3,,13.12973055284645,23.998282226798555,1.494993622332062
67,22.39,23.07,21.76,22.91,3093641,21.31,18.99,16.52,,13.31789080412392,24.433742216526504,1.4817797921654858
68,23.5,24.1674,22.57,23.41,3600013,21.72,19.4,16.69,,13.540945164457561,24.95997227778567,1.4900383784393798
69,25.48,25.72,24.3,24.62,3708546,22.26,19.77,16.87,,13.589488737016207,25.832107961772472,1.5486070656937097
70,25.52,25.63,24.18,24.78,2717314,22.75,20.11,17.03,,13.579197527792338,26.575567969851075,1.5415637038584447
71,23.98,24.25,23.15,23.71,1968477,22.95,20.41,17.2,,13.724420517717997,26.946414461071782,1.5478805821542703
72,23.34,23.41,21.8106,22.53,2637528,23.03,20.7,17.34,,14.105996318521303,27.12338046241052,1.572989112000394
73,20.38,21.54,18.66,20.375,2925916,22.91,20.95,17.46,,14.721380704181072,26.940673735965134,1.7370613182860803
74,21.75,22.0,20.5504,20.553,866057,22.74,21.2,17.61,,15.733171813662457,26.58339527814369,1.7290569384085033
75,19.8,21.65,19.52,21.35,1543497,22.69,21.47,17.8,,16.645253768682693,26.10347911201115,1.7576957285221817
76,22.97,23.48,21.53,22.08,3260297,22.6,21.68,18.02,,17.280401350792474,25.907850727995974,1.7842888907705974
77,21.99,22.76,21.74,22.165,2445157,22.46,21.86,18.21,,17.740861420127825,25.815671546812233,1.7296968271441264
78,21.99,22.55,21.505,21.69,1614569,22.14,21.95,18.39,,17.977591707096717,25.725470209914654,1.680789910919546
79,22.13,22.3,20.96,21.11,3226845,21.73,22.02,18.5,,18.261157750405825,25.584761760090057,1.6564477744252928
80,20.96,21.3,20.29,21.3,1718919,21.46,22.1,18.62,,18.52420449796774,25.406985881342205,1.6102729333949148
81,21.76,22.99,21.31,22.43,2663787,21.45,22.2,18.77,,18.634576769144545,25.414714504682035,1.6159677238667065
82,21.82,22.24,20.84,21.21,2455195,21.54,22.17,18.9,,18.761023956895283,25.40928638579985,1.6141128864476562
83,20.59,20.89,19.58,20.28,3264360,21.51,22.09,19.01,,18.538952147745196,25.470415061852037,1.6152476802728237
84,20.11,20.256,19.4,19.61,2550302,21.32,22.0,19.11,,18.351885291347074,25.60103371604626,1.562729988824765
85,19.77,20.725,19.33,20.555,2609361,21.15,21.92,19.22,,18.131434439602444,25.661634647081875,1.550749275337282
86,20.27,21.06,20.27,20.88,1506567,21.01,21.88,19.35,,18.04167804518277,25.66115315321138,1.4964100413846189
87,21.22,21.7295,20.04,20.25,2139541,20.85,21.74,19.48,,17.93028069598702,25.609405349759378,1.5102021812857178
88,21.09,21.15,19.87,19.94,1587744,20.72,21.57,19.59,,17.833576858244026,25.416600815839654,1.4937591683367377
89,20.31,20.55,18.92,19.32,2165032,20.5,21.31,19.69,,17.87231354902309,24.823049492578964,1.5034906563126849
90,18.94,19.06,18.21,18.36,2332307,20.05,20.98,19.74,,17.893390670954027,24.288860972706328,1.4753841808617787
91,18.19,18.64,17.43,18.5,2586345,19.74,20.72,19.79,,17.636048629696,24.1055576591969,1.4564281679430804
92,18.61,18.63,17.6163,18.39,1600965,19.53,20.52,19.82,,17.33096861949636,24.00812257707065,1.4248047273757176
93,18.3,18.69,18.0606,18.39,1471276,19.4,20.42,19.83,,17.227594112294337,24.095015905604512,1.367990103991738
94,18.74,19.23,18.1,18.19,2278748,19.14,20.3,19.86,,17.01563789854238,24.04348111155756,1.350990810849471
95,18.46,18.915,18.11,18.44,1844666,18.86,20.15,19.91,,16.85085739262735,24.02584259061816,1.3119914672173658
96,19.71,21.97,19.66,21.82,4297050,19.04,20.14,20.03,,16.899373508565482,23.75302719881237,1.470420648130411
97,21.08,21.62,20.68,21.26,1437970,19.19,20.1,20.14,,16.990608877053596,23.577617727692388,1.446819173263953
98,21.39,21.75,20.8,21.03,1974294,19.38,20.06,20.26,,17.055227893187034,23.450981607860008,1.411332089459385
99,21.14,21.52,20.51,20.73,1361960,19.64,20.04,20.33,,17.083092174347627,23.337076748714097,1.3826655116408575
100,21.31,22.22,21.17,21.98,1648633,20.03,20.08,20.41,,17.030746616169715,23.46049513896217,1.3903322608093676
101,21.74,22.62,21.62,22.42,2144176,20.47,20.08,20.51,,16.994831203305353,23.381623564113713,1.36245138503727
102,21.83,22.03,21.42,21.88,2144646,20.86,20.11,20.61,,16.947124601024615,23.347070153490506,1.3365620003917507
103,21.38,22.28,21.235,22.21,2792865,21.31,20.21,20.75,,16.92111655996019,23.511635878350493,1.3157361432209114
104,21.95,22.06,20.88,21.63,2275339,21.66,20.31,20.87,,16.94026520652082,23.65336913948091,1.3167549901337037
105,21.32,22.56,21.32,22.1,3731883,21.69,20.39,20.99,,16.953172927665207,23.848862007500152,1.3112724908384392
106,23.69,24.97,23.37,24.54,10469904,22.06,20.57,21.13,,16.69183486214502,24.560769197051084,1.4226101700642648
107,24.35,24.74,23.77,24.38,3439604,22.43,20.78,21.24,,16.45724389061984,25.069179225137326,1.3902808722025315
108,24.14,24.18,23.19,23.67,3179939,22.76,20.96,21.32,,16.38244789153665,25.437102910321222,1.3759750956166361
109,23.61,25.08,23.31,24.92,3295267,23.08,21.24,21.42,,16.439916272599653,25.958431861425446,1.4041197316440193
110,24.81,25.49,24.64,24.87,2891656,23.36,21.57,21.52,,16.522682441652705,26.426592137820688,1.3645397508123034
111,25.3,25.46,23.77,24.81,4334428,23.68,21.88,21.61,,16.96601677200053,26.741722244192054,1.3877869114685675
112,24.75,25.99,24.65,25.77,4727712,24.08,22.25,21.69,,17.390432997158133,27.048326854109604,1.384373560649384
113,25.59,26.62,25.25,25.67,5622092,24.53,22.62,21.77,,17.763772056904877,27.363253790010816,1.3833468777458566
114,26.4,26.74,25.55,26.15,4779706,24.98,23.01,21.86,,18.226583718233044,27.639010636075497,1.3695363864782952
115,26.89,27.52,26.03,26.52,3825309,25.2,23.42,21.95,,18.78055211517465,27.87563363197131,1.3781409303012742
116,26.83,27.42,26.68,26.91,2315646,25.48,23.67,22.05,,18.99861496541385,28.340557992150412,1.3439880067083263
117,27.14,27.27,26.38,27.01,1557554,25.85,23.96,22.13,,19.166566262533216,28.66823079349334,1.311560291943446
118,26.78,27.16,26.35,26.84,1338002,26.06,24.25,22.2,,19.39911783579071,28.91010840485606,1.2757345568046283
119,26.92,27.3465,26.59,26.69,1648814,26.26,24.55,22.24,,19.751683080139696,29.080663357230954,1.2386463741757263
120,26.33,27.13,26.16,26.83,2010030,26.49,24.79,22.28,,20.083475047154447,29.214635314258487,1.2194573474488886
121,26.81,27.19,26.0,26.04,1677502,26.52,24.97,22.33,,20.397003623632777,29.334708208248962,1.2173532512025396
122,26.28,26.5,25.93,26.32,1293128,26.59,25.19,22.41,,20.811875524412024,29.225995621506602,1.171113733259501
123,26.6,26.92,25.97,26.08,1199764,26.58,25.39,22.52,,21.34513633560102,29.109399367208482,1.155319895169537
