,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,34.72,35.78,33.98,34.6,564780,,,,,,,1.8000000000000043
1,35.44,36.46,34.77,36.12,569500,,,,,,,1.8042857142857183
2,35.37,36.14,34.21,34.8,462556,,,,,,,1.8132653061224528
3,33.81,34.11,32.8,33.64,391090,,,,,,,1.8266034985422777
4,31.87,32.13,29.84,29.88,476742,,,,,,,1.9675603915035436
5,30.47,31.1,27.67,30.14,419070,,,,,,,2.072020363539005
6,29.26,29.53,26.87,27.83,511989,,,,,,,2.157590337571933
7,25.83,25.935,23.89,24.06,622401,,,,,,,2.2849053134596518
8,25.49,25.8,21.75,23.97,567492,30.56,,,,,,2.4109835053553907
9,22.0,22.5,15.91,15.94,894583,28.49,,,,,,2.8144846835442916
10,16.4,16.63,12.75,14.45,1377740,26.08,,,,,,2.8905929204339853
11,13.2,13.55,9.76,10.36,731842,23.36,,,,,,3.0191219975458434
12,10.37,12.94,9.04,12.0,1215913,20.96,,,,,,3.0820418548639976
13,12.13,13.535,11.8302,12.01,838962,18.97,,,,,,2.9836674366594265
14,11.97,12.29,10.95,11.81,434234,16.94,,,,,,2.8662626197551817
15,12.3,14.83,12.3,14.67,520132,15.47,,,,,,2.87724386120124
16,15.06,17.865,14.51,17.28,632564,14.72,,,,,,2.9113692996868656
17,17.48,18.32,16.435,17.49,628654,14.0,,,,,,2.8380572068520897
18,16.77,16.77,15.05,15.75,551839,13.98,,,,,,2.8096245492197975
19,15.56,15.78,14.64,15.56,344785,14.1,21.62,,,2.1250218876349223,40.81111342785852,2.690365652846955
20,15.42,15.46,14.16,14.47,414997,14.56,20.61,,,2.0970621910366702,39.047927698904246,2.5981966776436014
21,13.71,13.74,12.16,12.33,406884,14.6,19.42,,,2.2695018210111186,36.86928439940948,2.5776112006690584
22,12.23,12.74,11.65,12.13,446504,14.61,18.29,,,2.7507206612460813,34.38335219663387,2.4713532577641257
23,12.09,12.375,10.83,11.27,706409,14.55,17.17,,,3.4134182695113875,31.981708903512075,2.405185167923831
24,12.21,14.2746,11.91,13.79,413068,14.45,16.37,,,4.180163057307354,29.60376913258297,2.448000513072129
25,15.21,16.77,14.77,15.15,433744,14.22,15.62,,,5.226776533707829,27.090818599362837,2.4860004764241204
26,15.6,17.58,15.26,17.3,417370,14.19,15.09,,,6.6395017140606285,24.61490656020932,2.4820004423938262
27,18.06,19.98,18.06,18.95,698198,14.55,14.83,,,7.659994659395724,23.222369714464378,2.4961432679371245
28,18.96,19.3,15.635,16.0,465647,14.6,14.44,,,8.581290220472242,21.4866962410272,2.5796330345130443
29,17.01,17.5,16.0,16.57,346120,14.83,14.47,,,8.575645712476625,20.372491045919638,2.502516389190684
30,15.83,15.966,14.68,15.01,294780,15.13,14.5,,,8.648401717418507,20.31860157452373,2.458765218534207
31,15.14,15.75,14.56,15.33,390555,15.49,14.74,,,9.199832425005244,20.331535414084115,2.3681391314960494
32,16.65,17.33,15.54,16.15,373416,16.03,14.95,,,10.036146623945417,20.417132750661132,2.3418434792463314
33,15.53,15.69,14.75,15.05,340997,16.17,15.1,,,10.311346481833155,20.387037930656177,2.2745689450144506
34,14.46,15.21,14.25,15.0,317157,16.15,15.26,,,10.788748928472842,20.190788057391337,2.180671163227704
35,15.53,15.69,14.5,14.75,214040,15.87,15.27,,,11.032665291650247,20.192096484963024,2.109908937282868
36,14.88,15.54,14.31,15.05,335416,15.43,15.15,,,11.022021790737757,20.0069913615522,2.04705829890552
37,15.29,15.99,15.02,15.64,463521,15.39,15.06,,,11.066391308216055,19.74704740194796,1.9701255632694117
38,15.91,17.18,15.9002,17.0,447327,15.44,15.12,,,11.05186760542289,19.79018230721622,1.939402308750168
39,18.21,19.73,18.21,19.11,571595,15.9,15.3,,,10.829859143481379,20.33604419530443,1.9958735724108703
40,19.94,21.735,19.94,20.7,794610,16.49,15.61,,,10.439798205281665,21.313776999720094,2.0408111743815223
41,22.78,22.78,20.96,21.41,802055,17.08,16.07,,,10.315595549438868,22.337344594040932,2.0436103762114137
42,20.23,20.55,19.81,20.31,373544,17.66,16.48,,,10.659262852269123,22.571038203307616,2.0119239207677415
43,19.71,21.4,19.425,21.22,302679,18.35,16.97,,,11.394255982569774,22.767282185576168,2.00928649785576
44,21.53,22.36,21.29,21.59,373216,19.11,17.36,,,11.78499804158051,23.279258412888243,1.9471946051517772
45,21.39,22.15,20.52,21.35,250547,19.81,17.67,,,11.863291367882024,23.793064936816226,1.924537847640936
46,21.72,22.79,21.72,22.25,376516,20.55,17.92,,,11.824190027448822,24.370588968652278,1.8899280013808692
47,22.865,24.09,22.72,23.75,296702,21.3,18.16,,,11.536589665656525,25.047536877833473,1.8863617155679502
48,23.19,23.5,22.28,23.32,350555,21.77,18.53,,,11.569701765709404,25.589755200258004,1.8566215930273824
49,23.5,23.7,22.67,22.96,452516,22.02,18.85,19.15,,11.607111824335586,26.157634326239197,1.7975771935254263
50,22.42,22.49,21.87,22.26,730289,22.11,19.21,18.9,,11.979924576762448,26.4030739505727,1.7470359654164673
51,21.34,22.94,21.025,22.92,522089,22.4,19.59,18.63,,12.489473178934766,26.619849031317585,1.7590333964581486
52,22.66,24.45,22.3725,23.94,248685,22.7,19.98,18.42,,12.842458002867476,27.106376794852103,1.7817810109968524
53,25.36,26.91,25.36,26.54,403166,23.25,20.55,18.28,,13.160505127814547,27.85114476314853,1.8666537959256486
54,26.01,28.0,25.81,26.38,653999,23.81,21.12,18.21,,13.726114490798773,28.579658657101085,1.889749953359531
55,27.2,27.83,26.38,27.2,241816,24.36,21.74,18.15,,14.374726543578728,29.096083124918735,1.8583392424052787
56,27.01,28.42,26.9,27.8,323551,24.81,22.38,18.15,,15.248985391471635,29.476293757690808,1.8341721536620448
57,28.28,29.24,27.835,29.22,289973,25.47,23.06,18.25,,16.065453079529362,29.847648501594296,1.8060169998290416
58,29.89,31.38,29.29,29.68,294057,26.22,23.7,18.36,,16.68397601348868,30.70583130387309,1.8313014998412531
59,30.81,31.15,29.33,30.43,600830,27.12,24.26,18.65,,16.988480466949085,31.58293748778377,1.8304942498525922
60,31.05,31.05,27.73,28.16,513529,27.71,24.63,18.93,,17.31032530414083,32.41015414218426,1.9368875177202642
61,27.8,30.33,27.67,29.54,879847,28.33,25.04,19.31,,17.562674962806824,33.01116627919689,1.9885384093116738
62,29.69,30.76,29.38,29.77,457231,28.69,25.51,19.67,,17.962943575142205,33.42147551723251,1.9450713800751258
63,30.29,30.35,29.09,29.19,206000,29.0,25.91,20.01,,18.621671993090438,33.71077123943076,1.8961377100697598
64,29.95,30.38,29.605,30.23,421399,29.34,26.34,20.38,,18.98935654226902,33.984274927372795,1.845699302207634
65,29.93,31.26,29.39,30.05,364926,29.59,26.78,20.69,,19.650817340966558,34.2654428776999,1.8474350663356602
66,31.88,32.5,31.2,31.7,284546,29.86,27.25,20.97,,20.029540148602823,34.70550221369853,1.8904754187402557
67,32.42,33.05,30.99,31.16,267506,30.03,27.62,21.25,,20.374250634608966,35.24047661334023,1.902584317401666
68,30.31,31.81,29.97,31.2,275838,30.11,28.02,21.56,,20.983093992077073,35.38181585993504,1.8981140090158326
69,30.92,32.0,30.1165,31.51,364062,30.48,28.44,21.88,,21.60959258695,35.44845785533397,1.8970701512289876
70,29.47,30.53,28.35,28.35,455871,30.35,28.75,22.15,,22.566822232634355,34.95562617587154,1.9872794261412028
71,30.15,30.71,29.57,29.59,126306,30.33,29.08,22.5,,24.04635698189168,34.27038819588361,2.013902324273974
72,28.28,31.96,28.0,31.94,323916,30.64,29.48,22.89,,25.36003870410054,33.7586557733266,2.1529093011115474
73,33.39,33.68,31.335,32.09,308564,30.84,29.76,23.31,,25.818166234407585,33.93885536525369,2.1666300653178654
74,32.2,32.26,30.96,31.6,243640,31.02,30.02,23.67,,26.310264755707163,33.91392417272397,2.1047279177951603
75,31.1,31.24,30.23,30.36,262584,30.87,30.18,23.97,,26.786436669324225,33.65862812202588,2.0522473522383633
76,30.81,30.86,29.685,29.93,458079,30.73,30.29,24.22,,27.19752700990271,33.41345951789708,1.9895868270784804
77,29.77,30.52,29.315,30.48,157585,30.65,30.35,24.45,,27.404486409347378,33.277289674477146,1.933544910858589
78,31.19,31.7,30.74,31.38,162426,30.64,30.43,24.76,,27.418530642279848,33.29838460518672,1.8825774172258325
79,30.75,30.93,29.23,30.08,296990,30.83,30.42,25.03,,27.41020239257847,33.29615833089405,1.9016790302811302
80,29.48,30.42,29.0,29.71,189809,30.84,30.49,25.33,,27.63570025759718,33.30899347342996,1.8672733852610497
81,29.45,29.75,28.5,28.74,284675,30.49,30.45,25.59,,27.820503586941562,33.360385347158655,1.8231824291709746
82,29.21,31.2,28.75,30.28,402530,30.28,30.48,25.88,,27.74430055954811,33.36565815036376,1.868669398515905
83,30.31,30.92,29.65,30.65,394658,30.18,30.55,26.19,,27.793215328383738,33.34980665109106,1.8259072986219123
84,30.8,31.15,29.25,29.41,314229,30.07,30.51,26.48,,27.764189836167354,33.33495089376245,1.8311996344346329
85,30.37,30.93,29.56,29.69,150358,30.05,30.49,26.78,,27.777120812090388,33.3300133493355,1.8089710891178734
86,30.76,30.85,30.0,30.54,148670,30.05,30.43,27.09,,27.839273144396778,33.19065967800241,1.7626160113237397
87,30.2,31.49,29.99,30.75,256832,29.98,30.41,27.39,,27.890961572585887,32.93042354972599,1.7438577248006155
