,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,26.45,26.46,25.22,25.29,295870,,,,,,,1.240000000000002
1,24.75,25.34,24.7,25.32,361612,,,,,,,1.197142857142859
2,25.49,26.04,24.92,26.04,513271,,,,,,,1.1916326530612262
3,26.09,26.35,24.99,25.57,358509,,,,,,,1.2036588921282818
4,25.94,26.61,25.5,26.28,309567,,,,,,,1.196968971261976
5,25.8,26.75,25.58,26.57,539985,,,,,,,1.195042616171835
6,26.04,26.6,25.67,26.46,223980,,,,,,,1.1761110007309898
7,25.49,25.89,24.32,24.91,574407,,,,,,,1.2449602149644905
8,25.49,26.18,23.99,26.06,745812,25.83,,,,,,1.3124630567527413
9,25.54,25.54,24.65,25.12,500922,25.81,,,,,,1.3194299812704027
10,23.67,25.51,23.02,24.21,457306,25.69,,,,,,1.403042125465374
11,25.19,26.18,24.13,25.83,581866,25.67,,,,,,1.4492534022178472
12,23.73,26.21,23.14,25.12,809096,25.62,,,,,,1.565021016345144
13,25.53,28.14,24.07,27.99,498562,25.81,,,,,,1.7439480866062052
14,27.16,28.29,25.86,26.66,493950,25.82,,,,,,1.7929517947057618
15,26.95,29.17,26.02,28.35,1061854,26.03,,,,,,1.8898838093696362
16,28.18,28.43,22.13,22.68,735446,25.78,,,,,,2.2048921087003768
17,23.0,23.65,21.6601,23.31,507590,25.47,,,,,,2.1895355295074928
18,23.64,25.51,23.64,24.72,617989,25.43,,,,,,2.1902829916855295
19,24.62,25.11,23.31,23.445,958258,25.34,25.5,,,21.873116399551435,28.985529608271996,2.162405635136563
20,23.74,24.91,23.63,24.4,271116,25.19,25.45,,,21.812624074421528,28.991706902467403,2.112590946912523
21,23.88,24.965,23.23,24.1,679646,25.07,25.39,,,21.708199364041526,29.00698328111702,2.0856201649901998
22,24.54,25.74,23.94,25.61,341750,24.81,25.37,,,21.682875528477272,29.00140472264115,2.0652187246337568
23,25.46,26.235,25.05,25.53,839510,24.68,25.37,,,21.681251360493786,28.995577799875875,2.0023459585884886
24,24.94,25.8,24.75,25.55,257235,24.37,25.33,,,21.710296413781286,28.958577687592733,1.9343212472607394
25,25.44,26.49,25.14,26.33,565012,24.78,25.32,,,21.738724270474243,28.93779324496155,1.8925840153135436
26,26.21,26.67,25.81,26.51,466655,25.13,25.32,,,21.724695954701122,28.94349855687568,1.8188280142197193
27,27.21,28.5,26.65,28.33,307867,25.53,25.49,,,21.574093449114514,29.250328026799288,1.8310545846325965
28,28.7,28.96,27.52,27.82,335441,26.02,25.58,,,21.36057148562115,29.61153790431831,1.8031221143016969
29,28.06,29.01,27.64,28.42,500720,26.47,25.75,,,21.172559530757475,29.942546433733764,1.7721848204230044
30,28.87,29.52,28.67,29.39,260800,27.05,26.0,,,21.056709334795485,30.329075760380796,1.7241716189642184
31,29.12,29.44,28.27,28.46,125903,27.37,26.14,,,20.97297224754119,30.657765329037584,1.6845879318953458
32,29.03,29.41,28.21,28.56,348058,27.71,26.31,,,21.08557456272065,30.944415222447734,1.6499745081885353
33,27.84,28.41,27.58,28.04,537428,27.98,26.31,,,21.177431803192732,30.974123842319255,1.6021191861750685
34,28.19,28.8,27.51,27.91,595032,28.16,26.37,,,21.162479811786994,31.037134434573154,1.579824958591135
35,28.55,29.95,28.01,29.83,542569,28.53,26.45,,,21.124929053665987,31.174410644080773,1.612694604406054
36,29.56,30.32,29.36,29.91,382361,28.7,26.81,,,21.50450846943927,31.47300659978689,1.5660735612341932
37,29.3,30.41,29.02,29.15,577958,28.85,27.1,,,22.167183333156697,31.630484980347628,1.5534968782888938
38,29.77,29.84,29.23,29.72,257730,29.0,27.35,,,22.461279212271414,31.814020197713482,1.4918185298396873
39,29.52,29.85,29.22,29.26,371973,28.98,27.64,,,22.91178357323776,31.903790461032777,1.430260063422567
40,29.49,29.62,29.08,29.51,327015,29.1,27.9,,,23.390809409893706,31.860137305969847,1.366670058892384
41,29.74,30.55,29.4945,30.19,505146,29.28,28.2,,,24.063925484547397,31.86390525937666,1.3444436261143566
42,30.16,31.0,30.09,30.66,468170,29.57,28.45,,,24.623716719792732,31.971022583819593,1.3134119385347598
43,31.38,31.535,30.79,31.21,351244,29.94,28.74,,,24.92541325044585,32.16649536991437,1.2820968000679913
44,31.48,31.48,29.94,30.46,424806,30.01,28.98,,,25.506228702921046,32.15017505529367,1.3005184572059918
45,30.65,30.685,29.7471,30.19,242706,30.04,29.18,,,26.112295878156445,32.00225555965712,1.2746171388341352
46,30.16,30.42,29.59,30.23,160700,30.16,29.36,,,26.641194644881026,31.713351485387097,1.2428587717745543
47,30.43,31.12,30.13,30.58,287362,30.25,29.48,,,26.98566477650691,31.801295727660154,1.224797430933515
48,31.07,31.45,30.3,30.63,413392,30.41,29.62,,,27.159014777000213,31.962499093430658,1.2194547572954069
49,30.74,32.95,30.03,31.94,1363090,30.68,29.79,27.37,,27.36327360534388,32.47020765257152,1.3409222746314493
50,32.63,32.945,32.32,32.75,500242,30.96,29.96,27.52,,27.104194941248934,32.89939484256109,1.3169278264434885
51,32.44,33.64,31.39,33.11,676516,31.23,30.19,27.67,,27.16036438004496,33.430321404056905,1.383575838840382
52,33.08,33.6362,32.65,33.23,572926,31.46,30.43,27.82,,27.099376209926852,33.861824759110036,1.3551918503517837
53,33.06,33.41,31.82,32.3,288637,31.66,30.64,27.95,,27.372165277757137,34.05907888698637,1.3719638610409417
54,31.9,32.48,31.63,32.24,219132,31.89,30.85,28.07,,27.756493217485776,34.067472486384474,1.3346807281094457
55,32.32,32.76,32.06,32.32,409570,32.12,30.98,28.18,,28.05117172494867,34.190447882126925,1.2893463903873421
56,32.9,34.41,32.9,34.0,557228,32.5,31.18,28.34,,28.030750681098482,34.627800910945545,1.3465359339311032
