,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,38.89,39.82,38.35,39.67,1033352,,,,,,,1.4699999999999989
1,39.66,40.72,38.7,40.65,941024,,,,,,,1.5092857142857128
2,40.34,40.95,37.1,37.4,1784340,,,,,,,1.6764795918367335
3,37.98,38.61,36.66,38.37,1260576,,,,,,,1.6960167638483956
4,36.71,36.73,34.84,35.09,934342,,,,,,,1.8270155664306527
5,33.37,33.98,31.84,32.59,2075052,,,,,,,1.9286573116856063
6,29.0,29.32,24.66,24.76,2340210,,,,,,,2.357324646565206
7,26.3,27.02,24.46,26.59,2080777,,,,,,,2.371801457524834
8,25.72,25.72,23.0,23.67,2553966,33.2,,,,,,2.458815639130203
9,21.63,23.24,19.94,20.61,1996901,31.08,,,,,,2.5496145220494744
10,22.44,22.86,20.33,22.84,2016390,29.1,,,,,,2.5482134847602262
11,19.7,20.51,19.0,19.34,1803543,27.1,,,,,,2.640483950134496
12,19.64,20.03,17.885,20.0,2504515,25.05,,,,,,2.6050922394106037
13,18.53,18.53,14.43,15.14,1874943,22.84,,,,,,2.816871365166989
14,14.96,15.43,12.21,14.39,6202472,20.82,,,,,,2.8456662676550613
15,14.69,15.76,13.4,13.96,6201839,19.62,,,,,,2.8109758199654142
16,14.06,14.06,12.02,13.4201,3250342,18.15,,,,14.933547948477802,36.78087101156114,2.7559061185393134
17,14.75,17.24,14.41,16.43,2942863,17.35,,,,13.910336895793279,35.16056857451436,2.8319056815007912
18,17.12,20.19,16.45,18.8,3743084,17.15,,,,13.38038461420825,33.20970829624194,2.8981981328221633
19,19.13,20.6,18.895,19.245,4022362,16.75,24.65,,,13.241539904200213,30.94916232460714,2.8197554090491517
20,18.05,18.37,16.5,17.73,3731680,16.57,23.55,,,13.187295441578696,28.741273219616897,2.814415736974212
21,17.96,18.27,16.68,18.1,2415871,16.36,22.42,,,13.409995948751234,26.528221165158385,2.726957470047483
22,17.99,18.05,16.875,17.26,2444801,16.59,21.42,,,13.80572397244709,24.489046614035196,2.61967479361552
23,16.12,16.38,14.6,14.96,3005957,16.66,20.25,,,13.587549324298074,23.117960906919254,2.6225551655001254
24,14.79,16.0675,14.57,14.86,2725144,16.76,19.23,,,13.511069427974672,21.997264679485205,2.5421940822501163
25,14.78,15.11,13.63,13.7975,3161388,16.8,18.3,,,13.386045315845049,20.953591568740656,2.4663230763751076
26,15.06,16.78,14.72,16.65,2846112,16.82,17.89,,,13.273429656294855,20.26579507480157,2.5031928566340285
27,18.26,19.44,17.01,17.39,2647680,16.67,17.43,,,13.3603706909809,19.739761262688717,2.5236790811601693
28,17.98,19.49,17.82,19.12,2038521,16.65,17.2,,,13.396099458179197,19.60561743227431,2.4934162896487284
29,21.05,22.63,20.69,21.82,3578522,17.11,17.26,,,13.25577950743608,20.037249802935076,2.566029411816676
