,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,3.98,4.35,3.91,4.305,3333692,,,,,,,0.4399999999999995
1,4.29,4.42,4.03,4.03,3515981,,,,,,,0.436428571428571
2,4.1,4.26,4.0,4.12,5224399,,,,,,,0.4238265306122445
3,4.02,4.07,3.88,3.94,2860854,,,,,,,0.41069606413994136
4,4.0,4.0,3.59,3.69,3666528,,,,,,,0.41064634527280275
5,3.26,3.46,2.55,3.39,6669539,,,,,,,0.46274303489617397
6,3.55,3.58,3.25,3.39,3523220,,,,,,,0.4532613895464473
7,3.31,3.38,2.96,2.96,3618600,,,,,,,0.4515998617217011
8,2.74,2.75,1.47,2.04,11444280,3.54,,,,,,0.525771300170151
9,2.39,2.46,2.0,2.15,7557646,3.3,,,,,,0.5210733501579973
10,2.01,2.05,1.85,1.965,7778600,3.07,,,,,,0.5052823965752832
11,2.01,2.03,1.92,1.94,7164133,2.83,,,,,,0.47704793967704867
12,1.85,1.89,1.47,1.48,4757984,2.56,,,,,,0.47654451541440235
13,1.52,1.61,1.33,1.435,8218748,2.31,,,,,,0.4625056214562308
14,1.51,1.78,1.39,1.535,11783497,2.1,,,,,,0.4573266484950715
15,1.54,1.685,1.4,1.42,4553321,1.88,,,,,,0.44501760217399494
16,1.72,1.84,1.56,1.74,7866885,1.74,,,,,,0.4432306305901382
17,2.15,2.29,1.76,1.97,6854538,1.74,,,,,,0.45085701411941403
18,2.03,2.4599,2.02,2.4,6963436,1.76,,,,,,0.4536457988251702
19,2.35,2.35,2.17,2.24,4841581,1.8,2.61,,,0.4229072069597266,4.828755888580391,0.4376710989090866
20,2.25,2.25,1.75,1.8172,7050566,1.78,2.48,,,0.42187761921676015,4.605624247171316,0.4421231632727233
21,1.91,1.93,1.61,1.71,5651604,1.81,2.37,,,0.4587667517408587,4.333711840842545,0.4334000801818145
22,1.63,1.6399,1.44,1.53,5849195,1.82,2.24,,,0.5236849029056814,4.06668713145317,0.4217286458831135
23,1.57,1.72,1.52,1.55,3395335,1.82,2.12,,,0.6465388284760512,3.792742062569578,0.4058908854628911
24,1.61,1.614,1.33,1.4,4394036,1.82,2.0,,,0.7596683560817195,3.4826119586684303,0.3971843936441132
25,1.57,1.81,1.56,1.63,5608874,1.81,1.92,,,0.7580771618069713,3.2711983224951666,0.39809979409810514
26,1.79,1.86,1.5,1.51,6453648,1.75,1.82,,,0.9285039541961067,2.9666907367097446,0.39537838023395483
27,1.56,1.75,1.52,1.73,6632355,1.68,1.76,,,1.131465637108719,2.6490662336840516,0.38427992450295806
28,1.9,2.35,1.87,2.31,11727061,1.69,1.77,,,1.1461570682764248,2.5516760446589952,0.4011170727527468
29,2.45,2.5,2.06,2.32,6218501,1.74,1.78,,,1.139691030703216,2.561001757187703,0.4038944246989791
30,2.4,2.46,2.02,2.11,5567926,1.79,1.79,,,1.1290227480340915,2.6203188664021697,0.40647339436333774
31,2.04,2.0415,1.82,1.94,4815766,1.83,1.79,,,1.1325160541373398,2.6210651092885766,0.39815386619452786
32,2.04,2.04,1.775,1.8,3508883,1.86,1.8,,,1.1527206974988053,2.627045147700769,0.38864287575206163
33,1.97,2.12,1.94,2.06,4580985,1.93,1.84,,,1.1959073981609876,2.626931810679674,0.38373981319834294
34,1.81,1.98,1.76,1.8101,5926877,1.95,1.85,,,1.2356856571414565,2.626389375984773,0.37775839796988986
35,1.82,1.95,1.75,1.92,3430047,2.0,1.87,,,1.2770902287961647,2.618169909829755,0.3650613695434692
36,1.99,1.99,1.8,1.835,2278291,2.01,1.88,,,1.296040321915266,2.6180613762835465,0.35255698600464996
37,1.85,1.95,1.83,1.9,2052377,1.97,1.88,,,1.2980940448712008,2.591668643588329,0.33594577271860354
38,1.92,1.93,1.82,1.91,2323309,1.92,1.85,,,1.304402694243873,2.52978637893227,0.319806788952989
39,1.96,2.095,1.87,2.0475,3088677,1.91,1.84,,,1.3326886179432524,2.4940258058139015,0.3130348754563469
40,2.12,2.27,2.06,2.2465,4675987,1.95,1.86,,,1.3210058146284154,2.497236515794622,0.3065680986380364
41,2.37,2.58,2.36,2.495,5112260,2.02,1.9,,,1.2818053137376602,2.591591458006837,0.30849180587817665
42,2.42,2.43,2.2,2.3,3583909,2.05,1.94,,,1.3131885133836056,2.6259186317228735,0.3075281054583069
43,2.16,2.25,2.0,2.0351,3308166,2.08,1.97,,,1.3514453438216787,2.6318363512465472,0.30699038363985637
44,2.06,2.145,1.96,2.07,2093900,2.09,2.0,,,1.444345577695407,2.607240539928699,0.2982767848084381
45,2.21,2.248,2.035,2.06,3130262,2.12,2.02,,,1.489133549499054,2.608218910243636,0.2921855858935497
46,2.13,2.2,1.96,1.98,3949212,2.13,2.04,,,1.5570530517248347,2.6053175063312324,0.2884580440440105
47,1.98,2.12,1.98,2.1,2409551,2.15,2.06,,,1.6323036666431607,2.579552146819498,0.2778538980408669
48,2.0,2.05,1.86,2.01,6210654,2.14,2.05,,,1.631274749853414,2.5605515929112728,0.27515004818080496
49,1.88,1.89,1.73,1.79,7433314,2.09,2.02,2.2,,1.6060381622194486,2.5158190138660013,0.27549647331074745
50,1.82,1.84,1.75,1.75,54434338,2.01,2.0,2.15,,1.5864325249056819,2.4748601589943853,0.26224672521712267
51,1.75,1.75,1.45,1.545,8606900,1.93,1.98,2.1,,1.5091239020877012,2.4926283245498126,0.2649433877016139
52,1.48,1.74,1.42,1.685,7061338,1.89,1.98,2.05,,1.4390493693113204,2.507070175424299,0.26887600286578434
53,1.65,1.69,1.5,1.53,5123137,1.83,1.95,2.0,,1.3872203780845265,2.518109353600674,0.26324200266108544
54,1.58,1.73,1.55,1.69,6026168,1.79,1.94,1.96,,1.3586762753141726,2.5271134367742145,0.2587247167567222
55,1.72,1.84,1.61,1.78,6215431,1.76,1.94,1.93,,1.3420150743546533,2.528475726350314,0.25667295127409917
56,1.83,1.89,1.75,1.77,5260911,1.73,1.93,1.9,,1.3382202001840497,2.527502089966279,0.24833916904023493
57,1.85,1.915,1.8,1.87,4972178,1.71,1.93,1.88,,1.3364785816341003,2.527214763333074,0.2409577998230753
58,1.89,1.9092,1.75,1.8,2833455,1.71,1.93,1.87,,1.3316010579946422,2.5271431415731884,0.2351179569785699
59,1.9,2.09,1.88,2.06,5640039,1.75,1.93,1.87,,1.33191091653848,2.5267588796088876,0.23903810290867206
60,2.19,2.2,2.01,2.12,4914871,1.81,1.92,1.87,,1.3337813775147205,2.517067240240836,0.23553538127233836
61,2.18,2.2,2.04,2.12,4310666,1.86,1.9,1.88,,1.3726926964626616,2.4328733176177026,0.23013999689574277
62,1.98,2.1,1.96,2.02,4710111,1.91,1.89,1.89,,1.3934771463917972,2.3704252991897246,0.22512999711747544
63,2.0,2.295,1.98,2.23,5767556,1.97,1.9,1.9,,1.3944588724823679,2.3796198906717314,0.23154928303765576
