,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,17.67,18.35,17.6,18.27,1916531,,,,,,,0.75
1,18.44,18.94,17.78,18.94,1014198,,,,,,,0.7792857142857142
2,18.95,19.67,18.32,18.58,1297536,,,,,,,0.8200510204081634
3,18.94,19.35,18.53,19.3,818367,,,,,,,0.8200473760932946
4,18.42,18.7,17.78,18.035,1127758,,,,,,,0.8700439920866306
5,17.23,17.69,17.05,17.47,1654879,,,,,,,0.8782551355090141
6,15.55,16.19,14.29,14.41,1221056,,,,,,,1.042665482972656
7,15.18,15.59,14.32,15.59,1206251,,,,,,,1.0589036627603234
8,14.88,15.205,14.48,14.97,2316893,17.28,,,,,,1.062553401134586
9,13.69,15.1,13.12,13.5,2109189,16.76,,,,,,1.1280853010535443
10,14.65,15.15,13.405,15.15,1822426,16.33,,,,,,1.1721506366925771
11,13.25,14.51,12.59,12.8,1753007,15.69,,,,,,1.2712827340716788
12,13.23,13.67,12.55,13.29,2619892,15.02,,,,,,1.26047682449513
13,12.4,12.97,10.8538,11.48,2047214,14.3,,,,,,1.3444570513169065
14,11.5,13.07,10.76,12.4801,2649933,13.74,,,,11.89668997509024,18.833780759079666,1.4134244047942703
15,12.76,13.94,12.3,13.12,3495115,13.6,,,,11.578919064965193,18.53754366766356,1.4296083758803937
16,13.22,14.22,13.1,13.36,2453597,13.35,,,,11.414488605419663,18.09943258254629,1.407493491888937
17,14.31,14.81,13.7,14.25,2103376,13.27,,,,11.39563861234965,17.45473968271816,1.4105296710397273
18,14.14,14.59,13.1,13.58,1728104,13.28,,,,11.453896132168893,16.75490783691061,1.4162061231083183
19,13.87,14.83,13.39,14.67,1893226,13.23,15.16,,,11.59765007687702,16.086847679795667,1.4179056857434384
20,13.97,14.39,13.39,13.48,1493753,13.3,14.92,,,11.808769189474791,15.523146113270471,1.4080552796189072
21,13.48,14.795,13.05,14.69,1595469,13.46,14.71,,,11.78842057510653,15.29875517966792,1.4321227596461281
22,14.83,16.29,14.67,15.8,2267531,13.94,14.57,,,11.771937250177547,15.444461208763707,1.4455425625285476
23,15.19,16.3,14.94,15.49,2102643,14.27,14.38,,,11.746210937638473,15.632376162944514,1.4394323794907944
24,15.46,16.4,15.12,15.72,1450895,14.56,14.27,,,11.740668830079526,15.833139387582555,1.4280443523843092
25,15.34,15.69,14.29,14.63,1302160,14.7,14.12,,,11.762127642841543,15.898262254839366,1.4281840414997158
26,15.33,15.86,15.2967,15.71,835695,14.86,14.19,,,11.837094471244898,16.030466775478423,1.4140280385354504
27,16.39,16.81,15.72,15.94,1062326,15.13,14.21,,,11.934175036548764,16.313431529326213,1.3915974643543467
28,16.12,16.61,15.68,16.31,869775,15.31,14.27,,,12.38053289665551,16.474930584994578,1.358626216900465
29,16.89,17.66,16.71,16.9,1667241,15.69,14.44,,,12.905714706673987,16.771792554352512,1.358010058550432
30,16.77,17.09,15.99,16.1,1115351,15.84,14.49,,,13.216270816793376,16.95112067942507,1.3395807686539725
31,16.58,16.98,16.18,16.39,769943,15.91,14.67,,,13.422764279479567,17.08446641854093,1.3067535708929743
32,15.46,15.86,14.69,15.07,905361,15.86,14.76,,,13.527172021762802,17.102496332462422,1.3348426015434762
33,15.07,15.42,14.67,15.42,869682,15.83,14.96,,,13.73986147522967,17.08773028061267,1.2930681300046565
34,16.14,16.43,15.825,16.03,769883,15.99,15.13,,,13.97450898221035,17.12594258369793,1.2728489778614667
