,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,117.13,118.515,110.56,114.83,338234,,,,,,,7.954999999999998
1,114.94,119.12,114.01,115.37,250648,,,,,,,7.751785714285713
2,116.34,119.3593,114.66,118.76,229453,,,,,,,7.533751020408163
3,116.14,117.38,110.23,114.21,709676,,,,,,,7.60491166180758
4,110.43,113.95,108.19,110.51,292160,,,,,,,7.491703685964181
5,104.26,104.26,90.52,91.85,433370,,,,,,,8.38443913696674
6,93.73,96.57,88.57,96.09,799510,,,,,,,8.356979198611974
7,93.38,94.85,90.23,91.06,822694,,,,,,,8.178623541568262
8,84.98,84.98,74.17,74.27,497093,102.99,,,,,,8.80086471717053
9,77.84,79.72,69.43,76.37,596645,98.72,,,,,,8.90723152308692
10,69.35,71.905,66.555,67.125,1214692,93.36,,,,,,8.972072128580711
11,68.34,72.2,64.88,72.01,440349,88.17,,,,,,8.854066976539233
12,67.0,69.695,55.445,59.2,423486,82.05,,,,,,9.404847906786431
13,58.49,61.99,55.275,58.61,1017638,76.29,,,,,,9.212715913444544
14,58.19,61.62,51.0,51.95,450421,71.85,,,,,,9.313236205341363
15,52.09,53.49,43.99,46.5,530077,66.34,,,,,,9.326576476388409
16,49.68,72.145,49.45,69.02,584533,63.9,,,,,,10.492178156646379
17,67.11,79.64,59.685,67.01,1269116,63.09,,,,,,11.16809400260021
18,63.27,68.87,62.0,63.54,421088,61.66,,,,,,10.861087288128767
19,60.39,60.39,50.81,57.66,1669108,60.61,80.8,,,27.340953430360358,131.13186029753436,10.994581053262426
20,57.51,60.3251,52.24,57.43,507070,58.99,77.93,,,26.044399238279333,126.88726385525196,10.786760978029395
21,56.51,58.68,51.84,53.06,562586,58.31,74.81,,,26.042857058636017,121.69237007939904,10.504849479598724
22,50.48,52.56,46.0,46.65,283787,56.98,71.21,,,26.55642097857792,115.72372103201549,10.25878880248453
23,46.15,48.1,44.47,44.845,1085924,56.19,67.74,,,27.59393225311475,109.25753138690175,9.78530388802135
24,44.91,45.86,40.8,43.76,555612,55.89,64.4,,,29.49225029250303,102.37186933623994,9.44778218173411
25,46.78,50.48,45.07,48.805,373936,53.64,62.25,,,29.998554314710564,96.44631600790602,9.252940597324532
26,52.12,54.06,48.54,51.73,460909,51.94,60.03,,,31.67517818265248,91.36360309561331,8.986301983229923
27,53.32,61.68,52.67,61.03,760246,51.66,58.53,,,35.81551842735461,85.6720860501047,9.055137555856357
28,64.44,71.18,62.56,64.33,597931,52.4,58.03,,,37.265020824940656,82.92820643876907,9.133342016152332
29,64.0,64.0,56.74,58.97,305906,52.58,57.16,,,38.31061875741032,80.51638920370166,9.02310330071288
30,60.93,61.85,51.81,52.49,856666,52.51,56.43,,,39.02965134896743,79.41292260853777,9.095738779233388
31,51.81,51.81,45.0506,45.75,1912500,52.41,55.12,,,39.0884165785725,78.13504281751975,8.977428866431003
32,45.41,50.04,44.01,49.63,1226028,52.94,54.64,,,38.27041237560844,77.16685863454487,8.766898233114503
33,51.59,53.26,50.02,50.06,793419,53.64,54.21,,,38.19403823625545,76.8949741255622,8.399976930749181
34,48.3,49.07,45.0,46.79,519253,53.42,53.95,,,37.66024550338952,76.75451608246348,8.161407149981383
35,45.0,48.48,43.57,47.66,1323862,52.97,54.01,,,37.594346791074535,76.91625239485342,7.929163782125569
36,49.25,51.88,48.33,51.31,463092,51.89,53.13,,,37.51579483131505,74.8772015339615,7.664223511973743
37,51.95,55.12,50.29,52.86,669525,50.61,52.42,,,37.888104309639296,70.14294682312979,7.46177897540419
38,53.37,55.66,52.29,54.77,639648,50.15,51.98,,,38.85456928772376,68.1072497802237,7.169509048589605
39,55.48,63.59,55.475,62.7,1343896,51.28,52.23,,,38.71886576115511,68.61224487720663,7.287401259404633
40,65.42,67.835,61.425,63.26,590757,53.23,52.52,,,37.9289310430047,69.96829319544581,7.2247297408757305
41,66.42,78.71,63.2,75.26,1955822,56.07,53.63,,,37.08248773984731,74.27556831538523,7.816534759384607
42,73.1,74.0,69.93,72.83,784570,58.6,54.94,,,35.846605723602096,76.82692880305684,7.638925133714277
43,69.45,70.99,62.56,66.18,320662,60.76,56.01,,,36.391669514939935,78.25836761267834,7.826859052734687
44,64.84,66.15,61.67,64.22,438320,62.6,57.03,,,37.921876955713046,78.48581715327352,7.589940548967924
45,65.23,69.18,64.03,68.01,841468,64.45,57.99,,,38.7257508421432,79.28626885780005,7.415659081184501
46,68.47,72.84,64.72,72.07,348723,66.59,59.01,,,39.15672444438155,80.66224365906427,7.46596914681418
47,74.31,77.6,73.15,74.21,456606,68.75,59.67,,,38.373795089453125,82.73038878947645,7.327685636327454
48,76.29,77.795,74.39,74.92,444624,70.11,60.2,,,37.38280991626495,83.85459185529348,7.060350948018351
49,73.36,76.65,72.07,75.37,439828,71.45,61.02,67.34,,37.001596875748135,85.36426985334835,6.883183023159899
50,75.01,75.92,73.9,74.98,318288,71.42,62.14,66.54,,37.08338196100742,86.72651457075925,6.535812807219906
51,73.41,73.74,66.9,68.94,468971,70.99,63.3,65.61,,38.89350144559134,87.38539859529851,6.646111892418483
52,67.58,70.56,67.09,70.15,386810,71.43,64.33,64.64,,41.209896461425174,87.27265525891379,6.419246757245735
53,70.89,72.815,69.45,72.02,383010,72.3,65.43,63.8,,42.546735008242536,87.46385671070523,6.201086274585325
54,76.31,80.44,75.31,80.06,439632,73.64,67.09,63.19,,44.927282073647895,87.85787040900347,6.359580112114945
55,79.43,81.69,74.6,77.93,170354,74.29,68.6,62.91,,48.400896426385806,87.66948228773775,6.411752961249593
56,79.09,81.26,77.12,78.15,138553,74.72,69.94,62.55,,50.98491895221741,87.28383497676498,6.2494848925889075
57,78.01,81.23,78.01,80.02,210876,75.29,71.3,62.33,,53.554175828453985,86.81543106055075,6.033093114546842
58,80.78,81.235,80.0,80.47,409046,75.86,72.59,62.45,,55.95937291091763,85.59854836515692,5.690372177793496
59,81.12,88.76,80.58,86.74,218755,77.16,73.79,62.66,,57.971935457507655,87.25579265224539,5.876059879379676
60,89.96,91.38,85.14,91.24,463268,79.64,75.19,63.14,,58.31581653839558,89.70092275887198,5.902055602281128
61,92.14,92.965,88.16,88.77,182150,81.71,75.86,63.48,,58.30138026252406,92.26886861404616,5.823694487832477
62,87.38,92.62,86.631,90.05,293632,83.71,76.72,64.1,,57.99795086938647,94.49749466739298,5.835502024415872
63,89.73,90.36,87.3681,88.63,897998,84.67,77.85,64.7,,59.05083596915371,95.8253034673848,5.632387594100453
64,89.66,90.6925,86.51,86.69,823524,85.64,78.97,65.39,,60.80740001088383,96.41194921181075,5.528824194521849
65,87.65,88.8,85.3,85.42,803340,86.45,79.84,66.17,,62.49908042839455,96.71192411908868,5.383908180627431
66,83.84,84.94,80.94,81.01,366589,86.56,80.29,66.41,,64.48452902201865,96.72089376846556,5.319343310582615
67,84.51,85.15,80.17,81.45,626026,86.67,80.65,66.7,,65.01501891139284,96.94177593857202,5.295104502683857
68,83.59,97.1,82.5821,96.85,496736,87.79,81.75,67.36,,65.45035223512542,99.02827923472258,6.034739895349294
69,92.44,95.35,88.55,93.785,516222,88.07,82.67,68.09,,66.0170308684473,100.37882006017404,6.19654418853863
70,92.12,92.12,86.57,86.91,245828,87.87,83.26,68.68,,66.61111990046089,100.91508076878183,6.269291032214443
71,81.66,81.69,72.97,73.49,660552,86.03,83.49,69.08,,67.93536643382446,100.39121589631584,6.817198815627696
72,78.59,80.55,74.955,74.955,53566,84.51,83.73,69.65,,69.67984461948102,99.21501004507105,6.834541757368576
73,74.88,81.32,74.53,80.18,259508,83.78,84.14,70.36,,70.83350111162176,98.18398928192191,6.83136020327082
74,84.56,85.84,79.77,80.57,262330,83.24,84.17,71.09,,71.4097635216503,98.04274541723451,6.776977331608618
75,80.55,80.9,77.76,78.42,258738,82.96,84.19,71.69,,71.93094599125348,98.09438519150646,6.517193236493717
76,76.84,81.5465,75.75,80.63,231442,82.87,84.31,72.26,,71.70947730267768,98.07641792035271,6.4657151481727375
77,81.0,81.92,76.36,76.9,158165,80.65,84.16,72.58,,71.47430141490894,98.03473552112733,6.401021209017543
78,76.93,79.15,75.52,79.15,102817,79.02,84.09,72.88,,70.9128778986758,98.2127160817803,6.203091122659148
79,80.58,80.73,78.36,79.57,99814,78.21,83.73,73.29,,70.72212366792152,98.14444393560493,5.929298899612067
80,78.29,81.41,77.26,80.9,150047,79.03,83.22,73.86,,70.36020111577962,97.66655858675756,5.802206121068347
81,79.63,81.54,78.65,81.25,129018,79.73,82.84,74.57,,70.44469322724217,96.82209259909311,5.594191398134894
82,80.77,81.41,77.54,77.88,129319,79.47,82.23,75.13,,70.38292620066582,95.91525025973588,5.471034869696687
83,79.76,85.5039,78.2,82.74,146800,79.72,81.94,75.79,,70.58692723354325,95.39139971902421,5.6248109504326385
84,82.22,82.22,74.3,76.33,370245,79.48,81.42,76.38,,70.36291971433256,94.66030226981688,5.825895882544592
85,75.71,78.45,74.82,75.16,134116,78.88,80.91,76.93,,70.24618089530028,94.26505753596014,5.669046176648551
86,77.29,79.18,74.25,74.72,120009,78.63,80.59,77.4,,69.82176852950124,94.17924018023976,5.616257164030798
87,76.51,77.58,73.32,74.19,181911,78.08,80.23,77.82,,69.29889415629445,94.11401622558405,5.519381652314313
88,73.24,73.85,71.27,71.66,116521,77.2,78.97,78.16,,68.62159100812386,91.61307880371827,5.333711534291862
89,71.67,72.14,70.05,72.06,128946,76.22,77.88,78.35,,69.07137114564293,89.23695169542788,5.102017853271016
90,71.9,72.145,68.74,71.29,171988,75.11,77.1,78.51,,69.3363696413178,87.33669280165228,4.980802292323086
91,71.28,73.89,70.245,73.78,137117,74.66,77.12,78.48,,68.86416674895497,87.37231687205322,4.885387842871437
92,75.88,76.54,71.72,72.88,169384,73.56,77.01,78.48,,68.52275173162693,87.27049788076296,4.880717282666335
93,72.59,76.725,71.74,76.23,174772,73.55,76.82,78.68,,68.22760748128131,87.0683356964899,4.888166048190168
94,78.74,84.49,78.1,82.76,183030,74.4,76.92,79.05,,68.37318429824712,86.78053202061477,5.129011330462299
95,81.61,83.14,80.07,80.91,106418,75.08,77.05,79.31,,68.17654958726322,87.06769353139528,4.981939092572135
96,81.26,83.69,79.755,83.48,135933,76.12,77.19,79.54,,68.02540629111128,87.36625201071465,4.907157728816983
97,82.83,83.67,79.98,80.73,105995,77.12,77.38,79.67,,67.87967374383408,87.6102563911872,4.820217891044342
