,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,119.6,121.3,116.92,120.09,328228,,,,,,,4.3799999999999955
1,120.43,126.4,118.92,126.35,304019,,,,,,,4.601428571428568
2,126.55,129.64,124.22,124.74,385282,,,,,,,4.659897959183669
3,127.62,129.38,125.25,128.87,472428,,,,,,,4.658476676384836
4,123.99,126.61,122.64,123.3,273603,,,,,,,4.770728342357349
5,119.1,122.91,118.965,121.8,246922,,,,,,,4.739604889331823
6,112.2,112.6,107.26,108.8,272127,,,,,,,5.439633111522407
7,112.23,112.77,105.87,111.6201,429886,,,,,,,5.543945032127949
8,108.2,109.41,102.81,104.11,323291,118.85,,,,,,5.777241815547381
9,95.52,97.18,85.4,85.47,545466,115.01,,,,,,6.701010257293996
10,91.36,96.77,86.48,96.42,593155,111.68,,,,,,7.029509524630139
11,86.82,89.4,82.89,83.05,420650,107.05,,,,,,7.493830272870844
12,84.41,89.03,80.78,84.51,503300,102.12,,,,,,7.547842396237213
13,78.75,80.91,70.56,80.81,544582,97.4,,,,,,8.005139367934555
14,80.21,84.94,75.2,82.56,587317,93.04,,,,,,8.12905798451066
15,82.92,88.005,76.81,78.0,502031,89.62,,,,,,8.348053842759898
16,77.43,78.615,73.84,76.71,286445,85.74,,,,,,8.09283571113419
17,81.7,86.31,80.77,84.46,248924,83.55,,,,,,8.200490303196036
18,85.17,92.38,80.8,88.48,252436,83.89,,,,,,8.441883852967747
19,90.2,99.005,89.79,98.3,264800,84.1,100.42,,,76.88564683616035,121.38210241119482,8.59067786347005
20,98.26,98.26,92.66,93.73,254649,85.28,99.1,,,76.27954175208384,119.76664121205599,8.379915158936475
21,93.28,93.835,89.58,91.3,319817,86.04,97.35,,,75.64230628352871,117.28147790980452,8.085278361869584
22,90.77,94.76,90.0165,92.48,295050,87.34,95.74,,,75.43020462213175,114.11129074116664,7.846579907450328
23,88.23,90.18,85.18,86.64,205985,87.79,93.63,,,75.37003596124812,110.45411030358187,7.807538485489591
24,85.69,89.805,84.16,86.54,188488,88.74,91.79,,,75.62012068175602,106.7378243879796,7.653071450811764
25,85.85,87.41,82.72,83.63,226709,89.51,89.88,,,76.15127110654299,103.04639460718163,7.441423490039495
26,88.02,92.27,87.3,91.49,287847,90.29,89.02,,,76.45275196664043,100.90468755792607,7.527036097893817
27,96.27,99.345,93.95,94.06,254294,90.91,88.14,,,77.01355636321294,98.96567696863448,7.550462090901402
28,96.08,99.09,94.19,97.7,168877,90.84,87.82,,,77.48281454376196,97.4036821026438,7.370429084408445
29,100.21,102.82,98.34,101.03,228315,91.65,88.6,,,77.4135398401085,98.0898706451197,7.209684149807841
30,100.32,100.99,96.57,97.32,155274,92.32,88.64,,,77.466584818133,98.54209118591403,7.013278139107282
31,98.76,100.52,96.5034,97.4,153781,92.87,89.36,,,77.78532762982275,99.34045532122684,6.79922970059962
32,94.32,95.34,93.005,94.25,165540,93.71,89.84,,,78.3495675693229,99.63687839212922,6.627499007699647
33,94.34,94.34,89.83,90.86,156553,94.19,90.35,,,80.20815752236399,99.72518215731778,6.4762490785782445
34,95.5,97.76,94.605,97.45,111037,95.73,91.09,,,81.62883622248886,100.10634758969475,6.506517001536942
35,95.29,97.28,94.4308,95.04,176038,96.12,91.94,,,82.97588109116711,100.43627568678622,6.257422929998588
36,91.95,93.77,89.865,91.09,108608,95.79,92.66,,,84.92210894116836,99.87463518601666,6.180107006427262
37,93.49,93.65,91.7483,93.23,89452,95.3,93.1,,,85.9549203034301,99.75617027859447,5.921527934539601
38,94.29,95.88,93.05,93.13,103883,94.42,93.33,,,87.15959996035552,99.85901394210538,5.700704510643916
39,94.76,94.87,92.18,94.37,128795,94.09,93.14,,,87.29253411771995,99.58576450938959,5.485654188455064
40,95.03,98.5,95.03,98.27,140282,94.19,93.36,,,87.34354579719016,99.60653767061967,5.388821746422559
41,100.2,103.04,99.2,101.64,215666,95.01,93.88,,,87.53359897076365,100.36968357915408,5.344620193106663
42,104.75,106.88,103.3061,106.22,220482,96.72,94.57,,,87.58909992785847,101.59130514419412,5.337147322170472
43,103.86,105.12,101.68,103.66,242088,97.41,95.42,,,88.37071544981382,102.431927096623,5.280208227729724
44,101.14,101.14,96.8,99.11,249020,97.86,96.05,,,89.45908099782118,102.72312069004658,5.393050497177601
45,97.1,98.46,95.675,96.65,144519,98.48,96.7,,,90.94677327364589,102.56413462318811,5.253189747379201
46,98.48,99.92,96.99,97.15,171980,98.91,96.98,,,91.8378858835415,102.67120856939744,5.111533336852116
47,97.76,98.34,94.84,94.88,148778,99.11,97.02,,,91.89541919935135,102.62192310660603,4.99642381279125
48,93.11,96.12,90.23,91.06,352287,98.74,96.69,,,91.51824192691332,102.52355113179324,5.060250683306161
49,92.22,98.44,92.22,98.1,333605,98.72,96.54,97.16,,91.23325198407228,102.18060994086838,5.225947063070007
50,96.44,96.97,94.95,95.02,299783,97.98,96.43,96.66,,91.17360449846488,101.94697042180215,5.077665129993577
51,94.93,95.27,89.16,89.19,176973,96.09,96.02,95.91,,90.62060080906748,101.70653544543825,5.151403334994036
52,88.52,88.52,85.175,86.09,256794,94.14,95.61,95.14,,89.70844822753553,101.91013057200598,5.070231668208748
53,84.01,86.935,81.72,85.81,215748,92.66,95.36,94.28,,88.57091288299064,102.13730505616898,5.080572263336695
54,84.68,87.23,84.55,85.98,266003,91.48,94.78,93.53,,87.68470713447255,102.11439800717217,4.909102815955503
55,90.45,95.28,90.45,94.54,234869,91.19,94.76,92.99,,87.46266861956806,102.02406081547952,5.222738329101538
56,94.8,95.56,92.08,92.14,182479,90.88,94.81,92.66,,87.61665692995484,102.07621426508413,5.09825701988
57,93.91,94.6525,91.77,91.96,288551,90.98,94.75,92.26,,87.61801366691421,102.09943767686674,4.939988661317144
58,92.1,93.74,91.59,93.31,271403,90.45,94.76,92.05,,87.53517756385756,102.03507528939807,4.740703756937347
59,94.13,94.13,91.85,92.45,87448,90.16,94.66,92.19,,87.5156269975484,102.01448787793792,4.564939202870394
60,96.99,99.383,95.66,98.12,191246,91.16,94.65,92.22,,87.5327453949681,102.07794778529613,4.7340864026653655
61,101.4,105.3,99.785,105.29,224789,93.29,94.84,92.66,,87.5255719587206,102.35292960767285,4.908794516760696
62,107.41,107.41,101.94,102.1,219564,95.1,94.63,93.02,,87.58471014306939,102.43138860350672,4.948880622706361
63,100.29,101.32,98.725,100.35,161725,96.7,94.46,93.41,,87.65329637382665,102.00438891945917,4.836460578227336
64,101.06,102.89,100.25,100.78,111305,97.39,94.55,93.77,,87.6311242617036,102.18264089144712,4.679570536925383
65,101.92,103.32,100.51,100.78,143121,98.35,94.76,94.23,,87.64049035597336,102.6111176862654,4.546029784287855
66,102.79,106.662,102.79,105.75,210615,99.88,95.18,94.81,,87.58448893447111,103.32300887538668,4.641456228267295
67,105.57,107.14,104.47,106.36,152046,101.33,95.76,95.25,,87.58117520819239,104.15100118559634,4.500637926248203
68,112.51,115.08,110.52,111.785,294131,103.48,96.8,95.71,,87.68249114313423,106.16137485863679,4.802020931516188
69,115.37,116.08,113.76,115.975,305549,105.46,97.69,96.07,,87.68624215210826,107.99332985276516,4.765805150693604
70,112.98,113.08,109.5701,110.12,233541,106.0,98.44,96.39,,87.9008976274968,109.28995476856308,4.8828833542154895
71,109.45,109.45,102.02,102.1,317441,106.0,99.09,96.61,,88.66218585316571,110.12937716847655,5.112677400342955
72,96.29,97.7192,92.41,92.46,252497,105.12,99.41,96.61,,89.41563428645748,110.13140793818127,5.439629014604172
73,97.13,98.135,95.66,95.685,58648,104.56,99.9,96.79,,90.98538722475959,110.01632989466302,5.456441227846732
74,92.54,97.06,92.17,95.93,189047,104.02,100.4,96.98,,91.93913860605595,109.79715076681619,5.415981140143393
75,100.78,101.78,96.46,97.15,227821,103.06,100.53,97.25,,92.49871117778255,109.91258051302142,5.446982487276008
76,96.9,97.11,93.51,93.79,300898,101.67,100.61,97.29,,92.64294268964316,109.9106357003562,5.317912309613436
77,92.09,95.34,91.635,91.95,224210,99.46,100.61,97.25,,92.6280878480274,109.90205389762764,5.202704287498191
78,92.99,93.19,88.51,88.76,339586,96.44,100.38,97.07,,92.25451953824597,109.91544229415658,5.165368266962606
79,87.93,89.87,86.52,89.58,258526,94.16,100.24,96.84,,91.59841588473176,110.0532941526239,5.035699105036706
80,90.66,90.66,87.62,88.96,280400,92.7,99.78,96.68,,90.79836039932997,110.08881771681365,4.893149168962655
81,87.57,87.57,82.94,82.98,296851,91.64,98.67,96.39,,89.21932619550923,109.85121968237026,4.97363851403675
