,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,77.51,79.06,77.05,77.42,489871,,,,,,,2.010000000000005
1,76.24,78.03,74.01,75.12,664899,,,,,,,2.153571428571433
2,73.13,75.3,72.28,74.86,1108351,,,,,,,2.2154591836734734
3,74.89,76.77,74.28,76.58,1041942,,,,,,,2.2350692419825107
4,76.56,78.85,73.64,73.87,708312,,,,,,,2.4475642961266164
5,78.0,82.53,76.85,82.1,1236746,,,,,,,2.8913097035461437
6,80.63,80.63,76.86,78.9,1074760,,,,,,,3.0590732961499905
7,76.99,78.07,74.66,77.31,776490,,,,,,,3.143425203567849
8,72.68,73.04,69.315,69.81,1130730,76.22,,,,,,3.4899662604558603
9,71.78,72.03,68.84,71.73,810652,75.59,,,,,,3.4685400989947275
10,69.94,69.98,62.82,63.85,1034751,74.33,,,,,,3.85721580620939
11,58.83,62.26,54.5,59.0,2482544,72.57,,,,,,4.249557534337291
12,62.28,64.03,57.6,63.9,993351,71.16,,,,,,4.405303424741771
13,53.0,61.765,52.01,57.53,1664570,69.35,,,,,,4.939924608688787
14,58.67,59.52,55.44,56.03,948963,66.45,,,,,,4.8785014223538745
15,52.43,55.21,48.01,52.92,1057106,63.56,,,,,,5.102894177900026
16,52.91,58.61,51.67,53.8901,1076795,60.96,,,,,,5.234116022335739
17,53.85,55.13,48.61,50.54,1748218,58.82,,,,,,5.3259648778831865
18,50.2,53.18,48.22,50.08,1190036,56.42,,,,,,5.299824529462959
19,53.04,55.27,50.5,54.94,819871,55.43,66.02,,,40.64400562270278,88.68692561859902,5.2919799202156055
20,54.72,57.54,53.17,55.95,864122,55.09,64.95,,,39.97594599825883,87.52679880459422,5.226124211628776
21,57.01,61.82,55.87,59.46,733028,54.59,64.16,,,39.631890745302385,86.21127766375977,5.277829625083863
22,57.33,61.95,55.76,60.66,703707,54.94,63.45,,,39.322808217772604,85.19980025681038,5.342984651863588
23,60.33,62.92,58.97,62.74,755971,55.69,62.76,,,39.586603636565876,83.84883276489492,5.2434857481590464
24,63.47,65.01,62.76,64.03,992336,56.92,62.27,,,40.07364710371746,82.01811038706055,5.031093909004829
25,61.49,62.45,60.13,60.69,794937,57.68,61.2,,,41.141216645389065,78.83183379917187,4.950301486933055
26,59.87,62.45,59.39,62.08,825568,58.96,60.36,,,42.63568303348886,75.63346113139413,4.815279952152123
