,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,80.46,81.75,77.43,77.91,408911,,,,,,,4.319999999999993
1,79.06,81.55,78.54,80.59,373305,,,,,,,4.271428571428565
2,78.31,79.71,77.27,77.83,273536,,,,,,,4.203469387755097
3,75.32,77.35,75.03,76.94,378949,,,,,,,4.103221574344018
4,70.18,72.85,69.325,69.86,442418,,,,,,,4.354062890462302
5,71.37,71.99,66.085,69.01,827475,,,,,,,4.464844112572138
6,66.86,68.49,66.04,67.28,529959,,,,,,,4.358069533102699
7,62.44,63.1,54.83,54.93,802977,,,,,,,4.936064566452506
8,57.91,62.855,55.57,62.85,626872,70.8,,,,,,5.149559954563041
9,60.85,60.85,52.17,52.57,569728,67.98,,,,,,5.544591386379967
10,53.77,53.77,45.15,48.34,1138988,64.4,,,,,,5.76426343020997
11,44.71,55.85,41.85,48.79,926826,61.17,,,,,,6.352530328052115
12,48.5,51.88,47.4801,50.87,775305,58.28,,,,,,6.213056733191251
13,50.64,52.6848,49.47,49.51,1035649,56.02,,,,,,5.998895537963305
14,49.55,51.6,48.555,51.185,642555,54.04,,,,,,5.787902999537355
15,53.12,54.42,50.555,52.93,502490,52.44,,,,,,5.650552785284687
16,52.83,56.77,52.72,54.6,310532,52.4,,,,,,5.536227586335782
17,55.05,62.16,55.05,61.8,321352,52.29,,,,,,5.680782758740369
18,59.74,60.8669,57.765,57.99,532866,52.89,,,,,,5.56322684740177
19,57.88,59.61,56.44,59.16,518479,54.09,61.25,,,35.70981010192056,84.51845851388482,5.392282072587358
20,58.99,62.26,58.95,61.38,362807,55.49,60.42,,,36.49283674603379,81.76961648993347,5.243547638831118
21,58.67,59.69,55.745,56.59,392339,56.13,59.22,,,37.66340992977102,78.55889267681148,5.271508521771754
22,56.5,59.94,56.45,58.7,204038,57.15,58.26,,,39.221404773042806,75.31912606763467,5.144257913073771
23,58.19,58.9,54.68,56.09,574615,57.69,57.22,,,40.912922710198416,72.15795712717009,5.078239490711359
24,58.4,61.0668,58.14,59.02,854938,58.37,56.68,,,42.03358756369341,69.98815880808846,5.070993812803405
25,61.74,63.055,59.23,59.81,862920,58.95,56.22,,,42.76494717659524,67.9383484077397,4.996994254746018
26,60.98,61.625,59.46,60.23,761806,58.77,55.87,,,43.63547373577796,66.52325144710598,4.794708950835588
27,61.7,63.93,60.51,63.26,591270,59.36,56.28,,,43.44481675830571,66.67155902955302,4.7165154543473315
28,62.92,63.02,60.1,61.0,459836,59.56,56.19,,,43.315856515614755,66.6982571445828,4.605335779036808
29,62.33,63.21,60.93,62.0,336796,59.63,56.66,,,43.36354351142023,67.01702330735834,4.439240366248464
30,59.64,60.471,58.51,58.92,535288,59.89,57.19,,,44.81044481115785,67.0252042735754,4.371437482945003
31,59.07,59.8,58.04,59.12,1040856,59.94,57.71,,,47.669668003608166,67.07084040601826,4.1849062341632175
32,60.78,63.46,60.165,63.31,461442,60.74,58.33,,,49.13119575968506,67.00155316302406,4.195984360294417
33,61.68,62.52,60.98,61.03,554676,60.96,58.91,,,50.259947587083026,66.69607920621198,4.06269976313053
34,59.22,62.03,58.896,61.08,500714,61.11,59.4,,,52.060020591305125,65.67667451875688,3.9963640657640633
35,62.66,62.8599,61.15,61.41,460176,61.24,59.82,,,53.48875547226502,65.03777895010684,3.8380452039237736
36,61.91,64.17,61.91,62.6,438430,61.16,60.23,,,54.4292201294613,64.91864462931215,3.761041975072076
37,62.85,63.981,61.69,62.96,355330,61.38,60.28,,,54.913157849656315,65.16160793608447,3.6560389768526425
38,63.0,64.535,63.0,63.63,821308,61.56,60.56,,,54.846075073440566,65.52212682939991,3.507393335648882
39,65.7,67.89,65.25,67.22,544542,62.48,60.97,,,54.740761115163664,66.62953407047043,3.561150954531105
40,69.54,71.91,68.0,69.99,552028,63.69,61.4,,,53.97321710038082,68.8769628642735,3.6417830292074544
41,67.23,68.25,63.43,63.52,1008652,63.72,61.74,,,54.55644860362691,69.55691762931231,3.8502270985497793
42,61.35,61.99,57.82,59.55,1166006,63.55,61.79,,,54.792801680017334,69.48951844110626,3.9823537343676527
43,58.39,60.04,57.895,59.53,726844,63.38,61.96,,,55.49021732058715,69.38618072694449,3.8511141819128203
44,60.59,61.65,59.9,60.07,623088,63.23,62.01,,,55.704959735509455,69.37045951616294,3.7274631689190474
45,60.09,60.31,58.1,58.2,430410,62.74,61.93,,,55.54986274320767,69.40538157887123,3.619072942567687
46,59.19,60.37,58.79,60.09,409782,62.42,61.92,,,55.472240532929256,69.4450154771893,3.5155677323842807
47,61.43,62.69,60.89,62.58,378738,62.31,61.89,,,55.49219194289194,69.38211379209177,3.450170037213975
48,61.62,61.62,59.29,59.4,780692,61.44,61.81,,,55.41766312004029,69.3554111006762,3.4387293202701197
49,59.6,59.61,56.245,56.41,946488,59.93,61.53,61.07,,54.81961725999678,69.37944521426492,3.4334629402508257
50,55.76,56.05,54.66,55.95,1219454,59.09,61.38,60.63,,54.106232099956856,69.80310511991644,3.3132155873757667
51,54.55,56.475,52.945,56.43,932736,58.74,61.25,60.15,,53.08780930530713,70.07851025191972,3.328700188277498
52,56.13,57.45,55.2303,56.995,1154814,58.46,60.93,59.73,,52.51602704443574,70.11241323632078,3.24948588911482
53,59.55,62.59,59.55,61.96,1142390,58.67,60.98,59.43,,52.465095084792786,70.11635425860162,3.417022611320905
54,61.63,62.46,61.51,61.62,634508,59.05,61.01,59.27,,52.565145428696354,70.13681688104288,3.240806710512269
55,62.93,64.405,61.62,61.96,906796,59.26,61.03,59.13,,52.56819363938502,70.26603152604238,3.2082490883328214
56,61.96,64.24,61.96,63.71,522952,59.38,61.09,59.06,,52.56774912879596,70.27287687043564,3.1419455820233337
57,63.6,63.83,61.56,62.08,598372,59.68,61.04,59.2,,52.56775479967681,70.25931482766076,3.0796637547359524
58,64.89,65.59,64.25,65.23,681010,60.66,61.12,59.25,,52.49792186827454,70.38587114633951,3.110402057969099
59,66.89,69.33,66.66,68.84,602420,62.09,61.21,59.57,,52.33394174933815,70.68827657764398,3.18108762525702
60,69.73,69.79,64.91,65.34,744076,63.08,60.97,59.91,,52.75275639020304,70.11053442204539,3.3024385091672337
61,64.01,64.75,63.195,63.55,561718,63.81,60.97,60.21,,52.765113180633676,69.52606251422206,3.219764329941003
62,64.03,65.57,63.51,64.8,424818,64.13,61.24,60.49,,52.9365856403721,69.85179482916641,3.1369240206595026
63,65.69,66.65,65.24,65.83,374162,64.59,61.55,60.81,,53.04002140244039,70.31974071520885,3.0450008763266814
64,67.38,68.91,66.755,68.11,516892,65.28,61.95,61.15,,52.88569478820434,71.1400736505065,3.047500813731918
65,67.48,68.7,66.9536,68.37,494458,65.79,62.46,61.46,,52.99301784881434,71.81170619354715,2.954565041322496
66,71.4,73.0,70.31,70.62,897288,66.74,62.99,61.78,,52.74018821836988,73.30476064639244,3.0742389669423176
67,72.09,73.07,71.56,71.75,716736,67.47,63.45,61.98,,52.31536396544508,74.61276284631059,3.02965046930358
68,69.78,71.15,69.18,70.06,586718,67.6,63.98,62.22,,52.486218550791506,75.37712134717488,2.9968182929247527
69,69.54,70.09,68.15,68.53,707280,67.96,64.59,62.41,,53.32283624779361,75.77198564616042,2.921331272001556
70,65.12,65.64,62.88,62.91,863868,67.89,64.93,62.44,,54.60952048171536,75.17070867306057,3.116236181144302
71,65.57,65.58,62.98,63.01,107530,67.69,65.26,62.57,,56.644842504201435,74.39274906318089,3.0843621682054234
72,60.54,63.925,60.32,63.19,666682,67.39,65.57,62.66,,57.8963203555885,73.55439970697233,3.1215505847621787
73,66.29,67.15,64.77,65.19,511392,67.07,65.74,62.84,,58.59838728082673,73.45261483262908,3.181439828707738
74,65.36,65.67,62.75,62.98,465184,66.47,65.8,62.92,,58.77782852656683,73.25686097701667,3.162765555228614
75,62.22,63.18,61.88,62.47,471452,65.57,65.83,62.97,,58.81943983332582,73.34777400002193,3.0297108727122843
76,63.22,63.66,61.62,62.05,1230152,64.49,65.75,63.01,,58.765535972768795,73.38546170124782,2.959017238947121
77,61.82,63.82,60.54,63.58,319269,63.77,65.82,63.01,,58.5811586879698,73.3861430173256,2.981944579022327
78,64.48,64.48,62.34,63.67,276002,63.23,65.74,63.07,,58.386351039585335,73.41395617790423,2.921805680520732
79,62.7,63.14,60.75,61.12,317550,63.03,65.36,63.05,,57.90560771282763,73.27344198641364,2.92167670334068
80,60.56,63.01,60.28,62.97,394700,63.02,65.24,63.13,,57.41165040708413,73.0071618517028,2.907985510244917
81,62.26,64.46,61.04,63.63,552628,63.07,65.24,63.22,,57.16518370333233,73.01104634691998,2.944557973798851
82,64.75,65.34,63.69,65.31,277028,63.09,65.27,63.26,,57.17739353631911,73.00764103123593,2.8563752613846476
83,64.83,66.5,64.77,66.1,201765,63.43,65.28,63.36,,57.165419835186874,72.99990941661979,2.775919885571459
84,66.11,66.38,64.36,64.67,252611,63.68,65.11,63.43,,57.15011966962801,72.77524628245008,2.72192560803064
85,66.3,66.86,64.65,64.88,190263,63.99,64.93,63.5,,57.16275026473022,72.5958724903255,2.6853594931713083
86,66.18,66.38,64.64,65.33,181477,64.19,64.67,63.56,,57.56083697831341,71.42182529355466,2.6178338150876432
87,64.47,64.72,62.64,62.68,215283,64.08,64.22,63.55,,58.373891739277425,69.87802451350319,2.6229885425813833
88,62.37,62.93,60.52,61.25,223893,64.09,63.78,63.51,,58.69946360708347,68.72744803158689,2.6077750752541413
89,60.97,61.03,58.72,59.25,218008,63.68,63.31,63.35,,58.68818309533705,67.9152130576462,2.6022197127359883
90,59.6,60.7719,59.22,60.45,184653,63.32,63.19,63.16,,58.26499331024426,68.08009484366357,2.527196876111989
91,61.23,62.32,59.87,60.83,153451,62.83,63.08,63.1,,58.0054906437285,67.99523859100101,2.5216828135325615
92,60.5,62.19,60.27,62.1,190953,62.38,63.03,63.15,,57.998551396545466,68.02345544475308,2.4787054697088067
93,63.94,65.47,63.44,64.51,234716,62.36,62.99,63.25,,58.0884386752437,67.7348995429518,2.5423693647296064
94,64.1,64.97,63.6,64.14,174044,62.28,63.05,63.33,,58.07249384355865,67.64980008707172,2.458628695820349
95,63.99,65.12,63.83,63.86,146303,62.12,63.12,63.45,,58.07936456903561,67.74919142706021,2.3751552175474675
96,63.3,63.8,62.16,62.48,138830,62.1,63.14,63.49,,58.11104660260697,67.7524669392141,2.326929844865506
97,63.35,64.18,62.97,63.19,197562,62.31,63.12,63.51,,58.280988219542685,67.76635218144708,2.282149141660828
98,62.62,63.66,62.45,63.46,150930,62.78,63.11,63.59,,58.28527776314701,67.73077803285217,2.2055670601136255
99,63.22,65.08,63.22,64.23,155161,63.2,63.27,63.74,,58.4449022413384,67.81630574027577,2.180883698676938
100,64.22,64.74,63.4,63.51,247455,63.5,63.29,63.9,,58.69622276063437,67.85883699782269,2.120820577342871
101,63.19,64.69,62.65,64.52,195768,63.77,63.34,64.06,,58.83717881394847,67.87342460482424,2.115047678961237
102,64.25,65.78,64.25,64.73,570423,63.79,63.31,64.21,,58.82094978829726,67.92669296724354,2.0732585590354344
103,65.3,70.88,65.285,70.58,1142854,64.51,63.53,64.38,,58.77719231869729,69.10738397696295,2.364454376247189
104,69.13,69.675,68.2,69.21,860258,65.1,63.76,64.54,,58.27681903401433,69.76059009475705,2.365564777943818
105,68.44,68.805,67.57,68.48,910850,65.77,63.94,64.67,,58.00226403368788,70.09953088408943,2.313738722376402
106,70.97,72.12,69.58,71.11,798188,66.65,64.23,64.81,,57.46172556822601,71.28833961292725,2.4084716707780878
107,71.41,73.26,70.725,72.8,873714,67.69,64.73,65.03,,56.96081013382928,72.69914066892208,2.4175094085796536
108,73.83,74.13,72.495,73.73,761568,68.74,65.36,65.2,,56.63215088932483,74.0956778685847,2.361615879395392
109,73.68,74.26,72.485,72.8,507622,69.77,66.04,65.28,,56.923467535109786,75.15999986219529,2.3197147451528646
110,72.32,74.65,72.3,74.61,676757,70.89,66.74,65.46,,57.38959132418173,76.05030622104627,2.3218779776419467
111,75.35,77.42,75.185,76.52,534804,72.2,67.53,65.72,,57.54243756771468,77.51945181194903,2.356743836381808
112,77.76,78.35,76.245,76.7,464433,72.88,68.26,65.96,,57.76334834481749,78.9044329883269,2.338762133783107
113,77.51,78.25,76.67,77.06,445357,73.76,68.89,66.19,,57.6730229365296,80.20105162989967,2.2845648385128845
114,76.36,76.965,75.685,76.35,326501,74.63,69.5,66.35,,57.88721893922877,81.03289389804542,2.21959592147625
115,75.58,76.45,75.44,75.68,353076,75.14,70.09,66.5,,58.24229284128637,81.64614413141798,2.1331962127993753
116,75.95,76.41,75.63,75.94,497664,75.49,70.76,66.6,,59.019599138276796,82.01069509256087,2.036539340456563
117,75.71,75.96,75.22,75.35,452878,75.67,71.37,66.68,,59.836698529632166,82.18811061175994,1.943929387566808
118,75.53,75.89,74.51,75.3,352846,75.95,71.96,66.78,,60.95442679639642,82.11228102655502,1.9036487170263214
119,74.17,75.41,74.01,74.19,497764,75.9,72.46,66.89,,62.08435283887945,81.98326112840763,1.867673808667298
120,73.62,74.1364,73.26,73.58,349026,75.57,72.96,67.11,,63.34470116544309,81.49959175900102,1.8006971080482046
121,74.32,74.875,73.55,74.57,425898,75.34,73.46,67.34,,65.05780378356073,80.77534420855733,1.7667187431876188
122,75.19,75.19,73.81,74.13,382496,75.01,73.93,67.56,,66.60481629621789,79.93267125198821,1.7390959758170743
