,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,32.19,32.91,31.77,32.01,887618,,,,,,,1.139999999999997
1,32.32,32.745,32.11,32.39,1345498,,,,,,,1.1110714285714258
2,32.09,32.14,31.4882,31.94,542136,,,,,,,1.0961234693877526
3,31.41,31.785,30.7,31.48,610855,,,,,,,1.1064003644314848
4,30.53,31.1,29.585,29.67,1429181,,,,,,,1.1627289098292357
5,30.0,30.41,28.95,30.05,1616860,,,,,,,1.1839625591271474
6,29.68,29.84,29.1,29.33,2217581,,,,,,,1.1672509477609225
7,28.25,30.473,27.65,28.83,1698393,,,,,,,1.285518737206571
8,29.51,30.09,28.54,30.05,2456272,30.64,,,,,,1.3044102559775304
9,28.47,31.08,27.62,30.54,1560545,30.48,,,,,,1.458380951979135
10,30.98,32.41,30.39,30.77,2071360,30.3,,,,,,1.4984965982663394
11,30.02,30.345,27.795,28.34,1703564,29.9,,,,,,1.6039611269616008
12,28.36,31.37,27.82,30.7,1907425,29.81,,,,,,1.7429639036072007
13,30.63,31.54,28.78,29.48,1602525,29.79,,,,,,1.8156093390638293
14,29.44,30.12,28.17,29.08,1904326,29.68,,,,,,1.8252086719878415
15,29.74,30.47,28.45,30.25,1216065,29.78,,,,,,1.8391223382744242
16,30.23,32.11,30.09,31.09,1212027,30.03,,,,,,1.8520421712548223
17,31.38,32.69,31.11,32.1,1183265,30.26,,,,,,1.8340391590223348
18,31.63,32.3,30.74,31.89,1241132,30.41,,,,,,1.8144649333778824
19,32.14,32.48,31.63,32.34,1113495,30.59,30.62,,,26.569728268693293,33.459991331615235,1.7455745809937477
20,32.2,32.2,31.0,31.705,1347081,30.96,30.6,,,26.627187705424006,33.33821533552573,1.716604968065623
21,30.94,32.26,30.94,32.05,1293504,31.11,30.58,,,26.737361402875603,33.253990715021445,1.6882760417752212
22,31.8,32.49,31.31,32.0,849478,31.39,30.59,,,26.753793676964662,33.307940310397804,1.6519706102198486
23,31.78,32.68,31.7,32.31,1855349,31.75,30.63,,,26.680408114889325,33.43228146020898,1.6039727094898595
24,32.0,32.97,31.75,32.75,2158852,32.03,30.78,,,26.628215796571464,33.6336511871466,1.576546087383441
25,33.12,33.43,32.21,32.26,2262540,32.16,30.89,,,26.61151196827531,33.88098479442402,1.551078509713195
