,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,46.84,47.99,45.87,46.45,1238960,,,,,,,2.1200000000000045
1,47.18,47.63,45.78,47.37,854163,,,,,,,2.10071428571429
2,46.39,47.23,45.385,46.25,938579,,,,,,,2.0924489795918406
3,44.79,45.545,43.77,44.83,844905,,,,,,,2.1201311953352806
4,41.5,42.45,39.21,39.24,905056,,,,,,,2.370121824239903
5,40.35,40.78,38.67,39.58,704112,,,,,,,2.3515416939370533
6,38.83,39.58,37.15,37.79,1043025,,,,,,,2.3571458586558354
7,35.25,36.05,32.85,35.58,1150948,,,,,,,2.5416354401804186
8,37.42,38.35,35.3,37.7,1291501,41.64,,,,,,2.577947194453246
9,34.0,35.75,32.495,33.9,1241932,40.25,,,,,,2.7655938234208715
10,34.14,34.69,30.885,34.21,1593376,38.79,,,,,,2.839837121747952
11,32.1,32.15,18.6288,19.53,1995391,35.82,,,,,,3.7499344701945265
12,19.5,33.0,17.52,27.23,3688914,33.86,,,,,,4.58779629375206
13,27.76,30.27,23.84,26.83,2548209,32.48,,,,,,4.719382272769771
14,26.37,26.82,19.78,19.96,1380891,30.3,,,,,,4.885854967571929
15,21.39,21.81,20.3,21.7,1865894,28.52,,,,,,4.669008184173935
16,22.02,26.41,20.88,24.59,2219381,27.29,,,,,,4.730507599590083
17,24.92,32.04,24.92,30.945,1712046,26.54,,,,,,4.924757056762219
18,30.34,30.91,28.72,29.81,1012041,26.09,,,,,,4.73191726699349
19,29.85,30.31,26.28,28.09,807550,25.41,33.58,,,12.012007466960007,51.129847383228416,4.681780319351097
20,28.22,28.38,25.29,26.3,1419725,26.16,32.57,,,12.05866474858988,49.398088306619044,4.568081725111734
21,24.59,25.19,23.54,24.17,1324477,25.82,31.41,,,12.226342871542176,47.616453694544155,4.438933030460896
22,24.29,25.03,23.46,23.98,844381,25.5,30.3,,,12.750744946997948,45.518065444797976,4.234009242570832
23,23.81,23.82,20.9,21.55,1733081,25.68,29.13,,,13.162965581308795,43.519829398804184,4.15158001095863
24,23.69,25.72,22.78,25.0,2546822,26.05,28.42,,,13.479308837918852,41.813659027439435,4.152895724461585
25,26.85,27.74,25.92,27.33,5278678,26.35,27.81,,,14.272594586560754,40.182979341741174,4.051974601285758
26,28.0,29.9,27.72,29.0,3580404,26.14,27.37,,,15.12601295598283,38.669852177114464,3.9461192726224894
27,30.37,31.42,29.38,30.16,3823288,26.18,27.1,,,15.409857473046577,37.97637305659189,3.837110753149455
28,29.95,30.0,27.42,28.525,2518770,26.22,26.64,,,16.25181576195751,36.47567908819519,3.7587456993530655
29,29.43,29.92,27.4064,27.76,2543018,26.39,26.33,,,16.74880015729235,35.50471951891709,3.6698067208278466
30,26.11,27.225,25.3,26.0,2598468,26.59,25.92,,,17.114545589411243,34.553625491318456,3.583391955054429
31,25.82,26.3152,23.92,24.14,3582164,26.61,26.15,,,17.85804561299079,34.06392457310438,3.49852110112197
32,25.39,26.0,24.86,25.53,3490616,27.05,26.07,,,19.06600982189726,33.31336178093524,3.381483879613258
33,24.26,24.65,23.39,24.21,2092428,26.96,25.94,,,19.026433948022294,33.06656931786774,3.292806459640883
34,22.97,23.72,22.14,23.42,3205684,26.53,26.11,,,19.484798603506913,33.15544979996004,3.2054631410951053
35,24.24,24.52,23.65,23.94,2550438,25.96,26.22,,,20.04876007180617,32.861336922618484,3.055072916731169
36,24.05,25.49,24.0,24.86,1840262,25.38,26.24,,,20.56110150248929,32.8684436848786,2.9475677083932283
37,24.93,25.2255,23.87,24.4,1193848,24.92,25.91,,,20.477752780104055,32.149431066147955,2.8338485863651406
38,24.73,25.58,24.33,25.14,1885314,24.63,25.68,,,20.60650992150578,31.585936903590934,2.7207165444819164
39,26.3,27.13,26.02,26.59,1977270,24.69,25.6,,,20.611640664599218,31.13921193470174,2.6685225055903508
40,27.85,30.04,27.48,29.06,2396470,25.24,25.74,,,20.550850347729344,31.414207687489455,2.7243423266196114
41,28.02,28.17,26.95,27.33,1466852,25.44,25.9,,,20.674212808364146,31.546256871334208,2.680460731861068
42,26.39,27.0,25.53,25.99,1309838,25.64,26.0,,,20.83811217714382,31.56269315655546,2.617570679585277
43,25.16,26.13,24.3,26.02,1622512,25.93,26.22,,,21.47019240303464,31.4539167910433,2.5613156310434717
44,26.66,27.98,26.51,26.75,1512000,26.24,26.31,,,21.81643720470452,31.533907225333728,2.518364514540367
45,26.51,27.05,26.02,26.23,1349330,26.39,26.25,,,21.818797254501185,31.49253621350548,2.4120527635017694
46,26.9,29.09,26.9,28.89,2239792,26.89,26.25,,,21.863957286737012,31.35856276498632,2.4440489946802146
47,31.8,32.02,27.72,27.87,2661854,27.19,26.13,,,22.097591569210447,31.523092743014207,2.576616923631628
48,27.85,28.96,27.0,28.63,3074654,27.42,26.14,,,22.126302200239046,31.351799277033287,2.5325728576579407
49,28.5,28.98,27.19,27.2,1956334,27.21,26.11,29.15,,22.142871980456892,31.193078447029933,2.479531939253802
50,27.0,27.12,24.95,25.63,1443136,27.02,26.09,28.73,,22.120321980575127,31.187232369835233,2.4631368007356733
51,25.05,27.29,24.67,26.87,3104932,27.12,26.23,28.32,,22.210301963973492,31.22201593927778,2.4743413149688394
52,26.66,27.75,26.225,26.81,1573252,27.21,26.29,27.94,,22.26636972418419,31.284726852438283,2.4065312210424934
53,28.74,29.49,28.135,29.05,2085630,27.46,26.53,27.62,,22.440821094546155,31.465030525201442,2.4260647052537436
54,28.63,30.42,28.01,29.56,2311212,27.83,26.84,27.43,,23.034927950437364,31.608391306275507,2.4249172263070475
55,30.46,32.31,30.0205,32.23,2509576,28.21,27.26,27.28,,23.048393513384966,32.185032284128745,2.4481374244279728
56,31.96,32.1,30.16,30.99,1952272,28.55,27.56,27.14,,23.111899786628076,32.674413231584936,2.4211276083974034
57,31.12,31.18,29.43,30.13,1271814,28.72,27.85,27.03,,23.419738432738068,32.83877270922624,2.373189922083303
58,32.67,33.605,31.78,32.82,1985956,29.34,28.23,26.94,,23.368581420540607,33.484000853926084,2.4518906419344955
59,36.06,37.81,35.57,37.42,11549786,30.65,28.77,27.01,,22.40210398402683,35.37962537672724,2.6331841675106027
60,35.84,36.02,33.46,33.77,8054948,31.42,29.01,27.0,,22.119838356658246,36.342251550376126,2.7279567269741314
61,33.21,33.51,32.25,33.11,17577762,32.12,29.3,27.27,,22.118632924455824,36.72958307096788,2.6416741036188367
62,33.26,34.845,33.025,34.36,9143848,32.71,29.72,27.41,,22.29251550893036,37.232619032713615,2.5829830962174913
63,35.3,35.87,34.53,34.87,4710696,33.3,30.16,27.57,,22.639561559206804,37.74258981240314,2.5063414464876703
64,35.92,37.75,35.7,35.89,3688552,33.71,30.62,27.89,,22.61469927314065,38.670408742313086,2.533031343167123
65,35.53,36.12,34.82,35.6,2560806,34.22,31.08,28.17,,22.907783103777483,39.04166270919143,2.4449576757980425
66,38.65,39.61,37.61,37.84,3316414,35.08,31.53,28.44,,22.865866193901887,40.17248311362326,2.556746413241039
67,38.76,41.02,38.45,40.96,3529020,35.98,32.19,28.64,,22.784352818495137,41.491959843587544,2.601264526580965
68,39.23,39.81,37.9101,38.33,3191404,36.08,32.67,28.81,,23.050860417675977,42.308783179717565,2.6333099175394676
69,38.23,38.3599,35.875,36.705,2695858,36.41,33.15,28.98,,23.5657408207922,42.73328166585377,2.622709209143792
70,34.08,35.6799,33.41,34.62,5073164,36.58,33.6,29.14,,24.673465345231406,42.53007547718045,2.6707299799192357
