,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,7.87,8.14,7.74,7.94,1798372,,,,,,,0.40000000000000036
1,7.95,8.33,7.88,8.32,1573718,,,,,,,0.4035714285714289
2,8.26,8.48,7.71,7.83,1759967,,,,,,,0.4297448979591841
3,7.89,8.17,7.68,8.15,1450664,,,,,,,0.4340488338192424
4,7.83,7.91,7.49,7.68,1418578,,,,,,,0.4501882028321537
5,7.3,7.59,7.08,7.24,1553368,,,,,,,0.4608890454869998
6,6.93,7.0,6.2,6.31,1473976,,,,,,,0.5022541136664999
7,6.54,6.63,6.245,6.585,1356083,,,,,,,0.49387881983317844
8,6.36,6.45,5.93,6.03,2767037,7.34,,,,,,0.50538747555938
9,5.64,6.02,5.25,5.55,2625203,7.08,,,,,,0.5250026558765672
10,6.13,6.75,5.53,6.75,3020370,6.9,,,,,,0.5746453233139552
11,5.09,5.96,4.89,5.05,2112441,6.59,,,,,,0.6664563716486728
12,5.16,5.21,4.525,4.92,2606503,6.24,,,,,,0.6677809165309104
13,4.52,4.65,3.5,4.08,3090744,5.84,,,,,,0.7215108510644168
14,4.08,4.35,3.78,3.98,2640697,5.47,,,,,,0.7106886474169585
15,4.0,4.49,3.67,3.8,3779563,5.19,,,,,,0.71849660117289
16,3.8,3.94,3.58,3.74,2280019,4.88,,,,,,0.6928897010891122
17,3.99,4.535,3.99,4.48,2891831,4.71,,,,,,0.7001832938684613
18,4.5,4.79,4.39,4.43,2093900,4.58,,,,,,0.6787416300207141
19,4.55,5.13,4.475,5.01,2873240,4.39,5.89,,,2.403514435569206,9.278225848355845,0.6802600850192345
20,4.74,5.44,4.61,5.38,2200396,4.42,5.77,,,2.3907503452888905,9.023301329700763,0.6909557932321464
21,5.38,5.49,5.09,5.29,1674697,4.47,5.61,,,2.479834219308564,8.693875897237998,0.6701732365727074
22,5.19,5.39,4.94,5.32,1844294,4.6,5.49,,,2.583649488207007,8.274659750055646,0.6544465768175141
23,4.97,5.09,4.505,4.7,1966840,4.68,5.32,,,2.709738683081317,7.869406132716472,0.665914678473406
24,4.62,4.73,4.48,4.5,4225444,4.76,5.16,,,2.882268962940467,7.469457685275998,0.6362064871538771
25,4.35,4.59,4.14,4.42,3476044,4.84,5.02,,,3.0269273357495314,7.089000468921923,0.622906023785743
26,4.66,5.14,4.66,5.05,3073712,4.9,4.95,,,3.1106233345453695,6.811437525426326,0.6298413078010471
27,5.33,5.49,4.92,5.08,3815496,4.97,4.88,,,3.2452362844249962,6.618922937621489,0.6255669286724008
28,5.23,5.48,5.18,5.45,3883323,5.02,4.85,,,3.3399333500130406,6.4506967930932095,0.6094550051958008
29,5.7,6.0,5.6,5.84,3621836,5.07,4.86,,,3.301187260589626,6.446890134869816,0.6052082191103864
30,5.84,5.96,5.36,5.67,2288256,5.11,4.81,,,3.3201404440634703,6.239477494816631,0.6048362034596445
31,5.86,5.93,5.43,5.51,2692162,5.14,4.83,,,3.2883927392597903,6.233269794279556,0.5973479032125271
32,5.19,5.275,5.02,5.18,3018280,5.19,4.85,,,3.2950674787054197,6.238311265255907,0.5896801958402037
33,5.14,5.21,4.8,5.02,4119630,5.25,4.89,,,3.460626240535915,6.247762542464507,0.576845896137332
34,5.2,5.56,5.2,5.43,3058300,5.36,4.96,,,3.5776129155004215,6.262568139776761,0.5742140464132368
35,5.19,5.54,5.16,5.39,2518502,5.4,5.04,,,3.746537813673169,6.274532444658316,0.560341614526577
36,5.15,5.31,4.9,5.11,3068108,5.4,5.11,,,3.9797717693271015,6.145230927679323,0.5553172134889643
37,5.25,5.37,5.12,5.17,1321550,5.37,5.15,,,4.128240975606384,6.105190756845389,0.5342231268111812
38,5.12,5.46,5.12,5.26,2156876,5.3,5.19,,,4.197801587795927,6.093217970680688,0.5203500463246683
39,5.32,5.35,5.09,5.26,1371288,5.26,5.2,,,4.25872001179419,6.094765324251551,0.5017536144443349
40,5.31,5.79,5.26,5.7,1631762,5.28,5.22,,,4.300467332156587,6.134505406620849,0.5037712134125967
41,5.99,6.05,5.7501,5.83,2064604,5.35,5.24,,,4.257089379843393,6.216958746279228,0.4927875553116969
42,6.12,6.445,5.98,6.19,2849546,5.48,5.29,,,4.202705744013893,6.389926355108511,0.5015170156465757
43,5.81,6.04,5.26,5.85,3346786,5.53,5.35,,,4.281106509370335,6.449055022265479,0.5321229431003918
44,5.55,5.58,5.19,5.33,3239018,5.52,5.39,,,4.372585857274842,6.408985590356316,0.5412570185932208
45,5.19,5.43,5.01,5.38,1637852,5.55,5.44,,,4.572692606047804,6.31419263631973,0.5325958029794194
46,5.52,5.609,5.19,5.2,2804074,5.56,5.44,,,4.652800816712164,6.29993442696535,0.524481817052318
47,5.25,5.32,5.03,5.15,3143388,5.54,5.45,,,4.668668795807788,6.304116693778317,0.5077331158342953
48,5.21,5.41,5.04,5.075,2193600,5.52,5.43,,,4.655481933153728,6.3047626273926145,0.4978950361318456
49,5.3,5.585,5.25,5.58,1838960,5.51,5.41,5.54,,4.665568312547238,6.2614383692478555,0.49875967640814234
50,5.42,5.425,5.16,5.19,3491114,5.44,5.39,5.49,,4.660010593944178,6.218076978093914,0.49313398523613217
51,5.23,5.255,4.92,4.935,2866684,5.3,5.36,5.42,,4.632467864922099,6.178712101794231,0.48183870057640843
52,4.88,4.88,4.39,4.58,4377640,5.16,5.33,5.36,,4.499542557484553,6.217577601511839,0.48635022196380784
53,4.4,4.73,4.3,4.64,2839150,5.08,5.31,5.29,,4.385755322510395,6.270103423217395,0.48232520610925017
54,4.56,4.75,4.48,4.68,2944582,5.0,5.28,5.23,,4.298032593769927,6.3004345953392455,0.4671591199585894
55,4.95,5.28,4.95,5.23,2777797,5.01,5.27,5.19,,4.286416497977408,6.290706541204355,0.4766477542472616
56,5.15,5.21,4.95,5.09,2646630,5.0,5.27,5.16,,4.290878201276388,6.2904942481185175,0.46260148608674295
57,5.2,5.4,5.2,5.31,1415154,5.03,5.27,5.14,,4.293026233130547,6.2915125754636785,0.45170137993768994
58,5.3,5.435,5.27,5.32,1429096,5.0,5.28,5.12,,4.295891909106155,6.290273988991684,0.4312227099421407
59,5.37,5.415,5.21,5.31,1139870,5.01,5.28,5.12,,4.2998578956752835,6.292420413393286,0.41506394494627347
60,5.64,5.8,5.6,5.72,2762242,5.1,5.28,5.1,,4.2873162216152085,6.293778642214523,0.42041652030725396
61,5.99,6.11,5.7692,5.95,2834908,5.25,5.29,5.11,,4.285073791842052,6.306126133561142,0.41824391171387876
62,6.07,6.1,5.58,5.64,2187288,5.36,5.26,5.13,,4.338217068698509,6.215187597272824,0.425512203734316
63,5.48,5.58,5.37,5.475,1247534,5.45,5.24,5.16,,4.336801090496818,6.142847282975111,0.4144041891818648
64,5.54,5.66,5.44,5.49,2230098,5.48,5.25,5.19,,4.334427553689765,6.1515262430882816,0.40051817566887443
65,5.57,5.67,5.43,5.5,1310850,5.52,5.25,5.22,,4.343587286275269,6.17208669493847,0.3890525916925263
66,5.72,6.075,5.68,5.94,2698070,5.59,5.29,5.26,,4.329973403789146,6.246478867341671,0.40233454942877445
67,5.94,6.195,5.84,6.09,3234550,5.68,5.34,5.3,,4.317397493744244,6.353120104013966,0.39895351018386205
68,6.74,6.92,6.45,6.495,3677412,5.81,5.41,5.34,,4.2267373890047715,6.6371005883217515,0.4297425451707291
69,6.74,6.99,6.49,6.92,3536718,5.94,5.48,5.38,,4.1522256122787855,6.881810460790387,0.4347609348013913
70,6.65,6.72,6.37,6.42,2247856,6.0,5.54,5.4,,4.12658553483853,7.030932704947831,0.44299229660129186
71,6.4,6.45,6.0,6.04,2144064,6.04,5.59,5.41,,4.171842024278417,7.112175634417145,0.4434928468440567
72,5.6,5.7,5.3,5.41,2833424,6.03,5.63,5.41,,4.31425261346897,7.0874584870944926,0.4646719292123384
73,5.67,5.74,5.34,5.345,763682,6.02,5.67,5.43,,4.503445826986537,7.033936248605296,0.4600525056971714
74,5.3,5.64,5.235,5.45,4300460,6.01,5.71,5.45,,4.654794121827309,6.96307849073776,0.4561201838616591
75,5.8,5.95,5.6,5.8,2875132,6.0,5.74,5.47,,4.735459282394484,6.9549531376668865,0.45925445644296914
76,5.84,5.89,5.55,5.56,1620916,5.94,5.76,5.48,,4.821085810818089,6.9302462050400635,0.4507362809827571
77,5.51,5.74,5.5,5.56,1965182,5.83,5.77,5.49,,4.859170081016649,6.916075764802538,0.4356836894839888
78,5.48,5.61,5.32,5.44,4680598,5.67,5.78,5.49,,4.866435105456206,6.905920370058741,0.42527771166370393
79,5.35,5.47,5.241,5.44,1244516,5.56,5.78,5.49,,4.871549354148454,6.901545591462906,0.4112578751162965
80,5.57,5.67,5.38,5.39,1696131,5.49,5.77,5.48,,4.851164042707517,6.902976289425001,0.4025965983222754
81,5.27,5.29,4.97,5.16,1624310,5.46,5.73,5.47,,4.758899291522221,6.912514131433745,0.40383969844211287
82,5.09,5.34,5.08,5.33,1230962,5.46,5.71,5.48,,4.701907187533193,6.909558881324305,0.39356543426767626
83,5.2,5.21,5.02,5.1,1639843,5.42,5.69,5.48,,4.653415523087977,6.930287619438955,0.387596474677128
84,5.23,5.595,5.19,5.49,1510091,5.39,5.69,5.48,,4.627083425367823,6.930570815217843,0.39526815505733315
85,5.4,5.64,5.4,5.58,1157630,5.39,5.7,5.48,,4.6246692628372035,6.930515841604455,0.38417757255323787
86,5.64,5.745,5.31,5.33,1086630,5.36,5.67,5.49,,4.602501753630449,6.9122419808856055,0.38780774594229234
87,5.57,5.63,5.34,5.35,892244,5.35,5.63,5.49,,4.585853233356508,6.878082211230408,0.3815357640892714
88,5.55,5.69,5.4,5.52,867043,5.36,5.58,5.5,,4.648092642941809,6.685505263142507,0.3785689237971807
89,5.41,5.43,5.21,5.27,930219,5.35,5.5,5.5,,4.744301470168951,6.418529646283992,0.37367114352595354
90,5.22,5.28,5.02,5.25,992236,5.36,5.44,5.49,,4.8509523676420825,6.189023640915756,0.3655517761312426
91,5.2,5.3,5.02,5.09,1671264,5.33,5.39,5.47,,4.908117517232102,5.99811777797235,0.35944093497901103
92,5.08,5.34,5.03,5.32,1347462,5.36,5.39,5.45,,4.879357429789739,5.988866314589381,0.3559094396233674
93,5.42,5.48,5.16,5.29,1185867,5.33,5.39,5.44,,4.8700271337456895,5.968593468440372,0.3533444796502697
94,5.28,5.32,5.115,5.13,1690761,5.28,5.37,5.44,,4.859334033624364,5.961918236230256,0.34274844538953614
