,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,29.06,30.92,28.69,30.91,887151,,,,,,,2.2300000000000004
1,30.73,31.14,29.3,29.8,1018042,,,,,,,2.2021428571428574
2,30.12,30.23,28.51,28.52,1628715,,,,,,,2.167704081632653
3,27.65,27.77,25.83,26.36,1898735,,,,,,,2.2050109329446066
4,25.1,27.0,25.1,26.53,1493501,,,,,,,2.1832244377342778
5,24.34,25.7,22.51,22.83,2309828,,,,,,,2.314422692181829
6,23.88,25.42,22.58,25.11,1470601,,,,,,,2.3519639284545564
7,24.25,24.44,21.63,21.975,909901,,,,,,,2.4325379335649453
8,20.09,20.46,18.49,18.76,1071742,25.64,,,,,,2.507713795453164
9,20.06,20.28,18.245,20.23,1094640,24.46,,,,,,2.4739485243493666
10,17.08,18.51,17.02,17.69,1555696,23.11,,,,,,2.5265236297529836
11,18.22,18.76,16.5801,18.22,1340601,21.97,,,,,,2.501764799056342
12,16.63,17.825,14.76,16.06,1334158,20.82,,,,,,2.5702101705523175
13,15.54,18.98,15.37,18.51,775695,19.93,,,,,,2.6444808726557234
14,18.29,18.685,15.83,15.89,1403967,19.16,,,,,,2.659517953180315
15,15.74,15.9,13.06,13.08,1091360,17.82,,,,,,2.6724095279531497
16,13.93,15.28,13.65,14.99,965021,17.05,,,,,,2.6386659902422105
17,15.01,17.34,14.91,16.01,967854,16.74,,,,,,2.623761276653481
18,16.7,18.9,16.28,18.78,931269,16.58,,,,,,2.6427783283210897
19,18.05,18.88,17.534,18.14,741020,16.63,20.92,,,9.173985665427358,32.47428912903884,2.5501513048695834
20,18.33,19.47,17.88,19.27,677087,16.75,20.34,,,9.472661702397744,31.087402121534247,2.4815690688074703
21,19.03,19.84,18.3,19.04,860093,17.08,19.8,,,10.14001228023876,29.40331628753202,2.4143141353212223
22,17.87,18.52,17.29,17.79,664829,17.0,19.26,,,10.918740713094525,27.65940583749746,2.3668631256554207
23,17.49,18.94,17.49,18.65,665522,17.31,18.88,,,11.472635882202418,26.352864181067407,2.3013729023943195
24,18.35,18.82,17.21,17.65,1193750,17.81,18.43,,,12.130075058874631,25.028070946054513,2.251989123651868
25,18.86,19.29,18.18,19.03,1353624,18.26,18.24,,,12.49312235853684,23.879849042310134,2.2082756148195917
26,20.25,20.57,19.42,19.58,1423584,18.66,17.97,,,12.94624503911001,22.68676232401075,2.160541642332478
27,19.8,20.58,19.26,19.87,911610,18.78,17.86,,,13.2965629047179,21.58793400742709,2.1005029535944435
28,20.9,21.72,20.6,21.19,1395938,19.12,17.98,,,13.083456356163284,21.858288660307092,2.082609885480555
29,21.04,21.295,19.92,20.16,795528,19.22,17.98,,,12.980150976730311,22.041809420766647,2.0320663222319437
30,20.99,21.0,19.62,20.18,1427650,19.34,18.1,,,12.947364303689028,22.295272405212888,1.9854901563582334
31,19.5,19.9,18.8301,19.64,782484,19.55,18.18,,,13.004903992252459,22.37218400161187,1.9400908594755024
32,19.69,19.7717,19.03,19.66,897632,19.66,18.36,,,13.321123522522878,22.42719997907085,1.8544915123701093
33,20.6,21.31,20.08,21.0,841146,20.03,18.48,,,13.527175082868215,22.67747064229793,1.8398849757722442
34,20.36,21.12,20.01,20.65,655764,20.21,18.72,,,13.715902268839532,22.880378524900355,1.7877503346456554
35,19.9,20.57,19.5,20.1,726022,20.27,19.07,,,14.667131086427414,22.720769272344107,1.742196739313823
36,20.62,20.89,20.03,20.76,464892,20.37,19.36,,,15.632814048723077,22.24978679538692,1.6791826865056927
37,20.65,21.26,20.24,20.4,905888,20.28,19.58,,,16.367345319202585,22.167038901670637,1.6320982088981435
38,20.68,20.94,20.34,20.78,553318,20.35,19.68,,,16.797893481741355,22.212674976397018,1.558376908262562
39,21.22,22.66,21.22,22.45,844878,20.6,19.89,,,16.898330148823277,22.571817717763018,1.5813499862438074
40,23.29,23.73,22.39,22.6,1110372,20.93,20.06,,,16.8173278244423,23.19280053891975,1.564110701512107
41,23.74,24.04,22.82,22.85,1747398,21.29,20.25,,,16.703869039635077,23.788317405239177,1.5552456514040993
42,22.11,22.89,21.82,22.61,1049484,21.47,20.49,,,17.005904549087766,23.92738352757764,1.520585247732378
