,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,44.29,44.42,43.32,44.25,186867,,,,,,,1.1000000000000014
1,42.82,43.69,41.74,42.24,182384,,,,,,,1.2007142857142867
2,40.65,42.4,40.65,42.23,225808,,,,,,,1.2399489795918377
3,38.87,40.74,38.35,39.3,386076,,,,,,,1.4285240524781346
4,40.72,41.01,38.34,40.78,339134,,,,,,,1.5172009058725533
5,39.5,41.43,39.27,40.72,467532,,,,,,,1.5631151268816565
6,37.57,38.91,33.86,33.87,377232,,,,,,,1.9414640463901096
7,35.64,37.47,34.43,37.43,273673,,,,,,,2.0599309002193875
8,33.0,34.65,30.87,31.45,275443,39.14,,,,,,2.3813644073465743
9,32.02,36.04,30.1,35.82,408349,38.2,,,,,,2.635552663964676
10,33.59,35.56,31.97,34.07,404563,37.3,,,,,,2.722298902252913
11,33.11,36.46,29.76,33.02,431885,36.27,,,,,,3.006420409234848
12,33.17,34.485,32.25,32.75,469859,35.55,,,,,,2.951318951432359
13,33.12,33.72,29.43,29.95,377045,34.34,,,,,,3.0469390263300475
14,31.5,34.44,31.5,33.5,237574,33.54,,,,,,3.150014810163616
15,33.46,36.53,32.68,32.95,312363,33.44,,,,,,3.2000137522947862
16,33.82,37.19,33.415,36.77,222471,33.36,,,,,,3.27429848427373
17,35.34,35.5,32.4701,32.985,265145,33.53,,,,,,3.347555735397035
18,32.98,35.73,32.295,35.35,336560,33.48,,,,,,3.3538017542972467
19,35.23,36.52,34.29,36.24,329049,33.72,36.28,,,26.14639744061271,44.41516012498658,3.2735302004188727
20,34.73,35.96,33.91,34.75,273923,33.92,35.81,,,26.759700917327123,43.258091026614814,3.206135186103239
21,34.47,36.55,33.85,34.3,291852,34.09,35.41,,,27.31488959213544,42.10602539731552,3.169982672810151
22,34.0,34.3,30.58,31.19,503079,34.23,34.86,,,27.584641748377962,41.16978848157229,3.2092696247522827
23,32.48,34.63,31.915,32.81,568978,34.15,34.54,,,27.800018820714644,40.5147652451665,3.2257503658414057
24,33.61,34.49,32.17,33.24,736602,34.18,34.16,,,28.195154911801342,39.63805721893766,3.1610539111384486
25,34.0,35.24,33.33,34.76,530810,33.96,33.86,,,29.2168508627506,38.290765132557524,3.078121488914274
26,35.85,37.97,34.9265,37.83,449052,34.5,34.06,,,29.117791719983117,38.0231152808975,3.0875413825632547
27,37.37,37.37,36.19,36.62,335734,34.64,34.02,,,28.878792869277504,38.002387577779665,2.9841455695230223
28,37.78,38.15,36.55,36.94,433210,34.72,34.29,,,28.784287840637454,38.372922549172394,2.8852780288428064
29,35.48,36.2036,32.82,33.025,451784,34.52,34.15,,,29.114355657473414,38.38485480370143,2.973472455354034
30,32.85,33.38,31.28,31.47,661962,34.21,34.02,,,29.034101835334397,38.50542796192244,2.911081565685889
31,32.91,34.29,32.31,33.5,888004,34.47,34.05,,,29.430516257135668,38.44796300037669,2.9045757395654688
32,31.59,31.73,30.61,30.84,870320,34.25,33.95,,,29.208651197165135,38.777399890001305,2.9035346153107926
33,30.01,30.61,29.13,29.48,729258,33.83,33.93,,,29.132388701467992,39.216623311526924,2.8182821427885933
34,30.19,30.63,29.61,30.08,654298,33.31,33.76,,,28.806268844471198,39.55098174512805,2.699119132589408
35,30.26,31.6595,29.7,29.84,758458,32.42,33.6,,,28.430852838736254,39.51946869657726,2.646289194547308
36,30.12,31.3,29.0,31.03,600660,31.8,33.31,,,27.938242082334085,39.360801870405226,2.621554252079643
37,31.54,33.335,30.86,33.19,395972,31.38,33.32,,,27.80868408183896,39.26587349590434,2.6110860912168117
38,35.89,36.6,34.67,35.48,1242014,31.66,33.33,,,27.799514777381226,39.37205248459391,2.668151370415611
39,34.99,36.55,33.4113,35.85,934142,32.14,33.31,,,27.815987721131613,39.376153852435195,2.7017619868144958
40,34.99,35.22,33.28,33.3,598044,32.12,33.24,,,27.821854088322283,39.304797622297045,2.6923504163277463
41,32.42,32.59,31.3895,32.53,586016,32.31,33.15,,,27.741930367874453,39.07914018479887,2.636503958018621
42,32.43,32.43,31.23,31.75,440624,32.56,33.18,,,27.81457003812729,39.05945369072325,2.54103938958872
43,32.66,34.165,32.525,33.4,560532,32.93,33.21,,,27.84548889096132,39.03235517197453,2.5320365760466683
44,34.02,34.42,32.31,32.47,318898,33.22,33.17,,,27.852576661204644,39.028059581564804,2.501891106329049
45,32.85,33.35,32.52,32.64,248536,33.4,33.06,,,27.838822125330548,38.92119406389767,2.3860417415912605
46,33.35,33.68,32.94,33.19,455244,33.4,32.83,,,27.911685211068434,38.34999629840733,2.2898959029061707
47,32.8,33.12,32.0,32.55,421318,33.08,32.63,,,28.16454684450557,37.83305260435451,2.2113319098414443
48,32.55,32.72,30.65,30.7,359050,32.5,32.32,,,28.540375731116697,37.002117200292446,2.201236773424198
49,30.32,30.32,28.74,29.64,484762,32.1,32.15,34.28,,28.138547101431787,36.704588875125964,2.18400557532247
50,28.83,29.77,27.54,29.75,536004,31.79,32.06,33.99,,27.52118708086235,36.816210095044276,2.187290891370865
51,29.61,30.82,29.17,30.64,391430,31.66,31.92,33.76,,27.29291195064479,36.6954240306331,2.1489129705586607
52,32.08,34.58,30.945,34.42,572206,31.78,32.1,33.6,,27.315185702346106,36.888222570906386,2.276847758375899
53,34.01,34.28,32.54,32.56,312686,31.79,32.25,33.47,,27.549379023432195,36.96583323421075,2.2485014899204776
54,33.42,33.94,32.97,33.9,325556,31.93,32.44,33.33,,27.72609055799704,36.97129893587256,2.186465669211872
55,33.97,34.38,33.7,33.8,223380,32.0,32.64,33.19,,27.885172394606695,37.062396821230614,2.0788609785538807
56,33.95,34.27,33.49,33.8,289652,32.13,32.78,33.19,,28.23499412789643,37.095761247562606,1.9860851943714608
57,35.54,37.14,35.38,37.0,651122,32.83,32.97,33.18,,28.166386760762308,37.63184546205969,2.0827933947735
58,38.02,40.07,37.63,40.0,718684,33.99,33.19,33.35,,27.720129394817747,38.57520163335716,2.1533081522896786
59,40.49,40.49,37.83,38.0,748580,34.9,33.3,33.4,,27.30514131935483,39.51549012778212,2.1895004271261307
60,37.17,37.65,36.75,37.0,619258,35.61,33.49,33.46,,27.135869294820896,39.84838232874102,2.1223932537599786
61,37.29,38.5,37.29,38.05,486166,36.01,33.76,33.56,,27.08358333995427,40.400176840490715,2.077936592777123
62,38.77,39.86,38.42,38.91,511014,36.72,34.12,33.68,,27.007701737667208,41.14572733488455,2.0587982647216148
63,39.99,41.64,39.96,40.73,415792,37.48,34.49,33.9,,26.71691431786145,42.19571128561772,2.1067412458129287
64,40.3,41.12,39.85,41.06,473618,38.28,34.92,34.05,,26.59525826214468,42.99306530606655,2.0469740139691477
65,42.93,43.18,42.115,42.46,416374,39.25,35.41,34.24,,26.28369918461371,44.13594565156474,2.052190155828494
66,43.2,43.62,42.44,42.67,247590,39.88,35.88,34.35,,26.067597516451233,45.21557157182993,1.9898908589836017
67,41.53,42.7,40.0105,41.82,285880,40.08,36.35,34.53,,26.311429688514256,45.94690007148197,2.039862940484773
68,41.51,41.51,39.9,40.07,283284,40.31,36.81,34.63,,26.844553022743952,46.3536229949859,2.031301301878718
69,37.88,38.5,36.8,36.84,461580,40.29,37.17,34.64,,27.88660563401684,46.099107355391595,2.119779780315953
70,38.71,39.13,37.3,37.32,44264,40.21,37.55,34.69,,29.442043775386946,45.627525006029636,2.131938367436242
71,36.83,39.6,36.83,39.17,343074,40.24,37.98,34.79,,30.751085617063442,45.14806342322583,2.177514198333654
72,41.12,41.22,39.58,40.25,265736,40.18,38.27,34.97,,31.802435878791265,45.238665945580976,2.1684060413098214
73,40.14,40.428,39.09,39.16,166970,39.97,38.6,35.09,,32.60328291849132,45.11948582816806,2.1090913240734053
74,38.59,39.25,38.23,38.58,157454,39.54,38.83,35.2,,33.397671779221255,44.76249312170164,2.031299086639591
75,38.99,39.1275,37.9322,38.25,547284,39.05,39.06,35.27,,34.08916928715974,44.3486787472342,1.9715848661653341
76,37.84,38.96,37.25,38.86,111897,38.72,39.31,35.29,,34.892305126617,43.72428445865305,1.9529002328678102
77,39.51,39.54,38.7,39.14,207762,38.62,39.42,35.34,,35.37419224895736,43.56104617186769,1.8734073590915379
78,38.33,38.71,37.25,37.45,106506,38.69,39.29,35.35,,35.325316082538265,43.569590855051686,1.8745925477278567
79,37.11,38.07,37.05,38.07,147922,38.77,39.29,35.45,,35.22720706590187,43.5828946368622,1.813550222890153
80,37.49,38.53,37.33,38.16,223436,38.66,39.35,35.59,,35.314419269566706,43.51568978586684,1.769725206969428
81,39.05,40.37,38.2957,40.04,257749,38.63,39.45,35.72,,35.42195803904143,43.51742720676779,1.8011734064716118
82,39.52,40.78,39.52,40.72,159827,38.81,39.54,35.92,,35.4611229374963,43.5660206762285,1.7625181631522109
83,40.75,41.01,39.645,39.68,146017,38.93,39.49,36.12,,35.46624573514621,43.49195898448183,1.7341240086413385
84,40.83,41.18,39.86,40.03,148186,39.13,39.44,36.32,,35.46604260196906,43.49840760928595,1.7174008651669572
85,41.07,41.1229,40.0,40.8,168355,39.34,39.35,36.54,,35.69595773857949,43.12496696693023,1.674936517655032
86,40.28,40.33,39.14,39.39,216045,39.37,39.19,36.7,,36.11013843169801,42.478679081899514,1.6738696235368151
87,39.15,40.04,38.4,39.07,131396,39.55,39.05,36.82,,36.140658958184275,41.996886064278016,1.671450364712757
88,38.86,38.96,37.365,37.76,202161,39.52,38.94,36.87,,36.08349613842901,41.75835215331882,1.6738467672332742
89,37.7,39.08,37.7,38.87,97368,39.6,39.04,36.93,,36.22117067377105,41.727862897239824,1.6528577124308972
