,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,38.91,39.175,37.32,38.5,1158537,,,,,,,1.8549999999999969
1,38.74,40.15,38.13,40.15,802960,,,,,,,1.8667857142857112
2,40.11,41.28,39.61,40.43,1199641,,,,,37.07599064895559,41.36046241369603,1.852729591836732
3,41.02,42.32,40.84,42.12,824658,,,,,38.034054080181704,42.44384211686472,1.8553917638483939
4,41.19,41.6,40.05,40.61,708495,,,,,39.481098046225675,42.319266207759554,1.8707209235735087
5,39.21,39.72,37.96,39.62,920321,,,,,37.97975972571573,42.69001249054162,1.9263837147468297
6,37.22,37.74,35.26,35.48,925999,,,,,35.11505535284071,41.80990413179707,2.1002134494077707
7,36.52,37.0,34.11,36.93,1026736,,,,,33.60271672857396,39.70028431294884,2.156626774450073
8,35.62,35.825,33.46,33.88,947186,38.64,,,,33.27401601298252,37.91726915139246,2.250439147703639
9,29.86,32.89,29.81,30.79,1142865,37.78,,,,29.910348062970183,37.56689546119968,2.3804077800105223
10,32.61,34.71,31.02,34.58,939148,37.16,,,,29.38485770666198,36.104699282076325,2.490378652866914
11,28.04,30.89,27.67,28.34,1331780,35.82,,,,27.633983654948373,34.93177734310752,2.8060658919478487
12,29.0,30.89,27.76,30.71,1141660,34.55,,,,26.717126161381486,34.589359164468156,2.8292040425230023
13,28.64,30.18,26.67,29.21,1219392,33.28,,,,26.701159090952366,31.104243893570505,2.9156894680570735
14,28.92,31.04,28.875,30.07,1209743,32.22,,,,26.555557350996477,31.208655342881105,2.8620687917672827
15,30.26,30.27,27.43,27.72,1881568,31.36,,,,26.426231031033264,31.016622754556206,2.860492449498191
16,27.86,28.81,25.89,27.08,1392090,30.26,,,,25.75630620708568,31.285916931420417,2.864742988819749
17,28.58,29.35,27.0,28.65,1714587,29.68,,,,25.899242758316582,30.288682265860047,2.8279756324754817
18,28.5,30.62,27.055,28.77,2183390,29.46,,,,25.925290745837202,30.61546558178917,2.8806202301558046
19,29.24,31.05,28.62,30.97,1133812,29.06,33.73,,,26.546507714299537,31.31230293633212,2.8484330708589614
20,29.72,32.88,29.36,31.94,1259938,29.46,33.4,,,27.050465431129854,32.83677360677925,2.896402137226179
21,32.28,33.92,30.94,33.69,1458999,29.79,33.08,,,28.336418778901816,34.21497587746833,2.902373413138595
22,33.29,33.41,31.82,33.23,1399438,30.24,32.72,,,29.335529425784785,33.97536858865722,2.828632455057267
23,31.48,31.48,28.9,30.51,1264768,30.28,32.14,,,28.905632713277253,34.35239415927725,2.935872993981748
24,29.82,31.48,29.82,31.06,1063595,30.66,31.66,,,28.537791730626157,33.34904795482294,2.8447392086973378
25,30.58,31.3,29.78,30.73,1737048,31.06,31.22,,,28.928000000000146,31.534315353299956,2.7501149795046707
26,32.22,33.4,31.825,32.94,1876002,31.54,31.09,,,29.18876411572378,33.340354638371764,2.7443924809686226
