,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,13.15,13.52,12.99,13.52,5414199,,,,,,,0.5299999999999994
1,13.57,13.86,13.37,13.85,5392009,,,,,,,0.5271428571428566
2,13.85,14.27,13.76,13.96,7510873,,,,,,,0.5259183673469382
3,14.27,14.725,14.23,14.67,5639918,,,,,,,0.5429956268221569
4,14.4,14.645,14.2,14.33,4998644,,,,,,,0.5377816534777171
5,13.9,14.02,13.42,13.75,5149517,,,,,,,0.5643686782293087
6,13.06,13.535,12.51,13.25,9204661,,,,,,,0.6126280583557866
7,13.61,13.855,13.12,13.84,5361681,,,,,,,0.6213689113303734
8,13.52,13.52,12.88,13.075,4375576,13.8,,,,,,0.6455568462353467
9,12.27,13.24,11.67,12.39,4480024,13.68,,,,,,0.7115885000756792
10,13.04,13.05,12.04,12.98,3606066,13.58,,,,,,0.7329036072131309
11,11.84,12.82,11.46,11.61,3764349,13.32,,,,,,0.7891247781264786
12,11.78,12.72,11.55,12.22,4583830,13.05,,,,,,0.8163301511174444
13,11.45,12.465,11.05,11.67,3490416,12.75,,,,,,0.859092283180484
14,11.54,11.75,10.915,11.5,4400375,12.5,,,,,,0.8573714058104496
15,11.5,11.87,10.83,10.93,4411053,12.25,,,,,,0.8704163053954174
16,10.8,11.095,10.405,10.57,5593804,11.88,,,,,,0.857529426438602
17,11.0,11.79,10.79,11.76,4253598,11.74,,,,,,0.8834201816929875
18,11.7,12.47,11.49,11.93,3783362,11.69,,,,,,0.8903187401434886
19,12.05,12.61,12.05,12.54,2920982,11.64,12.72,,,9.84009457783779,15.106590699277772,0.8752959729903823
20,12.18,12.37,11.79,11.83,2575540,11.66,12.63,,,9.799518056885002,15.063188585565538,0.8663462606339265
21,11.87,12.43,11.78,12.32,3865240,11.67,12.56,,,9.782557018246184,14.96979852498851,0.8508929563029318
22,12.2,12.315,11.965,12.2,3171758,11.73,12.47,,,9.829137647284314,14.79279912309117,0.8154720308527225
23,11.73,11.975,11.47,11.74,3934999,11.76,12.32,,,9.94971256942761,14.481074317553528,0.8093668857918136
24,11.69,12.22,11.55,12.2,3969643,11.9,12.22,,,10.159252731673051,14.120562990645013,0.7994121082352554
25,12.02,12.12,11.165,11.4,5095506,11.99,12.1,,,10.242949293967952,13.883844147247448,0.8162398147898801
26,11.87,12.255,11.61,12.105,3763260,12.03,12.04,,,10.262355141197686,13.735603487256034,0.8190083994477457
27,12.55,12.75,12.16,12.18,3532332,12.06,11.96,,,10.393025807340985,13.509611092020213,0.806579228058621
28,12.375,13.05,12.35,12.94,4187500,12.1,11.95,,,10.47974380306439,13.402908728378842,0.811109283197291
29,13.05,13.41,12.86,13.05,3540145,12.24,11.98,,,10.373928794699976,13.443847761022363,0.7924586201117704
30,13.02,13.145,12.765,12.96,3959433,12.31,11.98,,,10.30924274330384,13.461977964411556,0.7629972901037867
31,13.25,13.31,12.925,13.06,3833820,12.4,12.06,,,10.255955421660756,13.548769489119811,0.7359974836678019
32,12.8,13.2,12.73,12.82,6038096,12.52,12.09,,,10.240336258455867,13.619732389192935,0.716997663405816
33,12.9,13.01,12.595,12.925,4129582,12.6,12.15,,,10.306429202215087,13.674993707371176,0.695426401733972
34,13.18,13.31,12.91,13.18,3836369,12.8,12.23,,,10.391478781092745,13.762062193408074,0.6743245158958311
35,13.08,13.29,12.9,13.16,3449527,12.92,12.34,,,10.522866131057867,13.835314149753998,0.6540156219032717
36,13.6,13.79,12.67,13.095,9358086,13.02,12.47,,,10.817426200994905,13.858288070096041,0.6873002203387523
37,13.26,13.305,12.875,12.98,6477529,13.03,12.53,,,11.043327773767906,13.865911444603304,0.6689216331716985
38,12.88,13.135,12.77,12.87,6796546,13.01,12.58,,,11.137794606037874,13.895033366377405,0.6472129450880059
39,13.05,13.115,12.735,12.97,2634810,13.01,12.6,,,11.162005203117387,13.920270649506374,0.6281263061531485
40,13.1,13.315,12.95,13.25,2884868,13.03,12.67,,,11.217443975493417,13.956732489387782,0.6093315699993522
41,13.48,13.735,13.32,13.62,2712868,13.12,12.74,,,11.26035185089756,14.05528269394036,0.6004507435708271
