,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,9.66,9.94,9.5136,9.68,8040716,,,,,,,0.4263999999999992
1,9.8,9.81,9.32,9.49,5512881,,,,,,,0.43094285714285646
2,9.52,9.62,8.92,8.98,7809177,,,,,,,0.45016122448979523
3,9.18,9.435,8.98,9.39,4895766,,,,,,,0.4505068513119528
4,9.04,9.1,8.78,8.95,5011330,,,,,,,0.46189921907538484
5,8.7,9.3,8.52,8.7,7164693,,,,,,,0.48462070342714314
6,8.21,8.31,7.57,7.6,7381737,,,,,,,0.5307192246109186
7,8.06,8.1199,7.16,7.69,15693244,,,,,,,0.5613749942815672
8,7.51,7.6,7.12,7.15,17104260,8.63,,,,,,0.5619910661185982
9,6.62,6.6882,6.19,6.38,8578319,8.26,,,,,,0.5904202756815555
10,6.97,7.33,6.2,7.22,8305680,8.01,,,,,,0.6289616845614444
11,6.43,7.12,6.05,6.13,16054366,7.69,,,,,,0.6676072785213412
12,6.31,6.46,5.44,5.72,13147767,7.28,,,,,,0.6927781871983882
13,5.33,5.56,4.35,4.56,11154538,6.79,,,,,,0.7411511738270748
14,4.47,5.31,4.09,5.11,26711754,6.4,,,,,,0.7753546614108552
15,5.46,6.08,5.3,5.67,16176206,6.18,,,,,,0.7892578998815084
16,5.65,5.79,5.2,5.27,12272400,5.91,,,,5.190242240147888,9.336797326568277,0.775025192747115
17,5.77,6.11,5.5145,5.9,6258777,5.77,,,,5.0479295478960715,9.050688702444795,0.7796662504080355
18,6.11,6.53,5.53,6.14,7710387,5.75,,,,4.9387968190471145,8.753874199999602,0.7954043753788901
19,6.22,6.69,6.09,6.175,6267636,5.63,7.1,,,4.895809337598622,8.458668850672744,0.7814469199946837
20,6.0,6.5,5.67,6.31,6511692,5.65,6.93,,,4.860389329423007,8.152480465335024,0.7849149971379207
21,6.27,6.28,5.8,5.92,6517807,5.67,6.75,,,4.872137758756226,7.8604606785227,0.7652782116280692
