,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,101.95,104.5658,100.76,102.01,464693,,,,,,,3.8057999999999907
1,102.4,103.76,99.06,102.95,563403,,,,,,,3.8696714285714204
2,100.88,103.46,98.4,99.19,449657,,,,,,,3.9546948979591754
3,98.2,99.44,94.755,96.96,612407,,,,,,,4.006859548104949
4,89.64,92.1055,85.83,87.38,1096387,,,,,,,4.515655294668881
5,91.92,94.6,85.3201,93.39,1330568,,,,,,,4.855958487906818
6,90.0,92.77,84.52,86.89,1264138,,,,,,,5.142675738770618
7,76.68,79.98,72.0082,76.23,954536,,,,,,,5.838327471715574
8,82.0,84.0,76.08,83.82,1087597,92.09,,,,,,5.987018366593033
9,71.6,77.955,71.0,72.39,1484190,88.8,,,,,,6.475088483264959
10,70.72,84.31,67.98,83.48,1244061,86.64,,,,,,7.179010734460319
11,75.98,82.4,73.51,80.55,518744,84.57,,,,,,7.378367110570297
12,78.0,81.95,73.8,79.01,1218434,82.57,,,,,,7.4334837455295615
13,79.68,81.45,73.58,75.0,1213222,81.2,,,,,,7.464663477991737
14,75.16,80.99,73.52,79.84,1176582,79.69,,,,,,7.465044658135184
15,83.45,90.99,83.45,87.68,408262,79.78,,,,,,7.728255753982671
16,88.5,89.74,86.0,88.49,533922,81.14,,,,,,7.443380342983908
17,88.44,91.76,85.84,86.65,521072,81.45,,,,,,7.334567461342201
18,84.64,88.16,82.15,85.94,296083,82.96,,,,,,7.239955499817757
19,86.0,89.73,84.79,84.79,356065,83.11,86.63,,,62.75355902064485,106.25957360392277,7.075672964116489
20,86.0,88.8,85.51,88.03,663108,83.94,85.93,,,63.838441700123404,103.9206910710419,6.856696323822454
21,85.7,89.94,83.96,85.32,806096,84.64,85.05,,,64.95031086537763,101.52787422905033,6.7940751578351355
22,84.5,87.67,82.57,84.01,341051,85.64,84.29,,,66.3219707620315,98.64024576094283,6.67306978941834
23,83.11,84.81,80.6962,81.39,395585,85.81,83.51,,,67.37287646847379,96.42052419806588,6.490264804459888
24,85.0,88.26,84.06,86.83,1393878,85.72,83.49,,,67.44948120287049,95.92576142447058,6.517388746998467
25,89.5,94.76,89.32,91.695,452529,86.07,83.4,,,67.12343982161536,95.96292797029407,6.618289550784292
26,93.0,98.0,92.54,97.72,409544,87.3,83.94,,,66.41838025977715,97.19314231527296,6.595911725728271
27,99.59,100.76,96.02,96.37,432028,88.46,84.95,,,66.45258194962037,99.45005452183943,6.463346602461967
28,96.51,98.88,95.9801,97.08,478064,89.83,85.61,,,66.30408050491036,101.0379621766328,6.208814702286112
29,99.0,101.7999,97.64,98.58,637110,91.0,86.92,,,67.17328507469388,102.51497130903846,6.102463652122818
30,96.01,99.905,95.55,99.3,896969,92.55,87.71,,,69.48372796194141,103.78946164200131,5.977644819828332
31,99.03,100.03,95.63,97.39,1402840,94.04,88.56,,,70.89456652226028,104.73703790715206,5.864955904126309
32,98.85,102.86,98.02,102.2,1449881,96.35,89.72,,,72.38449524328557,105.93471164481863,5.8367447681172875
33,101.16,106.73,100.0552,106.47,1528450,98.53,91.29,,,74.15679828868429,107.58559950377689,5.896605856108911
34,105.12,106.92,102.96,105.89,1132421,100.11,92.59,,,76.13358786754088,108.71484396232786,5.758276866386847
35,106.85,107.9499,103.053,104.565,439875,100.87,93.44,,,76.36057360066212,110.57415950627936,5.696749947359216
36,104.93,107.0,104.01,104.9,443493,101.82,94.26,,,76.40279447297922,111.93906998771506,5.503410665404986
37,105.0,106.5,104.1622,105.29,512615,102.73,95.19,,,76.70706959163837,113.08398766791001,5.277295617876058
38,106.5,108.25,105.71,105.71,678030,103.52,96.18,,,77.76108601354676,114.1505462503715,5.111774502313482
39,107.57,107.57,104.0,104.73,171183,104.13,97.17,,,78.77040609711112,114.97681006906265,5.001647752148234
40,106.26,106.39,103.64,104.17,283592,104.88,97.98,,,79.90101113451433,115.32171238803241,4.840815769851931
41,103.88,104.9624,100.05,100.21,560608,104.66,98.72,,,81.65555935465488,115.39152751189312,4.845928929148222
42,100.0,100.6,96.1,99.29,370819,103.86,99.49,,,83.87710144994881,114.60716077289061,4.821219719923349
43,97.37,104.68,97.005,104.27,336996,103.68,100.63,,,87.2040305078125,112.93940308470603,5.025061168500254
44,105.17,106.54,103.52,105.0,229333,103.73,101.54,,,90.2019884530238,111.44223728883941,4.8818425136073795
45,106.71,110.25,106.5413,107.35,292622,104.0,102.32,,,91.79313404740975,111.59858396186287,4.908139476921138
46,109.9,109.99,105.16,107.45,597284,104.24,102.81,,,92.94347659194976,111.97464671134841,4.902558085712486
47,108.0,110.93,106.6,108.51,616488,104.55,103.42,,,93.38578201527446,112.68162225446966,4.861661079590166
48,107.9,110.31,105.52,108.68,584253,104.99,104.0,,,94.05825294603298,112.86837520618222,4.8565424310480125
49,120.0,120.15,109.1601,114.76,2761162,106.17,104.81,94.72,,94.21486890271775,115.97511770314445,5.328932257401726
50,112.02,116.0,106.91,110.6951,1191746,107.33,105.38,94.89,,95.19957696526639,117.01067350940602,5.597579953301603
51,108.9,113.14,106.1522,113.14,740740,108.87,106.16,95.09,,96.40752966314173,117.21711217687637,5.6968813852086315
52,112.51,116.04,110.75,116.02,284736,110.18,106.86,95.43,,96.7996354274459,118.10392073638587,5.667818429122302
53,117.85,120.99,117.01,120.24,783378,111.87,107.54,95.9,,95.86939824815451,120.19032682285645,5.617974255613565
54,119.85,125.18,119.0,122.39,882962,113.54,108.37,96.6,,94.7521766195038,123.06853168256562,5.6581189516411685
55,123.79,126.225,123.3339,124.91,398379,115.48,109.39,97.23,,93.31710229187169,125.71118050592803,5.527896169381084
56,125.45,128.41,122.12,125.51,404458,117.37,110.42,98.0,,92.63874374999227,128.4635600293686,5.582332157282435
57,125.32,128.93,124.0772,126.72,631642,119.38,111.49,99.01,,92.0404957139672,130.87620454428156,5.530222717476548
58,129.33,134.35,129.04,131.43,484565,121.23,112.77,99.96,,90.94024621946002,134.26237701718307,5.680206809085366
59,132.39,133.28,123.75,126.5,816094,122.98,113.86,101.04,,91.150178871503,136.8313554348637,5.955192037007841
60,127.12,129.12,124.11,125.62,364668,124.37,114.93,101.89,,91.61258995501314,138.15856916825092,5.8876783200787095
61,123.51,124.27,121.25,122.73,332546,125.12,116.06,102.73,,93.04656417663286,138.44967048843657,5.779272725787374
62,124.46,126.68,123.2,124.8,187749,125.62,117.34,103.65,,95.55341015799667,138.18594421236048,5.648610388231133
63,125.1,129.36,125.0,127.7,424830,126.21,118.51,104.7,,98.2314244508796,138.44299171667282,5.570852503357481
64,127.9,129.59,126.36,128.48,168368,126.61,119.68,105.67,,99.72031511139987,138.587078473902,5.403648753117662
65,128.0,130.76,126.01,127.3,400106,126.81,120.68,106.46,,100.927165010617,139.0326171979058,5.3569595564664
66,126.73,130.25,124.33,128.38,211891,126.99,121.73,107.26,,102.73855140281955,139.0532202031623,5.397176731004514
67,129.0,132.75,129.0,130.84,444312,126.93,122.84,108.15,,104.29153163387008,139.2173625312875,5.323806964504192
68,130.5,132.49,130.0,131.79,348516,127.52,124.0,109.06,,106.42461473768874,138.74703015497028,5.121392181325322
69,132.01,133.21,126.54,128.23,292880,127.81,124.67,109.93,,108.22868945149365,139.39006248018018,5.232007025516371
70,123.5,126.5,119.11,121.03,416748,127.62,125.19,110.59,,110.6915599114068,138.77616676425825,5.509720809408058
71,124.0,126.14,121.29,121.48,112080,127.25,125.6,111.31,,114.25319081818795,137.18273713738276,5.481169323021768
72,118.03,122.84,116.08,122.29,599326,126.65,125.92,112.08,,115.86287742819451,135.95377353277917,5.572514371377356
73,124.9,126.78,123.15,125.07,349440,126.27,126.16,112.95,,116.80364792536197,135.39870223483757,5.495191916278974
74,124.23,127.5,123.565,125.64,152661,126.08,126.32,113.73,,117.40657052385133,135.31966907470039,5.383749636544762
75,125.7,131.5,125.7,130.89,235475,126.36,126.62,114.51,,117.4956178404762,135.5410947588753,5.417767519648707
76,131.7,133.625,129.62,130.01,335676,126.27,126.85,115.16,,117.52578324356757,136.0831419873207,5.316855553959513
77,129.35,129.35,125.51,125.84,341637,125.61,126.8,115.75,,117.58890793013975,136.09921697124224,5.25850872867669
78,125.69,127.94,124.5,124.97,573344,125.25,126.48,116.31,,117.67461704967353,135.40131052559624,5.128615248056926
79,124.89,125.94,120.0201,121.875,312979,125.34,126.25,116.77,,117.21080332188212,134.88386428177895,5.185135587481431
80,121.0,126.26,120.27,125.02,145614,125.73,126.22,117.29,,116.79940560233051,134.84618971734253,5.24262590266133
81,124.47,124.47,118.6,120.34,315721,125.52,126.1,117.75,,116.36188520736714,134.82657551052404,5.326724052471236
82,122.05,124.789,119.565,121.94,148191,125.17,125.96,118.14,,115.93817253097785,134.91850386922752,5.319386620151863
83,123.5,123.94,119.5266,122.83,385284,124.86,125.71,118.47,,115.47254110468461,134.96758419623197,5.254673290141016
84,123.04,128.87,123.04,125.89,540042,124.3,125.58,118.87,,115.42551803974655,134.91061079919476,5.310768055130943
85,127.5,127.765,124.26,125.35,258706,123.78,125.49,119.28,,115.42810292046101,134.66077213446022,5.181784622621589
