,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,20.39,20.81,19.78,20.75,667280,,,,,,,1.0299999999999976
1,20.78,21.97,20.665,21.56,373547,,,,,,,1.0496428571428549
2,21.75,22.35,21.57,21.9,335522,,,,,,,1.0310969387755085
3,22.14,22.52,21.77,22.11,371040,,,,,,,1.0110185860058294
4,21.84,22.21,21.78,22.03,277745,,,,,,,0.9695172584339844
5,21.41,21.54,20.24,20.36,406886,,,,,,,1.028123168545843
6,14.05,15.98,12.65,14.61,812024,,,,,,,1.5054000850782827
7,15.25,15.54,13.3901,14.53,1015419,,,,,,,1.5514357932869767
8,14.28,14.74,13.89,14.38,576422,19.14,,,,,,1.5013332366236212
9,13.41,13.73,11.845,12.86,1189746,18.26,,,,,,1.5751665768647911
10,13.63,14.305,11.61,12.31,2809839,17.23,,,,,,1.655154678517306
11,9.3,11.46,9.1801,11.02,1318841,16.02,,,,,,1.7604936300517844
12,10.96,11.0,9.09,9.27,1656449,14.6,,,,,,1.7726012279052286
13,8.87,9.37,6.57,7.53,1651937,12.99,,,,,,1.8459868544834266
14,7.34,11.67,7.14,10.93,1328291,11.94,,,,,,2.0377020791631817
15,11.13,14.83,11.13,13.57,6224578,11.82,,,,,,2.1707233592229547
16,13.31,13.44,10.85,11.54,1512914,11.49,,,,,,2.209957404992744
17,12.22,12.33,10.92,11.14,1312920,11.13,,,,,,2.152817590350405
18,11.51,11.97,10.32,11.23,943924,10.95,,,,,,2.116902048182519
19,11.35,11.8298,10.52,11.26,1054502,10.83,14.74,,,3.3923313798548023,24.647284564331045,2.059251901883768
20,11.0,11.07,10.21,10.24,765977,10.75,14.22,,,3.207712366069485,24.044344896264803,1.9871624803206416
21,10.4,11.47,9.52,11.46,623638,10.99,13.71,,,3.153838673761319,23.060491996912834,1.984508017440596
22,11.83,14.2,11.58,14.0,955837,11.71,13.32,,,3.607546185003196,21.833911790979183,2.0384717304805533
23,13.52,13.53,12.01,12.4,379148,11.87,12.83,,,4.389272544341689,20.311444513852422,2.035009464017657
24,13.03,13.8418,12.49,13.15,456841,11.82,12.39,,,5.628205756302115,18.55664202331012,1.9926373594449671
25,13.38,13.5812,11.56,12.4,267582,11.92,11.99,,,7.091115156178757,16.463565065844023,1.994677548056041
26,12.4,13.07,11.835,12.33,355792,12.05,11.88,,,7.117113949043139,16.02231680719625,1.940414866052038
27,12.55,13.4,12.03,12.24,542189,12.16,11.76,,,7.205623797700557,15.66793271213928,1.899670947048321
28,12.725,12.8,11.94,12.27,479771,12.28,11.66,,,7.3818569315208755,15.41658723713035,1.82540873654487
29,12.5,13.25,11.67,11.84,829302,12.45,11.61,,,7.386163430617884,15.361159901343798,1.8078795410773791
30,12.09,12.326,11.52,11.86,459310,12.5,11.58,,,7.387303880187451,15.146641986010728,1.7363167167147093
31,11.93,12.89,11.72,11.91,647348,12.27,11.63,,,7.550690838634278,15.173874237141252,1.6958655226636588
32,11.56,12.23,11.14,11.98,615459,12.22,11.76,,,7.745093547072518,15.132032380743413,1.6525894139019688
33,12.1,12.79,11.8,12.35,466017,12.13,12.0,,,8.724353045592006,14.761128120761661,1.6052615986232566
34,12.6,13.355,12.56,13.01,628253,12.2,12.11,,,9.79458351937638,14.77906373896974,1.5623857701501669
35,12.75,13.22,11.915,12.05,780156,12.17,12.03,,,9.819532256251541,14.475800554450672,1.544001072282298
36,12.39,12.39,11.75,12.05,475570,12.15,12.06,,,9.87989870716573,14.408250604121138,1.479429567119277
37,12.46,13.24,12.13,12.745,523039,12.2,12.14,,,9.933238094141261,14.451994856485928,1.458756026610757
38,13.25,13.99,12.77,13.52,535898,12.39,12.25,,,10.064671741310349,14.580638711082546,1.443487738995703
39,13.01,13.665,12.25,12.92,945081,12.5,12.34,,,10.220431641052018,14.61975818866287,1.44145290049601
40,13.81,13.96,12.8,13.76,703093,12.71,12.51,,,10.45535849846013,14.529957040320056,1.4213491218891523
41,14.0,14.75,13.78,14.49,668432,12.99,12.66,,,10.881499086412385,14.625752364335565,1.3905384703256414
42,15.82,15.82,14.95,15.4,634635,13.33,12.73,,,10.504297636350833,15.083380133064566,1.3862142938738098
43,15.54,15.98,14.63,14.87,626098,13.53,12.86,,,10.33454268654189,15.56377675642873,1.383627558597109
44,13.66,14.5799,13.598,14.45,473965,13.8,12.92,,,10.316012047641884,15.650806136032863,1.3756541615544582
45,14.03,14.395,13.32,13.93,676471,14.01,13.0,,,10.407788787215313,15.724361968891573,1.3581074357291398
46,14.12,14.67,13.527,13.77,500255,14.12,13.07,,,10.469872992880891,15.839819476879356,1.342742618891344
47,13.99,14.57,13.66,14.31,366035,14.21,13.17,,,10.51697413934978,15.929045143626091,1.3118324318276766
48,14.54,14.86,14.02,14.11,412173,14.34,13.27,,,10.569457914224989,16.038970538290307,1.278130115268557
49,14.29,15.14,14.1172,15.0,335805,14.48,13.42,13.71,,10.678564604562393,16.187470050912804,1.2604065356065173
50,15.38,15.4354,14.89,15.13,406079,14.55,13.59,13.6,,10.776918751319892,16.30233644935197,1.2093346402060516
51,15.24,15.54,14.7275,14.89,392360,14.5,13.74,13.47,,10.904671948341992,16.44800835951668,1.180989308762762
52,14.82,15.0,14.01,14.11,400330,14.41,13.84,13.31,,11.242820241360283,16.399023988826873,1.1673472152797078
53,14.12,14.99,13.5,14.3,423812,14.39,13.94,13.16,,11.459121843447331,16.383755204972292,1.1903938427597287
54,14.13,15.07,13.7601,14.7,315557,14.48,14.03,13.01,,11.559634806750346,16.410268716720438,1.1989299968483196
55,15.38,15.95,15.05,15.18,386530,14.64,14.18,12.91,,11.750993462064878,16.532237362999794,1.2025778542162966
56,15.3,15.56,15.05,15.38,211153,14.76,14.35,12.92,,12.04562872880139,16.369822646619138,1.1531080074865612
57,15.75,15.8421,14.8,15.52,266599,14.91,14.49,12.94,,12.319985822171214,16.354381053511624,1.1451788640946639
58,15.78,15.88,15.52,15.73,170205,14.99,14.6,12.97,,12.417129550048687,16.419250881887283,1.0890946595164737
59,15.66,16.3,15.4388,16.01,258428,15.09,14.75,13.03,,12.715427307531876,16.48011176561614,1.0728164695510112
60,16.31,16.79,16.09,16.6,434734,15.28,14.89,13.12,,12.83332425301039,16.663128274608418,1.0519010074402246
61,16.95,16.9894,16.25,16.79,155838,15.58,15.01,13.23,,12.791508388476725,16.930874797497435,1.02957950690878
62,16.87,16.87,15.88,16.1,129891,15.78,15.04,13.37,,12.745950012539344,17.106723861610522,1.0267523992724388
63,16.38,16.4,15.75,16.14,405865,15.94,15.11,13.54,,12.730516344934523,17.16403989399564,0.9998415136101217
64,16.15,16.5494,14.88,15.18,559753,15.94,15.14,13.63,,12.857727230081805,17.25581115030043,1.0476671197808272
65,15.27,16.0,15.27,15.9,337130,16.0,15.24,13.67,,13.061385592981676,17.23175100630593,1.0314051826536252
66,16.03,16.33,15.75,16.16,396027,16.07,15.36,13.77,,13.234291376998335,17.252950780427234,0.9991619553212233
67,15.99,16.84,15.81,16.75,377501,16.18,15.48,13.88,,13.407328547862974,17.314396625937473,1.0013646727982788
68,17.25,17.4541,16.73,16.74,265663,16.26,15.62,13.99,,13.447407006624696,17.51103234146931,0.9815600533126875
69,17.0,17.28,16.35,16.45,439977,16.25,15.69,14.09,,13.555189548888205,17.651483339583773,0.9778771923617812
70,16.24,16.39,15.66,15.93,418918,16.15,15.73,14.21,,13.595534817371092,17.66327172134491,0.9644573929073682
71,15.85,17.1829,15.59,16.73,415655,16.22,15.82,14.31,,13.657427867988686,17.773332464565513,1.009346150556842
72,15.94,16.83,15.77,15.98,468581,16.2,15.91,14.35,,13.860734993353832,17.753591495702835,1.0129642826599246
73,16.4,16.715,16.01,16.09,76164,16.3,16.0,14.42,,14.26115451399745,17.681824287118495,0.9931096910413585
74,15.5,17.0,15.4278,16.85,599472,16.41,16.11,14.5,,14.654189548637635,17.608620529736726,1.0344732845384044
75,17.35,17.62,16.27,16.33,658091,16.43,16.17,14.58,,14.721460433746914,17.75247716688712,1.0570109070713756
76,16.56,17.7,16.38,16.97,447464,16.45,16.25,14.67,,14.79732883376195,17.83295403286689,1.0793672708519917
77,16.9,17.57,16.88,17.18,360423,16.5,16.33,14.77,,14.898365050801035,17.890360629503103,1.0515553229339925
78,17.42,17.54,16.405,16.9,544017,16.55,16.39,14.86,,14.932277981446708,17.91689178022141,1.0575156570101356
79,16.89,16.91,16.25,16.53,139655,16.62,16.42,14.95,,14.9910635879506,17.904342100252578,1.0291216815094115
80,16.22,16.67,15.9,16.01,447700,16.54,16.39,15.04,,14.982774047718436,17.90400615631469,1.0106129899730252
81,15.93,16.16,14.85,15.03,271434,16.43,16.3,15.1,,14.805443374789448,17.92351704107409,1.0319977764035235
82,15.01,15.3622,14.57,14.62,239493,16.27,16.22,15.15,,14.58952658336502,18.058273907039958,1.014869363803272
83,14.53,14.54,14.12,14.25,260261,15.98,16.13,15.19,,14.291162707995259,18.32761839030634,0.9780929806744668
84,14.3,14.9,14.03,14.6,162036,15.79,16.1,15.22,,14.100114549135542,18.443160739012168,0.9703720534834335
85,14.56,14.66,14.225,14.59,144325,15.52,16.03,15.27,,13.925118236013903,18.568197037055622,0.9321311925203312
86,14.57,14.94,13.95,14.4,246376,15.21,15.95,15.32,,13.67666834528618,18.628979511772847,0.936264678768879
87,14.56,14.8025,14.02,14.11,243023,14.9,15.81,15.35,,13.470810325489031,18.653300757074554,0.9252814874282448
88,14.17,14.26,13.54,13.73,234804,14.59,15.66,15.35,,13.22750136151674,18.631644124770148,0.9106185240405131
89,13.66,14.1,13.57,13.64,240892,14.33,15.52,15.37,,13.011133922252245,18.60460410990684,0.8834314866090479
90,13.73,13.85,13.3,13.59,259926,14.17,15.41,15.36,,12.752358445954751,18.664204538412562,0.8596149518512588
91,13.58,13.58,12.99,13.36,231414,14.03,15.24,15.34,,12.461904155689904,18.619540542504446,0.841071026719026
92,13.33,13.53,12.96,13.39,242234,13.93,15.11,15.3,,12.206849970863553,18.579968859178326,0.8217088105248098
93,13.36,13.41,13.0,13.23,292919,13.78,14.97,15.27,,12.007086713215305,18.524444292498327,0.7923010383444663
94,13.25,13.6,13.09,13.32,236620,13.64,14.79,15.24,,11.83186554076846,18.37078075861816,0.7721366784627187
95,13.48,13.86,13.35,13.84,246694,13.58,14.66,15.24,,11.771546591269392,18.03863109478582,0.755555487143953
96,13.72,13.77,12.95,13.16,337600,13.47,14.47,15.23,,11.708436553218219,17.62725289826863,0.7651586666336707
97,13.12,13.44,12.99,13.03,240086,13.4,14.27,15.21,,11.805682496650459,17.18493138900665,0.7426473333026943
98,13.58,14.04,13.26,13.38,325968,13.37,14.09,15.19,,11.941634581671654,16.631061118515053,0.7617439523525018
99,13.6,14.09,13.6,13.98,270350,13.41,13.96,15.17,,12.181088558046028,16.17032057041355,0.7580479557558945
100,14.11,14.209,13.83,13.87,181197,13.47,13.86,15.14,,12.470200342875497,15.686311785034215,0.7309731017733305
101,13.87,13.99,13.55,13.77,131760,13.51,13.79,15.12,,12.5661286550243,15.264497365904353,0.7101893087895211
102,13.95,14.08,13.69,13.73,303799,13.56,13.75,15.12,,12.644772411754323,15.042828764431848,0.687318643875984
103,13.7,13.92,13.53,13.65,183127,13.6,13.72,15.1,,12.665965643553918,14.989421091907161,0.6660815978848423
104,13.6,13.8,13.45,13.48,509094,13.56,13.66,15.08,,12.681125658543337,14.850156018570257,0.6435043408930681
105,13.43,13.68,13.36,13.56,401224,13.61,13.61,15.05,,12.732764700962079,14.75189486796316,0.6203968879721347
106,13.39,13.463,13.13,13.33,783832,13.64,13.56,15.0,,12.735015671397626,14.5564052807975,0.6067971102598393
107,13.08,13.53,12.82,13.5,1101225,13.65,13.53,14.96,,12.713512820364864,14.350725329936276,0.6141687452412793
108,13.55,13.64,13.13,13.34,775842,13.58,13.51,14.92,,12.700032753264248,14.28080526050794,0.6067281205811879
109,13.31,13.62,12.88,13.58,488910,13.55,13.5,14.87,,12.656732591999054,14.237730903977331,0.6162475405396743
110,14.52,14.53,13.7,14.29,738340,13.61,13.54,14.82,,12.64226698679372,14.382887805444861,0.6400870019296976
111,14.26,15.06,14.15,15.03,565110,13.75,13.62,14.79,,12.599133996980237,14.675726385312185,0.659366501791862
112,14.97,15.16,14.8,15.13,566746,13.92,13.71,14.77,,12.454600017573178,14.925991793644037,0.6379831802353004
113,14.97,15.4,14.93,15.31,300986,14.12,13.81,14.75,,12.357157306088821,15.187433427446285,0.6259843816470647
114,15.51,15.85,15.26,15.35,457811,14.32,13.92,14.75,,12.24454335419909,15.53463665064707,0.6234140686722744
115,15.5,15.97,15.455,15.605,491164,14.57,14.0,14.75,,12.131064229960666,15.851407813583025,0.6231702066242549
116,15.66,15.74,15.34,15.65,177816,14.81,14.13,14.74,,12.140004616184433,16.061745298414,0.6072294775796653
117,15.87,16.16,15.625,15.7,274173,15.07,14.26,14.72,,12.146418175273682,16.31847981578318,0.6020702291811179
118,15.89,15.99,15.51,15.97,430368,15.34,14.39,14.7,,12.169322127923303,16.518899582184908,0.5933509270967524
119,15.96,16.06,15.66,15.94,900070,15.52,14.49,14.69,,12.164216201071795,16.708262607523558,0.5795401465898414
120,15.95,16.04,15.45,15.48,305106,15.57,14.57,14.68,,12.17740927942849,16.872349655205472,0.5802872789762814
121,15.33,15.4,15.13,15.21,466032,15.58,14.64,14.65,,12.251727527602519,16.925090408273267,0.5638381876208328
122,15.16,15.2219,14.92,15.12,330620,15.56,14.71,14.63,,12.322596737015989,16.955041083833855,0.5451283170764877
123,15.15,15.21,14.59,14.66,344372,15.48,14.76,14.61,,12.416376597056663,16.96853131473867,0.5504762944281673
124,14.44,14.68,14.291,14.55,635276,15.36,14.82,14.56,,12.512301799747455,16.940728020903645,0.5389422733975838
125,14.57,14.57,13.9,14.27,522228,15.21,14.85,14.52,,12.590702445235957,16.89352488140504,0.5483035395834707
126,14.71,14.865,14.22,14.43,608801,15.07,14.91,14.47,,12.752805863078361,16.805779256762158,0.5552104296132228
127,14.56,14.9,14.37,14.87,359572,14.95,14.97,14.42,,13.023984960488205,16.700562125870608,0.5534096846408498
128,14.85,14.85,14.21,14.31,284188,14.77,15.02,14.37,,13.226317057337457,16.582175757116033,0.5610232785950747
129,14.2,14.27,13.78,14.08,308712,14.61,15.05,14.32,,13.46276200286925,16.46792579708806,0.5588073301239981
130,14.09,14.27,13.72,13.86,376286,14.46,15.03,14.28,,13.467178959852099,16.495787235585603,0.5581782351151411
131,13.75,14.06,13.58,13.75,250484,14.31,14.96,14.25,,13.359196830066882,16.561522764695606,0.5525940754640597
132,13.83,13.97,13.28,13.63,400502,14.19,14.89,14.23,,13.137806303838833,16.617460558206194,0.5624087843594842
133,13.41,13.5299,13.2,13.42,231319,14.07,14.79,14.22,,12.924415909754764,16.694466343975602,0.5529510140480925
134,13.59,13.705,13.35,13.55,295674,13.99,14.7,14.19,,12.775724895821028,16.655494335780457,0.5388116559018002
135,13.53,13.61,13.33,13.41,312260,13.88,14.59,14.17,,12.660718521368313,16.57374954241586,0.5203251090516716
136,13.36,13.61,13.18,13.27,279985,13.7,14.47,14.15,,12.53717155554059,16.500031142422056,0.5138733155479808
137,13.18,13.75,13.18,13.69,268866,13.63,14.37,14.14,,12.475212320691433,16.300500341110364,0.5178823644374108
138,13.76,13.8,13.05,13.1,167147,13.52,14.23,14.13,,12.415198224031716,16.099840128887116,0.5344621955490243
139,13.23,13.53,13.2,13.38,139563,13.47,14.1,14.12,,12.452561156917298,15.854459544915038,0.5270006101526654
140,13.2,13.46,13.03,13.21,123267,13.41,13.99,14.11,,12.481911723868055,15.559104673243878,0.5200719951417608
141,13.25,13.31,13.0,13.1,175340,13.35,13.88,14.11,,12.500224863377785,15.404701244337133,0.5050668526316351
142,12.98,13.22,12.62,12.78,171586,13.28,13.77,14.1,,12.452820739486798,15.26599007655105,0.5118477917293756
143,13.0,13.36,12.84,13.0,197804,13.22,13.68,14.09,,12.436077144819876,15.082051705737364,0.5167158066058488
144,13.1144,13.25,12.51,12.53,215356,13.12,13.58,14.08,,12.339224608076645,15.001136948418857,0.532664677562574
145,12.62,12.66,12.21,12.51,201526,13.03,13.49,14.05,,12.162762949875738,14.986862067655865,0.5267600577366758
146,12.49,12.57,12.1868,12.51,227167,12.9,13.4,14.04,,12.046514172934724,14.881882552543946,0.5165057678983418
147,12.51,12.82,12.0,12.36,219248,12.82,13.27,14.02,,11.951310881434917,14.691492171283016,0.5381839273341745
148,12.26,12.85,12.1504,12.74,389546,12.75,13.19,14.01,,11.911525060678162,14.46289595902027,0.549713646810305
149,12.77,12.88,12.09,12.13,418776,12.63,13.1,13.97,,11.829512342727277,14.354041561003115,0.5668769577524262
150,12.16,12.19,11.57,11.93,510037,12.5,13.0,13.94,,11.644835095921088,14.308025139516301,0.57067146077011
151,11.58,12.24,11.58,12.12,573063,12.43,12.92,13.9,,11.49115906148451,14.258726647868162,0.5770520707151021
152,12.23,12.62,11.83,12.6,506738,12.38,12.87,13.88,,11.396585082290311,14.159964475317715,0.5922626370925947
153,12.72,12.81,12.09,12.22,680133,12.35,12.81,13.85,,11.354184105875959,14.118004364696258,0.6013867344431237
154,12.29,12.305,11.85,12.03,372374,12.29,12.73,13.82,,11.302559157706542,14.06895897326837,0.5909305391257578
155,12.13,12.69,11.94,12.61,637850,12.3,12.69,13.8,,11.282761528595445,13.997989933683966,0.602292643473918
156,12.75,13.18,12.43,13.15,565448,12.39,12.68,13.8,,11.305737516429906,13.938773776732493,0.6128431689400667
157,13.25,13.4,12.805,12.985,348178,12.42,12.65,13.79,,11.335208358554365,13.873543879541124,0.6115686568729193
158,13.1099,13.1099,12.58,12.94,296977,12.51,12.64,13.78,,11.35944536784827,13.753386642853538,0.6057351813819964
159,12.92,13.23,12.81,13.14,414856,12.64,12.63,13.77,,11.400400303510212,13.702263498277782,0.5924683827118539
160,13.16,13.29,12.8,13.02,323748,12.74,12.62,13.75,,11.42237893959417,13.672232588856788,0.58514921251815
161,13.04,13.09,12.71,12.72,303620,12.76,12.6,13.7,,11.448560127077318,13.642659294877895,0.5704956973382821
162,12.75,12.94,12.37,12.4,272118,12.78,12.58,13.65,,11.450176640990911,13.612966029817787,0.5704602903855477
163,12.45,12.62,12.33,12.41,204498,12.82,12.55,13.59,,11.469255501812759,13.547088453386806,0.5504274125008657
164,12.51,12.51,11.95,12.04,476565,12.76,12.53,13.52,,11.441543864796685,13.496515033747722,0.5511111687508039
165,12.04,12.58,12.04,12.54,379217,12.69,12.53,13.46,,11.429122638392181,13.496813342133954,0.5503175138400322
166,12.67,12.9,12.28,12.51,207645,12.64,12.53,13.4,,11.433139556164042,13.50638745446188,0.55529483428003
167,12.51,12.51,12.09,12.23,169350,12.56,12.52,13.33,,11.441734683587558,13.50393650710253,0.5456309175457422
168,12.24,12.45,12.05,12.15,263782,12.45,12.49,13.25,,11.433656713420667,13.500105867373014,0.5352287091496177
169,11.99,12.0746,11.47,11.79,390535,12.31,12.48,13.17,,11.335861014364829,13.522733119672903,0.5455695156389307
170,11.77,12.0,11.44,11.92,601800,12.22,12.48,13.1,,11.307864151702685,13.545028559488244,0.5466002645218643
171,11.5,11.89,11.32,11.45,830099,12.12,12.44,13.02,,11.25066941237425,13.584464704733298,0.5504145313417311
172,11.6765,11.87,11.13,11.33,551083,12.0,12.38,12.95,,11.114021912153742,13.624129034604628,0.5639563505316073
173,11.35,11.508,11.12,11.26,401111,11.91,12.33,12.88,,10.969979132900429,13.688713776215712,0.5513880397793497
174,11.31,11.57,10.69,10.99,509666,11.74,12.28,12.81,,10.752005056041025,13.741486073830217,0.5748603226522534
175,10.95,11.35,10.7413,11.1,316427,11.58,12.2,12.74,,10.569028387957212,13.793075667002,0.5772774424628067
176,11.11,11.21,10.48,10.48,746967,11.39,12.07,12.67,,10.343232432389664,13.775463556515875,0.5881861965726062
177,11.08,11.46,10.99,11.19,1224201,11.28,11.98,12.59,,10.273421191439295,13.656417242060426,0.6161728968174202
178,11.89,12.0,11.33,11.81,845148,11.28,11.92,12.54,,10.249532304293856,13.552467303341547,0.6300176899018902
179,11.97,11.98,11.655,11.93,525427,11.28,11.86,12.5,,10.287392882627184,13.409831501188028,0.6082307120517553
180,11.94,12.0,11.34,11.6,592453,11.3,11.79,12.45,,10.321809762613025,13.231563396871675,0.6119285183337728
181,11.65,12.13,11.54,12.09,327356,11.38,11.76,12.42,,10.38244089467066,13.086391702808431,0.6103621955956463
182,12.1,12.59,12.02,12.44,1200792,11.51,11.76,12.4,,10.410365826342044,13.016693676808714,0.6074791816245287
183,12.49,12.65,12.005,12.57,1005722,11.69,11.77,12.38,,10.437366209013598,13.02197686957113,0.6101592400799195
184,12.56,12.95,12.41,12.49,842292,11.84,11.79,12.36,,10.398849041044357,13.105418897962947,0.6051478657884967
185,12.81,12.88,12.36,12.85,1117787,12.11,11.81,12.35,,10.37396596569906,13.159173219497156,0.5990658753750328
186,12.75,13.03,12.7,12.77,645432,12.28,11.82,12.34,,10.32358699135801,13.187717817952556,0.5798468842768162
187,13.09,14.21,12.95,14.15,1526751,12.54,11.92,12.35,,10.232379609800184,13.618344993546073,0.641286392542758
188,14.45,14.81,14.21,14.48,1004230,12.83,12.03,12.37,,9.909198345845542,14.155275577256779,0.6426230787897039
189,14.34,14.73,14.025,14.59,620930,13.16,12.17,12.4,,9.760582678333474,14.5765674194069,0.647078573161868
190,14.42,14.6402,13.765,13.9,348968,13.36,12.27,12.41,,9.712145286206074,14.910659825794097,0.6633729607931631
191,13.99,13.99,13.03,13.58,442596,13.49,12.38,12.42,,9.766631295994493,15.07441538023056,0.6845606064507944
192,13.9,14.22,13.68,13.81,264125,13.62,12.5,12.44,,9.820052072099607,15.254745754479956,0.6813777059900235
193,13.61,14.035,13.54,13.88,204894,13.78,12.64,12.46,,9.915535704295467,15.362184945222346,0.6680650127050219
194,13.96,14.54,13.72,14.18,205578,13.93,12.79,12.49,,10.106275389759894,15.52575230514614,0.6789175117975204
195,14.34,15.01,14.34,14.85,423700,14.16,12.98,12.54,,10.277690800123171,15.714469308578185,0.6897091180976975
196,14.8,14.95,14.44,14.61,477725,14.21,13.19,12.58,,10.564635651540703,15.814596635911577,0.6768727525192905
197,14.49,14.81,14.36,14.57,327863,14.22,13.36,12.63,,10.80130538166266,15.863589252963674,0.6606675559107699
