,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,208.48,212.375,200.91,205.86,876271,,,,,,,11.465000000000003
1,207.58,210.71,203.03,209.8,657961,,,,,,,11.194642857142862
2,210.49,216.69,206.37,207.88,727473,,,,,,,11.132168367346942
3,212.55,220.67,209.55,219.44,341507,,,,,,,11.250584912536446
4,214.01,216.63,208.32,209.79,296789,,,,,,,11.241257418783844
5,204.15,208.69,199.72,204.03,438758,,,,,,,11.157596174584999
6,196.17,202.57,191.0573,194.85,567827,,,,,,,11.287246447828927
7,201.31,209.46,196.27,209.32,423189,,,,,,,11.524585987269719
8,203.71,205.19,193.36,197.92,474795,206.54,,,,,,11.84140127389331
9,182.45,192.85,176.54,176.66,543036,203.3,,,,,,12.5227297543295
10,185.69,185.69,171.2,178.61,345692,199.83,,,,,,12.66324905759168
11,163.86,170.77,156.47,156.67,366573,194.14,,,,,,13.340159839192275
12,159.17,162.65,149.02,161.22,616231,187.67,,,,,,13.360862707821399
13,150.19,173.35,148.48,172.56,415025,183.54,,,,,,14.182943942977014
14,170.63,195.2,166.705,169.23,441425,179.67,,,,,,15.205233661335797
15,169.68,172.28,157.05,159.09,335263,175.7,,,,,,15.207002685526097
16,158.01,158.54,147.14,153.96,402602,169.55,,,,,,14.97435963655995
17,162.91,168.9528,159.31,164.93,337657,165.88,,,,,,14.975676805377095
18,167.69,183.33,164.2097,177.51,435399,165.98,,,,,,15.271721319278733
19,178.17,196.7,177.18,195.38,355077,167.84,186.24,,,134.74881731514222,232.88229909183278,15.575169796473109
20,188.46,192.765,184.61,186.73,389166,171.18,185.28,,,135.03652070173786,230.85955205361353,15.231943382439315
21,186.5,192.25,184.73,189.51,333576,174.32,184.26,,,135.57664046698818,228.9433450788969,14.681090283693651
22,187.6,190.22,179.22,182.47,434947,175.42,182.99,,,136.48393537553412,225.66817643012155,14.41815526342982
23,174.6,177.83,170.03,172.92,343108,175.83,180.67,,,137.75035075287676,220.80140352664395,14.276858458899119
24,171.95,184.03,171.42,180.27,278989,178.19,179.19,,,139.69189219815516,216.2678803625833,14.157797140406325
25,178.1,184.49,177.11,181.3,227713,181.22,178.06,,,141.12245394634445,213.12944138571982,13.673668773234446
26,187.28,195.89,187.28,193.71,262502,184.42,178.0,,,141.4212720919282,212.06513098321372,13.739121003717699
27,200.08,202.26,191.56,191.56,186006,185.98,177.11,,,141.97650728651806,210.49547123273146,13.522040932023579
28,195.7447,198.1,192.83,195.12,224446,185.95,176.97,,,142.0376648494504,209.12203829314404,13.023323722593323
29,198.0,198.89,190.87,191.94,358876,186.53,177.73,,,141.43881890453991,210.01282538694034,12.6659434566938
30,192.77,196.05,190.875,194.93,182448,187.14,178.55,,,141.170188060899,211.06636823458018,12.13087606692996
31,198.41,200.475,194.91,197.02,172100,188.75,180.57,,,142.4683814237604,212.5877980187754,11.661884919292104
32,194.28,195.04,187.7701,191.05,207171,190.77,182.06,,,146.20368177923123,212.00085069116568,11.489600282199811
33,190.95,194.14,189.48,192.49,184942,192.12,183.06,,,150.72033958329462,212.19114505951268,11.00177169061411
34,197.01,198.833,193.01,196.02,414484,193.76,184.4,,,151.8378237797933,212.6354749367518,10.669002284141673
35,195.52,196.159,192.02,192.41,271154,193.62,186.06,,,155.1932638717743,212.64181121944378,10.202573549560123
36,188.91,190.76,181.93,184.42,279636,192.82,187.58,,,162.4647965102145,208.56129569200166,10.222389724591542
37,188.66,189.92,185.21,186.96,192408,191.92,188.69,,,167.04872127563084,205.74018053004133,9.885076172835003
38,187.18,189.97,185.48,186.43,215554,191.3,189.13,,,170.9370603693792,205.3524165640467,9.499713589061075
39,188.12,188.18,183.345,184.51,184702,190.15,188.59,,,171.72685354539215,205.01281781341388,9.166519761271
40,185.66,189.64,184.05,188.19,331941,189.16,188.66,,,171.68753542108195,204.9389014968873,8.911054064037355
41,187.56,193.2,187.3,191.17,306690,189.18,188.74,,,171.80464323215236,204.98713259357768,8.69597877374897
42,194.99,197.785,190.66,195.74,254151,189.54,189.41,,,172.5728603890844,205.50840920180855,8.583766004195473
43,192.97,192.97,188.25,191.18,247956,189.0,190.32,,,175.81626212727295,203.98941805361181,8.505639861038654
44,188.58,189.33,182.11,185.86,360476,188.27,190.6,,,178.7104793614237,203.41845320013397,8.545951299535893
45,183.84,183.84,176.24,180.11,270302,187.79,190.54,,,178.44594193658983,203.53061172984087,8.622669063854758
46,181.96,185.61,181.77,182.38,248516,187.29,189.97,,,177.7924547358101,203.69356478206004,8.399621273579418
47,184.09,184.64,177.89,178.4,269445,186.39,189.32,,,176.41603715468537,202.68999175725264,8.28179118260946
48,181.25,188.27,171.7,173.26,676375,185.14,188.22,,,173.7654310812933,202.0413988655134,8.873806098137358
49,175.0,184.42,175.0,180.45,502255,184.28,187.65,186.86,,172.31711714405236,201.36979468180942,9.037105662556119
50,179.11,182.32,176.77,178.07,308661,182.83,186.81,186.31,,171.4310191233015,201.23211295580626,8.788026686659252
51,178.84,180.86,173.52,173.52,301362,180.36,185.63,185.58,,170.540236888589,200.09909654608026,8.684596209040734
52,172.02,172.7739,168.5882,170.33,238063,178.04,184.59,184.83,,168.21180127003763,201.17762954702536,8.416539336966396
53,167.84,172.3,165.46,172.12,270704,176.52,183.58,183.89,,165.58629226702348,201.7792650269988,8.30392938432594
54,166.65,173.28,166.65,170.54,250466,175.45,182.3,183.1,,164.0801890494907,200.83647740969124,8.18436299973123
55,176.68,181.65,175.88,180.4,292873,175.23,181.7,182.63,,164.32148554721758,199.4755345536305,8.393337071179
56,180.91,180.91,173.46,173.64,285972,174.7,181.16,182.2,,163.77811255916427,198.90888873708397,8.32595585180907
57,175.89,178.66,174.5,175.12,309447,174.91,180.57,181.52,,163.49906619320964,198.43515838677368,8.089816148108422
58,177.44,182.61,177.43,181.54,246145,175.03,180.33,181.19,,163.54083539709333,197.84886453601052,8.04697213752925
59,183.87,184.61,178.225,182.48,355461,175.52,180.22,181.31,,163.54810854742743,197.5422649622926,7.928259841991448
60,188.5,195.245,188.5,193.57,378763,177.75,180.49,181.61,,163.17655645350564,198.52811924965522,8.273741281849203
61,196.92,206.04,196.92,205.92,356030,181.7,181.23,182.59,,161.75130098786104,201.78050798343904,8.573474047431402
62,208.7,209.955,200.03,200.68,284765,184.88,181.48,183.38,,160.255473195296,205.01746215777607,8.670011615472017
63,198.11,201.65,196.33,200.16,228580,188.17,181.93,183.93,,159.4254111616241,206.5077218413429,8.430725071509729
64,199.72,203.745,194.55,195.63,314625,189.86,182.42,184.46,,158.8479571931775,208.68659221254433,8.485316137830463
65,197.67,197.77,193.59,194.21,268722,192.15,183.12,185.16,,158.84631155495364,209.8819018276158,8.177793556556859
66,196.44,201.65,194.9835,199.48,323331,194.85,183.98,186.07,,158.53141367678535,211.5466860662338,8.125094016802798
67,199.37,201.63,197.15,198.59,282595,196.75,184.99,186.75,,158.42965436806983,213.08110534916344,7.864730158459741
68,205.78,206.9,201.54,202.81,279192,199.01,186.46,187.25,,158.89947103007654,215.29873816410804,7.896535147141189
69,204.63,207.09,204.01,205.94,219237,200.38,187.74,187.47,,159.0591915464245,217.40016827638794,7.638211208059676
70,203.0,204.88,196.91,197.68,250386,199.46,188.72,187.68,,159.83229745380407,218.878389701061,7.737624693198271
71,196.79,200.56,192.86,197.06,368294,199.06,189.9,187.84,,161.30454525533526,219.55162682254513,7.734937215112679
