,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,96.5,100.56,95.73,100.55,537630,,,,,,,4.829999999999998
1,100.88,102.68,98.08,100.15,587290,,,,,,,4.813571428571428
2,101.74,103.14,100.02,102.49,355810,,,,,,,4.692602040816326
3,100.23,101.66,98.21,100.61,694437,,,,,,,4.663130466472303
4,97.73,98.07,93.86,96.02,522682,,,,,,,4.812192576009996
5,80.96,92.6,80.0751,89.0,626460,,,,,,,5.607385963437853
6,91.01,91.42,86.53,90.33,669067,,,,,,,5.556144108906578
7,88.31,90.32,86.57,89.16,766247,,,,,,,5.427848101127537
8,85.6,86.83,82.45,82.77,1010475,94.56,,,,,,5.519430379618427
9,86.59,89.5,81.19,89.04,822139,93.29,,,,,,5.718756781074254
10,81.84,87.83,79.8185,81.66,789322,91.23,,,,,,5.968952725283237
11,84.82,92.6,81.02,89.37,928557,89.77,,,,,,6.369741816334434
12,83.77,96.98,83.77,93.78,950630,89.01,,,,,,6.858331686596261
13,94.59,105.75,86.83,89.46,1488680,88.29,,,,,,7.719879423267957
14,88.14,89.52,79.88,80.81,1212980,87.38,,,,,,7.857030893034532
15,80.59,81.2,72.29,74.89,1078453,85.66,,,,,,7.932242972103493
16,78.0,86.55,77.2908,86.27,1168762,85.34,,,,,,8.198511331238958
17,86.82,100.0,86.82,95.9,1766714,86.8,,,,,,8.59361766472189
18,96.12,103.33,96.12,102.2,806385,88.26,,,,,,8.510502117241755
19,102.19,103.38,96.48,99.33,585605,90.22,91.69,,,70.76300714644708,109.55811009273323,8.395466251724486
20,101.39,103.06,99.4,101.59,735825,91.58,91.74,,,70.46692461966249,109.92122335806077,8.062218662315594
21,101.62,103.38,99.71,100.75,438210,92.36,91.77,,,70.31569426448527,110.03365275942703,7.7484887578644805
22,97.24,109.27,97.24,104.12,1352457,93.98,91.85,,,70.5672954003235,111.25223329504152,8.05431098944559
23,103.02,108.92,102.6,107.75,729664,96.98,92.21,,,70.08170488253256,112.51533671043597,7.93043163305662
24,108.02,108.06,101.26,105.01,805565,100.32,92.66,,,69.58943978045187,113.85920166515959,7.849686516409719
25,109.0,109.63,107.56,108.85,745705,102.83,93.65,,,69.36720553036388,115.55160416968629,7.618994622380453
26,110.0,111.85,107.08,108.38,851840,104.22,94.55,,,68.91515077906489,117.43934847060333,7.415495006496134
27,109.96,113.02,108.685,112.7,672612,105.39,95.73,,,68.58531346856094,119.24143164472346,7.217245363174983
28,113.02,114.91,110.56,111.14,675851,106.7,97.15,,,68.86870742919791,120.83498942501217,7.0124421229481975
29,110.61,111.13,108.31,110.95,400239,107.74,98.25,,,69.9182254212831,121.64858890775375,6.713696257023327
30,113.32,114.38,112.55,113.37,400075,109.14,99.83,,,71.20738727709465,122.5217241268609,6.479146524378803
31,111.61,112.54,110.28,111.37,505728,109.95,100.93,,,72.88555061434867,123.23765432616499,6.237064629780317
32,112.27,113.06,110.16,112.9,479478,110.52,101.89,,,74.41829786210427,124.09086066360571,5.998702870510295
33,114.5,114.5,112.12,112.93,575205,111.4,103.06,,,75.61947213885135,124.98563233266233,5.740224094045273
34,112.12,113.7385,110.65,111.82,692617,111.73,104.61,,,78.6277325235289,124.95849605749123,5.550815230184896
35,110.07,111.97,109.54,110.72,413562,111.99,106.4,,,84.828466514612,122.03234799135205,5.32789985660026
36,112.66,112.87,110.72,111.51,373482,111.86,107.66,,,90.86358293085766,118.8577218350342,5.100907009700243
37,111.97,114.86,111.97,113.78,558691,112.15,108.56,,,94.66356769484022,118.67358834919096,4.975842223293082
38,115.0,116.78,111.75,112.88,770241,112.36,109.09,,,96.21745275925542,119.11225207835523,4.979710635915004
39,114.03,116.97,113.29,115.71,624258,112.62,109.91,,,97.90626349667107,119.34178192815428,4.91615987620679
40,116.77,117.44,113.13,114.05,511387,112.92,110.53,,,99.1505716332458,119.28185575781977,4.87286274219202
41,115.72,117.5,114.445,114.81,713898,113.13,111.24,,,100.48977531351993,118.85787148241754,4.7712296891783055
42,114.16,114.41,112.49,113.14,774783,113.16,111.69,,,103.20992616701565,118.83029399073199,4.596141854236999
43,104.9,108.0,101.0,101.65,1604624,112.03,111.38,,,102.73618470024446,118.95869488330072,5.134988864648642
44,102.42,106.18,100.56,105.67,916869,111.47,111.42,,,102.51882066872363,119.28945189136692,5.16963251717374
45,107.09,108.41,105.18,105.66,664774,110.82,111.26,,,102.1699270566491,119.40706678070379,5.031087337375616
46,106.23,107.22,105.15,105.23,438483,109.87,111.1,,,101.88428498590642,119.71575100698027,4.819581098991643
47,106.97,107.195,104.28,104.96,296598,108.99,110.71,,,101.30875006824321,119.907314243482,4.683539591920811
