,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,48.94,50.1,47.105,47.87,313724,,,,,,,2.9950000000000045
1,48.8,49.79,47.84,49.69,181587,,,,,,,2.9203571428571466
2,48.14,48.82,46.15,46.69,131970,,,,,,,2.964617346938779
3,45.0,46.52,43.74,45.88,105529,,,,,,,2.963573250728866
4,41.77,43.63,41.64,41.64,201684,,,,,,,3.0547465899625186
5,43.37,43.87,41.37,43.18,281582,,,,,,,3.0151218335366243
6,41.7,42.51,40.57,41.24,253568,,,,,,,2.98618455971258
7,38.68,40.78,37.07,40.165,238042,,,,,,,3.070742805447396
8,41.85,42.14,38.38,40.62,279069,44.11,,,,,,3.119975462201153
9,37.0,38.9501,36.64,37.26,482166,42.93,,,,,,3.181405786329642
10,38.19,42.14,36.51,41.76,347774,42.05,,,,,,3.356305373020382
11,39.29,42.86,37.765,41.77,410066,41.5,,,,,,3.480497846376069
12,41.67,44.785,40.09,44.34,779142,41.33,,,,,,3.5672480002063494
13,44.38,46.29,42.115,42.75,853106,41.45,,,,,,3.610658857334467
14,43.73,44.645,41.96,43.86,621306,41.53,,,,,,3.5445403675248626
15,45.99,47.63,42.29,44.04,390714,41.84,,,,,,3.6727874841302297
16,43.95,45.65,42.28,42.57,369961,42.11,,,,,,3.6511598066923563
17,42.89,45.0,42.89,45.0,317274,42.59,,,,,,3.563934106214331
18,43.62,46.505,42.46,42.59,403837,43.19,,,,,,3.59829595577045
19,43.12,45.11,43.015,43.68,275852,43.4,43.33,,,35.108956803292834,50.721779718381555,3.5212748160725607
20,43.5,45.87,43.01,45.46,532584,43.81,43.21,,,35.39696612382794,49.998848771357764,3.474040900638806
21,43.75,45.58,43.27,44.25,408784,43.8,42.94,,,35.9003464983663,49.241633953480445,3.3908951220217483
22,44.07,45.29,42.91,43.69,267510,43.9,42.79,,,36.206571202043996,48.62843663964335,3.318688327591624
23,43.62,45.26,41.99,43.54,333439,43.87,42.67,,,36.26823274712161,48.46442154124442,3.3152105899065076
24,44.64,45.24,43.805,44.69,657238,43.94,42.82,,,36.20708196242044,48.55849036813294,3.199838404913186
25,45.71,47.26,43.8,46.85,276082,44.42,43.01,,,36.17119475124765,48.92078264888295,3.2184213759908156
26,47.35,48.33,46.03,48.05,431892,44.76,43.35,,,35.99656654280295,49.42697351269093,3.1528198491343287
27,48.98,49.27,47.89,48.37,277943,45.4,43.76,,,36.2128126302363,49.86945928929401,3.026189859910448
28,48.05,48.875,46.99,47.52,263078,45.82,44.1,,,36.48305813243366,50.25110457133577,2.9446762984882735
29,48.74,49.99,48.5,49.33,301012,46.25,44.71,,,37.12362789478532,50.09410254178554,2.9107708485962536
30,48.55,48.6,47.1,48.23,801735,46.7,45.03,,,38.22913209903967,50.110542627644,2.862144359410807
31,48.21,49.27,47.19,49.2,1639942,47.31,45.4,,,39.199926908753056,50.245458535393986,2.8062769051671785
32,50.44,50.99,49.4,49.92,613126,48.02,45.68,,,39.45162580661904,50.91214017860988,2.733685697655237
33,49.36,49.83,47.2,47.21,1005128,48.3,45.9,,,39.68755142278151,51.26547431716483,2.7327081478227204
34,46.33,47.04,45.67,45.86,399719,48.19,46.0,,,40.02766661534331,51.20374274434441,2.647514708692526
35,46.86,46.86,45.09,45.51,347628,47.91,46.08,,,40.323643527084954,51.16797196004141,2.58483508664306
36,45.82,49.04,45.01,45.77,541378,47.62,46.24,,,40.640612732007185,51.33180727274393,2.6880611518828412
37,45.38,46.48,44.42,46.28,475045,47.48,46.3,,,40.828522913717016,51.261673191575625,2.643199641034067
38,46.81,49.1,46.37,48.51,715513,47.39,46.6,,,41.19931875997906,51.421078554708565,2.6558282381030622
39,49.58,49.85,48.7,48.89,184935,47.46,46.86,,,41.40448135085446,51.57678200588918,2.561840506809987
40,50.3,51.11,48.275,50.37,465903,47.59,47.1,,,41.72110184631925,51.97369309483127,2.5813518991807025
41,49.56,49.56,47.89,48.1,361150,47.39,47.29,,,42.07160666295552,52.017188223972134,2.5741124778106523
42,37.6,42.47,37.0,42.43,1698075,46.86,47.23,,,40.22918551846744,52.53366765748999,3.1831044436813203
43,42.0,44.56,40.57,44.38,375801,46.69,47.27,,,39.92127873003713,52.60979332253181,3.2407398405612264
44,44.83,46.08,43.694,44.18,312539,46.55,47.25,,,39.907478907512676,52.54876078242522,3.1796869948068527
45,44.05,44.67,42.8,42.84,278254,46.22,47.05,,,39.76890211533212,52.68833990829418,3.0861379237492206
46,43.57,44.67,42.89,44.15,465688,45.98,46.85,,,39.476080582029184,52.75176975856831,2.9964137863385623
47,44.56,45.65,44.32,45.34,430826,45.63,46.7,,,39.36655233718355,52.627990746172216,2.8895270873143795
48,45.01,46.31,44.81,46.11,237339,45.32,46.63,,,39.29540802603727,52.508354751010074,2.7902751525062097
49,46.15,46.15,42.5,42.57,524830,44.46,46.29,45.08,,39.059442046354135,52.2231959606639,2.8516840701843376
50,42.31,42.535,39.71,40.51,898066,43.61,45.91,44.94,,38.322948512604,52.350811929257674,2.8522780651711708
51,39.96,40.16,38.88,40.05,673070,43.35,45.45,44.74,,37.52443093744029,52.63662942398195,2.7649724890875156
52,39.96,40.27,39.13,39.21,291820,42.77,44.91,44.59,,37.09549978771336,52.38003456978891,2.6489030255812644
53,40.28,43.33,40.1701,42.87,620016,42.63,44.7,44.53,,36.769498416416695,51.91739603530897,2.7539813808968883
54,42.66,43.73,42.16,42.48,438178,42.59,44.53,44.55,,36.66213711008736,51.78900074256473,2.6694112822613962
55,43.03,44.01,42.83,43.16,178394,42.48,44.41,44.55,,36.60722684065191,51.658470117643596,2.588024762099868
56,42.96,43.84,42.47,43.175,161792,42.24,44.28,44.59,,36.5378328919396,51.2032357434872,2.5010229933784496
57,43.4,43.96,42.84,43.96,327124,42.0,44.16,44.67,,36.49456443995582,51.07224040287092,2.402378493851417
58,45.25,46.765,44.88,45.94,248191,42.37,44.04,44.77,,36.55676279535019,50.712634079870455,2.4311371728620306
59,45.58,48.08,43.4013,47.85,565580,43.19,43.98,44.98,,36.920733185866865,50.35602908560494,2.5916773748004567
60,48.54,48.54,46.88,47.13,329482,43.97,43.82,45.09,,37.120438692357034,49.708013533359605,2.525128990886138
61,46.68,47.2,46.15,46.77,215179,44.82,43.76,45.19,,37.354906787579324,49.20584170405228,2.4197626343942713
62,46.97,46.97,45.87,45.95,124486,45.16,43.93,45.22,,38.25996850284877,49.422205661229796,2.325493874794681
63,46.21,47.315,45.6,47.05,356910,45.66,44.06,45.31,,38.48580866576014,49.6850721306521,2.2818871694522036
64,47.85,48.07,46.87,47.06,199394,46.1,44.21,45.37,,38.34922785541835,49.96171810003676,2.2046095144913322
65,46.65,47.96,46.23,47.33,466474,46.56,44.43,45.44,,38.35136542705972,50.28380485403796,2.1707088348848087
66,49.6,51.105,48.07,49.27,496205,47.15,44.69,45.57,,38.213370358323864,51.22965720100589,2.285301060964465
67,49.7,50.62,49.515,49.93,411926,47.59,44.92,45.67,,37.88559898066258,51.90992924552531,2.218493842324146
68,49.23,49.23,48.12,48.73,321470,47.69,45.05,45.79,,37.777518557609326,52.240759371604156,2.189315710729564
69,48.75,49.98,48.34,49.21,240095,47.92,45.38,45.9,,37.84826424143135,52.68238986471415,2.1500788742488806
70,47.3,47.84,45.54,45.9,245334,47.83,45.65,45.91,,38.51085775014815,52.75070030380113,2.258644668945389
71,47.27,47.625,46.59,46.59,55108,47.9,45.98,45.96,,39.49030022798121,52.39813561716828,2.2205271925921473
72,44.97,47.4,44.86,47.33,407249,47.93,46.38,46.03,,40.52361098225743,51.8250981897343,2.2433466788355654
73,48.69,48.72,46.945,47.76,319214,48.01,46.63,46.12,,41.485564598192646,51.76855844343734,2.209893344633025
74,47.92,49.15,47.69,49.0,346592,48.19,46.95,46.2,,42.02422405493505,51.72619825997374,2.156329534302095
75,48.54,49.535,48.37,49.23,261309,48.19,47.26,46.25,,42.45838442785833,51.674170715587465,2.085520281851945
76,49.74,49.96,46.75,47.33,708158,47.9,47.47,46.24,,43.114752118834105,51.51340106644812,2.1658402617196635
77,46.89,47.14,46.24,47.11,206145,47.72,47.62,46.21,,43.74686444519597,51.015184286929085,2.088994528739687
78,47.81,48.05,46.82,47.6,206346,47.54,47.71,46.21,,43.96533669198457,50.961858147019356,2.027637776686852
79,47.32,47.555,45.56,46.16,199217,47.57,47.62,46.15,,44.48237193625092,50.96687261829921,2.0285207926377913
80,45.92,45.92,43.87,44.97,256157,47.39,47.51,46.08,,43.982894341786675,51.09138670535699,2.0471978788779492
81,44.97,46.62,44.49,46.03,377615,47.24,47.48,46.02,,43.73287028541946,51.12630586857856,2.0531123161009526
82,46.85,47.08,46.21,46.74,223320,47.13,47.52,45.96,,43.764438140907565,51.120853517582304,1.9814614363794558
83,46.54,48.09,46.54,47.85,238307,47.0,47.56,45.97,,43.85224427576919,51.12051599318684,1.9506427623523521
84,48.29,49.08,47.18,47.4,158837,46.8,47.57,46.0,,43.85999714947212,51.183973798876465,1.947025422184327
85,47.97,48.71,47.53,48.14,160996,46.89,47.61,46.05,,43.91046491557334,51.214764641220334,1.9015236063140182
86,48.96,48.96,47.66,48.32,117845,47.02,47.57,46.1,,43.92388576170949,50.82735712984805,1.8585576344344459
87,47.76,50.1,47.76,49.85,227282,47.27,47.56,46.18,,44.10328968039126,50.71039021365864,1.8929463748319857
88,49.8,50.68,48.985,50.5,353508,47.76,47.65,46.22,,44.01580075893383,50.97827912035368,1.8788073480582723
