,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,15.03,15.15,14.34,15.01,1209215,,,,,,,0.8100000000000005
1,15.13,15.13,14.525,14.71,335041,,,,,,,0.7953571428571434
2,14.83,14.8635,14.18,14.4,353480,,,,,,,0.7873673469387761
3,14.12,14.131,13.2,13.28,561443,,,,,,,0.8168411078717207
4,13.29,13.84,12.75,12.75,551038,,,,,,,0.836352457309455
5,11.89,12.0709,11.14,11.42,915491,,,,,,,0.8916129960730653
6,11.91,11.91,10.71,11.07,1767564,,,,,,,0.9136406392107035
7,10.98,11.13,10.39,10.69,1390400,,,,,,,0.901237736409939
8,9.87,10.47,7.51,8.29,1229266,12.4,,,,,,1.0640064695235147
9,8.58,11.08,8.16,10.54,842846,11.91,,,,,,1.1965774359861208
10,8.98,9.31,7.57,7.61,1483164,11.12,,,,,,1.3232504762728263
11,7.9,8.94,7.35,7.5,789750,10.35,,,,,,1.3423040136819102
12,7.12,7.45,5.865,6.37,717126,9.58,,,,,,1.363210869847488
13,6.29,7.3499,6.28,7.02,1186926,8.95,,,,,,1.3422600934298106
14,7.05,8.49,6.9,8.25,1898080,8.59,,,,,,1.359955801041967
15,8.1,8.29,7.42,8.26,1093176,8.28,,,,,,1.324958958110398
16,8.97,9.23,8.71,9.02,498693,8.1,,,,,,1.2996047468167984
17,9.2,9.5,7.74,7.89,1063171,8.05,,,,,,1.3324901220441698
18,8.32,8.66,7.26,7.5,774941,7.71,,,,,,1.3373122561838722
19,7.51,7.604,6.76,6.965,869359,7.64,9.93,,,3.549240502359373,16.099596724027656,1.3020756664564528
20,7.0,7.57,6.6,7.1,1106819,7.6,9.53,,,3.5117176980178497,15.471251534858439,1.2783559759952778
21,7.18,7.465,6.97,7.3,1260390,7.7,9.16,,,3.70473197992706,14.715774872932037,1.2224019777099009
22,6.67,6.67,6.0,6.33,3206630,7.62,8.76,,,3.8936384867217892,13.926199578442265,1.2279446935877651
23,6.38,6.64,5.41,5.5,1169179,7.32,8.37,,,3.995342184366271,13.16849151800804,1.228091501188639
24,5.5,5.68,4.31,4.86,1406410,6.94,7.97,,,3.9927751369942506,12.408473492450955,1.2382278225323078
25,5.11,5.33,4.7501,4.78,1279232,6.47,7.64,,,3.936834728920414,12.034726431803817,1.191204406637143
26,5.04,6.22,5.04,5.69,1104973,6.22,7.37,,,4.002322035695026,11.48431212847415,1.2089755204487755
27,6.015,6.69,5.71,6.52,821801,6.12,7.16,,,4.267945691438397,11.009347915634871,1.1940486975595772
28,6.85,7.7,6.85,7.69,1305089,6.2,7.13,,,4.269570491487732,10.62978332327975,1.1930452191624645
29,7.7,7.795,6.46,7.2001,1363960,6.21,6.97,,,4.306899641469891,10.00768939548815,1.2031848463651458
30,7.39,8.8,7.2701,7.48,1422292,6.23,6.96,,,4.318865622385008,9.916339553638498,1.2315216430533498
31,7.28,7.43,6.82,7.28,1687542,6.33,6.95,,,4.324338935597709,9.75411866869177,1.190698668549539
32,7.46,7.5,6.89,7.02,2484032,6.5,6.98,,,4.386180922176113,9.756361185283838,1.1492201922245722
33,7.18,7.49,7.01,7.32,1548672,6.78,7.0,,,4.414059844022763,9.761851651399063,1.101418749922817
34,7.0,7.445,6.9,7.07,1377650,7.03,6.94,,,4.414059844022763,9.664037516814778,1.0616745534997587
35,7.01,7.08,6.11,6.26,2113950,7.09,6.84,,,4.381671898275835,9.576499793936827,1.0551263711069188
36,6.76,6.97,6.19,6.22,1362855,7.06,6.7,,,4.536172562187275,9.29513908247354,1.0354744874564246
37,6.3,6.41,5.94,6.14,2349342,6.89,6.61,,,4.560890089567872,8.888314155939433,0.9950834526381086
38,6.14,6.21,5.61,5.63,1420063,6.71,6.52,,,4.522597176667362,8.661723425817963,0.9668632060211009
39,5.89,7.4,5.77,6.95,4448418,6.65,6.52,,,4.486955007212751,8.639010381396853,1.0242301198767367
40,7.39,7.7,6.71,7.16,968807,6.64,6.52,,,4.485119993271542,8.655768957139438,1.0217851113141128
41,7.5,7.68,7.3,7.63,937763,6.71,6.54,,,4.460440695832656,8.681381783349776,0.985943317648819
42,7.5,7.5,6.93,7.04,2506548,6.68,6.57,,,4.47379731025934,8.725251631962877,0.9655187949596178
43,6.88,7.07,6.51,6.73,1245006,6.64,6.63,,,4.564950316532334,8.733505934575465,0.9365531667482165
