,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,81.2,87.02,80.8532,86.59,223465,,,,,,,6.166799999999995
1,87.08,89.0,86.61,89.0,80270,,,,,,,5.898457142857138
2,88.39,90.585,86.24,87.62,148029,,,,,,,5.787495918367343
3,88.7,89.31,86.09,88.85,105781,,,,,,,5.604103352769675
4,86.81,87.64,82.6,83.1758,121299,,,,,,,5.650238827571841
5,80.72,84.44,80.02,84.16,113708,,,,,,,5.562364625602425
6,76.9,80.62,69.18,69.18,291704,,,,,,,6.235052866630823
7,72.27,77.32,70.45,77.31,287442,,,,,,,6.371120519014334
8,75.09,76.89,70.44,72.42,262644,82.03,,,,,,6.406754767656167
9,67.33,69.215,64.73,65.51,171375,79.69,,,,,,6.498415141395013
10,68.89,70.64,64.41,69.93,100129,77.57,,,,,,6.479242631295369
11,63.27,67.07,60.74,62.02,209880,74.73,,,,,,6.672868157631415
12,63.01,73.95,56.71,73.28,146908,73.0,,,,,,7.427663289229171
13,69.25,72.11,60.82,63.61,135221,70.82,,,,,,7.787115911427088
14,62.98,77.17,60.37,64.77,306800,68.67,,,,,,8.430893346325153
15,65.4,68.0,60.74,61.39,403126,67.8,,,,,,8.347258107301927
16,61.44,64.35,59.1,63.53,280452,66.27,,,,,,8.12602538535179
17,67.16,69.92,65.55,68.805,89037,65.87,,,,,,8.002023572112376
18,69.13,70.8,65.88,66.89,106926,66.03,,,,,,7.781879031247207
19,67.78,73.97,67.78,73.34,100807,66.4,73.57,,,49.854495436227026,93.75899780780259,7.731744814729549
20,69.79,72.31,66.21,66.55,126257,66.91,72.57,,,49.7343758361332,92.45354461388258,7.688763042248868
21,67.65,69.77,66.18,68.66,171226,66.39,71.55,,,50.485795074731,90.56513143353334,7.395994253516806
22,68.53,76.41,67.98,69.47,167972,67.04,70.64,,,51.73310759654979,88.08171786695152,7.469851806837034
23,66.57,67.92,64.27,64.81,93978,67.05,69.44,,,53.36745303673597,85.39442938159753,7.307719534920103
24,63.51,67.26,63.51,65.88,34521,67.55,68.58,,,54.95747670022676,82.64673560935344,7.0535967109972395
25,64.79,67.91,62.16,64.01,102107,67.6,67.57,,,56.6949970295829,80.3064929920502,6.9604826602117225
26,66.88,72.0727,66.84,69.47,136386,67.68,67.58,,,56.82011936850873,78.79280533778248,7.039212470196599
27,70.45,72.02,67.64,68.79,60164,67.89,67.16,,,57.0785761427491,77.98282264052565,6.849268722325413
28,70.43,71.6,69.17,70.02,66572,67.52,67.04,,,57.23681794378905,77.1560973382304,6.560749527873597
29,71.52,74.29,71.23,73.76,77793,68.32,67.45,,,56.84012144548943,77.55799607188673,6.397124561596912
30,72.79,75.325,70.82,72.51,66012,68.75,67.58,,,56.62542837758471,78.06941199762153,6.261972807197133
31,74.75,76.42,71.69,72.83,67290,69.12,68.12,,,56.82127723389444,78.6224471591515,6.152546178111624
32,70.39,73.13,68.09,68.56,168233,69.54,67.88,,,58.33066893230043,78.53450758798888,6.073078593960793
33,68.72,70.33,64.79,68.73,354560,69.85,68.14,,,58.88392479552181,78.46576618683105,6.0350015515350215
34,71.62,73.88,70.835,71.17,283601,70.65,68.46,,,59.61425489064779,77.8821801519687,5.971787154996805
35,72.0,72.08,64.97,68.015,285668,70.49,68.79,,,60.330648127803265,77.89208269722505,6.053088072497033
