,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,75.78,87.695,75.78,87.44,835479,,,,,,,11.914999999999992
1,87.21,88.55,84.99,87.96,425795,,,,,,,11.318214285714278
2,87.22,96.63,85.41,95.3,862098,,,,,76.07303841669248,96.38174702614096,11.31119897959183
3,96.37,99.64,93.325,99.35,449547,,,,,82.74309731904188,101.24839210892918,10.9543276239067
4,97.89,104.25,96.4653,101.315,493827,,,,,85.46683770934149,104.39501716011777,10.727925650770509
5,97.29,100.68,93.03,95.7,525169,,,,,92.1791055904446,104.18306721726482,10.55343096142976
6,91.9,91.9,86.97,87.34,617825,,,,,86.8665969683,105.93440523493278,10.423185892756207
7,89.99,90.88,86.03,89.06,718540,,,,,84.49745796963641,100.4132205838544,10.025101186130764
8,87.48,88.3,84.32,85.5,831692,92.11,,,,84.29546651479613,92.40102621247244,9.647593958549995
9,81.2,81.2,75.66,77.26,360318,90.98,,,,75.8877455174866,92.30740998616767,9.661337247224996
10,80.0,80.0,72.5,79.64,336518,90.05,,,,70.76182463666416,88.10116089944601,9.506956015280354
11,67.0,74.05,60.28,62.735,990878,86.43,,,,60.545155625306094,82.62850810875973,10.210744871331757
12,63.85,70.52,60.6,65.09,638697,82.63,,,,56.79884943366864,80.12699078699669,10.189977380522345
13,64.06,65.95,56.54,56.8,463019,77.68,,,,56.656922071299604,74.64055689314452,10.134264710485034
14,57.48,70.39,56.63,69.34,1250386,74.75,,,,55.37298544856695,71.8152858719566,10.393245802593245
15,71.25,77.79,67.66,73.07,1497316,73.17,,,,53.24292283188477,77.95615033435156,10.374442530979442
16,73.57,78.21,70.94,75.17,950446,71.62,,,,56.83039039592892,80.30184977262878,10.15269663590948
17,80.0,82.97,77.51,80.42,406337,71.06,,,,66.51935424726061,82.82148219578241,9.98464687620166
18,80.03,84.8,77.81,80.19,239088,71.38,,,,71.14903839867424,85.73534406732813,9.77074352790154
19,82.02,88.17,79.785,86.87,390477,72.19,81.78,,,77.00872784521096,88.21483920672598,9.671761847337145
20,83.36,86.65,81.64,81.85,375189,74.31,81.5,,,77.63815538067013,88.39645980295795,9.35449314395592
21,82.18,88.45,80.83,86.47,408582,76.69,81.42,,,79.72869130854087,88.8220967832543,9.2306007765305
22,85.72,88.135,79.3,81.1,643986,79.39,80.71,,,79.28285004685796,88.80241701802014,9.202343578206893
23,79.21,80.0706,72.23,75.0,770188,80.02,79.5,,,72.40678636205362,90.7763478407673,9.178604751192113
24,74.25,80.45,72.68,75.085,377713,80.24,78.18,,,70.38246796503026,87.89065764193433,9.077990126106963
25,74.01,75.77,70.63,72.12,433580,79.9,77.01,,,70.66150493368154,81.62288118180015,8.796705117099323
26,76.9,79.21,74.8,76.73,438848,79.49,76.47,,,70.40972562203387,81.1437829620936,8.674797608735085
27,78.55,80.66,74.56,74.56,201441,78.87,75.75,,,70.7545196564526,81.30940449956574,8.490883493825436
28,78.035,80.81,75.53,79.88,262619,78.09,75.47,,,74.4076064819645,81.19867918373215,8.33082038712362
29,81.9,85.73,79.09,82.49,370715,78.16,75.73,,,73.76960081393806,85.57332365194583,8.210047502329076
30,82.01,82.46,78.0,81.46,384314,77.6,75.82,,,75.53356260999779,85.75446237948512,7.944329823591285
31,83.72,88.99,83.06,88.55,601878,78.43,77.11,,,77.12059033250746,89.31816807044372,7.914734836191907
32,86.67,88.81,85.88,88.8,720683,79.96,78.3,,,77.92135230726639,90.84448064592581,7.558682347892486
