,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,86.55,90.91,86.33,90.29,338206,,,,,,,4.579999999999998
1,90.96,91.41,88.35,91.16,200461,,,,,,,4.471428571428571
2,91.33,92.52,85.96,87.51,204167,,,,,,,4.620612244897959
3,89.5,91.0,87.24,90.9,151143,,,,,,,4.559139941690963
4,88.8,89.21,85.785,87.14,258738,,,,,,,4.5988442315701805
5,84.2,85.32,82.36,85.1,416362,,,,,,,4.611783929315168
6,79.84,81.65,77.52,80.19,765324,,,,,,,4.823799362935513
7,82.56,83.88,79.305,83.57,627122,,,,,,,4.80602797986869
8,81.41,82.03,77.46,79.25,490590,86.12,,,,,,4.899168838449498
9,73.94,75.9,70.14,74.15,513334,84.33,,,,,,5.199942492845962
10,77.57,77.57,68.92,75.75,764120,82.62,,,,73.37622017563835,92.01453469974433,5.446375171928393
11,62.25,67.08,62.25,62.76,978554,79.87,,,,69.2955328181427,91.96639263434281,6.021634088219223
12,64.53,68.68,61.715,68.54,799824,77.38,,,,66.07573903676328,90.62136596972192,6.089017367632136
13,65.24,69.61,54.0942,55.75,539490,73.9,,,,61.50844117601366,88.30940506057483,6.762358984229841
14,54.96,58.88,51.985,57.82,392236,70.86,,,,57.55934209820532,86.54719484759342,6.771833342499138
15,58.65,58.965,50.92,51.1301,710096,67.64,,,,54.322171947358285,84.11004200469952,6.862773818034914
16,51.73,53.38,46.01,47.21,581594,63.6,,,,50.62968709137882,82.18804031013376,6.899004259603849
17,49.77,54.06,49.26,51.47,696580,60.51,,,,48.32805893929966,80.13106203943373,6.895503955346432
18,51.62,57.305,50.41,55.34,399268,58.42,,,,47.17597799435681,76.6987234623838,6.895467958535973
19,55.96,61.15,55.05,60.35,409782,56.71,71.77,,,47.499333328746076,73.10391123268289,6.838648818640547
20,58.37,58.935,56.085,57.19,235154,56.09,70.11,,,47.744927363459965,70.54579948116054,6.654816760166223
21,58.02,63.0,57.11,62.71,440346,55.44,68.69,,,48.52191729223415,67.097774113853,6.6001869915829205
22,62.24,63.92,61.68,62.55,469488,56.2,67.44,,,48.56912204632263,66.51207674378068,6.288745063612712
23,59.73,60.61,53.46,53.54,412078,55.72,65.58,,,48.59326153058656,65.00285755472095,6.4888347019260895
24,52.69,54.45,51.01,53.79,376100,56.02,63.91,,,48.26641302099835,62.4985665012941,6.271060794645655
25,53.29,54.33,50.72,51.83,277050,56.53,62.24,,,48.100313844883885,62.33072742805912,6.080985023599537
26,54.42,58.55,54.42,58.16,312368,57.27,61.14,,,48.45157300413582,62.285897373059605,6.1266289504852836
27,60.86,61.8115,58.12,60.02,904752,57.79,59.97,,,50.10500123855542,62.81311270154282,5.952691168307764
28,61.935,64.82,61.5,63.63,354744,58.16,59.18,,,51.03762535873392,63.80157252755325,5.870356084857209
29,65.13,71.39,65.13,70.7,436186,59.66,59.01,,,51.736507466582005,66.49087990639663,6.005330650224551
30,69.78,69.82,66.78,67.6,298006,60.2,58.6,,,51.864086912166066,68.0024075087788,5.856378460922798
31,69.97,70.55,67.02,69.11,299120,60.93,58.92,,,52.17808246060766,69.56077526221937,5.690208570856884
32,65.59,67.94,63.91,64.43,331228,62.14,58.72,,,52.62641800254881,70.21000703912804,5.655193672938536
33,64.21,65.67,61.37,63.79,316146,63.25,59.12,,,52.60986097729928,70.40806350509686,5.558394124871498
34,66.98,68.58,66.3,68.45,316948,65.1,59.65,,,53.801709906367414,71.21769419070213,5.50350883023782
35,67.36,67.935,65.52,67.275,220838,66.11,60.46,,,55.93944530316712,71.4777554212398,5.319686770935119
36,65.24,66.53,63.485,66.41,443550,66.82,61.42,,,58.711388534202825,70.92371025450272,5.21042343015404
37,68.1,68.97,66.3318,68.3,194210,67.34,62.26,,,61.04192612996331,70.69319728958381,5.026693185143038
