,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,60.86,61.25,59.04,61.17,657804,,,,,,,2.210000000000001
1,59.15,59.42,56.48,56.92,918046,,,,,,,2.3871428571428583
2,54.66,57.14,54.4,56.8,1944168,,,,,,,2.4123469387755114
3,48.0,51.535,46.86,47.95,3258364,,,,,,,2.950036443148689
4,50.06,52.62,48.68,52.46,2288652,,,,,,,3.0728909829237825
5,50.4,50.53,47.261,47.93,1596434,,,,,,,3.224755912714941
6,44.42,46.35,41.45,42.96,2759842,,,,,,,3.4572733475210167
7,45.74,47.62,43.54,47.03,3631682,,,,,,,3.5431823941266583
8,42.72,46.295,42.56,42.73,4065484,50.66,,,,,,3.60938365168904
9,43.4,45.87,41.59,44.4,3945744,48.8,,,,,,3.6572848194255365
10,40.73,42.47,37.14,38.47,2792614,46.75,,,,,,3.914621618037998
11,37.9,40.92,36.0,40.23,2327026,44.91,,,,,,3.9864343596067124
12,40.41,42.51,38.18,38.61,3483268,43.87,,,,,,4.010974762491948
13,38.21,38.98,35.41,37.91,1856426,42.25,,,,,,3.9794765651710944
14,40.75,44.46,39.96,44.31,1781182,41.85,,,,,,4.163085381944588
15,44.53,47.58,41.88,45.98,1617270,42.19,,,,,,4.272864997519974
16,46.69,48.21,45.425,46.43,1298370,42.12,,,,,,4.166588926268548
17,43.82,44.375,42.4,42.78,1152624,42.12,,,,,,4.156832574392223
18,42.87,46.12,42.45,45.78,1819904,42.28,,,,,,4.122058819078493
19,45.37,46.41,44.66,45.37,1519250,43.04,46.31,,,31.36420804842367,59.85839505307718,3.9526260462871723
20,42.84,44.3,41.85,44.02,1876812,43.47,45.45,,,32.51390213859137,57.33309929090248,3.9217241858380882
21,43.74,46.005,43.54,44.66,1009066,44.14,44.84,,,33.76346025606009,54.87304686325827,3.817672458278225
22,44.47,45.37,43.44,44.53,1080982,44.87,44.23,,,35.05229123217887,52.62786286217413,3.682838711258352
23,47.08,48.21,46.14,47.3,1549798,45.21,44.19,,,35.10797994422399,52.026627678573696,3.68263594616847
24,49.82,51.02,47.75,47.78,1002398,45.41,43.96,,,35.23135717491269,51.609683695334546,3.685304807156437
25,48.46,51.49,48.05,50.63,774846,45.87,44.1,,,35.139544162711786,51.8358537811378,3.6870687495024064
26,51.88,52.87,50.22,51.23,985010,46.81,44.51,,,34.72515389988874,52.947128304147675,3.612992410252234
27,51.25,51.31,48.4295,49.07,846700,47.18,44.61,,,34.55573833565912,53.49599964214552,3.5606715238056466
28,49.12,50.37,48.31,49.05,1289764,47.59,44.93,,,34.49495649865398,53.93151265363573,3.4534807006766717
29,46.9,46.92,45.39,46.61,1085026,47.87,45.04,,,34.661507646050765,53.98183546387644,3.4682320791997663
30,46.44,46.815,44.93,46.71,1157300,48.1,45.45,,,35.53576311875898,53.955514366582975,3.35514407354264
31,48.68,49.735,48.42,48.91,940996,48.59,45.88,,,36.7608574515698,53.972628327578846,3.33156235400388
32,47.48,49.12,47.18,48.62,1353770,48.73,46.38,,,37.69807586503426,53.989155110828776,3.2321650430036026
33,46.98,47.71,46.05,46.85,974202,48.63,46.83,,,39.76210203093781,53.04923509225097,3.184867539931917
34,48.51,48.51,46.8757,47.73,667350,48.31,47.0,,,40.68167062095439,52.98966982498689,3.07594842993678
35,48.35,49.88,47.72,49.03,1187146,48.06,47.15,,,41.23060564363717,53.159082437002375,3.0105235420841527
36,49.56,49.68,48.405,49.47,684356,48.11,47.31,,,41.26444384631463,53.27458062607818,2.8865575747924277
37,50.16,52.55,49.76,52.12,950682,48.45,47.77,,,41.70152329644986,53.66496296971011,2.9003748908786826
38,53.39,54.44,51.93,52.41,1097880,49.09,48.1,,,41.98123589162178,54.538737745585486,2.872490970101634
39,54.18,56.0,53.58,55.51,1305433,50.07,48.61,,,41.7401832743402,55.663357555260525,2.9237416150943747
40,53.97,54.215,52.57,52.74,1339678,50.5,49.05,,,42.46129162729016,55.946347461805445,2.9249029283019192
41,54.21,54.685,48.97,50.32,1529539,50.69,49.33,,,43.12606297711004,56.385668671163856,3.124195576280354
42,49.29,49.29,47.21,47.55,1267044,50.76,49.48,,,43.802884145583334,56.0931226482681,3.123181606546043
43,48.37,49.3,48.07,48.16,1297982,50.81,49.52,,,44.01933000631811,56.060596490343805,3.0250972060784687
44,48.67,48.85,47.9,48.04,961518,50.7,49.54,,,44.03156234703651,56.02159454385875,2.876875977072864
