,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,39.69,39.9,37.67,37.67,674893,,,,,,,2.229999999999997
1,36.9,37.22,35.765,36.58,638605,,,,,,,2.206785714285712
2,36.84,38.02,36.33,38.02,559181,,,,,,,2.16987244897959
3,38.35,39.16,37.79,38.31,438525,,,,,,,2.112738702623905
4,38.83,39.59,38.75,39.51,396652,,,,,,,2.053257366722198
5,38.81,39.32,38.56,39.02,570523,,,,,,,1.9744532690991836
6,38.06,38.19,36.89,38.06,696658,,,,,,,1.9855637498778136
7,35.0,36.12,34.34,34.9,945542,,,,,,,2.1094520534579697
8,35.76,36.03,33.53,36.01,1882218,37.56,,,,,,2.137348335353829
9,34.95,34.95,32.5,32.95,1579136,37.04,,,,,,2.2353948828285555
10,30.76,32.21,29.14,30.06,2332104,36.32,,,,,,2.34786667691223
11,32.25,33.81,31.21,33.8,2758014,35.85,,,,,,2.4480190571327856
12,30.5,31.55,27.54,27.57,2618190,34.65,,,,,,2.7203034101947297
13,28.24,32.04,27.7,31.23,3407628,33.73,,,,,,2.845281738037963
14,29.15,31.12,28.33,30.65,3235692,32.8,,,,,,2.849190185320966
15,30.46,31.07,28.26,28.7,2167092,31.76,,,,,,2.846390886369468
16,28.79,29.21,26.02,26.55,2424078,30.84,,,,,,2.8709343944859347
17,24.67,25.73,21.88,24.755,3125914,29.58,,,,,,2.9994390805940823
18,25.76,26.6,24.75,26.4301,2245346,28.86,,,,,,2.9173362891230763
19,26.24,29.0,26.05,28.27,1489724,28.66,32.95,,,21.21239456640486,42.934505656006365,2.919669411328571
20,28.47,30.84,28.39,30.29,1406748,28.27,32.58,,,21.05456085159044,42.14158138932642,2.8946930248051017
21,29.37,31.3,28.91,30.92,1576908,28.64,32.3,,,20.901990477852607,41.72538893540228,2.858643523033309
22,31.26,31.36,29.95,30.79,1523584,28.6,31.94,,,20.920541441155628,41.12828011272875,2.755168985673787
23,30.58,31.92,29.9225,31.76,1885264,28.72,31.61,,,21.15629316240227,40.233712767887766,2.701049772411374
24,30.43,30.43,28.59,29.27,1344204,28.78,31.1,,,21.60301985647739,39.076727576724075,2.734546217239133
25,29.0,30.16,28.56,29.0,1463070,29.05,30.6,,,22.28988717706884,37.78176910693305,2.6535072017220522
26,28.46,29.46,27.99,28.16,1021212,29.43,30.1,,,22.8962743413031,36.586635203602135,2.56897097302762
27,29.37,30.2,28.83,29.42,956496,29.76,29.83,,,23.26781565208125,35.78547690560853,2.5311873320970757
28,30.69,31.53,29.34,29.45,2127682,29.9,29.5,,,23.628947298364647,34.944744318195724,2.506816808375856
29,29.63,31.4,29.46,31.18,1397930,29.99,29.41,,,23.8977884107153,34.29065484238966,2.467044179206152
30,31.94,33.89,31.94,32.97,1181754,30.22,29.56,,,23.705551977293407,34.600355774323845,2.484398166405713
31,32.59,32.8109,31.3,31.77,937264,30.33,29.46,,,23.697067068700495,34.40440788927075,2.426226868805305
32,32.56,33.595,32.43,32.65,903932,30.43,29.71,,,23.572114665727863,34.71923727358176,2.3832820924620686
33,31.56,32.3,31.27,31.95,826774,30.73,29.75,,,23.60345255042345,34.75226264415363,2.311619085857635
34,32.03,32.335,31.23,31.96,866028,31.06,29.81,,,23.61616108669351,34.87564635098263,2.2254320082963757
35,32.87,33.36,32.52,32.74,1304878,31.57,30.01,,,23.568695017858204,35.15096687609251,2.166472579132349
36,32.13,32.77,31.08,31.1,813114,31.75,30.24,,,23.929964709693802,35.3341223523553,2.1324388234800384
37,30.29,31.58,30.29,31.27,1586694,31.95,30.57,,,25.623145093927583,34.820438857106765,2.072264621802893
38,31.56,31.9,31.03,31.59,787592,32.0,30.83,,,26.62346627149154,34.27818259205406,1.9863885773884005
39,31.64,32.285,31.28,31.97,1261962,31.89,31.01,,,27.393113112467326,34.15609397727254,1.9162893932892286
40,32.2,32.2,31.3,31.75,393690,31.89,31.08,,,27.63654754603918,34.189592265386736,1.8436972937685698
41,31.98,33.05,31.9,32.75,626120,31.9,31.18,,,27.793190124491172,34.32242059105685,1.8048617727851004
42,33.77,34.28,33.32,33.39,589670,32.06,31.3,,,27.70249352562992,34.67037896123867,1.7852287890147363
43,33.75,34.7,33.69,34.58,807252,32.35,31.45,,,27.627299388926655,35.06035110217937,1.7512838755136837
44,33.89,34.52,33.48,33.92,880544,32.48,31.68,,,27.857454352997777,35.313095531602904,1.704763598691278
45,32.99,33.335,32.58,33.02,653406,32.69,31.88,,,28.230054723329097,35.29373368427412,1.6787090559276154
46,32.54,32.6999,31.82,32.38,544772,32.82,32.09,,,28.843756336640958,35.02640946446881,1.6445155519327859
47,32.97,33.11,32.35,32.63,558652,32.93,32.25,,,29.31538978781337,34.83863071945474,1.5813358696518724
48,32.87,33.37,31.69,31.75,3854568,32.91,32.37,,,29.70458576533579,34.83345052348302,1.5883833075338814
49,32.19,32.74,31.68,32.0,902026,32.94,32.41,32.15,,30.125002124145706,34.75218207016273,1.550641642710033
50,32.7,33.22,32.31,32.59,990030,32.92,32.39,32.05,,30.134497519595453,34.67438968137894,1.5270243825164591
51,32.14,32.93,31.835,32.14,671318,32.78,32.41,31.96,,30.18485737450449,34.67822820794328,1.4961654980509977
52,31.86,32.19,30.23,30.42,1230776,32.32,32.3,31.81,,29.931645616883667,34.623258871364385,1.529296533904498
53,30.09,30.18,28.41,28.53,1368030,31.72,32.12,31.61,,29.25472319224729,34.91000800451821,1.5636324957684626
54,27.98,28.32,27.055,27.99,1267216,31.16,31.93,31.38,,28.283134592977998,35.52978303449655,1.5573016032135725
55,27.82,27.9,26.695,27.2,1039426,30.58,31.65,31.14,,27.384697580810514,35.923263488105555,1.538565774412603
56,28.32,29.59,27.9101,29.4,683652,30.22,31.56,30.97,,26.951599013330313,35.96627840385372,1.5993825048117027
57,29.21,29.21,28.26,28.27,671620,29.84,31.41,30.84,,26.674506268372813,36.07326211950397,1.5665694687537237
58,28.5,29.13,28.37,29.06,559980,29.51,31.29,30.7,,26.390012098252495,36.14875732704445,1.5161002209856007
