,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,31.3,32.4,31.03,32.07,1497807,,,,,,,1.3699999999999974
1,32.29,33.72,32.04,33.72,1343536,,,,,,,1.3921428571428547
2,33.63,34.6257,32.95,33.25,1184071,,,,,30.95018934398845,34.81308397662575,1.4123969387755078
3,33.8,34.75,33.28,34.67,1017934,,,,,32.05023596706951,34.98369082389619,1.418654300291543
4,33.76,33.8,32.64,33.14,1463046,,,,,32.60460937966165,34.95988980122883,1.4623218502707187
5,32.01,32.705,31.46,32.39,2859950,,,,,31.444419377892622,34.87735871306893,1.4778702895370959
6,29.73,30.22,26.0,29.17,3349996,,,,,26.136641231905067,34.259532143682755,1.8287366974273034
7,30.58,31.41,29.48,31.32,3177458,,,,,25.939459916396412,32.8121566296515,1.8581126476110674
8,30.13,30.365,26.72,27.31,4148084,31.89,,,,25.37935059943588,31.379174523488544,2.053961744210277
9,25.27,26.38,23.29,23.46,5698532,30.94,,,,23.085525459778054,32.30477486289613,2.1943930481952574
10,23.05,25.68,22.29,24.82,8325796,29.95,,,,21.544233383111784,30.25488412528295,2.279793544752739
11,22.42,22.72,21.15,21.66,5611288,28.66,,,,21.065494068690825,27.063764075147045,2.3790940058418295
12,22.09,22.475,20.33,21.72,5810420,27.22,,,,20.173888142067284,25.587282535722174,2.362373005424556
13,20.06,21.4,18.02,18.66,5377376,25.61,,,,18.047997977347336,22.970693406960667,2.457917790751374
14,18.51,21.06,17.63,19.95,5581970,24.23,,,,17.054715912992236,22.457493538436033,2.527352234269133
15,20.38,21.19,18.16,18.46,5365794,23.04,,,,17.634550243191047,21.405384268743568,2.5632556461070526
16,18.36,20.0,18.0,19.2,4110828,21.69,,,,17.63096990117989,21.46803969249641,2.523023099956549
17,20.84,22.36,19.64,22.03,4882132,21.11,,,,17.60536639911958,22.481348869963636,2.5685214499596527
18,22.47,25.26,21.27,23.59,5866976,21.12,,,,17.838163863406788,25.438077293655276,2.670055632105392
19,23.92,25.82,23.53,25.68,3402720,21.22,26.31,,,19.33116752630638,26.52292241653965,2.6429088012407216
20,24.57,24.92,23.3,23.83,3597134,21.46,25.9,,,21.331881218607027,25.833238657703358,2.6241296011520987
21,23.84,24.65,23.5984,24.6,3247228,21.78,25.45,,,23.304178128313254,25.803879069269982,2.511806058212663
22,24.6,25.385,24.03,24.59,3223292,22.44,25.01,,,23.23907824036825,25.393964851790695,2.4291770540546156
23,23.29,23.9,22.68,22.84,2852542,22.76,24.42,,,22.67771316447342,25.461763888770925,2.3920929787650005
24,22.75,23.44,22.08,22.86,2902584,23.25,23.91,,,21.831375860450816,25.359836190188727,2.318372051710358
25,22.69,22.96,21.94,22.39,2780228,23.6,23.41,,,21.800915325690788,23.950372338954377,2.2256311908739037
26,23.73,25.02,23.34,24.45,2378884,23.87,23.17,,,21.605167469051153,24.992287741603167,2.2545146772400533
27,25.73,26.19,24.73,24.77,2448086,24.0,22.84,,,21.80216338112652,26.52217249605287,2.217763628865764
28,25.15,26.34,24.69,25.93,1892256,24.03,22.77,,,23.382988382561827,26.644973584466882,2.177209083946781
29,26.47,27.29,26.01,26.4,2708152,24.31,22.92,,,24.317429384115616,27.26283610616642,2.118837006522011
30,26.18,26.18,25.11,25.53,1615726,24.42,22.96,,,24.528172526796098,27.263363888181683,2.0596343631990104
31,26.1,26.9,25.72,26.2,2574490,24.6,23.18,,,25.108011323785554,27.409427961913305,2.0103747658276525
32,25.0,25.22,24.28,24.44,3721916,24.77,23.32,,,24.241591617798054,27.0271375302511,2.0039194254113912
33,24.56,24.79,23.63,24.61,2370598,24.97,23.62,,,23.366778900536683,26.863170777272686,1.9436394664534349
34,25.19,26.31,25.0,25.86,3912034,25.35,23.91,,,23.549505545749554,26.30186947967783,1.9262366474210468
35,25.18,25.5972,24.14,24.42,3010384,25.35,24.21,,,23.495014296268295,26.402270578250423,1.9115054583195434
36,23.68,23.81,23.05,23.33,3571842,25.19,24.42,,,22.988349457485207,26.655760169910565,1.8728264970110047
37,24.17,24.33,23.73,24.0,1598696,24.98,24.52,,,23.034400297225844,25.590257253120825,1.8104817472245043
38,24.34,25.14,24.1,24.74,2377924,24.79,24.57,,,23.04083705548823,25.163940247729702,1.7625901938513255
39,24.95,25.26,24.7,25.125,1983816,24.75,24.55,,,23.638190730961597,25.466452154277576,1.676690894290517
40,25.36,26.69,25.32,26.5,1873012,24.78,24.68,,,24.03563661269485,26.645242616885447,1.6687129732697659
41,27.43,27.6,26.41,26.84,1669606,25.05,24.79,,,24.524398672174904,27.81421602346718,1.6345191894647828
42,27.86,29.4,27.36,29.35,2647482,25.57,25.03,,,25.240452959770188,29.413723136720883,1.7006249616458697
43,28.72,29.0,28.15,28.45,2772016,25.86,25.31,,,26.348318956629623,29.70634610444224,1.6648660358140221
44,27.41,27.41,26.33,26.57,2095650,26.1,25.5,,,26.27610309294235,29.761228118421055,1.6973756046844493
45,26.23,26.77,25.8536,26.12,1516154,26.41,25.68,,,25.4447312644913,28.989720241671858,1.6415916329212743
46,26.3,26.99,26.25,26.25,1563196,26.66,25.77,,,25.86391116647312,27.414349953015662,1.586477944855469
47,26.56,26.68,26.01,26.2,1443878,26.82,25.84,,,25.818236430739713,26.98875948113755,1.5210152345086496
48,26.52,26.885,26.43,26.78,1661736,27.01,25.89,,,25.99821561743728,27.025098449605743,1.461299860615175
49,27.35,28.51,27.31,28.48,1882904,27.23,25.99,25.77,,25.853565333669536,28.46122162474521,1.4804927277140911
50,27.95,28.13,27.41,27.67,2007544,27.32,26.1,25.69,,26.456815374440687,28.77667205880801,1.4511718185916562
51,27.97,28.57,27.73,27.74,3028960,27.14,26.17,25.57,,27.242000920812224,28.665801109133263,1.4118024029779666
52,27.41,27.495,26.01,26.47,2620816,26.92,26.28,25.43,,26.043755496909455,28.659483599437394,1.4345308027652546
53,25.87,26.81,25.1,26.74,2261178,26.94,26.38,25.27,,24.81081008715688,28.600889722253527,1.4542071739963076
54,27.18,28.05,26.66,28.04,2214094,27.15,26.49,25.17,,25.061370263745474,28.13491485241867,1.4496209472822859
55,29.28,30.61,29.22,30.39,2620436,27.61,26.79,25.13,,24.70519231203826,30.621617226426924,1.5296480224764082
56,30.34,31.28,30.16,30.27,1688950,28.06,27.14,25.15,,26.687450878899114,31.855137061657082,1.5003874494423792
57,30.83,31.34,30.56,30.79,1897792,28.51,27.48,25.14,,29.22331512503562,31.522449498697274,1.4696454887679238
58,30.6,30.76,29.56,29.68,1907194,28.64,27.72,25.19,,29.539678808080275,31.47751896227441,1.4525279538559293
59,29.5,29.5,28.875,29.12,1676922,28.8,27.92,25.3,,28.732867632790352,31.568113181094805,1.4062759571519343
60,30.43,31.32,30.08,30.83,2267348,29.15,28.14,25.42,,28.840182167808447,31.552049196912456,1.4629705316410817
61,31.41,32.02,31.3375,31.68,1797540,29.73,28.38,25.62,,28.743022402363234,32.377568946115986,1.443472636523862
62,31.87,31.87,30.2,30.29,1902358,30.12,28.43,25.79,,29.77579354634268,32.14207798043726,1.4596531624864435
63,30.25,30.26,29.54,29.91,1920450,30.33,28.5,26.02,,29.35898167336134,32.45662748375679,1.408963650880269
64,30.11,31.29,29.86,30.98,2263994,30.39,28.72,26.24,,29.503611115361913,32.03695540580337,1.4104662472459641
65,31.36,31.77,31.08,31.38,2261276,30.52,28.98,26.5,,29.266085015228036,31.955331696777616,1.366147229585538
66,31.92,32.53,31.85,32.36,1781648,30.69,29.29,26.76,,29.826211523887014,32.551104613144574,1.3507081417579996
67,31.99,33.67,31.915,33.65,2246546,31.13,29.66,26.99,,31.104091740133512,33.70861026464764,1.3795861316324283
68,34.67,35.7,34.58,34.86,2209950,31.77,30.07,27.22,,31.06815110404896,35.73292325429291,1.4274728365158267
69,35.05,35.45,34.66,34.85,2234164,32.22,30.38,27.4,,31.99986422295251,36.157625968842524,1.3819390624789825
70,34.06,34.195,33.43,33.74,1836910,32.45,30.69,27.6,,33.466302070218646,36.002138236127664,1.3846577008733412
71,33.76,33.93,32.4,32.46,1881418,32.69,30.92,27.76,,32.25204530523458,35.418153262323855,1.3950392936681026
72,31.02,31.19,29.77,29.79,2347816,32.67,31.09,27.86,,29.790539904319736,34.93509555761436,1.487536486977524
73,31.14,31.6,30.475,30.475,302566,32.62,31.28,28.02,,29.384187924469238,33.865657097914536,1.5105695950505582
74,29.69,31.855,29.24,31.84,2935654,32.67,31.47,28.19,,29.146814013480075,31.917380191243396,1.5894574811183755
75,33.0,33.5339,32.06,33.09,2857346,32.75,31.6,28.41,,29.03668979116877,33.48539255697519,1.5969176610384919
76,33.11,33.16,32.375,32.88,2436046,32.66,31.73,28.58,,29.326113549998354,33.81920824175103,1.538923542392885
77,32.54,33.07,32.255,32.79,3894116,32.43,31.83,28.74,,32.0551207559492,33.525236470848704,1.4872147179362503
78,35.13,35.17,32.69,33.51,6966236,32.29,32.02,28.89,,32.1928669386752,35.10603866711511,1.5581279523693756
79,33.5,34.0,32.81,33.87,1630111,32.3,32.26,29.04,,32.2637792814905,35.23751155501783,1.5318330986287056
80,34.25,34.63,33.66,33.66,994046,32.43,32.4,29.2,,32.47164928392759,35.24413430276592,1.49170216301237
81,33.28,33.41,31.45,31.46,1518637,32.62,32.39,29.31,,31.413758995955625,34.68445354114496,1.543009151368629
82,31.4,31.71,30.735,31.65,1770867,32.75,32.46,29.45,,30.27100164778836,34.863216662448,1.502437069128013
83,31.49,31.69,30.52,30.58,1485915,32.61,32.49,29.57,,30.366091664138363,33.35605156415337,1.4786915641902978
84,31.08,32.31,30.869,32.28,1287586,32.52,32.56,29.7,,30.51433438611909,32.290891501010584,1.496642166748134
85,31.85,32.49,31.6,32.09,1267971,32.43,32.59,29.85,,30.390074310032908,32.62498399490907,1.4533105834089817
86,32.3,32.3,31.01,31.04,1152858,32.24,32.53,30.01,,30.733084548741903,32.484286109503685,1.4416455417369114
87,31.56,32.24,31.32,31.45,891109,32.01,32.42,30.16,,30.98536019960604,32.48689632763651,1.4243851458985608
88,31.41,32.38,31.41,31.87,843761,31.79,32.27,30.3,,31.015841335879145,32.38392812752068,1.3919290640486637
89,31.63,31.763,30.66,30.73,1130561,31.46,32.06,30.41,,30.67953690495242,32.48348960484424,1.3789341309023306
90,30.99,31.03,30.44,30.98,733440,31.41,31.92,30.5,,30.277250602066093,32.467746450875225,1.3225816929807355
91,30.94,31.23,30.15,30.56,782964,31.29,31.83,30.57,,30.135287326036938,31.757786792017285,1.3052544291963972
92,30.58,31.32,30.44,31.32,822807,31.37,31.91,30.61,,30.159158597462135,31.35661325657379,1.274879112825226
93,31.76,32.98,31.45,31.53,1361346,31.29,31.96,30.67,,29.929335627593876,32.927284593000174,1.3023877476234238
94,31.33,32.01,30.94,31.98,966850,31.27,31.97,30.78,,30.38782425750001,33.0206524344826,1.2857886227931792
95,32.65,33.5,32.47,33.41,1108259,31.54,31.98,30.93,,30.763058345043362,33.66186477266434,1.3025180068793807
96,34.11,34.85,33.22,33.69,1376432,31.79,32.02,31.08,,30.93177349425081,35.015965834381866,1.325909577816568
97,34.07,34.28,33.63,33.89,778466,32.01,32.08,31.23,,32.45959608834226,34.955488430493574,1.2776303222582415
98,33.78,33.94,33.2695,33.86,528973,32.36,32.1,31.37,,33.12699000076785,34.862467352048846,1.2342638706683668
