,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,22.0,22.59,21.665,22.58,2507878,,,,,,,0.9250000000000007
1,22.0,22.25,21.39,21.585,4231401,,,,,,,0.943928571428572
2,20.92,21.46,20.85,21.38,4468330,,,,,,,0.9290051020408169
3,20.37,20.6,19.71,19.92,6379808,,,,,,,0.9819333090379012
4,20.39,21.38,20.12,21.38,11714164,,,,,,,1.0160809298209081
5,20.83,20.88,19.995,20.3,7412890,,,,,,,1.0424322919765574
6,19.11,19.66,17.79,19.2001,8129932,,,,,,,1.1472585568353748
7,20.13,20.58,18.64,20.3,6809672,,,,,,,1.203882945632848
8,16.79,19.82,15.2,18.49,10668648,20.57,,,,,,1.4821770209447875
9,18.44,19.28,17.34,18.51,11320520,20.12,,,,,,1.514878662305874
10,16.96,18.45,16.91,18.37,9858104,19.76,,,,,,1.5209587578554546
11,18.19,18.68,17.39,18.17,9549518,19.4,,,,,,1.5044617037229222
12,18.29,18.65,17.52,17.64,5633870,19.15,,,,,,1.477714439171285
13,17.58,17.96,16.8736,17.26,6763600,18.69,,,,,,1.4497634078019077
14,18.02,19.58,17.82,19.44,7590994,18.6,,,,,,1.5119231643874855
15,19.6,20.22,19.31,19.42,8480700,18.62,,,,,,1.4689286526455223
16,19.46,20.53,19.22,20.4,5708804,18.63,,,,,,1.4575766060279851
17,19.88,20.46,19.43,19.93,6457512,18.79,,,,,,1.4270354198831292
18,20.04,20.32,19.51,20.26,3556102,18.99,,,,,,1.3829614613200485
19,20.13,20.36,19.03,19.15,8469914,19.07,19.68,,,15.460782986573157,22.627841197768195,1.3791784997971879
20,18.61,19.305,18.448,19.21,6149566,19.19,19.52,,,15.587620221549425,22.21156330371275,1.3418800355259601
21,18.52,19.71,18.52,19.66,6617488,19.41,19.42,,,15.73714822828543,21.818880586563782,1.3310314615598204
22,19.59,20.22,19.44,20.11,5884614,19.73,19.36,,,15.857026636923049,21.61949273084194,1.2916720714484047
23,20.68,21.53,20.41,21.33,6708676,19.94,19.43,,,15.799544890564315,21.793913521945186,1.3008383520592333
24,21.83,22.33,21.68,21.825,5110724,20.21,19.45,,,15.593094558546868,22.03548002913136,1.2793498983407166
25,22.2,22.375,21.9,22.25,4760878,20.41,19.55,,,15.379473785073646,22.345401169191238,1.2272534770306656
26,22.36,22.52,21.47,21.67,6735098,20.61,19.67,,,15.350705341060998,22.73658578500916,1.214592514385618
27,21.66,21.91,21.5,21.83,4140190,20.78,19.75,,,15.29116165165723,22.91594655327574,1.1571216205009311
28,22.14,22.61,22.0,22.48,5619974,21.15,19.95,,,15.839224968708889,23.251297350460558,1.130184361893722
29,22.16,22.41,21.62,21.89,5158906,21.45,20.11,,,16.030577356073852,23.500954699501797,1.1108854789013132
30,21.94,22.045,21.36,21.94,4951502,21.7,20.29,,,16.384173704144068,23.591189305462517,1.0804650875512196
31,22.32,22.62,22.08,22.57,5048932,21.98,20.51,,,16.649823594298642,23.74945467003428,1.0518604384404182
32,22.97,23.56,22.66,23.11,7324918,22.17,20.79,,,16.905377725152814,24.030438936500694,1.047441835694674
33,22.94,22.995,22.46,22.62,7573012,22.26,21.05,,,17.438614873608774,23.982863096151362,1.0190531331450543
34,23.01,23.36,22.83,23.22,7608619,22.37,21.24,,,17.79224534183746,24.170333672012426,0.999120766491836
35,23.25,23.42,22.94,23.13,4786694,22.53,21.43,,,17.899504715347174,24.374128916362956,0.9620407117424192
36,23.26,23.315,23.0,23.3,5636076,22.7,21.57,,,18.064901100698325,24.54059122400934,0.9158235180465323
37,23.47,23.805,23.35,23.73,4781972,22.83,21.76,,,18.21321143445764,24.754901868111645,0.8864789810432085
38,24.0,24.36,23.78,23.92,7547864,23.06,21.95,,,18.361270188226925,25.019679538090525,0.8681590538258365
39,24.79,25.23,22.98,23.065,15222155,23.18,22.14,,,18.72557326057871,25.419225758402046,0.9668619785525624
40,22.86,22.93,21.53,21.58,17942494,23.08,22.26,,,19.301226673817492,25.19455084649557,1.007443265798808
41,21.4,22.29,21.275,21.82,12108532,22.93,22.37,,,19.951088959272397,24.92099319394175,1.0079830325274646
42,21.93,21.96,21.31,21.56,5770156,22.81,22.44,,,20.396255227011473,24.682926076714622,0.9824128159183602
43,21.65,22.39,21.49,22.14,7343136,22.69,22.48,,,20.615597052366994,24.628964644415035,0.9765261862099059
44,22.31,22.69,22.085,22.6,7437652,22.64,22.52,,,20.65184268132308,24.628182705203226,0.949988601480627
45,22.84,23.13,22.49,23.12,8613266,22.62,22.56,,,20.68140360360319,24.64641550036792,0.9278465585177251
46,23.28,23.71,23.22,23.69,7563878,22.61,22.67,,,20.747192400545337,24.72201257218483,0.9037146614807448
47,23.51,23.84,23.42,23.8,5212322,22.6,22.76,,,20.81375817973123,24.767027342577173,0.8691636142321201
48,24.0,24.04,23.34,23.39,8115936,22.63,22.81,,,20.838044281824693,24.86698359609356,0.8570804989298257
49,23.31,23.7,22.6,22.82,8724300,22.77,22.86,21.26,,20.93550258645395,24.901431048594972,0.8744318918634095
50,22.62,23.15,22.59,22.92,5623914,22.89,22.91,21.27,,21.092972638773706,24.85370036234869,0.8519724710160231
