,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,75.0,78.03,74.0196,75.47,461351,,,,,,,4.010400000000004
1,77.2,81.76,75.36,80.79,535911,,,,,,,4.181085714285719
2,80.87,85.92,80.53,84.23,363756,,,,,72.85495153935699,86.24498098524307,4.267436734693882
3,85.78,88.77,85.114,88.42,387423,,,,,74.96674045132677,89.36120908344876,4.286905539358604
4,87.0,91.775,86.9426,88.93,362451,,,,,80.56169445433312,92.04229278332991,4.325869429404419
5,86.82,87.95,82.59,85.26,469950,,,,,82.4781072511236,91.71354553159635,4.469735898732675
6,81.9,82.22,71.8,71.83,746164,,,,,71.86857806493312,92.60495077954418,5.11189762025177
7,74.51,75.56,69.0,75.4,1197928,,,,,66.56995887538865,88.73089590889643,5.215333504519501
8,72.77,73.79,67.65,68.98,762642,79.92,,,,67.15485564751948,82.07960826651791,5.3963811113395375
9,66.44,66.69,57.13,57.38,567233,77.91,,,,57.44488760483172,77.17708452150399,5.857353889101
10,60.5,60.75,52.35,59.64,816170,75.56,,,,50.43319736847581,74.25811953731434,6.038971468450928
11,50.26,52.93,42.0,42.0,2161844,70.87,,,,41.98594205672375,67.71484236206628,6.867616363561576
12,42.67,44.7,37.525,43.22,1022055,65.85,,,,35.59388687326601,61.62179335382013,6.889572337592893
13,38.38,41.545,33.55,36.96,699835,60.07,,,,33.04145542594515,52.85746426505575,7.088174313479115
14,36.76,43.09,34.35,40.93,1134064,55.15,,,,32.82899460099619,44.84703941721163,7.206161862516321
15,42.16,46.04,38.72,43.39,1477682,51.99,,,,32.47885593282524,46.07051716086944,7.214293158050871
16,43.77,45.9591,41.0084,44.46,1438496,48.55,,,,34.30483790935357,46.878048061567576,7.052607932475809
17,48.47,52.8,47.26,49.19,575807,46.35,,,,37.466793168216164,52.58546166678346,7.1445645087275365
18,49.95,55.12,48.55,53.01,626974,45.87,,,,41.169110625195245,56.53205210215196,7.103524186675569
19,54.2,54.2,47.62,51.14,580084,44.92,62.03,,,47.07777667341185,55.32507120425306,7.06612960191303
20,48.22,49.4,46.3,47.76,396882,45.56,60.65,,,46.246318770745575,56.28532044196442,6.907120344633528
21,48.2,48.2,43.01,45.19,447715,45.78,58.87,,,43.03180421549202,54.09239173060533,6.78446889144542
22,44.83,46.48,42.92,44.98,826258,46.67,56.9,,,41.95807885084855,49.64113293554127,6.554149684913604
23,42.59,43.39,38.22,38.5901,1312158,46.41,54.41,,,38.36944708243852,48.70436379443106,6.568853278848347
24,38.07,39.42,34.71,35.22,806523,45.5,51.73,,,34.08538314725049,46.98970845084185,6.436078044644894
25,35.5,35.88,33.0,34.4,937865,44.39,49.18,,,32.382656323559004,43.69608959681343,6.182072470027402
26,40.09,43.3115,39.234,41.23,1680088,43.5,47.65,,,32.10477518071473,43.62601538492882,6.377031579311159
27,44.5,48.6,43.71,44.55,658608,42.56,46.11,,,32.73110705521899,49.62618423250288,6.447957895074648
28,45.75,51.55,45.37,51.11,454182,42.56,45.22,,,39.28007727664931,52.41211869687592,6.4873894739978875
29,53.54,57.38,52.65,54.72,739329,43.33,45.08,,,42.01249694387006,57.42483397481547,6.47186165442661
30,54.2,54.73,45.54,46.23,1050352,43.45,44.41,,,43.282938127956314,57.7642469624012,6.666014393396138
