,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,28.21,28.51,27.24,28.45,1811880,,,,,,,1.2700000000000031
1,28.66,29.94,28.0,29.88,1695907,,,,,,,1.3178571428571457
2,29.93,30.25,28.58,29.07,1652655,,,,,27.200786904877894,30.58761442896077,1.3430102040816354
3,29.71,30.76,28.93,30.66,1461974,,,,,27.986645484305186,30.77211626138966,1.3777951895043759
4,29.97,30.04,28.54,29.06,1873249,,,,,28.447324152720938,30.757297188794624,1.4308098188254919
5,28.09,28.35,26.38,27.2,4121414,,,,,26.43907081568989,31.07748419055932,1.5200376889093854
6,24.23,25.43,23.585,23.69,3465828,,,,,23.43563392005471,30.50540659545421,1.6696778539872863
7,24.65,24.65,22.56,24.22,3388718,,,,,22.000120290682723,28.288793967633882,1.699700864416766
8,23.34,23.8,21.47,21.99,2857134,27.14,,,,21.374900231116726,25.523442186701246,1.7747222312441397
9,20.21,20.47,17.97,18.11,4530848,25.99,,,,18.028722328108067,25.403470435089794,1.9350992147267012
10,19.65,20.72,18.01,20.71,4625892,24.97,,,,16.939793674789602,23.703420668065178,1.9904492708176509
11,17.4,19.12,16.17,16.66,3895224,23.59,,,,16.227268744595584,21.05012176446949,2.1725600371878184
12,16.94,17.48,15.625,16.62,4506154,22.03,,,,15.226971033686993,20.888711933581416,2.1498771773886887
13,15.5,15.9,12.97,14.27,5450164,20.39,,,,13.038445998945168,19.271102481506908,2.257028807575211
14,14.19,16.04,13.54,15.94,4389072,19.13,,,,12.507545854342288,17.435398473193025,2.27438389274841
15,16.04,16.5,13.98,14.2501,6064754,18.09,,,,12.939634950035177,16.49195688276502,2.291927900409238
16,14.03,14.32,13.05,13.99,4517502,16.95,,,,13.011586976889612,16.883995253155607,2.218933050380007
17,15.05,17.82,14.93,17.73,4506758,16.48,,,,12.952647163304464,18.157607319512557,2.3340092610671497
18,17.61,20.06,17.0,18.65,4517160,16.54,,,,12.81999573108802,20.58225266124485,2.385865742419496
19,19.0,19.5428,17.85,18.21,4339622,16.26,21.47,,,14.941269069046566,20.431042771378518,2.336361046532389
20,17.05,18.11,16.765,17.55,2831042,16.36,20.92,,,16.57710809051236,20.348809786133984,2.2726924003515045
21,17.29,18.11,17.26,17.75,3577252,16.48,20.32,,,16.694154672365826,19.497550212264347,2.171071514612111
22,17.58,17.94,16.77,17.17,2828774,16.8,19.72,,,16.618875069379637,18.16129783367147,2.0995664064255317
23,16.0,16.63,14.75,15.09,3774474,16.71,18.94,,,14.796503843530825,18.450864187180027,2.1224545202522798
24,15.07,15.6289,14.415,14.6,2497254,16.75,18.22,,,13.910252708075774,18.007850723368794,2.0575577688056885
25,14.58,14.96,13.41,13.87,3412768,16.74,17.55,,,13.424572745863342,16.664171000512603,2.021303642462425
26,14.58,16.025,14.44,15.87,2824202,16.53,17.16,,,13.44198777302258,16.130087484602747,2.0308533822865376
27,16.65,17.23,15.9,15.93,3563644,16.23,16.75,,,13.207043271851594,17.32095789905937,1.982935283551785
28,16.4,17.85,15.825,17.56,3997322,16.15,16.53,,,14.483983244411242,18.055794665934304,1.9859399061552292
29,18.21,19.09,17.67,18.37,2922968,16.25,16.54,,,15.316342413945723,19.098438874653247,1.9533727700012844
30,18.34,18.53,17.19,17.54,1996188,16.22,16.38,,,15.842055200877068,19.173063686635352,1.9095604292869068
31,18.11,18.315,17.34,17.75,3496946,16.29,16.44,,,17.12988335852818,19.085103112917732,1.842806112909271
32,16.8,16.93,15.56,16.69,5077884,16.46,16.44,,,15.61070795044705,18.88021241093272,1.8676056762728945
33,16.52,16.61,15.74,16.29,2107744,16.65,16.54,,,15.135483003587423,18.281866465480668,1.8020624136819736
34,17.09,17.71,16.905,17.45,1596704,17.05,16.62,,,15.265176385200915,17.705716923519685,1.7747722412761187
35,16.63,17.21,16.39,16.67,1663180,17.14,16.74,,,15.70281758821964,17.78249942686807,1.7237170811849674
36,16.06,16.37,15.83,16.13,1908588,17.16,16.84,,,15.783577350788766,17.84153265013836,1.6605944325288984
37,16.71,16.71,16.28,16.43,1976224,17.04,16.78,,,15.840292137431655,17.228118588406314,1.5834091159196915
38,16.6,17.21,16.49,16.84,2762048,16.87,16.69,,,15.829086263398024,17.228118588406318,1.5260227504968564
39,16.99,17.71,16.73,17.6,2161490,16.87,16.66,,,16.252316734517592,17.75999999999992,1.4870211254613668
40,17.85,18.605,17.68,18.44,2510326,16.95,16.7,,,16.274423693908293,18.61910160499478,1.4525910450712691
41,19.3,19.77,18.98,19.44,2744036,17.25,16.79,,,16.554185949177125,19.831239301379725,1.4438345418518927
42,20.33,21.22,20.325,21.14,3638764,17.79,16.98,,,17.540179822108605,21.306094462552636,1.4678463602910432
43,20.34,20.85,19.95,20.0,2795920,18.08,17.23,,,18.988169722774114,21.44208922823435,1.448000191698826
44,19.5,19.59,18.56,19.51,2881042,18.39,17.48,,,18.588809597798647,21.493323936123165,1.4474287494346243
45,18.94,19.77,18.78,19.64,2961026,18.78,17.76,,,18.27480151146584,20.819615901645548,1.414755267332151
46,20.18,21.72,19.34,19.61,3888980,19.14,17.95,,,18.450956420132286,21.659350991841645,1.4837013196655688
47,19.85,20.59,19.768,20.32,3391438,19.52,18.17,,,18.75098579835023,21.77034138034746,1.447722653975171
48,20.96,21.33,19.9,20.01,1972100,19.79,18.29,,,19.34731064262154,21.844692449315012,1.4464567501198018
49,20.66,21.98,20.535,21.9,4078962,20.17,18.47,19.25,,19.616591103891153,22.065033986173052,1.4838526965398158
50,21.38,21.71,20.84,21.21,2133190,20.37,18.65,19.11,,19.89748720394677,22.032535690415177,1.4535775039298289
51,21.34,21.57,20.27,20.29,1917504,20.28,18.78,18.91,,20.234576128900947,21.982580652473924,1.4426076822205556
52,19.87,20.46,19.0,19.27,2152690,20.2,18.91,18.72,,19.000542961053647,22.000012758003948,1.443849990633373
53,18.48,19.36,17.99,19.2,2483538,20.16,19.06,18.49,,17.82995176927215,21.678837481139166,1.438574991302418
54,19.01,19.92,18.87,19.81,2955864,20.18,19.17,18.3,,18.0156002978161,20.518366665748317,1.4108196347808166
55,21.35,22.08,21.2,21.77,2897826,20.42,19.43,18.2,,17.52878069410001,22.03325400644739,1.4721896608679013
56,21.52,22.8,21.21,22.03,4414044,20.61,19.72,18.16,,18.943732300845564,23.24867947157712,1.4806046850916228
57,22.49,23.23,22.49,22.86,3161446,20.93,20.04,18.13,,20.817230194426752,23.342501803560975,1.460561493299364
58,22.68,23.12,22.44,22.49,2230744,20.99,20.33,18.14,,21.249160344852754,23.295721386940176,1.404807100920838
59,22.73,23.2,22.115,23.12,2204570,21.2,20.6,18.24,,22.124358818414464,23.2458819810656,1.3819637365693498
60,24.55,24.7599,24.04,24.08,2802526,21.63,20.88,18.31,,21.731479488496223,24.710325206521347,1.4003877553858246
61,24.98,25.19,24.05,24.8,3690314,22.24,21.15,18.48,,22.175939705499093,25.535098055520056,1.3817886300011228
62,25.09,25.09,23.88,23.99,1995374,22.77,21.3,18.62,,23.8850666878454,25.26088229076367,1.3695180135724714
63,23.62,24.21,23.36,23.65,3591659,23.2,21.48,18.81,,23.367893915301853,25.42318462555918,1.3324095840315806
64,23.63,24.56,23.415,24.11,2505888,23.46,21.71,18.97,,23.237427771344837,25.10736331417105,1.319023185172182
65,24.44,25.23,24.42,25.1,2284312,23.8,21.98,19.19,,23.075243721201563,25.236795014789372,1.304807243374169
66,25.67,25.95,25.07,25.8,2977232,24.13,22.29,19.43,,23.38446299063115,26.011331516998574,1.2744638688474426
67,25.42,26.4,25.23,25.56,2058016,24.47,22.55,19.58,,24.434776495829162,26.509186413905724,1.267002163929768
68,26.97,27.5,26.52,27.09,2788938,24.91,22.91,19.75,,24.73216090148668,27.49379740568628,1.3150734379347846
69,27.65,27.83,26.84,26.965,1864104,25.23,23.16,19.93,,25.259125023147288,28.06696330688522,1.2918539066537285
70,26.35,26.725,25.78,25.88,2307996,25.35,23.39,20.09,,25.78193980236126,27.97562787005441,1.2842214847498907
71,25.83,26.02,24.82,25.15,2352138,25.48,23.64,20.24,,24.70187963059397,27.86190375105851,1.2782056644106128
72,23.62,24.45,22.52,22.5201,2083730,25.35,23.8,20.35,,22.530535098763668,27.012710219139844,1.3747624026669976
73,23.84,24.09,23.165,23.19,435892,25.25,24.0,20.51,,22.196643646435568,25.98223205923088,1.3887008024764977
74,21.98,24.03,21.84,24.02,1820352,25.13,24.21,20.7,,21.779498589833047,24.439871967214764,1.4459364594424624
75,25.0,25.25,23.87,24.46,2010002,24.98,24.34,20.91,,21.82460824172906,25.21313830085602,1.4412267123394293
76,24.55,24.76,23.8,24.2,2082512,24.83,24.45,21.08,,21.902420022247206,25.355314001039346,1.406853375743756
77,23.78,24.38,23.64,23.97,1844232,24.48,24.51,21.24,,23.64031191265286,25.276439876978696,1.359220991762059
78,24.45,24.85,23.73,24.41,4975836,24.2,24.6,21.38,,23.635104464287572,24.93774603954992,1.3421337780647693
79,24.0,24.81,23.59,24.73,830595,24.07,24.68,21.5,,23.575292745604276,24.96663391285711,1.3334099367744285
80,25.22,25.33,24.95,25.05,998714,24.06,24.73,21.65,,23.267129414792496,25.314970504741407,1.281023512719112
81,24.6,25.23,23.815,23.9,1366786,24.21,24.69,21.78,,23.316457979345522,25.426848297269398,1.290593261810604
82,23.56,23.865,23.08,23.72,1179654,24.27,24.67,21.92,,22.91201987528452,25.708660542370755,1.2569794573955608
83,23.41,24.03,23.17,23.74,1471800,24.24,24.68,22.07,,22.914004251721412,25.194536911920252,1.2286237818673065
84,24.31,25.21,23.9,25.11,1339578,24.31,24.73,22.22,,22.8886593666309,25.175247878581533,1.2458649403053563
85,24.98,25.89,24.96,25.64,1030884,24.47,24.76,22.4,,23.019938890775045,26.078580807772713,1.2233031588549739
86,25.8,25.89,24.6,24.72,832913,24.56,24.7,22.57,,23.893754081766446,26.095191334686927,1.2280672189367614
87,25.49,26.17,25.01,25.48,977664,24.68,24.7,22.75,,24.61061721364341,26.16115721624316,1.2439195604412787
88,26.41,26.54,25.95,26.29,882013,24.85,24.66,22.94,,24.42533209282083,26.558640488511543,1.2307824489811874
