,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,9.17,9.63,9.09,9.61,697998,,,,,,,0.5400000000000009
1,9.24,9.32,8.9,9.32,1299182,,,,,,,0.5521428571428579
2,9.34,9.53,9.02,9.17,881120,,,,,,,0.5491326530612252
3,9.22,9.4,9.1,9.4,426232,,,,,,,0.531337463556852
4,8.78,8.95,8.67,8.89,1244233,,,,,,,0.5455276447313626
5,8.71,9.21,8.71,8.9,731089,,,,,,,0.5422756701076938
6,7.98,8.8,7.68,7.68,1004874,,,,,,,0.5906845508142872
7,8.32,8.33,7.76,7.995,1221840,,,,,,,0.5949213686132667
8,7.79,7.795,7.4864,7.56,1021394,8.73,,,,,,0.588755556569462
9,6.44,6.46,5.83,6.15,1072902,8.34,,,,,,0.6702730168145005
10,6.19,6.24,5.3,5.78,902442,7.95,,,,,,0.689539229899179
11,5.02,5.3,4.886,5.09,1357375,7.49,,,,,,0.7041435706206662
12,4.95,5.2,4.71,4.9,1132090,6.99,,,,,,0.6888476012906187
13,4.17,4.23,3.42,3.6001,1082209,6.41,,,,,,0.7453584869127174
14,3.84,4.45,3.76,4.31,1116490,5.9,,,,,,0.7528257378475234
15,4.88,5.4,4.7,4.74,1854436,5.57,,,,,,0.7769096137155576
16,4.28,4.28,3.669,3.92,4229517,5.12,,,,,,0.7979160698787321
17,4.05,4.37,3.97,4.33,1420475,4.76,,,,,,0.7730649220302512
18,4.76,5.001,4.485,4.84,1830502,4.61,,,,,,0.7657745704566619
19,4.35,4.95,4.22,4.94,1741120,4.52,6.56,,,1.9237637083923795,11.061023683270744,0.7632192439954718
20,4.83,5.05,4.67,4.93,683262,4.5,6.32,,,1.8602978623138773,10.68970161752598,0.7358464408529382
21,4.99,5.08,4.84,4.99,1486363,4.51,6.11,,,1.850413016606423,10.323085098382464,0.7004288379348711
22,4.98,5.2,4.98,5.07,1247825,4.67,5.9,,,1.925652921696193,9.848959419652969,0.6661124923680946
23,4.89,4.96,4.5,4.57,1356156,4.7,5.66,,,2.0435466386084915,9.332970984261467,0.6592473143418021
24,4.61,4.84,4.59,4.71,528990,4.7,5.45,,,2.194756887320053,8.85036389404286,0.6314439347459591
25,4.25,4.25,4.02,4.07,997507,4.72,5.21,,,2.4114214890649643,8.206830886609186,0.6356265108355335
26,4.49,4.8,4.49,4.67,1068264,4.75,5.06,,,2.58580500178636,7.530660237616397,0.6423674743472811
27,4.95,5.06,4.61,4.63,1545427,4.73,4.89,,,2.9121489127957956,6.85284257647393,0.6286269404653325
28,5.01,5.545,5.0,5.51,1238909,4.79,4.79,,,3.3844529626361197,6.22356296961727,0.6490821590035231
29,5.6,6.03,5.5851,5.905,1431732,4.9,4.78,,,3.4265391021737512,6.1051426486552325,0.6398620047889857
30,5.9,5.9,5.58,5.69,687304,4.98,4.77,,,3.392404617184096,6.015922725754671,0.6173718615897725
31,5.63,5.81,5.45,5.495,1262925,5.03,4.79,,,3.3578921424498187,6.097448692271953,0.598988157190503
32,5.06,5.08,4.86,4.91,1076914,5.07,4.79,,,3.359669781810335,6.088567064707751,0.6015604316768957
33,4.75,4.75,4.5,4.53,1328986,5.05,4.84,,,3.5399146852029686,6.058341897597135,0.5878775436999745
34,4.73,4.805,4.605,4.74,1772673,5.12,4.86,,,3.660937717448536,6.044650217653382,0.5655291477214048
35,4.85,5.115,4.73,4.93,1280746,5.15,4.87,,,3.662135910588968,6.017756359121753,0.5526342085984474
36,4.83,4.93,4.7247,4.79,1172454,5.17,4.91,,,3.8315917703151694,5.984072542806677,0.5278246222699868
37,4.92,5.09,4.9,4.9501,978920,5.1,4.94,,,3.9489166667796223,5.957054738620074,0.5115514349649878
38,4.77,4.94,4.69,4.75,1094179,4.98,4.94,,,3.9689648061132807,5.956134538206153,0.49359061818177435
39,4.82,4.86,4.635,4.74,768163,4.87,4.93,,,4.029625873327055,5.9561418944262705,0.4744055740259334
40,4.8,5.06,4.77,5.03,972340,4.82,4.93,,,4.036834416240214,5.956518248896295,0.46337660445265244
41,5.31,5.88,5.15,5.82,3181976,4.92,4.98,,,4.036796225255908,6.064027649064815,0.49099256127746294
42,6.1,6.37,6.08,6.27,1359347,5.11,5.04,,,3.9102404014780934,6.2737518445631,0.4952073783290727
43,6.25,6.2512,5.88,5.93,1305367,5.25,5.1,,,3.8976395601359046,6.428407211716152,0.4876925655912818
44,5.63,5.685,5.51,5.61,724697,5.32,5.15,,,3.9280896289385074,6.466519493735792,0.48285738233476166
45,5.68,5.82,5.52,5.68,1297213,5.42,5.23,,,4.082281025208947,6.451197642780134,0.4697961407394216
46,5.88,6.03,5.71,5.76,800522,5.51,5.28,,,4.141709101571579,6.511524324813199,0.46123927354374866
47,5.95,5.97,5.66,5.71,563633,5.62,5.34,,,4.197755831134519,6.564525793162282,0.4504364682906238
48,5.9,6.02,5.79,5.86,769578,5.74,5.36,,,4.204142680985536,6.613671120598911,0.4404052919841507
49,5.95,6.1,5.9,6.06,648012,5.86,5.36,5.75,,4.186504010590912,6.62446817669637,0.42609062827099703
