,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,57.52,61.225,57.22,60.08,229778,,,,,,,4.005000000000003
1,58.44,60.3,57.97,59.94,375464,,,,,,,3.885357142857145
2,58.26,59.605,57.665,59.28,261792,,,,,,,3.7703316326530634
3,55.34,57.56,54.01,55.91,258565,,,,,,,3.8774508017492737
4,56.94,57.7,54.84,56.88,251551,,,,,,,3.8047757444814683
5,55.53,56.77,52.73,53.84,314512,,,,,,,3.8294346198756495
6,50.9,52.37,47.285,47.64,323395,,,,,,,4.024117861313104
7,50.0,50.01,45.6,49.55,228777,,,,,,,4.05168087121931
8,44.0,44.8,38.24,38.76,489014,53.54,,,,,,4.570132237560788
9,39.5,39.87,37.14,39.43,254848,51.25,,,,,,4.43869422059216
10,37.36,39.255,30.6,32.57,271266,48.21,,,,,,4.752358919121291
11,31.98,40.24,30.67,38.45,544246,45.89,,,,,,5.096476139184056
12,38.74,41.765,37.12,37.7,339844,43.87,,,,,,5.0642278435280526
13,38.29,38.69,33.37,35.76,206006,41.52,,,,,,5.082497283276049
14,37.26,39.31,36.26,37.86,186312,39.75,,,,,,4.9730331916134745
15,38.16,46.92,37.5735,44.66,205252,39.42,,,,,,5.285423677926797
16,45.09,47.22,44.48,45.87,210805,39.01,,,,,,5.103607700932026
17,44.01,46.67,41.51,44.25,164995,39.62,,,,,,5.107635722294026
18,44.61,47.08,42.58,46.43,207158,40.39,,,,,,5.064233170701595
19,46.45,48.58,44.54,48.09,172630,42.12,46.65,,,25.88055238513928,64.37376690999841,4.991073658508624
20,46.08,47.34,43.61,44.34,151476,42.77,45.86,,,26.285483330689047,62.543535980577445,4.95456839718658
21,44.27,45.46,42.06,44.02,106008,43.48,45.06,,,26.9255387201238,60.641106397801664,4.843527797387538
22,43.36,45.45,40.02,41.73,113490,44.14,44.19,,,27.718817048790214,58.630685129132075,4.885418669002714
23,43.88,49.04,43.88,48.85,221692,45.36,43.83,,,28.40402179864414,57.12909125279231,5.0586030497882355
24,50.1,53.6,48.02,48.25,179914,45.76,43.4,,,29.287480437751796,56.1418603069202,5.095845689089076
25,48.89,53.27,48.065,51.73,111817,46.41,43.3,,,29.904031713850667,55.2821690359443,5.103642425582715
26,53.27,54.62,52.17,53.6,87819,47.45,43.6,,,29.31990183994223,55.768404064540974,4.945525109469664
27,53.37,53.37,50.77,52.8,205983,48.16,43.76,,,28.92079479959253,56.335482686423205,4.794416173078974
28,54.3,55.32,52.08,52.72,174692,48.67,44.46,,,28.764313226018565,57.6287842428124,4.683386446430476
29,50.72,55.79,50.72,52.11,305008,49.53,45.09,,,29.06262771718879,58.659998322179035,4.711001700256872
30,52.18,52.62,50.02,51.61,623756,50.38,46.04,,,30.875212947124826,58.85490265353265,4.560215864524237
31,53.47,54.5,52.04,53.55,414337,51.69,46.8,,,32.93034048672135,59.25458315443887,4.440914731343935
32,52.72,53.51,51.27,51.74,285432,52.01,47.5,,,33.81962354972323,59.48295451920595,4.2865636791050825
33,50.14,51.13,48.82,49.27,523654,52.13,48.17,,,35.967438995106086,58.76134707122943,4.188951987740434
34,50.5,53.11,49.43,51.96,284454,52.15,48.88,,,37.644869828000566,57.92742644063981,4.164026845758974
35,51.56,54.3,51.56,53.51,420400,52.14,49.32,,,39.18682478383917,58.23039212806381,4.062310642490475
36,54.11,54.56,52.73,54.04,178605,52.28,49.73,,,39.386658987547484,58.51183012179992,3.9028598823125846
37,54.74,55.63,53.31,55.16,163538,52.55,50.28,,,40.17995199741892,58.81374644843066,3.7897984621474
38,56.21,56.21,53.28,55.15,132467,52.89,50.71,,,40.915702027419556,59.130305275924826,3.7283842862797285
39,56.69,61.29,54.2907,60.7,210162,53.9,51.34,,,41.338908654297256,60.60327762875763,3.962021122974033
40,59.3,62.7,58.27,60.72,359686,54.69,52.16,,,41.63750237354542,62.03598752690518,3.995448185618745
41,67.02,71.0,65.5,67.84,396191,56.48,53.35,,,41.19122417495222,65.50626792427727,4.444344743788835
42,66.92,67.86,62.1,62.49,676626,57.95,54.39,,,42.671616633570835,67.08759969868262,4.538320119232489
43,63.67,64.7816,60.87,61.12,186989,58.97,55.0,,,43.693706106121596,67.97914915362789,4.493554396430168
44,61.53,61.53,57.7,57.76,313972,59.44,55.48,,,44.316627571735474,68.43730913574986,4.446157653828013
45,58.68,60.19,57.38,58.7,525066,59.96,55.83,,,45.04809375950104,68.67789417910161,4.329289249983155
46,59.75,62.37,59.17,62.2,146141,60.74,56.26,,,45.19467411986506,69.15424306175144,4.282197160698644
47,68.11,73.57,68.0,69.27,690512,62.31,57.08,,,44.488479060807514,71.9018660768098,4.788468792077311
48,68.07,69.4825,67.24,68.82,276173,63.21,57.89,,,44.17451989236898,73.27916381258267,4.606613878357504
49,69.02,69.16,66.09,68.23,801016,64.05,58.69,51.94,,44.45823797679958,74.42678524605097,4.49685574418911
50,66.06,69.41,66.06,68.71,614212,64.14,59.55,52.11,,45.076344890005984,75.29666646219908,4.41493747674703
51,68.17,69.42,67.1,68.6,377998,64.82,60.3,52.28,,45.47472996874614,76.10370440123377,4.265299085550815
52,70.11,72.26,69.31,71.09,204452,65.93,61.27,52.52,,45.99464868433514,77.1407919767019,4.222063436582901
53,70.33,72.17,70.12,70.12,213894,67.3,62.31,52.8,,47.21870172118819,77.59307334245044,4.066916048255551
54,71.5,71.7,69.77,70.57,321084,68.62,63.24,53.08,,48.69056400071935,77.89844672681319,3.914279187665869
55,70.29,71.38,67.5971,70.41,198680,69.54,64.09,53.41,,50.118220647678115,78.01710461431124,3.90489495997545
56,70.89,71.5,69.09,71.255,125042,69.76,64.95,53.88,,51.45453965506746,77.87966753530934,3.798116748548632
57,71.58,73.76,70.6,71.09,365104,70.01,65.74,54.31,,52.82642384540162,77.92154337231868,3.752536980795159
58,71.5,74.21,69.24,73.83,306514,70.63,66.68,55.01,,54.60660033728661,77.72686471769747,3.8394986250240764
59,74.33,76.43,72.87,73.51,438904,71.16,67.32,55.7,,56.19513223237892,78.4818964770497,3.819534437522357
60,73.15,75.21,72.75,74.85,178694,71.86,68.02,56.54,,57.099036827098644,78.93415341494848,3.7224248348421884
61,74.88,75.16,73.37,73.46,155166,72.12,68.3,57.24,,57.00608067678843,79.43746706928242,3.5843944894963173
62,73.88,75.44,72.67,75.05,257108,72.67,68.93,57.99,,57.4669366371776,80.04932953159219,3.5262234545322944
63,75.95,76.17,72.62,73.21,121218,72.96,69.54,58.74,,58.28197591027948,80.55213102160648,3.527921779208559
64,72.54,73.67,71.855,73.05,169344,73.26,70.3,59.44,,60.14307497381142,80.09955979229031,3.405570223550805
65,74.96,77.6,74.96,76.11,340176,73.8,71.17,60.07,,62.40298840527374,79.4619300482668,3.48731520758289
66,76.68,78.5,76.68,76.92,269640,74.44,71.91,60.69,,64.42521632324416,78.9341871381888,3.4089355498983984
67,76.0,76.28,75.27,75.45,230312,74.62,72.22,61.32,,64.52462899532159,79.22450257153933,3.2832972963342275
68,75.02,75.02,72.54,72.81,78015,74.55,72.42,61.84,,64.97215784752419,79.2259415070073,3.2566332037389256
69,70.45,71.15,67.11,67.54,346412,73.73,72.38,62.23,,65.18319202860943,79.04282308493678,3.43115940347186
