,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,35.24,36.56,35.02,36.01,480204,,,,,,,1.5399999999999991
1,36.36,36.985,35.66,36.95,365904,,,,,,,1.5246428571428565
2,37.12,38.5,35.99,36.52,536359,,,,,,,1.595025510204081
3,37.23,38.75,37.11,38.52,361992,,,,,,,1.6403808309037893
4,37.74,38.71,37.3,37.96,363908,,,,,,,1.6239250572678046
5,36.76,37.8,36.425,37.61,668238,,,,,,,1.6175732674629617
6,35.24,37.57,35.0301,36.33,546276,,,,,,,1.6863108912156075
7,37.39,37.39,34.87,36.04,728276,,,,,,,1.7458601132716358
8,35.15,35.415,32.21,32.86,1235950,36.53,,,,,,1.8947272480379473
9,30.56,31.95,28.67,30.71,1038343,35.94,,,,,,2.0586753017495223
10,32.2,33.76,29.3828,33.71,617922,35.58,,,,,,2.2242842087674135
11,25.5,30.0,25.18,25.89,2620898,34.4,,,,,,2.6746924795697415
12,26.3,30.93,26.15,30.9,1023753,33.56,,,,,,2.8436430167433313
13,29.67,30.1932,25.405,27.98,855570,32.45,,,,,,3.0330256584045214
14,27.6,31.5,27.6,28.17,1852574,31.4,,,,,,3.0949523970899127
15,28.75,30.43,27.62,29.07,1142392,30.59,,,,,,3.074598654440633
16,29.76,30.0,26.935,28.07,649339,29.71,,,,,,3.0739130362663025
17,29.28,31.7,28.315,30.17,581542,29.41,,,,,,3.1136335336758525
18,30.31,35.16,30.17,32.95,578610,29.66,,,,,,3.2476597098418627
19,33.85,36.58,31.87,32.94,391185,29.57,32.97,,,22.830285100574905,41.12295514539248,3.352112587710301
20,31.85,33.52,30.095,30.15,347733,30.04,32.67,,,22.748165912651924,40.91064307294606,3.3573188314452795
21,30.66,31.15,28.92,30.96,1113360,30.05,32.38,,,22.64537397359797,40.64293412131387,3.2767960577706168
22,30.96,31.495,30.01,31.08,655752,30.4,32.1,,,22.725465611121912,40.03667565764489,3.148810625072716
23,30.08,30.74,28.38,28.85,543454,30.47,31.62,,,22.907442034179773,39.29567541250081,3.1167527232818073
24,28.34,30.76,28.06,30.53,524626,30.63,31.25,,,23.282703970388873,38.423237753825724,3.086984671618821
25,30.49,31.44,29.5,30.41,327075,30.89,30.89,,,23.828429124438237,37.6295856119672,3.00505719507462
26,31.51,33.66,30.01,33.47,773356,31.26,30.75,,,24.29742773280788,36.89484158645489,3.051124538283575
27,34.4,34.88,32.48,32.87,552190,31.25,30.59,,,24.723377636242073,36.29801635374647,3.0046156426918915
28,33.1621,34.07,32.68,33.35,269210,31.3,30.61,,,24.661754139614487,36.05037935874104,2.889285953928185
29,34.16,35.12,33.35,34.55,296306,31.79,30.8,,,24.44663988933698,36.42116409886452,2.809336957219029
30,34.28,34.28,33.02,33.48,585368,32.07,30.79,,,24.30989171785018,36.491409772830245,2.717955745989098
31,34.32,35.7,33.85,35.57,1250006,32.56,31.28,,,24.73945130823544,36.870803576374314,2.6823874784184483
32,33.94,34.87,33.16,34.795,1471738,33.22,31.47,,,25.161942082288007,37.094560904632154,2.6629312299599883
33,34.93,36.38,34.01,34.73,1260544,33.69,31.81,,,25.810748227288855,37.48605091305891,2.642007570677132
34,35.7,37.76,35.4719,37.6,1556734,34.49,32.28,,,25.91728764841351,38.179889115701414,2.669721315628766
35,37.13,39.21,36.47,38.2,2172503,35.02,32.74,,,26.023657836734994,39.039322587182866,2.6747412216552826
36,37.47,38.9866,36.34,36.57,1574950,35.43,33.16,,,26.46991890640674,39.61465129578929,2.672731134394191
37,36.97,37.38,36.42,37.015,708774,35.83,33.5,,,26.7623191606788,39.904333357349024,2.5503931962231774
38,37.51,38.74,37.03,37.67,1850158,36.18,33.74,,,26.79235662517151,40.39081073357534,2.4914365393500937
39,43.0,43.0,39.6484,40.22,2054686,36.93,34.1,,,26.38200331463108,41.77617394391075,2.694191072253658
40,40.94,41.17,39.7,40.19,747730,37.44,34.61,,,26.35440919999657,42.627864968609174,2.606748852806968
41,40.94,40.94,39.16,39.29,365751,37.94,35.02,,,26.75794860544736,43.19275873198948,2.547695363320756
42,40.2,42.75,39.54,42.18,740808,38.77,35.58,,,27.068902141915373,44.01924755194548,2.6128599802264167
43,40.83,42.55,40.3749,40.8,793496,39.13,36.17,,,27.785239361831973,44.52826471508673,2.581591410210244
44,39.86,41.99,37.765,38.53,310387,39.16,36.57,,,28.96650233967456,44.73080763409681,2.6989777380523696
45,38.3,39.66,37.7,39.49,852016,39.49,37.03,,,29.95843986229138,44.51986331089813,2.6461936139057713
46,40.17,41.03,39.455,39.49,328689,39.76,37.33,,,30.923104760688727,44.64124319396107,2.5696797843410737
47,39.49,40.37,39.05,39.0975,495282,39.92,37.64,,,31.45311454119464,44.716870202813894,2.480416942602426
48,39.61,41.29,39.45,40.81,500828,39.99,38.01,,,32.0171602640314,44.73450159385551,2.459851446702253
49,41.32,42.44,40.95,41.72,402053,40.16,38.37,34.86,,32.42530761633061,44.94299339016527,2.4005763433663776
50,41.0,42.05,40.71,41.49,484440,40.4,38.77,34.97,,33.060574113417736,44.840012363619664,2.324820890268779
51,41.7,42.055,40.26,40.3,227419,40.19,39.01,35.04,,33.64933203147202,44.82187732169078,2.2869765409638663
52,40.41,40.47,38.67,38.83,609828,39.97,39.21,35.08,,34.582578244392025,44.34599300201892,2.2521925023235903
53,38.02,38.95,37.47,38.92,563006,40.02,39.42,35.09,,35.32205325736195,44.03917914144704,2.197035895014763
54,38.93,39.98,38.49,39.67,582714,40.04,39.52,35.13,,35.817955931716035,43.889258831409485,2.1465333310851364
55,41.15,43.74,41.15,43.08,435872,40.44,39.77,35.23,,36.0653949287345,44.29627134197364,2.2839238074361985
56,42.88,43.1,41.81,41.88,618574,40.74,40.03,35.35,,36.35019548548225,44.492374680581925,2.212929249762184
57,42.88,44.3,42.11,43.78,569984,41.07,40.37,35.5,,36.683780952068915,44.602978829273795,2.227720017636314
58,43.92,44.05,42.44,42.66,398327,41.18,40.62,35.7,,36.924336217208335,44.76999276442056,2.1835971592337198
59,42.94,44.89,42.5,44.82,246494,41.55,40.85,35.98,,36.824584943266345,45.133590236112724,2.1983402192884545
