,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,56.44,56.62,53.49,54.57,371534,,,,,,,3.1299999999999955
1,55.29,55.29,52.81,53.87,346607,,,,,,,3.083571428571424
2,53.72,53.82,52.45,53.32,765251,,,,,,,2.964744897959179
3,52.4,52.92,49.99,51.6,447812,,,,,,,2.9908345481049516
4,49.51,53.52,49.51,51.44,457353,,,,,,,3.06363208038317
5,52.66,54.06,50.51,52.99,455545,,,,,,,3.098372646070087
6,52.21,52.24,49.07,49.58,511472,,,,,,,3.1570603142079383
7,47.02,48.62,45.55,45.7,375673,,,,,,,3.219413148907371
8,47.2,50.245,44.47,49.94,515960,51.45,,,,,,3.401955066842559
9,46.02,48.67,45.6,47.75,758784,50.69,,,,,,3.4689582763538045
10,48.61,54.51,43.835,52.91,1308832,50.58,,,,,,3.9836755423285326
11,50.92,53.36,45.27,45.77,649199,49.74,,,,,,4.276984432162209
12,45.98,48.34,44.04,47.05,1145424,49.24,,,,,,4.2786284012934805
13,47.62,49.57,41.625,42.03,559347,48.19,,,,,,4.540512086915375
14,42.34,43.1,37.225,40.71,390473,46.83,,,,,,4.635832652135705
15,42.69,45.29,42.69,44.0,437265,46.21,,,,,,4.631844605554583
16,43.88,45.675,42.42,42.82,308371,45.89,,,,,,4.533498562300685
17,43.6,45.47,42.49,43.91,340040,45.22,,,,,,4.422534379279208
18,42.36,43.0244,39.56,39.96,324426,44.35,,,,,,4.417353352187836
19,40.54,43.34,39.84,43.34,836148,43.29,47.66,,,36.1894051006742,58.69676542584186,4.351828112745848
20,43.0,45.13,42.995,43.81,327883,43.07,47.12,,,36.365925414803925,57.764185226849065,4.193483247549716
21,42.15,42.99,40.84,41.34,287682,42.44,46.5,,,36.373387731571114,57.10687946731747,4.106091587010451
22,40.71,43.75,40.71,43.6,522714,42.61,46.01,,,36.5439577691364,56.51673618241049,4.029942187938277
23,41.5,42.44,37.0906,40.78,902636,42.62,45.47,,,35.88087071113944,56.05852119502835,4.207046317371257
24,42.08,46.9,42.08,46.87,1362334,42.94,45.24,,,36.10835899423671,55.264962750166376,4.343685866130453
25,48.41,50.37,47.16,49.99,1355030,43.73,45.09,,,36.598610782351045,54.577455706127914,4.2834225899782785
26,50.56,52.4,49.83,51.71,406557,44.6,45.2,,,36.46406757979434,54.60884479199649,4.161035262122687
27,52.51,55.22,52.055,54.77,755510,46.25,45.65,,,35.621147293618705,55.75165085361374,4.114532743399638
28,54.36,54.36,46.91,48.09,1060526,46.77,45.56,,,35.570632811988425,56.437325155900076,4.382066118871093
29,48.9,50.59,48.74,49.17,452371,47.37,45.63,,,35.39924047468679,56.620124605043614,4.247632824666016
30,47.59,48.135,45.86,45.88,704048,47.87,45.28,,,35.424553483228394,55.721314922033045,4.180659051475586
31,46.25,49.49,45.02,46.52,1144342,48.2,45.32,,,35.423047270433266,55.117684795877466,4.201326262084472
32,48.51,49.5,47.66,49.22,931568,49.14,45.43,,,35.38876227804549,55.22574062432627,4.114088671935582
33,48.75,49.115,46.52,47.1,628406,49.16,45.68,,,35.594874021331854,55.17846446835485,4.013082338225897
