,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,13.94,14.99,13.6101,14.85,820160,,,,,,,1.379900000000001
1,14.31,15.37,13.59,15.33,2545880,,,,,,,1.4084785714285724
2,15.25,15.84,14.29,14.52,1065555,,,,,,,1.4185872448979602
3,12.78,13.5,12.19,12.5,1129223,,,,,,,1.4836881559766772
4,13.08,13.8,12.46,13.77,1089853,,,,,,,1.4734247162640575
5,13.18,13.54,12.5623,12.73,1931390,,,,,,,1.4544443793880533
6,11.51,11.8106,10.4373,11.01,1173496,,,,,,,1.514319780860335
7,11.76,12.04,10.0,11.45,952562,,,,,,,1.5518683679417398
8,9.74,10.22,9.18,9.44,2309976,12.84,,,,,,1.60316348451733
9,10.2,11.73,9.565,11.58,1224791,12.48,,,,,,1.6522232356232351
10,11.0,12.18,10.52,11.09,812167,12.01,,,,,,1.652778718793004
11,11.15,12.7,10.9,12.4,1797004,11.77,,,,,,1.6632945245935038
12,12.63,12.7265,11.54,12.0254,813858,11.72,,,,,,1.629237772836825
13,11.85,12.7,11.5,11.96,562499,11.52,,,,,,1.598577931919909
14,12.76,12.8,11.82,12.32,658334,11.48,,,,,,1.5543937939256298
15,12.32,13.1259,11.91,12.72,666916,11.67,,,,,,1.5302156657880848
16,12.9,13.79,12.81,13.3022,478930,11.87,,,,,,1.497343118231793
17,13.02,13.02,11.91,11.93,556860,12.15,,,,,,1.4898328955009505
18,11.99,12.81,11.665,12.68,929560,12.27,,,,,,1.46520197439374
19,12.75,12.88,11.69,12.2,398889,12.39,12.49,,,9.019661224232895,15.675656737319757,1.445544690508473
20,12.02,12.53,11.02,11.14,530054,12.25,12.3,,,9.030198923227921,15.400032904366233,1.4501486411864393
21,11.1,11.92,11.06,11.9,384844,12.24,12.13,,,9.079131451365015,14.985046167062908,1.4079951668159794
22,11.83,12.15,11.59,11.96,230259,12.24,12.01,,,9.352023692626647,14.278586651061273,1.3474240834719808
23,12.58,12.72,12.13,12.7,810342,12.28,12.02,,,9.35446476016782,14.186869971543336,1.3054652203668393
24,13.03,13.09,11.86,11.86,1296632,12.19,11.92,,,9.380825656195011,14.066182900870938,1.3000748474834938
25,11.98,12.49,11.76,12.47,436874,12.09,11.91,,,9.422147892476342,13.93768302684131,1.2593552155203873
26,12.63,13.2,12.5,13.01,485413,12.21,12.01,,,9.484322157851333,14.006936529913766,1.2215441286975024
27,13.05,13.05,12.19,12.63,667920,12.21,12.07,,,9.671255878578847,14.054333309464376,1.1957195480762524
28,13.0,13.5619,12.81,13.2,2763544,12.32,12.25,,,10.1071388455146,13.776578153401596,1.1768752946422343
29,12.82,13.08,12.38,12.86,930690,12.51,12.32,,,10.565652635488167,13.729432656987921,1.151384202167789
30,12.96,13.41,12.61,13.34,1906232,12.67,12.43,,,10.770656313109797,13.772989414250365,1.1262853305843754
31,13.87,13.91,13.37,13.79,2677816,12.87,12.5,,,10.808388418505274,13.93861640139983,1.086550664114063
32,13.45,14.98,13.4223,14.34,1978780,13.06,12.62,,,10.76846492270639,14.39736852901808,1.1202041881059157
33,14.2,14.2,13.07,13.25,3669060,13.21,12.68,,,10.811361818015829,14.553015376320154,1.1309038889554932
34,13.64,14.21,13.34,14.1,1239792,13.39,12.77,,,10.804874878400257,14.691802987265444,1.1186964683158154
35,14.2,14.73,14.09,14.25,1817918,13.53,12.85,,,10.709657762585117,14.91960305615701,1.0845038634361144
36,14.23,14.73,14.0988,14.55,1338274,13.74,12.91,,,10.608772366573145,15.077922294825628,1.0521250160478204
37,14.6,15.58,14.46,15.01,1549682,13.94,13.06,,,10.542175662368962,15.46543514119732,1.0569732291872618
38,15.23,15.45,13.76,13.82,533485,14.05,13.12,,,10.624204261443145,15.758080164482116,1.1021894271024575
39,14.25,14.59,13.85,14.33,462008,14.16,13.23,,,10.719860269484471,15.859926865885855,1.0784616108808533
40,14.16,14.38,13.44,13.47,1005644,14.12,13.34,,,10.995684734365991,15.903599479579581,1.0685714958179353
41,13.15,13.32,12.32,12.6,530271,13.93,13.38,,,11.23976852487579,15.802711155313503,1.0743878175452257
42,12.5,13.89,12.35,13.87,966666,14.0,13.47,,,11.37403407240011,15.720850745936428,1.1076458305777097
43,14.1,14.42,13.77,13.82,409153,13.97,13.53,,,11.47354779686294,15.723881841408414,1.074956842679302
44,13.84,14.19,13.58,13.82,683990,13.92,13.63,,,11.651783968639444,15.723681331314866,1.0417456396307803
45,13.32,13.87,12.51,13.64,1156884,13.82,13.69,,,11.802781877608366,15.62182678282839,1.0644780939428675
46,13.72,14.25,13.51,13.64,473316,13.67,13.72,,,11.886693445939986,15.607461678367816,1.0413010872326627
47,13.32,16.3,13.22,15.62,3146790,13.87,13.87,,,12.031882726903687,15.953000667619127,1.1869224381446155
48,15.86,16.99,15.08,15.91,1021284,14.04,14.0,,,11.939381642823971,16.465745281143267,1.23857083542
49,15.98,16.69,15.02,15.78,1976312,14.3,14.15,13.13,,11.989669684886206,16.749473040615,1.2693872043185717
50,15.46,16.6296,15.33,16.355,2668232,14.72,14.3,13.16,,11.998759526077642,16.98685411038473,1.2715452611529594
51,16.4,17.8,16.0301,17.67,1977620,15.14,14.49,13.21,,11.839343034417364,17.50163363085199,1.3071420282134623
52,18.2,19.2,18.0,18.71,842921,15.68,14.71,13.29,,11.333596225185731,18.3338610981613,1.3230604547696434
53,18.71,20.4332,18.71,19.47,1033828,16.31,15.02,13.43,,10.948917069209651,19.36959186432795,1.351641850857526
54,20.0,20.59,19.5219,19.84,1839994,17.0,15.31,13.55,,10.574116400724307,20.236906994946658,1.335096004367703
55,19.87,20.97,19.3,20.59,663749,17.77,15.63,13.71,,10.342275154440639,21.061704560278848,1.3590177183414385
56,20.55,21.0,20.08,20.97,686222,18.37,15.95,13.91,,10.106414465917211,21.766367078551923,1.3276593098884788
57,21.21,21.6304,19.07,19.1,1316801,18.72,16.15,14.06,,10.06596180799935,22.518077562732202,1.4157122163250162
58,19.46,19.84,17.27,17.86,1255246,18.95,16.35,14.23,,10.240820379658505,22.851083972142902,1.4981613437303722
59,17.85,18.59,17.34,17.52,1351794,19.08,16.51,14.35,,10.427726008673558,22.969350435696324,1.480435533463917
60,17.44,17.7299,17.02,17.48,451497,19.06,16.71,14.48,,10.69661470942016,22.977054243323995,1.4253972810736373
61,19.97,21.5,18.93,20.93,2639326,19.31,17.13,14.65,,11.159017510552445,23.320268496095416,1.6107260467112348
62,20.56,21.25,19.76,20.27,3365856,19.4,17.45,14.81,,11.656657426902893,23.562855104876956,1.6021027576604323
63,20.5,22.96,20.5,22.34,3653269,19.67,17.88,15.02,,11.90484547367847,24.083745777197002,1.67980970354183
64,22.46,23.32,19.95,20.63,4018372,19.68,18.22,15.18,,12.325486087634147,24.50710621989335,1.800537581860271
65,21.0,21.99,20.27,20.34,1774800,19.61,18.55,15.34,,13.09239977635697,24.46996373567563,1.79478489744168
66,20.28,20.93,19.74,20.0,2251964,19.71,18.87,15.47,,13.767696431721001,24.18451167832208,1.7515859761958459
67,19.81,20.83,19.7,20.25,1291490,19.97,19.1,15.64,,14.682895209464789,24.10191496909231,1.7071869778961426
68,20.21,21.27,20.04,20.63,573038,20.32,19.34,15.8,,15.196785332575706,24.082592415091746,1.6731021937607038
69,20.08,20.2899,18.7,19.05,1356622,20.49,19.5,15.93,,15.824767016827428,23.87484923101419,1.6914520370635107
