,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,66.27,66.45,64.6,65.67,825743,,,,,,,1.8500000000000085
1,65.66,66.18,59.94,61.69,1279422,,,,,,,2.163571428571437
2,62.89,64.5,62.15,64.15,684813,,,,,,,2.209744897959192
3,62.04,62.91,61.32,62.15,1092460,,,,,,,2.25404883381925
4,60.21,61.235,56.91,58.94,1341479,,,,,,,2.4673310599750184
5,56.0,57.52,52.87,52.93,1426393,,,,,,,2.724664555691089
6,54.91,55.79,52.93,53.85,1202429,,,,,,,2.7343313731417256
7,52.36,53.71,48.86,49.35,2441662,,,,,,,2.89545056077446
8,46.35,48.0878,42.615,42.93,1411834,56.85,,,,,,3.169704092147713
9,45.3,45.45,39.7,43.38,2061774,54.37,,,,,,3.3540109427085905
10,36.17,39.1726,36.07,36.26,4612850,51.55,,,,,,3.636581589657977
11,37.01,39.99,35.03,39.16,1533352,48.77,,,,,,3.7311114761109794
12,37.74,38.42,28.55,32.82,1546305,45.51,,,,,,4.222460656388766
13,32.89,41.2,32.06,39.92,2239376,43.4,,,,,,4.573713466646712
14,40.61,41.79,37.81,39.37,1920031,41.89,,,,,,4.531305361886233
15,39.46,41.31,38.7922,40.37,967230,40.4,,,,,,4.38748355032293
16,41.98,47.37,40.895,47.11,965436,40.15,,,,,,4.574091868157007
17,47.47,51.725,45.655,50.96,1263886,41.04,,,,,,4.680942449002935
18,50.89,52.64,48.06,50.13,1279031,41.79,,,,,,4.673732274074155
19,47.65,49.0,45.02,46.96,945158,42.98,48.9,,,25.104543883602023,70.27146607717043,4.70489425449743
20,44.8,49.94,44.8,49.86,989936,44.17,48.11,,,25.88399603210745,68.0470437184394,4.735973236319042
21,49.66,51.38,47.93,50.67,801161,46.15,47.56,,,26.44337494233315,65.6875674443868,4.644118005153397
22,48.86,48.86,44.39,44.73,1297054,46.68,46.59,,,27.436351279625615,63.30261307782722,4.760966719071011
23,44.62,45.88,43.92,44.97,989116,47.31,45.73,,,28.70191588174675,60.889033149027085,4.5608976677087965
24,44.89,45.72,42.98,43.51,635585,47.66,44.96,,,29.538749300884056,58.533103053798506,4.430833548586739
25,45.5,47.17,45.17,46.39,2750278,47.58,44.64,,,30.0333769382004,56.92918881929283,4.375774009401972
26,47.5,50.69,46.74,50.52,2814466,47.53,44.47,,,30.615851575732115,55.94972866407481,4.370361580158974
27,51.49,55.44,50.45,53.99,1444056,47.96,44.7,,,30.461467842267204,56.34102746768984,4.414621467290476
28,55.35,59.38,54.59,58.53,1345579,49.24,45.48,,,29.706042536371974,58.45741309892091,4.484291362484013
29,57.44,58.64,54.85,55.22,1420952,49.84,46.07,,,29.389533998733175,60.19061481989838,4.434699122306584
30,56.4,58.405,55.0,56.33,808700,50.47,47.08,,,29.80510908095007,61.32149760575264,4.361149184998971
31,54.29,55.44,52.385,52.91,2267943,51.37,47.76,,,30.89409781115999,61.721478340111496,4.3314242432133305
32,52.54,53.435,50.81,52.71,1885356,52.23,48.76,,,34.11774885840844,61.39687916800617,4.2095367972695215
33,54.47,58.98,54.47,58.85,3667554,53.94,49.7,,,36.664158378785004,62.073499645094,4.356712740321698
34,57.28,58.66,56.37,56.88,1778287,55.1,50.58,,,37.820022232639495,62.46625614697224,4.22266183029872
35,55.23,56.8,55.0,55.76,1753838,55.69,51.35,,,39.19784108282651,62.14364640804958,4.0553288424202405
36,56.17,57.46,55.45,56.295,554379,55.94,51.81,,,40.29802581211987,62.507608344202545,3.909233925104509
37,56.68,59.3,56.45,58.2,2482767,55.91,52.17,,,40.580153055068195,63.232653654630994,3.844645787597044
38,58.79,59.76,57.135,59.32,1188770,56.36,52.63,,,40.621722210740984,63.95151474194361,3.757528231340112
39,59.9,61.85,59.4344,61.03,1093571,56.88,53.33,,,40.99556165538674,64.88566607686279,3.669847643387247
40,62.36,62.37,58.88,59.12,370209,57.57,53.8,,,41.67916342519322,65.80597410923183,3.6570013831453005
