,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,25.51,25.72,24.96,25.62,2191128,,,,,,,0.759999999999998
1,25.63,26.14,24.58,24.83,4555444,,,,,,,0.8171428571428554
2,25.19,25.62,24.41,24.71,3600953,,,,,,,0.8452040816326516
3,24.37,24.37,22.43,22.76,7171917,,,,,,,0.9476895043731766
4,22.41,22.54,21.78,22.43,6091984,,,,,,,0.9499973969179497
5,21.45,21.53,19.15,20.12,11111128,,,,,,,1.1164261542809535
6,20.68,21.28,19.87,21.09,8521078,,,,,,,1.1373957146894569
7,20.86,21.19,19.76,19.9,6386796,,,,,,,1.158296020783067
8,18.81,19.09,17.94,18.17,6506064,22.18,,,,,,1.2155605907271334
9,19.28,19.69,17.69,19.06,5967604,21.45,,,,,,1.2715919771037667
10,17.0,18.26,16.37,17.03,6894554,20.59,,,,,,1.3729068358820689
11,17.23,17.44,15.29,15.77,5396986,19.59,,,,,,1.4284134904619212
12,15.62,15.62,11.79,12.1001,8175748,18.41,,,,,,1.6106696697146412
13,12.11,12.43,10.08,12.02,13315336,17.25,,,,,,1.6634789790207383
14,12.28,13.26,11.35,11.94,16151028,16.34,,,,,,1.6810876233763998
15,11.79,12.52,11.32,11.84,14346926,15.31,,,,,,1.6467242217066569
16,12.73,13.68,12.65,13.52,6731786,14.61,,,,,,1.6605296344418958
17,13.55,14.52,13.16,13.915,6499682,14.13,,,,,,1.6390632319817606
18,14.15,15.56,13.74,15.53,6470976,13.74,,,,,,1.6519872868402063
19,14.62,15.28,14.45,14.85,2849136,13.5,17.86,,,7.482882000753737,28.007759416150403,1.611131052065906
20,14.46,15.21,14.45,15.08,3089506,13.42,17.33,,,7.629081970660314,27.00415833353003,1.5503359769183414
21,15.23,15.4,14.64,14.94,2425910,13.74,16.84,,,7.922861921159429,25.71675803018475,1.49388340713846
22,14.8,14.8872,14.01,14.35,5079744,14.0,16.32,,,8.354417154705528,24.345683783481153,1.4536060209142843
23,14.33,14.74,14.03,14.24,6570578,14.25,15.89,,,8.66587379861997,23.08288990679182,1.4004913051346926
24,14.32,14.75,12.89,12.98,6295934,14.38,15.42,,,8.946316474730239,22.11880919421142,1.4333133547679289
25,14.03,14.59,13.51,14.31,5513744,14.47,15.13,,,9.033090332682491,21.267216946688755,1.4459338294273625
26,15.34,16.55,14.83,15.09,5544704,14.6,14.83,,,9.41054458917119,20.419617311442963,1.5026528416111222
27,15.32,16.66,15.19,16.4,5377750,14.69,14.66,,,9.920728634017768,19.463798812769284,1.5074633529246135
28,16.75,18.24,16.74,17.54,5487220,14.99,14.63,,,10.078843207826651,19.274803257763008,1.5312159705728554
29,17.47,17.92,16.35,16.78,4029742,15.18,14.51,,,10.250908097440053,18.839506057279127,1.53398625838908
30,16.98,17.77,16.71,17.72,3808238,15.49,14.55,,,10.214694275924924,18.73511832308583,1.5001300970755742
31,17.21,17.445,16.5,16.97,5831126,15.78,14.61,,,10.137590290259213,18.73601874096122,1.4801208044273189
32,16.95,17.16,16.06,16.11,4793402,15.99,14.81,,,10.375234146394115,18.90748514179663,1.4529693183967962
33,16.48,17.53,16.33,17.45,4229986,16.49,15.08,,,11.088788106369247,18.97988848203969,1.4506143670827396
34,16.97,18.08,16.76,17.35,1559236,16.82,15.35,,,11.54268760142538,19.179341803907725,1.4412847694339723
35,16.5,17.25,16.5,16.91,1727384,17.03,15.6,,,12.141356260553332,19.039878749894378,1.3990501430458315
36,17.16,17.5985,17.02,17.4,1073416,17.14,15.8,,,12.44197009063952,19.052339738771135,1.3482965613997009
37,17.5,18.2,16.77,16.82,2957124,17.06,15.94,,,12.71196753548998,19.21062490209516,1.3541325212997222
38,16.99,17.63,16.845,17.53,3059050,17.14,16.04,,,12.906583066875383,19.314486458872775,1.3152659126354562
39,17.76,18.73,17.52,18.62,2794634,17.24,16.23,,,12.968290714888814,19.560568152917583,1.3077469188757809
40,19.03,19.6,18.15,18.52,2068784,17.41,16.4,,,13.006667255009173,19.93669307066479,1.317907853241797
41,19.14,20.34,18.8,19.62,2371656,17.8,16.64,,,12.994124873374009,20.42799743972513,1.3537715780102402
42,19.41,19.89,18.91,19.47,2281758,18.03,16.89,,,13.152715120141506,20.671429716437586,1.327073608152366
43,19.88,19.9999,18.25,18.81,3896114,18.19,17.12,,,13.445032658329657,20.828447851950724,1.3572754932843398
44,18.54,19.04,18.29,18.83,2924829,18.4,17.41,,,14.14099174835739,20.7258060377154,1.3138986723354584
45,19.19,20.06,18.63,19.09,3685804,18.59,17.65,,,14.771662846437335,20.624314016196976,1.322191624311497
46,19.04,19.21,18.32,18.42,4497098,18.77,17.82,,,15.137352753430555,20.641680728959354,1.2913207940035332
47,18.76,19.0,18.0,18.27,3214184,18.85,17.91,,,15.488204892246426,20.61062188474817,1.2705121658604237
48,18.68,18.96,17.5,17.67,5012876,18.74,17.92,,,15.54941975977987,20.65007488865141,1.2840470111561078
49,17.5,17.82,17.16,17.48,4016060,18.63,17.95,17.36,,15.652917804822877,20.652131435667176,1.2394722246449572
50,17.41,18.02,15.73,15.99,7467008,18.23,17.87,17.17,,15.470426549964959,20.64748548722862,1.314509922884603
51,15.5,16.65,15.01,15.75,9579437,17.81,17.81,16.99,,15.150135479475297,20.72652085074995,1.3377592141071313
52,15.32,16.67,14.73,15.92,5376331,17.49,17.8,16.81,,14.851742788971144,20.776704820432325,1.380776413099479
53,15.76,15.97,15.59,15.9,3578998,17.17,17.72,16.67,,14.733185389288975,20.936558963902925,1.3092923835923735
54,16.0,17.73,15.51,15.85,12855340,16.81,17.64,16.54,,14.561318305069324,20.93439825829448,1.3743429276214898
55,15.82,17.61,15.69,17.44,20578620,16.7,17.67,16.49,,14.453075234556888,20.922171138494424,1.4133184327913835
56,17.66,18.76,16.57,18.55,13192738,16.73,17.73,16.44,,14.419414114099592,20.951930287342005,1.4687956875919992
57,18.44,19.145,18.24,18.71,4534367,16.84,17.82,16.41,,14.450570033121949,21.011646856541546,1.4285245670497138
58,18.8,18.99,17.92,18.97,5025730,17.01,17.89,16.43,,14.489114332330495,21.048646638443014,1.4029156694033056
59,19.6,20.29,19.305,19.92,4144588,17.45,17.96,16.45,,14.425829233060526,21.23998906148167,1.3969931215887839
60,20.34,21.46,20.0,21.27,7923674,18.06,18.1,16.53,,14.29592116726987,21.595049435314635,1.4072078986181564
61,21.61,21.76,20.7,21.0,6361229,18.62,18.17,16.64,,14.108743711819235,21.894089459874053,1.3824073344311454
62,20.87,21.27,20.245,21.09,2503782,19.2,18.25,16.81,,14.010462726271397,22.12074822070562,1.356878239114635
63,21.0,21.88,20.965,21.46,3346082,19.82,18.38,17.0,,13.842749480497389,22.45004585793989,1.325315507749304
64,21.63,22.265,21.43,21.55,3868992,20.28,18.52,17.2,,13.65940199944258,22.906371224648325,1.2902929714814966
65,21.87,22.57,21.69,21.87,2294660,20.65,18.65,17.4,,13.484705156501882,23.315218711461586,1.2709863306613896
66,21.9,22.46,21.2,22.35,2366792,21.05,18.85,17.57,,13.41011681039249,23.71808361088744,1.2702015927570047
67,23.3,23.68,22.84,23.35,5205060,21.54,19.1,17.76,,13.213297483275364,24.34163899952341,1.2744729075600758
68,23.52,24.84,23.52,24.41,3488898,22.04,19.44,17.94,,13.056145171284708,25.15447329545789,1.2898676998772132
69,23.91,23.91,22.215,22.39,5959606,22.16,19.69,18.09,,13.14926599227789,25.63497218435743,1.3545200070288408
70,22.5,22.585,21.04,21.35,5518612,22.2,19.96,18.22,,13.551695336246846,25.8437214824935,1.3681257208124953
71,20.5,20.5,18.8,19.38,7167268,22.01,20.14,18.3,,14.091250641660004,25.71472775856667,1.4525453121830314
72,20.29,20.3606,19.34,19.44,1034064,21.79,20.31,18.41,,14.797423661446928,25.52884372715549,1.4216920755985294
73,19.29,20.9,19.1,20.89,4587382,21.71,20.56,18.54,,15.351339230190753,25.152448044005112,1.4487140701986343
74,21.51,21.71,20.35,20.64,3382238,21.58,20.8,18.69,,16.077655661549922,25.01785544296892,1.4423773508987319
75,20.63,21.0,20.12,20.69,3207694,21.39,20.96,18.82,,16.87059231879956,24.747425234298394,1.402207540120251
76,20.39,21.02,20.07,20.88,3681208,21.12,21.08,18.94,,17.52123901604375,24.60220238239599,1.369907001540233
77,20.97,21.56,20.655,20.72,3724654,20.71,21.18,19.02,,17.83323100701422,24.484594902860366,1.3366993585730735
78,20.24,20.58,19.41,20.24,1398695,20.47,21.24,19.08,,18.140393875832938,24.306444485416197,1.3347922615321397
79,20.32,21.495,20.32,21.27,1423190,20.46,21.31,19.17,,18.265708535893836,24.26550022433826,1.3290928142798442
80,20.93,21.02,19.46,19.97,1441920,20.53,21.25,19.21,,18.194427380524804,24.26830211358238,1.3634433275455695
81,20.31,20.56,19.58,19.88,1523097,20.58,21.19,19.27,,18.09080567528909,24.27866783198535,1.3360545184351718
82,19.81,20.505,19.5,19.74,1097531,20.45,21.12,19.34,,18.00886193536499,24.298516476426933,1.3124077671183736
83,20.0,20.555,19.84,20.51,791107,20.43,21.08,19.4,,17.93886720284095,24.288933221235325,1.2768786408956327
84,20.45,21.22,20.348,21.09,1507532,20.48,21.05,19.48,,17.919546720034344,24.231158922396272,1.247958737974516
85,21.0,21.84,20.965,21.33,1396921,20.53,21.03,19.57,,17.936256303827083,24.16037019407606,1.2213188281191936
86,21.64,21.97,21.28,21.39,1534188,20.6,20.98,19.65,,17.934837748067974,24.110935929795346,1.1833674832535368
87,21.68,22.42,21.41,21.86,2105326,20.78,20.9,19.75,,18.079978180238044,23.885802085637046,1.1724126630211413
88,21.73,21.97,20.94,21.06,1268978,20.76,20.74,19.82,,18.46746513063989,23.17455191991173,1.1622403299482025
89,21.04,21.3,19.93,20.28,1565133,20.79,20.63,19.85,,18.615209832191887,22.592365561775164,1.1770803063804738
90,20.23,20.31,19.43,19.74,1510981,20.78,20.55,19.88,,18.56935812043671,22.385652207014285,1.155860284496154
91,19.71,20.23,19.48,20.22,796863,20.83,20.59,19.89,,18.695598188694245,22.406713692317247,1.1268702641750004
92,20.36,20.93,20.16,20.28,1243811,20.81,20.63,19.9,,18.780671960108727,22.38795069225108,1.1013795310196433
93,20.28,21.065,20.22,20.83,1199393,20.78,20.63,19.94,,18.925226361607113,22.391222506843086,1.0830667073753832
94,21.2,22.15,21.2,21.85,3948304,20.83,20.69,20.0,,18.88712551119264,22.468974093852495,1.0999905139914274
95,21.73,21.87,21.31,21.81,1199727,20.88,20.75,20.06,,18.86089984279363,22.54463109249486,1.06141976299204
96,21.91,22.15,21.835,21.9,1894612,20.89,20.8,20.13,,18.791641392148918,22.659183010871757,1.0098897799211801
97,21.86,22.23,21.18,21.29,1344746,20.91,20.83,20.19,,18.780322494140645,22.752284465928188,1.0127547956410958
98,21.54,21.89,21.395,21.49,999240,21.05,20.89,20.26,,18.889214175629142,22.795246556100466,0.9832723102381605
99,21.59,22.52,21.59,22.33,1541263,21.33,20.94,20.36,,18.88174488442247,22.93513236380835,0.9866100023640063
100,22.15,23.02,22.15,22.55,2356745,21.59,21.07,20.49,,18.95464487431456,23.17840638170474,0.978280716480863
101,22.14,22.32,21.89,22.23,574983,21.81,21.19,20.62,,19.072926045753327,23.23470006617942,0.9555463795893728
102,22.21,22.36,21.85,22.27,2088851,21.97,21.32,20.75,,19.24458828428855,23.268921186192824,0.9237216381901318
103,22.35,22.53,21.92,21.93,1644480,21.98,21.39,20.87,,19.372846556305323,23.306804306193914,0.9013129497479794
104,22.15,23.01,22.1,22.75,3871604,22.08,21.47,21.01,,19.425950876672868,23.459496722684634,0.9140763104802667
