,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,7.19,7.21,6.44,6.73,2805285,,,,,,,0.7699999999999996
1,6.32,6.32,5.15,6.02,7431884,,,,,,,0.8278571428571425
2,5.75,5.94,5.5501,5.92,3959025,,,,,,,0.8022887755102038
3,5.75,5.75,5.36,5.6,5766230,,,,,,,0.7849824344023321
4,5.07,5.44,4.66,4.71,4305116,,,,,,,0.7960551176593083
5,4.85,4.98,4.53,4.855,2912894,,,,,,,0.7713368949693576
6,4.72,4.86,4.44,4.47,4346596,,,,,,,0.7462414024715465
7,4.2,4.25,3.63,4.08,5236404,,,,,,,0.7529384451521502
8,4.32,4.36,3.975,4.36,2954246,5.19,,,,,,0.7266571276412823
9,3.95,4.95,3.9,4.86,4501148,4.99,,,,,,0.7497530470954765
10,4.9,5.77,4.8303,5.71,5926760,4.95,,,,,,0.7633206865886568
11,5.41,6.7236,5.36,6.03,5206720,4.96,,,,,,0.8061977804037528
12,6.05,7.2,5.9,6.79,5843532,5.1,,,,,,0.8414693675177705
13,6.87,6.87,5.6613,5.91,5286536,5.23,,,,,,0.8677001269807869
14,6.0,6.24,5.51,5.83,2654848,5.34,,,,,,0.8578644036250165
15,6.01,6.15,5.59,5.74,3376252,5.48,,,,,,0.8365883747946582
16,5.95,6.07,5.65,5.66,3564920,5.65,,,,,,0.8068320623093255
17,5.76,6.02,5.46,5.55,3542660,5.79,,,,,,0.7892012007158021
18,5.46,5.65,5.2,5.51,2813956,5.86,,,,,,0.7649725435218163
19,7.5,8.94,6.06,8.39,35098542,6.16,5.64,,,3.6405900802040865,8.173695780376386,0.9553316475559723
20,9.48,9.69,8.5,9.15,22479646,6.5,5.76,,,3.188997680971739,8.810783278714954,0.9799508155876885
21,8.25,8.683,7.55,8.03,11032486,6.64,5.86,,,3.0667621504639784,9.164238416740314,1.0242400430457108
22,7.89,8.1405,7.2,7.47,6958712,6.81,5.94,,,3.0073920869924016,9.39153218647633,1.0182586113995886
23,7.58,7.97,6.5,6.76,4611948,6.92,5.99,,,3.0202345299711535,9.573263409169154,1.0505258534424753
24,7.17,7.21,6.5,6.76,6953808,7.03,6.1,,,3.1077695567849637,9.641776150843356,1.0262025781965842
25,6.58,6.6599,5.93,6.0597,6557874,7.08,6.16,,,3.2258656334665403,9.638164188762246,1.0121881083253996
26,6.11,6.135,5.5425,5.68,5899070,7.09,6.22,,,3.3488269756900686,9.597396668362965,0.9822103863021567
27,5.7,6.205,5.5,6.07,5648512,7.15,6.32,,,3.651247858533565,9.474070987644922,0.9624096444234314
28,6.13,6.89,6.1,6.81,5473558,6.98,6.44,,,3.936780172624788,9.347269077658877,0.9522375269646148
29,7.05,7.08,6.3439,6.6,6456388,6.69,6.53,,,4.296380847991227,9.273029694029315,0.9367991321814282
