,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,35.75,36.82,34.92,36.75,652615,,,,,,,1.8999999999999986
1,36.87,37.79,36.41,37.78,394833,,,,,,,1.8628571428571419
2,37.66,39.5,36.705,38.67,634535,,,,,,,1.9294387755102034
3,39.2,40.63,39.18,40.53,511546,,,,,,,1.9316217201166177
4,39.39,40.04,38.4,39.22,442553,,,,,,,1.9457915972511453
5,38.0,39.51,37.3405,38.49,745036,,,,,,,1.9617707688760635
6,36.5,37.08,34.58,35.49,1147664,,,,,,,2.1009299996706305
7,36.55,36.73,33.66,36.64,660461,,,,,,,2.170149285408443
8,35.64,35.77,32.66,32.87,868866,37.38,,,,,,2.2994243364506977
9,30.6,31.06,26.79,26.81,1492904,36.28,,,,,,2.569465455275648
10,28.6,32.6,28.0,32.5801,1387812,35.7,,,,,,2.7995036370416733
11,28.29,30.86,27.03,29.57,1231634,34.69,,,,,,2.995974805824411
12,30.22,32.17,28.46,31.66,593487,33.7,,,,,,3.046976605408382
13,29.55,30.61,22.4,23.41,1247616,31.95,,,,,,3.490763990736355
14,23.66,29.54,23.66,28.89,844645,30.88,,,,,,3.679280848540901
15,29.1,30.38,26.06,28.05,914771,30.05,,,,,,3.7250465022165513
16,28.31,28.5,25.2,26.52,889212,28.93,,,,,,3.694686037772512
17,28.1,30.72,27.5,30.71,462074,28.69,,,,,,3.7307798922173325
18,30.57,32.98,29.18,30.9,554290,29.14,,,,,,3.7357241856303802
19,31.22,32.26,29.38,31.09,890176,28.98,32.83,,,20.469325297127217,42.161845248655716,3.674601029513924
20,29.67,31.53,29.27,29.7,558652,28.99,32.48,,,20.343509295489074,41.89314186353733,3.5735580988343583
21,29.91,31.35,29.025,30.91,438927,28.91,32.14,,,20.330674269252658,41.44662519112824,3.484375377489047
22,30.88,31.5,29.82,31.39,709126,29.8,31.77,,,20.468556786584365,40.59733726367229,3.3554914219541154
23,29.89,30.81,27.43,27.73,432472,29.67,31.13,,,20.915408713205036,39.30570599753137,3.39867060610025
24,27.41,29.48,27.24,28.39,279277,29.7,30.59,,,21.50348746572758,37.96722644067172,3.3159084199502327
25,27.98,29.05,25.61,25.87,790062,29.63,29.96,,,22.04056486581929,36.48611393372089,3.324772104239502
26,26.77,27.99,26.74,27.77,1196370,29.31,29.57,,,22.430561320367694,35.602883382246866,3.2387169539366805
27,28.59,29.675,28.0,28.59,612972,29.05,29.17,,,22.923684769242797,34.4589188300318,3.143451457226918
28,29.03,30.59,28.29,30.16,1099358,28.95,29.04,,,23.385292197996456,33.36720324238031,3.0832049245678523
29,31.12,32.7,30.97,31.67,811320,29.16,29.28,,,23.26250786631885,33.59400966697258,3.044404572813006
30,31.8,31.8,29.63,29.88,305772,29.05,29.14,,,23.238243936648402,33.46601262686988,2.981947103326363
31,31.78,31.78,30.3,31.21,282393,29.03,29.22,,,23.23881547200881,33.5521511520133,2.90466516737448
32,29.81,30.78,29.43,29.75,1907677,29.25,29.13,,,23.232254942392395,33.40378268152981,2.8243319411334458
33,29.75,30.65,29.2,30.55,642051,29.49,29.49,,,24.304411081379452,33.40555754220009,2.7261653739096285
34,31.51,32.52,30.53,30.99,1034918,30.06,29.59,,,25.125535635867042,33.61249879694793,2.673582132916084
35,30.24,31.83,30.04,31.48,897124,30.48,29.76,,,25.450737271304607,33.70883914520009,2.610469123422078
36,30.49,31.58,29.03,30.45,1651610,30.68,29.96,,,26.082268553244752,33.62902733270013,2.606149900320501
37,31.14,31.89,30.15,31.61,875492,30.84,30.0,,,26.22942238636879,33.7064839120323,2.5442820502976087
38,31.58,32.597,31.3,31.51,407839,30.83,30.03,,,26.142447766197833,33.63467167800289,2.455190475276351
39,31.65,32.42,31.215,32.15,418081,31.08,30.09,,,26.082085974089686,33.6589207616265,2.3658911556137547
40,32.58,34.06,32.29,33.57,720102,31.34,30.28,,,25.929339259664015,34.10314745619151,2.3333275016413437
41,35.25,35.66,33.52,34.43,399778,31.86,30.46,,,25.671492774270707,34.934740472910484,2.3195183943812476
42,35.82,37.59,35.12,36.73,337768,32.55,30.72,,,25.198456813823974,36.19040652408076,2.3795527947825876
43,35.51,35.88,34.74,35.16,608081,33.01,31.1,,,25.209676872370984,36.78037142683292,2.3517275951552596
