,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,72.84,73.55,71.06,73.36,70158,,,,,,,2.489999999999995
1,71.28,71.615,68.39,68.91,128605,,,,,,,2.6671428571428524
2,66.5,69.45,66.5,67.42,232118,,,,,,,2.687346938775506
3,55.5,58.0,54.65,54.8,283568,,,,,,,3.4075364431486843
4,57.2,57.98,54.22,56.92,174526,,,,,,,3.432712411495207
5,54.97,56.0,52.47,53.2,183812,,,,,,,3.505375810674121
6,48.41,50.445,44.47,44.84,163294,,,,,,,3.878563252768827
7,48.01,49.47,45.12,49.47,231782,,,,,,,3.9322373061424822
8,44.04,46.4,40.81,41.0,273556,56.66,,,,,,4.269934641418019
9,42.39,42.39,38.87,41.34,232758,53.1,,,,,,4.2163678813167325
10,40.78,40.78,34.11,34.13,176920,49.24,,,,,,4.431627318365537
11,33.97,39.48,31.95,37.8,230122,45.94,,,,,,4.652939652767999
12,38.68,41.51,36.64,37.07,339928,43.97,,,,,,4.66844396328457
13,37.46,39.685,35.46,37.4,321978,41.81,,,,,,4.63676939447853
14,40.06,42.8301,39.5,40.36,243822,40.38,,,,,,4.693435866301492
15,40.45,45.075,39.8824,41.46,186078,40.0,,,,,,4.729090447279957
16,42.95,50.23,42.43,48.19,308710,39.86,,,,,,5.0177268439028175
17,46.63,55.28,45.87,50.49,471302,40.92,,,,,,5.3314606407669025
18,50.67,54.26,48.87,49.86,333560,41.86,,,,,,5.3356420235692665
19,49.94,51.48,48.55,50.75,178396,43.71,48.94,,,24.327857575529414,72.66481463430576,5.163810450457176
20,48.14,49.3195,46.755,47.49,109982,44.79,47.64,,,26.14281747372769,68.7775305834348,5.080323989710235
21,47.22,49.96,46.5,49.72,120990,46.19,46.69,,,28.16288623358024,64.76669629695861,4.96458656187379
22,48.66,50.595,46.59,47.9,104630,47.36,45.71,,,30.67691517631678,60.631774130801354,4.89604466459709
23,50.56,51.94,49.085,51.63,103304,48.61,45.55,,,31.170951219804547,59.61410524717162,4.834898617125869
