,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,41.37,42.89,40.19,42.76,384523,,,,,,,2.700000000000003
1,42.77,44.05,41.45,41.99,310926,,,,,,,2.6928571428571453
2,42.79,43.73,41.88,43.57,224571,,,,,,,2.6326530612244916
3,42.38,43.24,41.5754,42.83,289550,,,,,,,2.5870778425655994
4,41.49,42.11,40.16,41.3,294794,,,,,,,2.593000853810914
5,38.21,39.15,36.99,37.02,529646,,,,,,,2.715643649967277
6,38.27,41.02,37.46,40.92,470431,,,,,,,2.8073833892553286
7,39.56,40.54,37.555,38.53,885538,,,,,,,2.8472131471656623
8,35.73,38.0,33.0,35.92,789792,40.54,,,,,,3.038840779510972
9,37.97,38.74,35.46,36.76,899560,39.87,,,,,,3.0560664381173317
10,33.57,34.68,31.5801,32.1,775260,38.77,,,,,,3.207768835394665
11,32.48,33.6078,30.28,30.6,612969,37.33,,,,,,3.216342490009332
12,28.68,29.3057,18.88,21.78,1529046,34.99,,,,,,3.8237465978658083
13,21.62,31.15,21.45,30.02,848811,33.74,,,,,,4.243478983732536
14,30.13,31.98,27.34,28.52,691720,32.79,,,,,,4.271801913465927
15,28.29,28.69,24.71,25.37,1054685,31.07,,,,,,4.250958919646933
16,26.83,30.91,26.83,30.58,443122,30.18,,,,,,4.343033282529294
17,30.52,32.58,29.7,30.66,503102,29.6,,,,,,4.238530905205773
18,30.9,32.08,27.28,27.5,1340832,28.57,,,,,,4.278635840548218
19,26.64,27.56,24.91,25.01,596494,27.78,34.19,,,18.12144406273402,47.509819426878956,4.162304709080488
20,25.22,27.42,23.82,27.25,656058,27.41,33.41,,,17.29818324689292,46.95469951636422,4.122140087003311
21,27.29,28.42,26.02,27.24,1217796,28.02,32.67,,,17.10684102321256,45.85236382598988,3.9991300807887895
22,26.49,26.49,23.85,23.92,565188,27.34,31.69,,,16.90619391574085,44.72735123832338,3.9556207893038757
23,23.82,25.78,23.59,25.08,776239,26.96,30.8,,,16.937578027173515,43.48788228375851,3.8295050186393134
24,25.08,25.16,23.55,24.17,644070,26.82,29.95,,,17.07817683145342,42.27712213637404,3.670968945879362
25,25.12,27.17,25.12,27.05,698352,26.43,29.45,,,17.21298456328731,41.34952069991486,3.623042592602265
26,28.0,29.87,28.0,28.81,1178628,26.23,28.84,,,17.81932928649941,39.73736113952204,3.565682407416389
27,29.26,31.15,28.78,30.72,686976,26.58,28.45,,,18.711625146376665,38.031675913371515,3.4802765211723607
28,31.65,32.45,30.92,31.09,559976,27.26,28.21,,,18.90360410782165,36.959570540701804,3.3552567696600493
29,31.03,31.14,29.78,30.56,249263,27.63,27.9,,,19.644181280516783,35.29295129595201,3.2127384289700456
30,31.49,31.9274,30.4,30.92,349989,28.04,27.84,,,19.762456650773892,34.76751965052335,3.0923571126150424
31,29.81,31.69,29.37,30.99,1410968,28.82,27.86,,,19.82359293969419,34.42835219528918,3.037188747428254
32,31.26,31.55,29.65,30.66,649730,29.44,28.31,,,21.20495339087029,34.611726291149694,2.955960979754807
33,31.91,32.3056,30.49,31.15,1503354,30.22,28.36,,,22.014749217674673,34.76582400670304,2.8745066240580353
34,31.26,31.965,30.51,31.61,890608,30.72,28.52,,,21.966482441948507,34.76369782365402,2.7731132937681755
35,30.42,31.04,29.61,29.94,907784,30.85,28.75,,,22.274248390333195,34.880282910930646,2.717890915641877
36,30.47,31.59,30.44,31.215,916251,30.9,28.78,,,22.32306471392531,34.95176076287626,2.641612993096029
37,31.25,31.685,30.85,31.25,509815,30.92,28.81,,,22.272818540147007,34.82361057007502,2.5125692078748836
38,31.22,32.08,30.85,32.03,1365191,31.08,29.03,,,22.301149519722518,34.82361057007502,2.420957121598106
39,32.04,33.585,32.04,33.13,757808,31.33,29.44,,,22.586958199142597,35.252519121779955,2.3591030414839556
