,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,80.9,83.99,80.59,82.49,230501,,,,,,,3.3999999999999915
1,81.48,83.807,79.22,81.12,265750,,,,,,,3.4847857142857066
2,79.06,83.64,78.79,83.26,312036,,,,,,,3.582301020408156
3,79.34,82.5,78.44,80.1,615700,,,,,,,3.6707080903790024
4,81.77,83.2,76.33,81.0,220387,,,,,,,3.899228941066217
5,79.6,91.73,79.04,89.49,1345428,,,,,,,4.527141159561487
6,88.87,88.87,76.03,81.31,1422698,,,,,,,5.165202505307095
7,83.38,84.81,76.55,78.27,948762,,,,,,,5.386259469213732
8,76.8,85.0,73.01,74.27,1711290,81.26,,,,,,5.857955221412751
9,77.46,97.89,74.66,93.08,1193581,82.43,,,,,,7.126672705597555
10,90.49,96.125,83.3,91.445,1466218,83.58,,,,,,7.533696083769159
11,93.0,100.42,89.1,91.84,661864,84.53,,,,,,7.8041463634999335
12,92.15,94.62,86.18,88.59,1094958,85.48,,,,,,7.849564480392795
13,90.05,93.0,85.1259,88.75,1502920,86.34,,,,,,7.851317017507595
14,93.22,95.195,81.74,85.7,948202,85.92,,,,,,8.251580087685625
15,84.94,84.97,79.18,79.83,598496,85.75,,,,,,8.12789579570808
16,79.97,92.99,78.16,88.95,3708946,86.94,,,,,,8.606617524586074
17,97.08,98.49,91.155,94.31,1160670,89.17,,,,,,8.673287701401355
18,96.03,105.63,93.41,103.64,948862,90.34,,,,,,8.926624294158401
19,104.0,106.56,95.01,97.5,1436334,91.01,86.75,,,69.12045803218756,106.94649600709636,9.114008273147086
20,95.64,103.0,92.76,97.82,553493,91.68,87.51,,,68.82425526756548,108.24616790762187,9.19443625363658
21,97.99,98.38,90.53,94.94,907530,92.38,88.2,,,69.00252926567504,108.5985297740495,9.098405092662539
22,94.32,95.5879,92.52,94.77,826102,93.05,88.78,,,69.2020303796674,108.51495089022512,8.66765472890093
23,98.1,98.22,94.35,96.16,1344270,94.21,89.58,,,69.45325538582001,108.36641269897463,8.324965105408006
24,97.63,98.0,86.35,87.55,1398804,95.07,89.91,,,70.42981043642874,108.03474585069385,8.562467597878864
25,87.7,95.23,86.2975,93.58,1313154,95.59,90.12,,,71.05044085245777,108.08701365081302,8.58889848374466
26,94.34,96.0,90.2,95.64,976908,95.73,90.83,,,72.29565004138038,108.02709628325474,8.38969144919147
27,95.78,99.51,94.2,98.53,371257,95.17,91.84,,,73.46510765069371,107.62347662472679,8.169713488534939
28,100.12,102.555,96.015,98.75,438667,95.3,93.07,,,75.71800411890018,107.27692825912933,8.053305382211015
29,98.29,102.24,96.0505,101.7,2147311,95.74,93.5,,,78.01821714337174,107.71359120936208,7.920176426338799
30,102.62,110.52,101.7,109.8,1248472,97.39,94.42,,,77.94683618618781,109.89766773240731,7.984449538743171
31,113.37,113.75,107.01,107.75,2339553,98.83,95.21,,,76.66085025957194,112.43739115221479,7.895560285975802
32,108.0,110.865,107.07,109.11,1893082,100.27,96.24,,,76.17906585883205,114.03235004415103,7.602663122691816
33,109.0,113.94,106.125,112.94,974926,103.09,97.45,,,76.36668312516171,115.96818631326254,7.617830042499544
34,115.21,124.17,114.18,123.7,3144962,106.44,99.35,,,76.36058043809957,120.3545967569223,7.875842182321005
35,125.0,130.5,123.66,124.94,1606495,109.69,101.6,,,75.86574658489178,124.69800692991267,7.8018534550123615
36,125.25,136.52,124.71,134.6,2658315,113.7,103.89,,,76.64584066661621,130.60633907379355,8.088149636797194
37,139.64,143.97,135.16,138.0,4041938,118.06,106.07,,,74.05254833713094,137.70182367542733,8.179710377025966
38,139.97,140.07,130.28,134.15,729349,121.67,107.6,,,73.30288151647673,142.50251662303958,8.294731064381253
39,135.53,140.69,132.84,139.72,487347,124.99,109.71,,,72.69675529499168,146.79116650916083,8.262964559782592
40,138.18,142.17,136.26,139.0,640336,128.46,111.77,,,72.59944259797055,150.84220469846392,8.094895662655263
41,136.29,139.44,134.31,139.24,448407,131.81,113.98,,,73.72813989673217,153.66062589287372,7.88311740103703
42,138.9,143.45,136.56,138.98,710098,134.7,116.19,,,74.91341479421254,156.49408593841812,7.812180443820099
43,140.19,141.72,138.02,141.05,428278,136.63,118.44,,,76.24946549439203,158.61812449737775,7.51845326926152
44,141.74,146.05,139.2171,142.92,525922,138.63,121.2,,,79.60646081760163,160.90079813339452,7.469485178599984
45,155.12,163.48,148.02,153.08,1055333,140.68,124.18,,,83.00303530342714,165.8190523871586,8.404521951557129
46,155.0,159.1358,152.3825,158.52,946146,142.96,127.32,,,86.0559015860165,168.59968019159533,8.286577526445905
47,189.25,210.81,187.5,209.03,3702759,151.28,132.85,,,83.03897910965345,185.89453628887037,11.429679131699768
48,207.89,208.0,182.4901,182.52,2308421,156.04,137.04,,,83.52839699813677,198.143384929257,12.50898062229264
49,187.0,191.04,164.0,178.99,4337652,160.48,140.9,110.25,,87.93189817120488,203.66897276476146,13.546910577843166
50,173.8,192.0,173.8,185.72,4199182,165.65,144.7,112.31,,91.25671978305706,208.8267502505292,13.879274107997224
51,191.71,199.72,188.62,197.1,1580445,172.1,149.17,114.63,,92.83286750941343,214.6328549607345,13.887897385997423
52,201.1,201.97,177.6001,182.86,2951640,176.75,152.85,116.62,,97.01451405575625,219.2678831811914,14.63661185842618
53,186.12,187.95,179.01,185.98,638162,181.53,156.5,118.74,,102.41576604836226,220.52483998466752,14.229711011395738
54,189.03,191.83,185.26,186.68,620537,185.27,159.65,120.86,,106.60003393298565,222.4665842546384,13.682588796296045
55,187.0,189.41,179.07,180.63,673069,187.72,162.44,122.68,,110.25092488584305,223.8567086707886,13.443832453703472
56,180.5,180.7,171.6401,173.37,878177,183.76,164.38,124.52,,114.62965530885386,224.1925112346381,13.13069442129608
57,174.01,174.78,156.77,160.73,2645890,181.34,165.51,126.17,,117.09531853574308,224.24872759056774,13.479216248346361
58,157.05,158.695,147.7,157.5,1353338,178.95,166.68,127.83,,119.82636257121929,223.39300471460643,13.44712937346448
59,155.47,172.4012,155.43,167.43,974831,176.92,168.07,129.32,,122.98981937080873,222.6107520250845,13.6988487039313
60,170.11,175.41,169.5,174.85,1727884,174.45,169.86,130.99,,126.43528795075736,221.75386034623097,13.29035951079335
61,174.71,176.8311,172.16,174.89,1234248,173.56,171.64,132.65,,130.79733176550286,220.15888962244486,12.674698117165255
62,173.31,174.34,166.3,168.64,598497,171.64,173.12,134.25,,135.03986540542965,218.44938148839702,12.382933965939165
63,167.35,168.19,158.2,159.87,1432678,168.66,174.07,135.67,,138.72548454049405,215.89758842171057,12.244152968372081
64,157.8,164.4376,156.145,157.04,592953,166.04,174.77,137.1,,142.2071052677371,213.74657402914195,11.961899184916932
65,154.34,154.91,147.28,153.67,2207718,163.85,174.8,138.58,,142.046865328014,214.58223827738917,11.804620671708578
66,151.82,157.7269,148.18,156.13,1425464,163.34,174.68,139.92,,141.2372504357761,214.71960714028,11.64335490944368
67,155.26,160.01,154.39,155.81,1243464,163.15,172.02,141.15,,140.48165663593963,210.48429823135916,11.213115273054846
68,158.0,167.745,157.95,166.76,1800009,163.07,171.23,142.41,,140.08760369022116,205.69299323992615,11.264678467836644
69,165.21,170.99,158.4,158.895,1024160,161.3,170.23,143.64,,139.61725830726306,204.01884117720306,11.359344291562598
70,162.0,167.75,159.455,167.4,299104,160.47,169.31,145.03,,139.1155264842872,201.97793132306217,11.180462556450983
71,179.53,204.95,178.475,203.4,2730620,164.33,169.63,147.2,,140.29536739852813,203.32786252909713,13.064000945275911
72,208.55,209.0,193.33,207.24,2843525,169.59,170.85,149.45,,138.2887057704696,205.22104148732208,13.250143734899059
73,206.9,217.99,206.14,207.17,2544065,175.16,171.91,151.67,,134.31509277213607,211.95205419219042,13.150133468120556
74,208.48,217.77,207.13,208.18,1459657,181.22,172.98,154.08,,131.380552702015,217.2645858228777,12.970838220397662
75,209.2,217.4899,207.04,210.37,2045479,187.25,174.47,156.42,,128.85386029016678,222.22167291845113,12.790771204654972
76,211.52,212.99,202.29,209.86,1209657,193.25,176.29,158.7,,127.6210041098445,226.3813192505804,12.641430404322476
77,211.51,216.75,205.595,207.38,754036,197.77,178.62,160.88,,127.74314031473642,231.04723105602903,12.535256804013729
78,205.34,210.0,197.63,200.41,937787,202.38,180.77,162.91,,130.50732638693424,233.5549746437704,12.523452746584178
79,201.18,207.88,198.01,207.88,774765,206.88,182.79,165.04,,132.51483919794262,235.85397371285464,12.333920407542452
80,210.38,222.28,206.85,221.0,1934108,208.83,185.1,167.26,,132.64488170953618,240.20607959539092,12.555068949860848
81,227.45,228.0,208.22,210.36,1134364,209.18,186.87,169.31,,132.80163212352986,245.0994256026572,13.071135453442217
82,211.38,226.39,211.38,223.6,1007313,211.0,189.62,171.6,,133.71876139162543,249.04131434809958,13.282482921053486
83,224.0,225.82,213.3488,220.68,989086,212.39,192.66,173.76,,136.17358035464792,252.0132127751059,13.224534140978236
84,219.91,229.26,218.75,227.04,859595,214.25,196.16,175.83,,139.2984101996482,254.53757950831564,13.030638845194074
85,227.5,236.7599,226.8,235.58,874628,217.1,200.26,178.04,,144.62001635808247,256.1464609814318,12.811300356251639
86,228.18,228.5,218.16,224.73,1200968,219.03,203.69,179.84,,151.77613754211737,255.38443140754245,13.140493187947952
87,228.97,243.68,228.97,237.72,1191248,223.18,207.78,181.84,,157.90655651571305,255.9539754687878,13.555457960237385
88,240.0,248.0,232.62,245.2,630472,227.32,211.7,184.06,,164.23945610505646,257.0129940728428,13.685782391649001
89,245.39,247.22,242.02,246.49,475134,230.16,216.08,186.19,,171.08708873378697,256.6152568062562,13.079655077959785
90,250.26,254.31,233.33,234.3,855360,232.82,219.43,188.1,,181.00180806471582,254.13792455142226,13.643965429534086
91,234.02,241.24,224.15,239.65,778402,234.6,221.24,190.11,,187.16114964074387,255.13026785881738,13.890110755995938
92,242.45,247.81,236.43,246.02,555227,237.41,223.18,192.25,,189.41259215304925,257.1777795478837,13.710817130567657
93,245.93,246.89,238.01,242.99,295192,239.19,224.97,194.29,,189.77521844269137,259.2022249677097,13.365758764098539
94,244.29,268.2099,243.56,267.0,1059667,242.68,227.91,196.77,,189.8480271094413,265.6247809842538,14.2124831380915
95,272.7,277.67,259.41,260.8,1234437,246.69,230.43,198.92,,188.23360757626799,273.37352755674993,14.501591485370678
96,263.01,264.45,257.32,258.48,710728,248.99,232.87,200.92,,188.95202731189687,276.3644683263113,13.975049236415629
97,259.97,271.02,257.87,263.76,701222,251.05,235.68,202.02,,189.9552062677734,280.2598640045451,13.916117148100225
98,263.75,272.68,255.31,257.53,513180,252.28,238.54,203.52,,193.69107978431558,282.8840634239416,14.162823066093068
99,245.0,259.59,245.0,255.4,463448,254.63,240.92,205.04,,198.88893506962071,281.92216705688946,14.193335704229275
100,261.35,266.91,258.5,259.62,639411,256.84,242.85,206.52,,201.95208699813335,283.19655956363925,14.001668868212901
101,259.1,260.22,253.29,255.03,319698,257.85,245.08,207.68,,205.8992869963119,283.6051854652032,13.496549663340554
102,255.26,261.89,253.77,259.47,408086,259.68,246.87,209.21,,209.80726816113335,283.6037343719826,13.11251040167337
