,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,38.56,38.56,36.37,37.45,1227565,,,,,,,2.190000000000005
1,37.56,37.8,35.48,35.98,1069681,,,,,,,2.199285714285719
2,36.42,36.96,35.47,36.82,901571,,,,,,,2.1486224489795966
3,35.65,36.23,34.52,34.83,1530101,,,,,,,2.1594351311953397
4,33.4,35.1,33.155,34.44,1880406,,,,,,,2.1441183361099583
5,32.08,32.41,30.13,30.84,1817382,,,,,,,2.2988241692449614
6,32.87,34.5567,32.055,34.005,2131218,,,,,,,2.400101014298893
7,33.56,33.57,31.32,31.52,2167332,,,,,,,2.4204509418489724
8,29.24,30.12,27.57,28.6,2393122,33.83,,,,,,2.5297044460026172
9,30.04,30.89,26.31,30.87,1632100,33.1,,,,,,2.676154128431002
10,27.36,27.8735,24.75,27.19,2496742,32.12,,,,,,2.9221431192573593
11,27.65,31.42,26.435,30.93,1627908,31.47,,,,,,3.069490039310405
12,27.99,32.2,27.69,31.2201,2253216,31.07,,,,,,3.1723836079310908
13,30.86,32.49,28.59,28.81,1765940,30.44,,,,,,3.2243562073645844
14,28.84,29.27,25.53,26.39,2942094,29.95,,,,,,3.2611879068385425
15,26.3,26.37,23.41,25.06,2421496,28.95,,,,,,3.2411030563500756
16,26.36,28.6,25.81,26.5101,1721272,28.4,,,,,,3.2624528380393563
17,26.87,28.94,25.54,26.82,2213404,28.2,,,,,,3.2722776353222596
18,27.09,28.19,26.515,27.73,2006754,27.85,,,,,,3.1581863756563844
19,26.11,27.09,25.06,26.49,1383512,27.77,30.63,,,20.81772877356711,39.315689931735655,3.1233159202523573
20,26.5,27.33,25.3,26.16,1761122,27.24,30.06,,,20.856611856205916,38.32762016742471,3.0452219259486175
21,26.07,27.09,26.005,26.44,1955018,26.71,29.58,,,21.047697596658296,37.342589113909376,2.905206074095145
22,25.33,25.82,24.47,24.6,1291882,26.24,28.97,,,21.261671757726695,36.477935737042515,2.838405640231206
23,24.16,24.83,23.21,24.01,2768396,25.98,28.43,,,21.35595591413153,35.69645947752272,2.7513766659289773
24,23.9,24.16,22.62,22.93,2102418,25.74,27.86,,,21.331387920401383,35.07379601601292,2.664849761219765
25,23.84,26.12,23.8,25.94,2132898,25.68,27.61,,,21.203759746312198,34.700497099009404,2.70236049256121
26,27.09,28.86,26.32,27.33,3029096,25.74,27.28,,,21.79213408096207,33.7638977261148,2.717906171663981
27,27.71,29.17,27.275,28.84,1378728,25.86,27.14,,,22.4390585213295,32.99533380135983,2.659127159402268
28,29.31,31.8,29.31,31.32,1966914,26.4,27.28,,,22.219116376593995,33.2711833517462,2.6806180765878205
29,31.53,31.64,30.0801,30.73,1496112,26.9,27.27,,,21.896747878561534,33.39973848906595,2.600566785402976
30,31.86,31.9999,30.09,30.17,1673548,27.32,27.42,,,21.7868768728085,33.841590755809555,2.551233443588478
31,29.4,29.4,27.95,28.26,1029442,27.73,27.29,,,21.790061166295253,33.59117134066268,2.5275739119035867
32,28.35,28.42,26.77,27.51,1364638,28.11,27.1,,,21.78898181730753,33.10232579495651,2.4648900610533304
33,28.54,29.21,28.06,28.21,1301194,28.7,27.07,,,21.81756544500396,32.54908323267983,2.410255056692378
34,27.51,27.76,26.29,26.54,1022164,28.77,27.08,,,21.865358436829226,32.44877252865865,2.3752368383572087
35,25.79,26.56,25.52,26.35,1150040,28.66,27.14,,,22.157753708747546,32.44265050515862,2.279862778474551
36,27.05,27.05,26.255,26.48,779264,28.4,27.14,,,22.186304929191632,32.38681485742163,2.1738011514406548
37,26.79,28.2832,26.61,27.63,1212690,27.99,27.18,,,22.254742783600534,32.33611941124124,2.1473296406234654
38,28.11,28.11,27.43,27.87,1593894,27.67,27.19,,,22.273741464360135,32.33167708847305,2.0425203805789325
39,28.75,30.8,28.22,30.36,2513930,27.69,27.38,,,22.409386545442242,32.66323200628103,2.1059117819661517
40,31.46,31.78,30.68,30.69,2255846,27.96,27.61,,,22.345052394379945,33.13657424892829,2.056918083254284
41,30.61,35.54,30.46,34.89,4603506,28.78,28.03,,,22.310073383747607,34.47763336716955,2.2728525058789777
42,34.07,35.55,33.01,35.35,3775650,29.57,28.57,,,22.215948255262052,35.512618744838846,2.2919344697447652
43,34.38,35.08,33.31,34.95,2223648,30.51,29.12,,,22.519683198304666,36.14535118785254,2.2739391504772817
44,34.33,34.35,31.39,32.77,2058336,31.22,29.61,,,23.384634057577625,36.35231460008643,2.3658006397289046
45,33.8,34.545,33.72,33.9,1481774,32.05,30.01,,,23.851603879006174,36.69824008992437,2.323600594033983
46,34.41,34.53,32.28,32.38,1664618,32.57,30.26,,,24.09720272232727,37.133053769223885,2.318343408745841
47,32.85,33.62,32.46,33.15,1171744,33.16,30.48,,,24.250815323734102,37.387169714643534,2.241318879549709
48,33.95,35.86,33.73,35.5,1826360,33.73,30.68,,,24.142394743443077,37.92200480004825,2.2747961024390158
49,35.33,35.57,33.76,33.81,1300940,34.08,30.84,29.95,,24.040125011999503,38.37165767385057,2.241596380836229
50,33.96,34.1,32.03,32.04,1075628,33.76,30.93,29.84,,24.060140764878813,38.56204886426734,2.229339496490784
51,31.61,31.8194,29.33,29.74,1342966,33.14,31.01,29.72,,24.197620848656967,38.587602466140424,2.263672389598585
52,29.11,30.75,27.93,30.73,1268826,32.67,31.17,29.6,,24.370981444545038,38.5249361340095,2.303410076055829
53,29.62,30.34,29.4013,29.92,730934,32.35,31.25,29.5,,24.508505250842685,38.496586772970666,2.2337879277661274
54,31.39,33.62,31.3061,33.42,1325598,32.3,31.6,29.48,,25.04882755057956,38.48202564419435,2.338517361497118
55,33.39,33.48,31.59,31.6,824322,32.21,31.86,29.49,,25.859164022603935,38.18496155634088,2.3064804071044667
56,32.12,32.99,31.2745,31.56,1267956,32.04,32.11,29.44,,26.589067497918247,37.778066839800765,2.2642675208827194
57,31.5,32.46,31.23,31.34,917668,31.57,32.3,29.44,,27.33368230756954,37.44223765720251,2.190391269391097
58,31.7,31.72,30.41,31.09,719622,31.27,32.46,29.49,,27.88748676689257,36.94953554809256,2.1275061787203042
59,32.86,34.495,32.29,34.06,1399086,31.5,32.64,29.55,,28.40550974032536,36.936697437050064,2.2187557373831397
60,35.4,36.06,33.91,34.93,1205914,32.07,32.86,29.71,,28.43383812523448,37.205241487473415,2.2138446132843446
61,35.26,35.54,34.24,34.65,1422050,32.51,32.84,29.78,,28.501295763517223,37.20524148747342,2.1485699980497484
62,34.0,34.7,33.76,34.27,1058292,32.99,32.79,29.84,,28.47328722367523,37.09202279664426,2.062243569617624
63,34.19,35.46,33.86,35.39,937208,33.21,32.81,29.98,,28.44804558217032,37.14657290029598,2.0292261717877937
64,35.78,37.79,35.26,36.78,2274326,33.79,33.01,30.18,,28.36878437726247,37.7618070713651,2.0649957309458085
65,37.72,39.5,37.36,38.53,1294642,34.56,33.24,30.45,,27.944767071042936,38.74393073559851,2.111781750163965
66,38.15,39.78,37.48,39.74,1177306,35.49,33.61,30.72,,27.65087638462471,39.64617191334968,2.125225910866539
67,41.31,43.29,40.98,42.2,1827492,36.73,34.06,31.03,,26.83536599179546,41.43540720335105,2.226995488661786
