,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,22.02,22.67,21.69,21.69,1543988,,,,,,,0.9800000000000004
1,21.19,21.74,20.82,21.26,2536312,,,,,,,0.9757142857142861
2,21.33,22.73,21.25,22.73,2078357,,,,,,,1.0117346938775513
3,22.68,23.375,22.43,23.01,3512504,,,,,,,1.006967930029155
4,23.27,23.72,22.905,23.38,2241471,,,,,,,0.9932559350270723
5,22.84,23.45,22.65,22.92,2845578,,,,,,,0.9794519396679958
6,22.2,23.165,22.07,22.55,4976262,,,,,,,0.9877053725488532
7,20.5,21.57,19.87,20.68,3668536,,,,,,,1.1085835602239351
8,21.32,21.645,20.25,20.415,5324046,22.07,,,,,,1.1290418773507969
9,19.92,20.35,18.4,18.81,6604628,21.75,,,,,,1.1923246003971686
10,17.48,18.81,16.7,17.87,5235030,21.37,,,,,,1.257872843225942
11,18.81,19.54,17.695,18.41,7439490,20.89,,,,,,1.2998104972812319
12,16.15,17.67,15.44,15.61,6261920,20.07,,,,,,1.4191097474754297
13,15.87,16.44,14.83,16.44,7753098,19.3,,,,,,1.432744765512899
14,15.39,15.39,11.33,12.65,6162392,18.16,,,,,,1.6954058536905492
15,12.43,18.219,11.67,17.37,8461888,17.58,,,,,,2.04209114985551
16,17.51,17.85,14.02,14.11,7005800,16.85,,,,,,2.1697989248658307
17,13.86,13.86,10.385,10.615,6146766,15.76,,,,,,2.2808847159468426
18,11.95,12.64,11.15,11.57,5221256,14.96,,,,,,2.262607236236354
19,11.61,13.645,11.51,13.2,8046844,14.44,18.26,,,8.406970988148498,26.5976870272991,2.253492433648043
20,13.34,16.09,13.25,15.82,4344370,14.15,17.97,,,8.050304771146559,26.24537068618859,2.29895725981604
21,15.5,15.5,14.35,14.68,2910280,14.05,17.64,,,7.8527745874883195,25.991730420249212,2.2397460269720373
22,14.66,14.67,13.105,14.0,2437390,13.78,17.21,,,7.598330200283312,25.560771254161015,2.192264167902606
