,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,51.17,52.53,50.25,50.76,1095252,,,,,,,2.280000000000001
1,48.89,50.5,48.74,50.35,1967863,,,,,,,2.2614285714285725
2,50.71,51.07,49.06,51.04,1179436,,,,,,,2.243469387755103
3,50.92,51.81,48.12,48.43,1308019,,,,,,,2.346793002915453
4,49.28,50.33,48.13,50.18,1345633,,,,,,,2.3363077884214922
5,48.58,49.53,47.4,47.71,1618396,,,,,,,2.368000089248529
6,46.27,49.14,46.11,49.06,3628730,,,,,,,2.4152857971593487
7,45.84,47.63,44.1,44.67,3770992,,,,,,,2.597051097362252
8,46.28,48.13,43.825,48.095,2866524,48.92,,,,,,2.719047447550663
9,46.59,47.1078,45.91,46.51,3315606,48.45,,,,,,2.6809012012970443
10,43.76,46.02,42.865,43.555,3215196,47.69,,,,,,2.749765401204398
11,45.95,47.28,44.21,47.22,2330630,47.27,,,,,,2.819425015404084
12,41.84,45.1075,41.54,43.44,2443480,46.72,,,,,,3.0237518000180783
13,44.27,44.69,40.04,41.46,2746124,45.75,,,,,,3.1399123857310727
14,38.77,39.95,35.93,39.37,2514586,44.82,,,,,,3.310632929607425
15,38.55,40.86,36.72,38.2,2192210,43.61,,,,,,3.369873434635466
16,38.85,38.85,34.38,35.0,2730468,42.54,,,,,,3.4484539035900754
17,34.6,35.64,32.38,34.2501,3359274,41.0,,,,,,3.4349929104764985
18,35.77,39.48,35.42,39.17,3809518,40.19,,,,,,3.563200559728177
19,39.24,42.47,37.11,39.81,3254274,39.77,44.41,,,31.446441395641298,55.66399933674135,3.6915433768904498
20,40.43,43.745,38.835,43.43,3735946,39.35,44.05,,,31.363258431012476,54.74859769041723,3.778575992826846
21,41.59,42.38,38.84,38.93,3006930,38.85,43.48,,,31.265282466686173,54.12341790530056,3.836534850482071
22,39.19,41.96,39.01,40.25,3635180,38.71,42.94,,,31.343040381355422,53.30473134444584,3.7789252183047806
23,39.77,40.47,37.05,37.75,3000272,38.53,42.4,,,31.236603506803228,52.22362129433601,3.753287702711582
24,36.18,38.29,35.38,38.15,3565266,38.53,41.8,,,31.070433751753704,51.44237331797402,3.6930528668036118
25,37.68,39.27,37.06,37.84,3152936,38.84,41.31,,,31.233043320975007,50.593158551526614,3.5871205191747824
26,38.03,38.58,37.27,37.97,3223470,39.26,40.75,,,31.4058595128622,49.7089066069733,3.4244690535194406
27,38.22,38.93,35.2346,38.12,8641462,39.14,40.43,,,31.214895892316036,48.992509862364166,3.443821263982338
28,39.91,41.2087,39.18,40.17,5951852,39.18,40.03,,,31.424302362965324,48.021518164884306,3.4184554594121717
29,39.85,41.73,39.7,41.39,2712306,38.95,39.77,,,32.09753909631503,47.210359591281446,3.319280069454159
30,42.37,43.96,41.88,43.24,2902262,39.43,39.76,,,32.2107901331606,46.827372674010626,3.265760064493148
31,42.79,43.2,40.25,40.97,3402098,39.51,39.45,,,32.716554741835566,45.95259359815436,3.246062917029352
32,41.47,42.325,40.88,41.74,3257818,39.95,39.36,,,32.78481350633739,45.474268659455234,3.1174155658129696
33,40.49,41.91,39.53,41.25,3295454,40.3,39.35,,,32.80767276719496,45.007531293642764,3.0647430253977572
34,41.3,41.3,38.95,40.44,2358094,40.59,39.4,,,32.99026992336236,45.06369450824461,3.01368995215506
35,41.85,43.395,41.51,43.26,2840390,41.18,39.66,,,32.97362856603516,45.3434352526466,3.0094978127154133
36,41.37,42.63,41.11,41.2,3166708,41.52,39.97,,,33.428896104864236,45.47600960040374,2.9481051118071693
37,39.39,41.62,39.27,41.26,3231086,41.64,40.32,,,34.642730926296906,44.91592800165228,2.9053833181066566
38,42.19,42.38,40.97,41.36,2287174,41.64,40.43,,,35.10330940046491,44.95649417600212,2.7985702239561814
39,42.36,44.2,42.005,43.77,3595268,41.69,40.62,,,35.22050455119304,45.222445430882814,2.8015294936735975
40,45.0,46.95,42.635,44.07,5815548,42.04,40.66,,,35.12976367390642,46.01044594739191,2.9096345298397694
41,44.32,45.86,44.29,45.5,2569032,42.46,40.98,,,34.88314438485126,46.55382208224875,2.8296606348512143
42,46.44,47.44,45.695,46.3,2456170,43.02,41.29,,,34.52304760085268,47.4355764048132,2.766113446647556
43,47.51,48.68,47.2,48.3,2869032,43.89,41.82,,,34.34011308154688,48.50416419156931,2.73853391474416
44,46.84,47.67,46.68,47.27,2681324,44.34,42.27,,,34.810251024391526,48.99099914453965,2.658638635119577
45,46.4,46.52,43.97,44.37,2668116,44.69,42.6,,,35.32616651017004,49.234938052879585,2.704450161182465
46,44.0,44.54,43.37,44.18,2560812,45.01,42.91,,,35.899435412608426,49.047971872050326,2.5948465782408605
47,44.83,45.52,44.22,44.35,1943852,45.35,43.22,,,37.11949743733744,48.88655599423513,2.505214679795085
48,44.62,44.76,43.7,43.86,1496474,45.36,43.4,,,37.50605933479536,48.86138806941253,2.4019850598097214
49,44.65,45.68,44.65,45.16,1812794,45.48,43.59,43.08,,37.82653373435703,48.92417301528098,2.360414698394741
50,45.54,47.54,45.54,47.38,2223531,45.69,43.8,43.02,,37.85504115791951,49.29334483460512,2.361813648509403
51,46.86,46.98,46.22,46.43,1891662,45.7,44.07,42.94,,38.0870469750995,49.532293902357424,2.275969816473017
52,46.37,46.86,44.81,44.86,1871040,45.32,44.23,42.81,,38.34524578608734,49.672617210589685,2.259829115296373
53,44.53,44.53,43.22,43.55,2159010,44.9,44.34,42.72,,38.8583943422943,49.55858383330095,2.2155556070609177
54,42.85,44.62,41.82,44.62,2308732,44.93,44.55,42.6,,39.43715789887255,49.31992374375284,2.2573016351279946
55,44.18,45.55,44.18,45.14,2399618,45.04,44.65,42.55,,39.68799968591241,49.30957741618397,2.1939229469045665
56,46.9,48.89,46.8086,48.51,2019850,45.5,45.01,42.54,,39.96148034721539,49.64930715080367,2.3050713078399547
57,47.72,49.08,47.72,48.17,1770072,45.98,45.36,42.61,,40.73704877969404,49.73262484826424,2.2375662144228152
58,48.66,50.28,48.66,48.99,1636904,46.41,45.74,42.63,,41.062591240385956,50.08962200880574,2.228454341964043
59,49.43,49.91,48.42,48.5,1314373,46.53,45.98,42.67,,41.31916168445429,50.4787853870671,2.175707603252325
60,48.11,48.31,47.315,47.41,1804364,46.64,46.14,42.75,,41.6387125900775,50.60248552682884,2.104942774448588
61,48.85,51.55,48.85,50.63,2845544,47.28,46.4,42.81,,41.61358478041182,51.38045739174875,2.2503040048451175
62,51.75,52.43,51.11,51.78,1944734,48.19,46.67,42.98,,41.203669929262745,52.23699824635349,2.2181394330704665
63,52.37,52.45,51.11,51.43,1604324,48.95,46.83,43.18,,40.880985446658215,52.89983577785853,2.155415187851148
64,50.89,51.24,49.71,50.78,2151144,49.58,47.0,43.41,,40.79425538570201,53.31533350491128,2.1243141030046373
65,50.89,52.315,50.85,51.85,1849496,49.95,47.38,43.68,,40.887979505100226,53.9120252812507,2.0822202385043056
66,52.32,53.34,52.06,53.2,1775932,50.51,47.83,44.05,,41.04682126839808,54.53197618300528,2.0399187928968554
67,54.23,55.3,53.95,55.09,3132944,51.19,48.37,44.46,,40.9497238344948,55.54347573666611,2.0442103076899367
68,54.66,56.61,54.59,55.85,2707246,52.0,48.97,44.8,,41.04396089319251,56.62257050824494,2.042480999997798
69,57.98,60.06,57.62,57.79,4359866,53.16,49.6,45.16,,40.70223081249436,58.48371819999787,2.1973037857122413
70,58.39,60.135,58.39,59.84,2997033,54.18,50.22,45.48,,40.415757969577356,60.081400119561636,2.2078535153042242
71,58.79,58.79,57.27,57.81,2056348,54.85,50.79,45.86,,40.43886793703039,61.09240367483804,2.2337211213539225
72,57.71,57.71,55.36,55.44,1897176,55.29,51.32,46.17,,40.99026819509862,61.73109798569208,2.2491696126857854
73,53.18,53.53,51.07,51.1517,2205426,55.34,51.7,46.43,,42.01568934252598,61.49358345235452,2.400657497493943
74,53.2,53.55,51.61,51.6671,519320,55.32,52.05,46.7,,43.59324116121006,61.10955781745642,2.4004891048158044
75,49.41,51.96,49.245,51.63,2261310,55.14,52.38,46.98,,44.53073848613838,60.64549724034181,2.422954168757533
76,53.48,53.5,51.68,52.37,2319008,54.84,52.57,47.27,,45.141975951838475,60.5634183453423,2.383457442417709
77,52.42,53.54,52.02,52.49,2001630,54.47,52.78,47.56,,45.642889265192565,60.45421973032157,2.3217819108164437
78,51.97,52.9,51.4,51.67,1449148,53.79,52.92,47.79,,45.97042152766723,60.39090431954389,2.2630832029009835
79,52.51,52.51,50.19,51.13,2690752,52.82,53.05,47.98,,46.23669506646196,60.2771143730478,2.2671486884080565
80,50.67,51.51,49.98,51.28,1123867,52.09,53.24,48.14,,46.723357233221115,59.955145428783915,2.2144952106646243
81,52.01,52.42,51.52,51.91,1025913,51.7,53.31,48.36,,47.0876802821972,59.924912785949715,2.137745552760008
82,51.32,51.58,49.4,49.52,1335481,51.52,53.19,48.52,,46.85621284288696,59.95384964892496,2.1643351561342934
83,48.94,50.52,48.46,50.36,1173620,51.37,53.14,48.7,,46.47020373438369,60.047449065237814,2.156882644981844
84,49.85,50.72,49.495,50.59,1207493,51.26,53.13,48.9,,46.43851118517376,60.07979196684633,2.0903195989117123
85,51.11,51.85,50.65,51.85,869045,51.2,53.13,49.07,,46.41738116396423,60.08983578059683,2.0310110561323045
86,51.57,53.04,51.57,52.81,926672,51.24,53.11,49.3,,46.384629051114004,60.084365556904054,1.99093883783714
87,53.22,53.22,51.35,51.47,1155016,51.21,52.93,49.51,,46.295810307750244,59.96389711317739,1.9823003494202014
88,52.22,53.19,51.64,51.73,681678,51.28,52.73,49.72,,46.26039504406657,59.6709445512562,1.9635646101759012
89,52.5,53.11,51.87,52.41,513630,51.41,52.46,49.89,,46.6199182515628,58.53438886968509,1.9218814237347657
90,51.96,51.96,50.55,50.62,671875,51.26,52.0,50.02,,47.300183148376675,57.06935219878375,1.9174613220394252
91,50.68,50.93,49.89,50.53,638090,51.37,51.63,50.12,,48.027917297301435,55.74288189703421,1.8547855133223234
92,50.33,50.435,49.04,49.27,540737,51.25,51.32,50.18,,48.44734148444886,54.44644368344092,1.828729405227872
93,49.76,50.74,49.24,50.67,1289894,51.26,51.3,50.23,,48.28113908538377,54.33249950731617,1.8052487334258813
94,50.93,52.5,50.64,51.57,930890,51.23,51.29,50.31,,48.28840624228902,54.18729212317683,1.8091595381811756
95,51.36,52.04,50.635,51.96,657420,51.14,51.31,50.47,,48.437203498696434,54.19041159949603,1.7802909997396632
96,53.0,54.45,52.75,54.085,829863,51.43,51.4,50.66,,48.32460250746509,54.40795939643732,1.8309844997582587
97,54.31,55.32,53.98,54.66,609960,51.75,51.5,50.87,,48.034467532919216,54.841562554719694,1.7959141783469548
98,54.77,54.77,53.92,54.15,498347,51.95,51.63,51.08,,47.81006615080512,55.15922341098303,1.7283488798936009
99,53.83,54.21,52.83,53.05,742947,52.22,51.72,51.23,,47.832909741285384,55.36563770820237,1.7034668170440581
100,53.27,54.045,53.18,53.59,478157,52.56,51.84,51.36,,47.881207121460385,55.5442790869749,1.6528620443980544
101,53.52,53.97,53.09,53.54,509375,53.03,51.92,51.5,,47.84620886605662,55.68692139595537,1.597657612655336
102,53.13,54.59,53.13,53.85,889317,53.38,52.14,51.68,,48.041418589946716,55.91515334270705,1.5878249260370978
103,54.82,55.14,52.51,52.69,1037418,53.51,52.25,51.86,,48.51181107103517,56.125607289501005,1.6622660027487337
104,52.66,52.82,51.968,52.31,958029,53.55,52.34,52.02,,48.796255755763426,56.04113600974047,1.6043898596952526
