,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,19.77,19.87,18.69,19.55,3385778,,,,,,,1.1799999999999997
1,19.72,19.86,19.0835,19.47,3200163,,,,,,,1.151178571428571
2,19.5,20.35,19.34,19.59,3054284,,,,,18.71043589392164,20.3067261841506,1.1410943877551019
3,19.91,20.83,19.91,20.45,3331792,,,,,19.02145656251396,20.831675257655867,1.148159074344023
4,20.16,20.33,19.79,20.1,2630526,,,,,19.37950041597366,20.78641164994082,1.1132905690337358
5,19.53,19.83,18.215,18.76,2581851,,,,,18.359127387012393,20.83,1.168412671245612
6,17.7201,17.92,16.0,16.0001,8240248,,,,,16.097681810284314,20.63188835988069,1.2820974804423542
7,16.54,16.67,14.79,15.59,4474289,,,,,14.598099024123723,19.731445883465724,1.3248048032679005
8,15.0,15.155,13.205,13.33,15160866,18.09,,,,13.263313515796076,17.96628153490019,1.4005330316059077
9,12.12,12.26,9.47,9.62,10872724,16.99,,,,9.756885304661864,16.93569743606762,1.5762092436340571
10,10.56,10.57,9.015,10.46,11007954,15.99,,,,8.264299115812149,14.980407344994738,1.5746942976601959
11,9.23,9.495,7.425,7.43,9582998,14.64,,,,7.562954259486219,12.16885257470078,1.6790018478273248
12,7.76,8.4299,7.07,7.4,4644330,13.19,,,,6.8008779172909914,10.568353816403643,1.6562088586968016
13,6.95,7.27,5.545,5.92,8030464,11.61,,,,5.681163176489833,9.511136542354716,1.6704082259327444
14,6.02,8.22,5.73,8.01,5528086,10.42,,,,5.282789089232859,8.591351510798255,1.7289504955089772
15,9.01,10.1,8.85,9.05,6614978,9.65,,,,4.8512904330929505,9.970243035046517,1.7547397458297644
16,8.92,9.49,8.375,9.38,6011245,8.96,,,,5.9705931009553925,10.229114174642415,1.709044049699067
17,10.01,10.3483,9.48,10.22,3714020,8.61,,,,8.34735778767118,10.421102851563122,1.6561337604348478
18,10.38,11.49,10.13,10.98,3874338,8.76,,,,8.441057540057512,11.446107567524061,1.6349813489752159
19,11.15,12.15,10.68,11.15,9071904,8.84,13.12,,,9.495972623635401,12.240952375006806,1.6231969669055577
20,10.54,11.52,10.19,11.18,2706831,9.25,12.7,,,10.031616026350042,12.092692903071676,1.6022543264123037
21,11.22,11.345,10.25,11.2,3901768,9.68,12.29,,,10.106063182861472,12.095055770604555,1.5660218745257106
22,11.2,11.28,10.58,10.92,5579460,10.23,11.86,,,10.130000000000194,11.505796974542415,1.5041631692024457
