,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,33.18,34.03,32.64,32.79,1426738,,,,,,,1.3900000000000006
1,32.25,33.27,31.98,32.04,1143480,,,,,,,1.3828571428571437
2,31.19,31.91,29.73,30.31,2517478,,,,,,,1.4490816326530618
3,30.37,31.52,29.69,31.45,2057716,,,,,,,1.4762900874635572
4,31.34,32.39,30.59,30.89,1381734,,,,,,,1.4994122240733032
5,31.45,31.5,30.84,31.29,692019,,,,,,,1.4394542080680672
6,30.23,30.23,29.32,29.7,1881028,,,,,,,1.4773503360632052
7,28.93,30.25,28.76,29.87,3146494,,,,,,,1.4782538834872618
8,28.3,28.96,27.86,28.465,3809828,30.76,,,,28.637151941499454,33.146778767267065,1.5162357489524576
9,29.44,29.53,27.57,29.23,3269638,30.36,,,,28.172981264302564,32.47096969584709,1.5479331954558537
10,28.16,28.33,26.38,26.71,4193180,29.77,,,,27.50124339219519,31.91671318212696,1.6409379672090072
11,25.32,26.71,24.35,24.57,3428928,29.13,,,,26.28626601290498,31.71270292642208,1.6922995409797925
12,25.89,26.39,24.13,25.5,4825154,28.47,,,,25.31413634170109,31.378091959643147,1.7328495737669503
13,22.58,23.91,20.8901,20.9,2466772,27.36,,,,23.588889448779014,30.795784597321703,1.9383531756407395
14,21.6,21.94,19.17,19.99,4209448,26.1,,,,21.84132719504277,30.264580778786517,1.9977565202378296
15,18.72,20.02,17.15,17.55,4296882,24.75,,,,19.905472100787996,29.788965783809985,2.0600596259351276
16,17.49,22.04,17.06,22.0,5498894,23.88,,,,18.442387415159036,28.76718651094432,2.26862679551119
17,22.0,25.18,21.285,23.9,9176576,23.37,,,,18.158637776900985,28.06682175141438,2.3847963101175336
18,23.06,23.98,21.14,22.13,4013316,22.58,,,,18.061976853027073,26.9338358427388,2.4173108593948527
19,23.44,24.26,21.515,22.1,2676774,22.07,26.57,,,18.133275495589324,26.01005842297822,2.4407172265809347
20,22.07,24.77,21.75,24.03,2395692,22.01,26.13,,,18.16988887502778,25.557119667611637,2.4820945675394395
21,24.36,26.26,24.11,26.08,2597756,22.08,25.83,,,18.17168260160209,25.51982237119673,2.464087812715194
22,25.2,25.41,23.52,24.685,3043690,22.5,25.55,,,18.242988063098235,25.779824622211997,2.4709386832355373
23,24.74,25.98,24.1,25.73,2047916,23.13,25.27,,,18.643198686191564,26.222027845118554,2.428728777290142
24,25.43,25.85,24.45,24.71,2507736,23.93,24.96,,,19.78409180861023,26.167241330362952,2.3552481503408464
25,23.73,24.894,23.06,24.54,5874752,24.21,24.62,,,21.42319591253964,25.95416707717561,2.3180161396022143
26,24.48,25.63,23.73,24.35,3066560,24.26,24.35,,,21.788510650841047,26.018776134857774,2.2881578439163417
27,24.58,24.97,24.04,24.32,2328116,24.5,24.07,,,22.30269328434133,25.990987786145688,2.1911465693508885
28,25.89,26.76,25.28,25.88,2500872,24.92,23.95,,,22.80196998710903,26.285308450528078,2.2089218143972538
29,27.17,27.97,26.34,27.07,3360276,25.26,23.84,,,23.307428109504023,26.92521460211101,2.2004273990831646
30,27.245,28.79,26.945,28.59,1676510,25.54,23.93,,,23.290523910366225,27.5953484476275,2.1750397277200815
31,29.02,31.43,29.02,30.79,4005412,26.22,24.24,,,23.320999677910542,29.05723160032361,2.22253689002579
32,30.2,30.64,28.38,29.46,2557800,26.63,24.44,,,23.58708179968705,29.863864108659715,2.235927112166805
33,29.65,29.986,29.1175,29.6,2465106,27.18,24.88,,,23.887034320829475,30.376339830613887,2.1382537470120333
34,28.47,28.85,28.04,28.27,1933114,27.59,25.29,,,24.707064739003204,30.553883928715003,2.0969499079397456
35,28.47,28.47,27.32,27.82,2223980,27.98,25.8,,,25.44836595983247,30.62479157510522,2.029310628801192
36,28.49,29.54,28.49,29.5,1696922,28.55,26.18,,,26.36691935094104,30.57620539859292,2.00721701245825
37,28.89,29.15,28.28,28.63,1773502,28.86,26.41,,,27.05147496048187,30.52412890492117,1.950987225854089
38,27.76,28.37,27.76,28.19,1468880,28.98,26.72,,,27.42713528183071,30.508837412309436,1.8737738525787968
39,28.74,29.05,28.02,28.36,1129014,28.96,27.03,,,27.697516451153323,30.519936871130906,1.8135042916803115
40,28.32,28.79,28.0,28.165,2337202,28.67,27.24,,,27.65469315329687,29.942010094087156,1.7403968422745748
41,28.52,28.75,28.1025,28.5,2476286,28.56,27.36,,,27.6308416581584,29.506907077401518,1.6623327821121054
42,27.32,28.64,27.31,28.19,6278950,28.4,27.53,,,27.52533119272288,29.205837081279256,1.6385947262469553
43,29.0,29.8,28.71,29.68,4074182,28.56,27.73,,,27.520940778617828,29.43187728204156,1.6365522458007442
44,30.0,31.815,29.62,29.64,4045136,28.76,27.98,,,27.602068451494922,30.358167532625895,1.6764413711006911
45,29.35,29.45,28.54,28.63,2699012,28.67,28.18,,,27.605162753950236,30.346240135314066,1.635266987450642
46,28.29,28.32,27.66,28.24,4575530,28.62,28.38,,,27.506677372181873,30.306080902002055,1.5877479169184532
47,27.91,27.91,26.87,27.26,2933614,28.52,28.52,,,27.28452413402373,30.309484039273407,1.5721944942814206
48,29.26,29.89,28.56,29.2,3608308,28.61,28.69,,,27.330649952850212,30.425966044759722,1.6477520304041762
49,29.32,29.53,27.4,27.47,2684858,28.53,28.71,27.14,,27.226582205897287,30.49668897711145,1.6821983139467354
50,27.75,29.04,27.75,28.56,2249784,28.54,28.71,27.05,,27.18026606648214,30.51414545817286,1.6741841486648257
51,29.02,29.83,28.91,29.65,1339884,28.7,28.65,27.01,,27.363963312880312,30.618775449049373,1.645313852331624
52,29.29,29.57,28.37,29.33,2575540,28.66,28.64,26.99,,27.342865742277443,30.588328163412896,1.6192200057365078
53,29.45,29.81,29.33,29.33,3284474,28.63,28.63,26.94,,27.3686787174126,29.9667924209891,1.5378471481839002
54,29.17,29.32,27.79,28.23,2851566,28.59,28.63,26.89,,27.291600937276787,29.94932234336758,1.5380009233136216
55,27.89,29.43,27.05,29.37,2089448,28.71,28.71,26.85,,27.159725011894942,29.9811260099194,1.5981437145055057
56,29.2,29.5,28.55,28.75,2231772,28.88,28.67,26.83,,27.448869107377035,29.81874202387494,1.5518477348979696
57,29.62,30.94,29.62,30.45,1613322,29.02,28.76,26.85,,27.42904605282154,30.19873038226058,1.597430039548115
58,30.28,30.76,29.76,29.94,1431711,29.29,28.85,26.88,,27.645108114426268,30.443234016513433,1.5547564652946781
59,30.33,30.86,29.9,30.03,1622798,29.45,28.93,26.89,,27.845412832564058,30.662520976154447,1.5122738606307728
60,30.2,30.51,29.93,30.0,955998,29.49,29.02,26.96,,27.88797397134404,30.754604524031535,1.4456828705857179
61,30.01,30.12,29.495,29.8,781390,29.54,29.09,27.06,,28.020099082357973,30.788416495008228,1.387062665543881
62,30.96,32.09,30.54,31.88,1621488,29.83,29.27,27.19,,28.040088811240167,31.293343437400537,1.4515581894336038
63,32.45,33.13,32.38,32.82,1843616,30.34,29.43,27.43,,28.260875801445557,32.00030353625769,1.4371611759026326
64,33.49,33.49,32.085,32.17,1216064,30.65,29.56,27.67,,29.01064049029363,32.618997987016826,1.4348639490524449
65,31.99,32.2,31.18,32.09,1890434,31.02,29.73,27.96,,29.452997949150916,32.76928880183632,1.4052308098344135
66,32.19,32.585,32.07,32.43,1371106,31.24,29.94,28.17,,29.67967086608307,32.96979389348672,1.3416428948462413
67,32.67,32.84,32.29,32.46,1362886,31.52,30.2,28.34,,29.941761367518623,33.186977031565405,1.2850969737857958
68,32.89,33.97,32.72,33.62,1515394,31.92,30.42,28.57,,30.237926516808674,33.614093491080304,1.3011614756582388
69,33.29,33.85,33.07,33.85,1064632,32.35,30.74,28.81,,30.61544349836454,33.87278887045806,1.2639356559683648
